bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1912436,1485307,2025-02-10,Senate,"Senate: Third Reading - Final Passage Effective Date(s)",19,0,0,1,20
1912436,1531261,2025-03-31,House,"House: Second Reading Amendment No. 3 as amended",11,25,0,4,40
1912436,1534765,2025-04-02,House,"House: Third Reading Final Passage",32,8,0,0,40
1912436,1537282,2025-04-04,Senate,"Senate: Shall the Senate Concur in the House Amendment to SB 15 Effective Date(s)",20,0,0,0,20
1912443,1592106,2025-05-02,House,"House: Third Reading Final Passage",22,17,0,1,40
1912444,1565200,2025-05-05,House,"House: Second Reading Amendment No. 1",34,6,0,0,40
1912444,1567843,2025-05-07,House,"House: Third Reading Final Passage",23,17,0,0,40
1912444,1567844,2025-05-07,House,"House: Third Reading Effective Date",31,9,0,0,40
1912446,1569699,2025-05-12,Senate,"Senate: Third Reading - Final Passage Effective Date(s)",18,2,0,0,20
1912460,1559589,2025-04-28,House,"House: Third Reading Final Passage",40,0,0,0,40
1912461,1569748,2025-05-12,Senate,"Senate: Third Reading - Final Passage Effective Date(s)",15,5,0,0,20
1912464,1569313,2025-05-10,House,"House: Second Reading Amendment No. 1",15,23,0,2,40
1912464,1569314,2025-05-10,House,"House: Second Reading Amendment No. 2",15,23,0,2,40
1912464,1569315,2025-05-10,House,"House: Second Reading Amendment No. 3",16,21,0,3,40
1912464,1569316,2025-05-10,House,"House: Second Reading Amendment No. 4",15,23,0,2,40
1912464,1569317,2025-05-10,House,"House: Second Reading Amendment No. 4",15,23,0,2,40
1912464,1570028,2025-05-12,House,"House: Third Reading Final Passage",25,15,0,0,40
1912466,1555443,2025-04-23,Senate,"Senate: Third Reading - Final Passage",20,0,0,0,20
1912467,1546506,2025-04-11,House,"House: Third Reading Final Passage",37,0,0,3,40
1912467,1574728,2025-05-20,Senate,"Senate: Third Reading - Final Passage",19,0,0,1,20
1912477,1548753,2025-04-15,Senate,"Senate: Third Reading - Final Passage Effective Date(s)",14,6,0,0,20
1912477,1574409,2025-05-20,House,"House: Third Reading Final Passage",24,16,0,0,40
1912477,1574410,2025-05-20,House,"House: Third Reading Final Passage",24,16,0,0,40
1912481,1573012,2025-05-18,House,"House: Third Reading Final Passage",29,10,0,1,40
1912486,1573003,2025-05-18,House,"House: Second Reading Amendment No. 2",19,21,0,0,40
1912486,1573004,2025-05-18,House,"House: Second Reading Amendment No. 2",19,21,0,0,40
1912486,1573375,2025-05-19,House,"House: Third Reading Final Passage",23,17,0,0,40
1912486,1573376,2025-05-19,House,"House: Third Reading Effective Date",27,13,0,0,40
1912487,1572937,2025-05-16,House,"House: Third Reading Final Passage",39,0,0,1,40
1912488,1527864,2025-03-26,House,"House: Third Reading Final Passage",39,0,0,1,40
1912490,1563205,2025-04-30,House,"House: Second Reading Amendment No. 1",18,21,0,1,40
1912490,1563206,2025-04-30,House,"House: Second Reading Amendment No. 2",18,21,0,1,40
1912490,1563207,2025-04-30,House,"House: Second Reading Amendment No. 4",11,28,0,1,40
1912490,1564694,2025-05-02,House,"House: Third Reading Final Passage",31,8,0,1,40
1912490,1574428,2025-05-20,Senate,"Senate: Third Reading - Final Passage",20,0,0,0,20
1912490,1574429,2025-05-20,House,"House: Concur",28,12,0,0,40
1912495,1570725,2025-05-13,House,"House: Third Reading Final Passage",28,12,0,0,40
1912496,1571492,2025-05-14,Senate,"Senate: Third Reading - Final Passage",20,0,0,0,20
1912500,1558453,2025-04-25,House,"House: Second Reading Amendment No. 1",17,21,0,2,40
1912500,1558454,2025-04-25,House,"House: Second Reading Amendment No. 2",18,21,0,1,40
1912500,1558455,2025-04-25,House,"House: Second Reading Amendment No. 2",18,21,0,1,40
1912500,1558456,2025-04-25,House,"House: Second Reading Amendment No. 3",17,22,0,1,40
1912500,1558457,2025-04-25,House,"House: Second Reading Amendment No. 4",16,23,0,1,40
1912500,1558458,2025-04-25,House,"House: Second Reading Amendment No. 6",16,22,0,2,40
1912500,1558459,2025-04-25,House,"House: Second Reading Amendment No. 6",16,22,0,2,40
1912500,1558460,2025-04-25,House,"House: Second Reading Amendment No. 10",16,21,0,3,40
1912500,1558461,2025-04-25,House,"House: Second Reading Amendment No. 11 as amended",14,23,0,3,40
1912500,1558462,2025-04-25,House,"House: Second Reading Amendment No. 12",10,27,0,3,40
1912500,1558463,2025-04-25,House,"House: Second Reading Amendment No. 13",16,21,0,3,40
1912500,1559317,2025-04-28,House,"House: Third Reading Final Passage",22,18,0,0,40
1912500,1559318,2025-04-28,House,"House: Third Reading Effective Date",28,12,0,0,40
1912506,1571691,2025-05-14,House,"House: Third Reading Final Passage",40,0,0,0,40
1927296,1509181,2025-03-10,Senate,"Senate: Third Reading - Final Passage Effective Date(s)",18,1,0,1,20
1927296,1564662,2025-05-02,House,"House: Third Reading Final Passage",35,4,0,1,40
1927640,1518720,2025-03-17,Senate,"Senate: Third Reading - Final Passage",17,0,0,3,20
1927640,1571715,2025-05-14,House,"House: Second Reading Amendment No. 1",19,21,0,0,40
1927640,1572917,2025-05-16,House,"House: Third Reading Final Passage",22,17,0,1,40
1928103,1547942,2025-04-14,Senate,"Senate: Third Reading - Final Passage",20,0,0,0,20
1928218,1504045,2025-03-03,Senate,"Senate: Third Reading - Final Passage",19,0,0,1,20
1928218,1530260,2025-03-28,House,"House: Third Reading Final Passage",33,2,0,5,40
1931942,1473097,2025-01-21,House,"House: Second Reading Final Passage",38,1,0,1,40
1932175,1473100,2025-01-21,House,"House: Second Reading Final Passage",32,8,0,0,40
1932407,1473099,2025-01-21,House,"House: Second Reading Final Passage",39,1,0,0,40
1932635,1472889,2025-01-21,Senate,"Senate: Final Passage",20,0,0,0,20
1932865,1473098,2025-01-21,House,"House: Second Reading Final Passage",39,1,0,0,40
1933087,1472890,2025-01-21,Senate,"Senate: Final Passage",14,6,0,0,20
1934573,1563282,2025-04-30,House,"House: Third Reading Final Passage",27,12,0,1,40
1934649,1546379,2025-04-11,House,"House: amendment deadline 5:00 p.m., April 14",21,16,0,3,40
1934649,1550379,2025-04-16,House,"House: Second Reading Amendment No. 1",23,17,0,0,40
1934649,1550380,2025-04-16,House,"House: Second Reading Amendment No. 1",19,21,0,0,40
1934649,1550381,2025-04-16,House,"House: Second Reading Amendment No. 2",19,21,0,0,40
1934649,1554309,2025-04-22,House,"House: Third Reading Final Passage",33,6,0,1,40
