bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
2038126,2218,HB1,1,Introduced,2026-01-13,"Motor vehicles; suspension of driver license and ignition interlock device following first driving while under the influence conviction required","Motor vehicles; suspension of driver license and ignition interlock device following first driving while under the influence conviction required",2536,"House Public Safety and Homeland Security",2026-01-13,"Pending House Public Safety and Homeland Security",https://legiscan.com/AL/bill/HB1/2026,https://alison.legislature.state.al.us/bill-search
2038144,2218,HB2,1,Introduced,2026-01-13,"Gulf of Mexico, renamed, observation and implementation by state and local entities and state and local employees required where practicable","Gulf of Mexico, renamed, observation and implementation by state and local entities and state and local employees required where practicable",2537,"House State Government",2026-01-13,"Pending House State Government",https://legiscan.com/AL/bill/HB2/2026,https://alison.legislature.state.al.us/bill-search
2038178,2218,HB3,1,Introduced,2026-01-13,"Taxation; to exempt certain retail sales of fish or other seafood from sales and use taxes","Taxation; to exempt certain retail sales of fish or other seafood from sales and use taxes",2539,"House Ways and Means Education",2026-01-13,"Pending House Ways and Means Education",https://legiscan.com/AL/bill/HB3/2026,https://alison.legislature.state.al.us/bill-search
2038158,2218,HB4,1,Introduced,2026-01-13,"Taxation; establishes Alabama Broadband Investment Maximization Act; exempts ADECA project funded or administered purchases from sales and use tax","Taxation; establishes Alabama Broadband Investment Maximization Act; exempts ADECA project funded or administered purchases from sales and use tax",2539,"House Ways and Means Education",2026-01-13,"Pending House Ways and Means Education",https://legiscan.com/AL/bill/HB4/2026,https://alison.legislature.state.al.us/bill-search
2038160,2218,HB5,1,Introduced,2026-01-13,"Service contracts; terms defined; certain disclosures in advertising required; disclosures of limitations of contracts further provided for","Service contracts; terms defined; certain disclosures in advertising required; disclosures of limitations of contracts further provided for",2529,"House Commerce and Small Business",2026-01-13,"Pending House Commerce and Small Business",https://legiscan.com/AL/bill/HB5/2026,https://alison.legislature.state.al.us/bill-search
2038122,2218,HB6,1,Introduced,2026-01-13,"Employees' Retirement System, all ALEA law enforcement officers, including State Police Tier II Plan members, to receive payment for up to 80 hours of accrued and unused annual leave per year","Employees' Retirement System, all ALEA law enforcement officers, including State Police Tier II Plan members, to receive payment for up to 80 hours of accrued and unused annual leave per year",2540,"House Ways and Means General Fund",2026-01-13,"Pending House Ways and Means General Fund",https://legiscan.com/AL/bill/HB6/2026,https://alison.legislature.state.al.us/bill-search
2038136,2218,HB7,1,Introduced,2026-01-13,"Crimes and offenses, penalty increased for crimes of making a terrorist threat in the first or second degree, principal to immediately contact law enforcement of terrorist threat, suspension of student, readmittance, and restitution provided","Crimes and offenses, penalty increased for crimes of making a terrorist threat in the first or second degree, principal to immediately contact law enforcement of terrorist threat, suspension of student, readmittance, and restitution provided",977,"House Judiciary",2026-01-13,"Pending House Judiciary",https://legiscan.com/AL/bill/HB7/2026,https://alison.legislature.state.al.us/bill-search
2038175,2218,HB8,1,Introduced,2026-01-13,"Campus chaplains; public K-12 schools authorized to accept as volunteers, local boards of education and governing bodies authorized to vote on whether to allow, limitations provided","Campus chaplains; public K-12 schools authorized to accept as volunteers, local boards of education and governing bodies authorized to vote on whether to allow, limitations provided",971,"House Education Policy",2026-01-13,"Pending House Education Policy",https://legiscan.com/AL/bill/HB8/2026,https://alison.legislature.state.al.us/bill-search
2038167,2218,HB9,1,Introduced,2026-01-13,"Abuse and exploitation of an elder, effect of conviction on intestate succession, wills, joint assets, and other contractual obligations provided","Abuse and exploitation of an elder, effect of conviction on intestate succession, wills, joint assets, and other contractual obligations provided",2602,"House Children and Senior Advocacy",2026-01-13,"Pending House Children and Senior Advocacy",https://legiscan.com/AL/bill/HB9/2026,https://alison.legislature.state.al.us/bill-search
2038180,2218,HB10,1,Introduced,2026-01-13,"Juvenile offenders, delinquent acts for purposes of juvenile proceedings further provided for","Juvenile offenders, delinquent acts for purposes of juvenile proceedings further provided for",2536,"House Public Safety and Homeland Security",2026-01-13,"Pending House Public Safety and Homeland Security",https://legiscan.com/AL/bill/HB10/2026,https://alison.legislature.state.al.us/bill-search
2038128,2218,HB11,1,Introduced,2026-01-13,"Youthful offender status, to prohibit a judge from granting youthful offender status to any person who is 16 years of age and older and charged with capital murder or murder","Youthful offender status, to prohibit a judge from granting youthful offender status to any person who is 16 years of age and older and charged with capital murder or murder",977,"House Judiciary",2026-01-13,"Pending House Judiciary",https://legiscan.com/AL/bill/HB11/2026,https://alison.legislature.state.al.us/bill-search
