bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
2038126,3258565,text,556284,application/pdf,Introduced,https://legiscan.com/AL/text/HB1/id/3258565,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HB1-int.pdf
2038144,3258583,text,501505,application/pdf,Introduced,https://legiscan.com/AL/text/HB2/id/3258583,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HB2-int.pdf
2038178,3258615,text,499788,application/pdf,Introduced,https://legiscan.com/AL/text/HB3/id/3258615,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HB3-int.pdf
2038158,3258596,text,508299,application/pdf,Introduced,https://legiscan.com/AL/text/HB4/id/3258596,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HB4-int.pdf
2038160,3258598,text,540199,application/pdf,Introduced,https://legiscan.com/AL/text/HB5/id/3258598,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HB5-int.pdf
2038122,3258560,text,514106,application/pdf,Introduced,https://legiscan.com/AL/text/HB6/id/3258560,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HB6-int.pdf
2038136,3258575,text,535789,application/pdf,Introduced,https://legiscan.com/AL/text/HB7/id/3258575,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HB7-int.pdf
2038175,3258612,text,502894,application/pdf,Introduced,https://legiscan.com/AL/text/HB8/id/3258612,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HB8-int.pdf
2038167,3258604,text,506514,application/pdf,Introduced,https://legiscan.com/AL/text/HB9/id/3258604,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HB9-int.pdf
2038180,3258617,text,522624,application/pdf,Introduced,https://legiscan.com/AL/text/HB10/id/3258617,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HB10-int.pdf
2038128,3258567,text,504972,application/pdf,Introduced,https://legiscan.com/AL/text/HB11/id/3258567,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HB11-int.pdf
2038149,3258587,text,517894,application/pdf,Introduced,https://legiscan.com/AL/text/HB12/id/3258587,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2026RS/HB12-int.pdf
