bill_id,date,chamber,sequence,action
2037849,2025-05-22,Senate,1,Prefiled
2037849,2026-01-13,Senate,2,"Read for the first time and referred to the Senate Committee on Education Policy"
2037849,2026-01-13,Senate,3,"Pending Senate Education Policy"
2037850,2025-05-22,Senate,1,Prefiled
2037850,2026-01-13,Senate,2,"Read for the first time and referred to the Senate Committee on Education Policy"
2037850,2026-01-13,Senate,3,"Pending Senate Education Policy"
2037851,2025-05-15,Senate,1,Prefiled
2037851,2026-01-13,Senate,2,"Read for the first time and referred to the Senate Committee on Fiscal Responsibility and Economic Development"
2037851,2026-01-13,Senate,3,"Pending Senate Fiscal Responsibility and Economic Development"
2037852,2025-05-15,Senate,1,Prefiled
2037852,2026-01-13,Senate,2,"Read for the first time and referred to the Senate Committee on Healthcare"
2037852,2026-01-13,Senate,3,"Pending Senate Healthcare"
2038122,2025-06-25,House,1,Prefiled
2038122,2026-01-13,House,2,"Read for the first time and referred to the House Committee on Ways and Means General Fund"
2038122,2026-01-13,House,3,"Pending House Ways and Means General Fund"
2038126,2025-06-25,House,1,Prefiled
2038126,2026-01-13,House,2,"Read for the first time and referred to the House Committee on Public Safety and Homeland Security"
2038126,2026-01-13,House,3,"Pending House Public Safety and Homeland Security"
2038128,2025-06-25,House,1,Prefiled
2038128,2026-01-13,House,2,"Read for the first time and referred to the House Committee on Judiciary"
2038128,2026-01-13,House,3,"Pending House Judiciary"
2038131,2025-06-25,House,1,Prefiled
2038131,2026-01-13,House,2,"Read for the first time and referred to the House Committee on County and Municipal Government"
2038131,2026-01-13,House,3,"Pending House County and Municipal Government"
2038134,2025-06-25,House,1,Prefiled
2038134,2026-01-13,House,2,"Read for the first time and referred to the House Committee on Judiciary"
2038134,2026-01-13,House,3,"Pending House Judiciary"
2038136,2025-06-25,House,1,Prefiled
2038136,2026-01-13,House,2,"Read for the first time and referred to the House Committee on Judiciary"
2038136,2026-01-13,House,3,"Pending House Judiciary"
2038139,2025-06-25,House,1,Prefiled
2038139,2026-01-13,House,2,"Read for the first time and referred to the House Committee on Commerce and Small Business"
2038139,2026-01-13,House,3,"Pending House Commerce and Small Business"
2038144,2025-06-25,House,1,Prefiled
2038144,2026-01-13,House,2,"Read for the first time and referred to the House Committee on State Government"
2038144,2026-01-13,House,3,"Pending House State Government"
2038147,2025-06-25,House,1,Prefiled
2038147,2026-01-13,House,2,"Read for the first time and referred to the House Committee on Ways and Means Education"
2038147,2026-01-13,House,3,"Pending House Ways and Means Education"
2038149,2025-06-25,House,1,Prefiled
2038149,2026-01-13,House,2,"Read for the first time and referred to the House Committee on Judiciary"
2038149,2026-01-13,House,3,"Pending House Judiciary"
2038152,2025-06-25,House,1,Prefiled
2038152,2026-01-13,House,2,"Read for the first time and referred to the House Committee on Judiciary"
2038152,2026-01-13,House,3,"Pending House Judiciary"
2038155,2025-06-25,House,1,Prefiled
