people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
3358,"Artis McCampbell",Artis,,McCampbell,,"A J",1,D,1,Rep,HD-071,12407504,60444,,Artis_J._McCampbell,250647,0
3360,"Barbara Boyd",Barbara,Bigsby,Boyd,,,1,D,1,Rep,HD-032,12997372,5627,,Barbara_Boyd_(Alabama),192657,0
3386,"William Beasley",William,M.,Beasley,,Billy,1,D,2,Sen,SD-028,6370781,15872,,Billy_Beasley,192709,0
3420,"Gerald Allen",Gerald,H.,Allen,,,2,R,2,Sen,SD-021,6568032,5621,,Gerald_Allen,192687,0
12500,"April Weaver",April,C.,Weaver,,,2,R,2,Sen,SD-014,12997408,121534,,April_Weaver,290731,0
15745,"David Standridge",David,,Standridge,,,2,R,1,Rep,HD-034,15881725,82406,,David_Standridge,446076,0
15746,"Mack Butler",Mack,N.,Butler,,,2,R,1,Rep,HD-028,6982636,143699,,Mack_Butler,446144,0
16873,"Steve Livingston",Steve,,Livingston,,,2,R,2,Sen,SD-008,7000368,149964,,Steve_Livingston,488992,0
16874,"Shay Shelnutt",Shay,,Shelnutt,,,2,R,2,Sen,SD-017,21273391,149989,,Shay_Shelnutt,498987,0
17026,"Phillip Pettus",Phillip,,Pettus,,,2,R,1,Rep,HD-001,21273436,149977,,Phillip_Pettus,498969,0
17594,"Reed Ingram",Reed,,Ingram,,,2,R,1,Rep,HD-075,21537002,81538,,Reed_Ingram,488928,0
17598,"Jack Williams",Jack,W.,Williams,,,2,R,2,Sen,SD-034,21778135,27636,,Jack_Williams_(Alabama_State_Senate),650383,0
21287,"Chip Brown",Chip,,Brown,,,2,R,1,Rep,HD-105,13010673,15971,,Chip_Brown,650597,0
21289,"Matt Simpson",Matt,,Simpson,,,2,R,1,Rep,HD-096,44858752,180610,,Matt_Simpson,650563,0
21298,"Jeremy Gray",Jeremy,,Gray,,"Mr Eyg",1,D,1,Rep,HD-083,44858721,180545,,Jeremy_Gray,655292,0
21315,"Sam Givhan",Sam,,Givhan,,,2,R,2,Sen,SD-007,44431925,180622,,Sam_Givhan,650368,0
21316,"Garlan Gudger",Garlan,,Gudger,,,2,R,2,Sen,SD-004,44858786,180619,,Garlan_Gudger,667585,0
24595,"Ron Bolton",Ronald,,Bolton,,Ron,2,R,1,Rep,HD-061,55420648,201861,,Ron_Bolton_(Alabama),0,0
24598,"Mark Gidley",Mark,,Gidley,,,2,R,1,Rep,HD-029,55420699,201851,,Mark_Gidley,0,0
24603,"Bill Lamb",Bill,,Lamb,,,2,R,1,Rep,HD-062,7173312,201859,,Bill_Lamb,0,0
24613,"Matt Woods",Matthew,,Woods,,Matt,2,R,1,Rep,HD-013,55420839,201836,,Matt_Woods,0,0
24614,"Ernie Yarbrough",Ernie,,Yarbrough,,,2,R,1,Rep,HD-007,45831061,201820,,Ernie_Yarbrough,0,0
24805,"Patrick Sellers",Patrick,,Sellers,,,1,D,1,Rep,HD-057,46875887,149985,,Patrick_Sellers,498975,0
24806,"Mark Shirey",Mark,,Shirey,,,2,R,1,Rep,HD-100,55420796,180631,,Mark_Shirey,0,0
25188,"Marilyn Lands",Marilyn,,Lands,,,1,D,1,Rep,HD-010,46874379,201880,,Marilyn_Lands,0,0
25223,"Jeana Ross",Jeana,,Ross,,,2,R,1,Rep,HD-027,59997586,214985,,Jeana_Ross,0,0
