bill_id,people_id,position
2037849,16874,1
2037850,16874,1
2037851,12500,1
2037852,12500,1
2038122,17026,1
2038126,3360,1
2038128,17026,1
2038131,24603,1
2038134,24805,1
2038136,24613,1
2038139,24805,1
2038144,15745,1
2038147,24806,1
2038149,24614,1
2038152,24614,1
2038155,21289,1
2038158,24613,1
2038160,3358,1
2038164,24805,1
2038167,24598,1
2038170,25188,1
2038172,24603,1
2038175,24598,1
2038178,21287,1
2038180,17026,1
2038272,3420,1
2038290,3420,1
2038308,3420,1
2038324,3420,1
2038343,3420,1
2038361,3420,1
2039139,21315,1
2041204,21316,1
2041624,15746,1
2041628,15746,1
2041629,15746,1
2041633,15746,1
2041636,21287,1
2041640,24595,1
2041643,25223,1
2041648,21287,1
2041651,15746,1
2041833,24595,1
2041834,21287,1
2041835,17594,1
2041836,24595,1
2041837,17594,1
2041838,24595,1
2041839,17594,1
2041840,24595,1
2041841,17598,1
2042446,16873,1
2042544,21315,1
2042827,12500,1
2042866,21289,1
2042872,21287,1
2042878,12500,1
2042883,21298,1
2043025,3386,1
