bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
2042497,3265943,text,139154,application/pdf,Introduced,https://legiscan.com/CO/text/HB1001/id/3265943,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1001_01.pdf
2042497,3266169,text,144975,application/pdf,Amended,https://legiscan.com/CO/text/HB1001/id/3266169,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1001_rev.pdf
2042497,3266236,text,144816,application/pdf,Amended,https://legiscan.com/CO/text/HB1001/id/3266236,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1001_rer.pdf
2042497,3266083,text,141188,application/pdf,Engrossed,https://legiscan.com/CO/text/HB1001/id/3266083,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1001_eng.pdf
2042497,3266137,text,144536,application/pdf,Engrossed,https://legiscan.com/CO/text/HB1001/id/3266137,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1001_ren.pdf
2042497,3266280,text,124303,application/pdf,Enrolled,https://legiscan.com/CO/text/HB1001/id/3266280,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1001_enr.pdf
2042530,3265975,text,148279,application/pdf,Introduced,https://legiscan.com/CO/text/HB1002/id/3265975,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1002_01.pdf
2042530,3266147,text,151518,application/pdf,Amended,https://legiscan.com/CO/text/HB1002/id/3266147,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1002_rev.pdf
2042530,3266163,text,151832,application/pdf,Amended,https://legiscan.com/CO/text/HB1002/id/3266163,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1002_rer.pdf
2042530,3266087,text,150074,application/pdf,Engrossed,https://legiscan.com/CO/text/HB1002/id/3266087,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1002_eng.pdf
2042530,3266139,text,151137,application/pdf,Engrossed,https://legiscan.com/CO/text/HB1002/id/3266139,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1002_ren.pdf
2042530,3266290,text,131157,application/pdf,Enrolled,https://legiscan.com/CO/text/HB1002/id/3266290,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1002_enr.pdf
2042516,3265962,text,140706,application/pdf,Introduced,https://legiscan.com/CO/text/HB1003/id/3265962,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1003_01.pdf
2042516,3266168,text,150026,application/pdf,Amended,https://legiscan.com/CO/text/HB1003/id/3266168,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1003_rev.pdf
2042516,3266207,text,150876,application/pdf,Amended,https://legiscan.com/CO/text/HB1003/id/3266207,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1003_rer.pdf
2042516,3266128,text,148577,application/pdf,Engrossed,https://legiscan.com/CO/text/HB1003/id/3266128,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1003_eng.pdf
2042516,3266138,text,149664,application/pdf,Engrossed,https://legiscan.com/CO/text/HB1003/id/3266138,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1003_ren.pdf
2042516,3266335,text,128309,application/pdf,Enrolled,https://legiscan.com/CO/text/HB1003/id/3266335,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1003_enr.pdf
2042487,3265934,text,200891,application/pdf,Introduced,https://legiscan.com/CO/text/HB1004/id/3265934,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1004_01.pdf
2042487,3266238,text,215590,application/pdf,Amended,https://legiscan.com/CO/text/HB1004/id/3266238,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1004_rev.pdf
2042487,3266386,text,216985,application/pdf,Amended,https://legiscan.com/CO/text/HB1004/id/3266386,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1004_rer.pdf
2042487,3266125,text,210437,application/pdf,Engrossed,https://legiscan.com/CO/text/HB1004/id/3266125,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1004_eng.pdf
2042487,3266136,text,210455,application/pdf,Engrossed,https://legiscan.com/CO/text/HB1004/id/3266136,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1004_ren.pdf
2042487,3266509,text,179517,application/pdf,Enrolled,https://legiscan.com/CO/text/HB1004/id/3266509,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1004_enr.pdf
2042476,3265923,text,154470,application/pdf,Introduced,https://legiscan.com/CO/text/HB1005/id/3265923,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1005_01.pdf
2042476,3266166,text,161739,application/pdf,Amended,https://legiscan.com/CO/text/HB1005/id/3266166,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1005_rev.pdf
2042476,3266206,text,163465,application/pdf,Amended,https://legiscan.com/CO/text/HB1005/id/3266206,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1005_rer.pdf
2042476,3266126,text,161066,application/pdf,Engrossed,https://legiscan.com/CO/text/HB1005/id/3266126,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1005_eng.pdf
2042476,3266141,text,161661,application/pdf,Engrossed,https://legiscan.com/CO/text/HB1005/id/3266141,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1005_ren.pdf
2042476,3266283,text,138876,application/pdf,Enrolled,https://legiscan.com/CO/text/HB1005/id/3266283,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1005_enr.pdf
2042495,3265941,text,177566,application/pdf,Introduced,https://legiscan.com/CO/text/HB1006/id/3265941,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1006_01.pdf
2042495,3266237,text,308242,application/pdf,Amended,https://legiscan.com/CO/text/HB1006/id/3266237,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1006_rev.pdf
2042495,3266382,text,309626,application/pdf,Amended,https://legiscan.com/CO/text/HB1006/id/3266382,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1006_rer.pdf
2042495,3266127,text,204957,application/pdf,Engrossed,https://legiscan.com/CO/text/HB1006/id/3266127,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1006_eng.pdf
2042495,3266140,text,205052,application/pdf,Engrossed,https://legiscan.com/CO/text/HB1006/id/3266140,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1006_ren.pdf
2042495,3266483,text,250270,application/pdf,Enrolled,https://legiscan.com/CO/text/HB1006/id/3266483,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1006_enr.pdf
2042489,3265936,text,143764,application/pdf,Introduced,https://legiscan.com/CO/text/HB1007/id/3265936,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1007_01.pdf
2042502,3265948,text,172497,application/pdf,Introduced,https://legiscan.com/CO/text/HB1008/id/3265948,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1008_01.pdf
2042502,3266171,text,183392,application/pdf,Engrossed,https://legiscan.com/CO/text/HB1008/id/3266171,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1008_eng.pdf
2042540,3265985,text,158581,application/pdf,Introduced,https://legiscan.com/CO/text/HB1009/id/3265985,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1009_01.pdf
2042508,3265954,text,139538,application/pdf,Introduced,https://legiscan.com/CO/text/HB1010/id/3265954,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1010_01.pdf
2042522,3265967,text,139515,application/pdf,Introduced,https://legiscan.com/CO/text/HB1011/id/3265967,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1011_01.pdf
2042535,3265980,text,161130,application/pdf,Introduced,https://legiscan.com/CO/text/HB1012/id/3265980,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1012_01.pdf
2042542,3265988,text,145283,application/pdf,Introduced,https://legiscan.com/CO/text/HB1013/id/3265988,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1013_01.pdf
2042520,3265965,text,147068,application/pdf,Introduced,https://legiscan.com/CO/text/HB1014/id/3265965,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1014_01.pdf
2042501,3265947,text,176563,application/pdf,Introduced,https://legiscan.com/CO/text/HB1015/id/3265947,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1015_01.pdf
2042512,3265958,text,158616,application/pdf,Introduced,https://legiscan.com/CO/text/HB1016/id/3265958,https://leg.colorado.gov/sites/default/files/documents/2025B/bills/2025b_1016_01.pdf
