bill_id,date,chamber,sequence,action
2042468,2025-08-21,Senate,1,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs"
2042468,2025-08-21,Senate,2,"Senate Committee on State, Veterans, & Military Affairs Refer Unamended to Senate Committee of the Whole"
2042468,2025-08-21,Senate,3,"Senate Second Reading Special Order - Passed - No Amendments"
2042468,2025-08-22,Senate,4,"Senate Third Reading Passed with Amendments - Floor"
2042468,2025-08-22,House,5,"Introduced In House - Assigned to Appropriations"
2042468,2025-08-22,House,6,"House Committee on Appropriations Refer Unamended to House Committee of the Whole"
2042468,2025-08-23,House,7,"House Second Reading Special Order - Passed - No Amendments"
2042468,2025-08-24,House,8,"House Third Reading Passed - No Amendments"
2042468,2025-08-25,Senate,9,"Signed by the President of the Senate"
2042468,2025-08-25,House,10,"Signed by the Speaker of the House"
2042468,2025-08-26,,11,"Sent to the Governor"
2042468,2025-08-28,,12,"Governor Signed"
2042469,2025-08-21,House,1,"Introduced In House - Assigned to State, Civic, Military, & Veterans Affairs"
2042469,2025-08-21,House,2,"House Committee on State, Civic, Military, & Veterans Affairs Postpone Indefinitely"
2042471,2025-08-21,Senate,1,"Introduced In Senate - Assigned to State, Veterans, & Military Affairs"
2042471,2025-08-21,Senate,2,"Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely"
2042473,2025-08-21,Senate,1,"Introduced In Senate - Assigned to Health & Human Services"
2042473,2025-08-21,Senate,2,"Senate Committee on Health & Human Services Refer Amended to Senate Committee of the Whole"
2042473,2025-08-21,Senate,3,"Senate Second Reading Special Order - Passed with Amendments - Committee"
2042473,2025-08-22,Senate,4,"Senate Third Reading Passed - No Amendments"
2042473,2025-08-22,House,5,"Introduced In House - Assigned to Health & Human Services"
2042473,2025-08-22,House,6,"House Committee on Health & Human Services Refer Unamended to House Committee of the Whole"
2042473,2025-08-23,House,7,"House Second Reading Special Order - Passed - No Amendments"
2042473,2025-08-24,House,8,"House Third Reading Passed - No Amendments"
2042473,2025-08-25,Senate,9,"Signed by the President of the Senate"
2042473,2025-08-25,House,10,"Signed by the Speaker of the House"
2042473,2025-08-26,,11,"Sent to the Governor"
2042473,2025-08-26,,12,"Governor Signed"
2042476,2025-08-21,House,1,"Introduced In House - Assigned to Appropriations"
2042476,2025-08-21,House,2,"House Committee on Appropriations Refer Amended to House Committee of the Whole"
2042476,2025-08-22,House,3,"House Second Reading Special Order - Passed with Amendments - Committee"
2042476,2025-08-23,House,4,"House Third Reading Passed - No Amendments"
2042476,2025-08-23,Senate,5,"Introduced In Senate - Assigned to Appropriations"
2042476,2025-08-24,Senate,6,"Senate Committee on Appropriations Refer Unamended to Senate Committee of the Whole"
2042476,2025-08-24,Senate,7,"Senate Second Reading Special Order - Passed - No Amendments"
2042476,2025-08-25,Senate,8,"Senate Third Reading Passed - No Amendments"
2042476,2025-08-26,House,9,"Signed by the Speaker of the House"
2042476,2025-08-26,Senate,10,"Signed by the President of the Senate"
2042476,2025-08-26,,11,"Sent to the Governor"
