bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
2042468,1599823,2025-08-21,Senate,"Senate State, Veterans, & Military Affairs: Refer Senate Bill 25B-001 to the Committee of the Whole.",3,2,0,0,5
2042468,1599884,2025-08-22,Senate,"Senate: Third Reading Amend (l.004)",35,0,0,0,35
2042468,1599885,2025-08-22,Senate,"Senate: Third Reading Bill",19,16,0,0,35
2042468,1599900,2025-08-22,House,"House Appropriations: Refer Senate Bill 25B-001 to the Committee of the Whole.",11,0,0,0,11
2042468,1599928,2025-08-24,House,"House: Third Reading Bill",56,4,0,4,64
2042468,1599929,2025-08-24,House,"House: Third Reading Perm",19,41,0,4,64
2042469,1599826,2025-08-21,House,"House State, Civic, Military, & Veterans Affairs: Postpone House Bill 25B-1018 indefinitely using a reversal of the previous roll call. There was no objection to the use of the reverse roll call, therefore, the bill was postponed indefinitely.",7,3,0,1,11
2042469,1601829,2025-08-21,House,"House State, Civic, Military, & Veterans Affairs: Postpone House Bill 25B-1018 indefinitely using a reversal of the previous roll call. There was no objection to the use of the reverse roll call, therefore, the bill was postponed indefinitely.",7,3,0,1,11
2042469,1601830,2025-08-21,House,"House State, Civic, Military, & Veterans Affairs: Refer House Bill 25B-1018, as amended, to the Committee on Appropriations.",3,7,0,1,11
2042471,1599825,2025-08-21,Senate,"Senate State, Veterans, & Military Affairs: Postpone Senate Bill 25B-008 indefinitely using a reversal of the previous roll call. There was no objection to the use of the reverse roll call, therefore, the bill was postponed indefinitely.",3,2,0,0,5
2042473,1599793,2025-08-21,Senate,"Senate Health & Human Services: Refer Senate Bill 25B-002, as amended, to the Committee of the Whole.",6,3,0,0,9
2042473,1599829,2025-08-21,Senate,"Senate: Committee of the Whole Cow * (s.001)",12,23,0,0,35
2042473,1599881,2025-08-22,Senate,"Senate: Third Reading Bill",23,12,0,0,35
2042473,1599898,2025-08-22,House,"House Health & Human Services: Refer Senate Bill 25B-002 to the Committee of the Whole.",9,4,0,0,13
2042473,1599927,2025-08-23,House,"House: Committee of the Whole Amd (h.001)",20,40,0,4,64
2042473,1599933,2025-08-24,House,"House: Third Reading Bill",43,19,0,2,64
2042473,1599934,2025-08-24,House,"House: Third Reading Perm",19,43,0,2,64
2042473,1599935,2025-08-24,House,"House: Third Reading Refer (app)",19,41,0,4,64
2042476,1599827,2025-08-21,House,"House Appropriations: Refer House Bill 25B-1005, as amended, to the Committee of the Whole.",7,3,0,1,11
2042476,1599883,2025-08-21,House,"House Appropriations: Refer House Bill 25B-1005, as amended, to the Committee of the Whole.",7,3,0,1,11
2042476,1599905,2025-08-22,House,"House: Committee of the Whole Amd (h.001)",19,41,0,4,64
2042476,1599906,2025-08-22,House,"House: Committee of the Whole Amd (h.002)",25,35,0,4,64
2042476,1599907,2025-08-22,House,"House: Committee of the Whole Amd (h.003)",19,41,0,4,64
2042476,1599908,2025-08-22,House,"House: Committee of the Whole Amd (h.004)",22,38,0,4,64
2042476,1599909,2025-08-22,House,"House: Committee of the Whole Amd (h.005)",19,41,0,4,64
2042476,1599911,2025-08-23,House,"House: Third Reading Bill",37,25,0,2,64
2042476,1599912,2025-08-23,House,"House: Third Reading Prev ?",36,26,0,2,64
2042476,1599930,2025-08-24,Senate,"Senate Appropriations: Refer House Bill 25B-1005 to the Committee of the Whole.",5,2,0,0,7
