bill_id,people_id,position
2042468,18939,2
2042468,19048,5
2042468,20024,4
2042468,20025,3
2042468,20032,26
2042468,20148,10
2042468,20739,12
2042468,22219,1
2042468,22220,6
2042468,22228,21
2042468,22921,7
2042468,23046,18
2042468,23949,20
2042468,23955,28
2042468,23956,17
2042468,23960,19
2042468,23962,27
2042468,24384,15
2042468,24385,13
2042468,24873,8
2042468,25044,9
2042468,26056,11
2042468,26059,14
2042468,26062,22
2042468,26067,23
2042468,26068,25
2042468,26069,24
2042468,26071,29
2042468,26391,16
2042469,22456,3
2042469,26066,1
2042469,26072,2
2042471,20126,1
2042473,16581,24
2042473,16583,9
2042473,18713,16
2042473,18723,23
2042473,18939,7
2042473,19048,1
2042473,19512,18
2042473,20024,52
2042473,20025,46
2042473,20029,10
2042473,20031,19
2042473,20032,56
2042473,20127,25
2042473,20131,8
2042473,20136,17
2042473,20138,20
2042473,20140,21
2042473,20142,57
2042473,20143,58
2042473,20148,31
2042473,20159,13
2042473,20739,34
2042473,21549,60
2042473,22219,5
2042473,22220,3
2042473,22223,2
2042473,22225,12
2042473,22228,47
2042473,22458,14
2042473,22921,26
2042473,23046,41
2042473,23104,11
2042473,23952,59
2042473,23954,44
2042473,23955,4
2042473,23956,39
2042473,23960,43
2042473,23961,32
2042473,23967,40
2042473,23969,42
2042473,23970,15
2042473,24384,37
2042473,24385,35
2042473,24616,45
2042473,24873,27
2042473,24966,50
2042473,25044,30
2042473,26054,28
2042473,26055,29
2042473,26056,33
2042473,26058,36
2042473,26062,48
2042473,26063,49
2042473,26065,51
2042473,26067,53
2042473,26068,54
2042473,26069,55
2042473,26071,61
2042473,26326,6
2042473,26391,38
2042473,26447,22
2042476,16581,4
2042476,18713,20
2042476,18723,22
2042476,18939,17
2042476,20024,12
2042476,20029,19
2042476,20032,14
2042476,20131,18
2042476,20140,21
2042476,20159,3
2042476,20739,8
2042476,21549,2
2042476,22220,5
2042476,22228,1
2042476,23046,10
2042476,23954,11
2042476,23955,15
2042476,24385,9
2042476,24873,6
2042476,26054,7
2042476,26067,13
2042476,26071,16
2042477,3329,3
2042477,20026,4
2042477,26052,1
2042477,26059,2
2042480,20026,2
2042480,23968,1
2042483,22456,2
2042483,23964,4
2042483,26066,3
2042483,26072,1
2042484,20032,1
2042484,23104,3
2042484,23952,2
2042487,15133,28
2042487,16581,36
2042487,18713,32
2042487,18723,35
2042487,18939,26
2042487,20024,19
2042487,20025,17
2042487,20029,29
2042487,20032,21
2042487,20131,27
2042487,20138,4
2042487,20140,33
2042487,20142,22
2042487,20148,8
2042487,20159,31
2042487,20739,10
2042487,21549,24
2042487,22220,5
2042487,22225,30
2042487,22228,18
2042487,22921,6
2042487,23046,15
2042487,23954,16
2042487,23955,23
2042487,23956,13
2042487,23967,14
2042487,23970,3
2042487,24385,11
2042487,24873,7
2042487,26054,1
2042487,26056,9
2042487,26058,12
2042487,26067,20
2042487,26068,2
2042487,26071,25
2042487,26447,34
2042489,20026,2
2042489,26070,1
2042492,22233,2
2042492,22456,3
2042492,23948,1
2042495,15133,44
2042495,16581,52
2042495,18713,47
2042495,18723,51
2042495,18939,41
2042495,19048,40
2042495,19512,6
2042495,20024,29
2042495,20025,5
2042495,20029,45
2042495,20032,33
2042495,20127,8
2042495,20131,42
2042495,20136,4
2042495,20138,48
2042495,20140,49
2042495,20148,12
2042495,20159,46
2042495,20739,14
2042495,21549,36
2042495,22219,38
2042495,22220,7
2042495,22223,43
2042495,22225,3
2042495,22228,24
2042495,22921,9
2042495,23046,20
2042495,23952,34
2042495,23954,23
2042495,23955,35
2042495,23956,18
2042495,23960,22
2042495,23967,19
2042495,23969,21
2042495,24384,16
2042495,24385,15
2042495,24873,1
2042495,24966,27
2042495,25044,11
2042495,26054,10
2042495,26056,13
2042495,26058,2
2042495,26062,25
2042495,26063,26
2042495,26065,28
2042495,26067,30
2042495,26068,32
2042495,26069,31
2042495,26071,37
2042495,26326,39
2042495,26391,17
2042495,26447,50
2042497,15133,31
2042497,16581,39
2042497,18713,35
2042497,18723,38
2042497,18939,30
2042497,20024,1
2042497,20025,20
2042497,20029,32
2042497,20032,24
2042497,20131,2
2042497,20140,36
2042497,20142,25
2042497,20148,9
2042497,20159,34
2042497,20739,12
2042497,21549,28
2042497,22220,4
2042497,22225,33
2042497,22228,21
2042497,22921,5
2042497,23046,17
2042497,23104,3
2042497,23952,26
2042497,23954,19
2042497,23955,27
2042497,23956,15
2042497,23961,10
2042497,23967,16
2042497,23969,18
2042497,24385,13
2042497,24873,6
2042497,25044,8
2042497,26054,7
2042497,26056,11
2042497,26063,22
2042497,26067,23
2042497,26071,29
2042497,26391,14
2042497,26447,37
2042501,23950,2
2042501,23996,1
2042502,22219,3
2042502,23958,4
2042502,23969,2
2042502,26055,1
2042504,3329,1
2042506,22456,3
2042506,23964,2
2042506,23972,4
2042506,26053,1
2042508,15133,3
2042508,23956,2
2042508,23961,1
2042509,23958,1
2042509,23972,2
2042509,26059,4
2042509,26066,3
2042512,22456,2
2042512,23962,1
2042515,15133,12
2042515,16581,25
2042515,16583,10
2042515,18713,1
2042515,18723,24
2042515,18939,8
2042515,19048,7
2042515,19512,20
2042515,20024,55
2042515,20025,48
2042515,20029,13
2042515,20031,21
2042515,20032,58
2042515,20127,27
2042515,20131,9
2042515,20136,19
2042515,20138,22
2042515,20140,23
2042515,20142,59
2042515,20143,60
2042515,20148,33
2042515,20159,16
2042515,20739,36
2042515,21549,63
2042515,22219,5
2042515,22220,26
2042515,22223,11
2042515,22225,15
2042515,22228,49
2042515,22231,52
2042515,22458,17
2042515,22921,28
2042515,23046,42
2042515,23104,14
2042515,23952,61
2042515,23954,45
2042515,23955,62
2042515,23956,40
2042515,23959,46
2042515,23960,44
2042515,23961,34
2042515,23967,41
2042515,23969,43
2042515,23970,18
2042515,24384,38
2042515,24385,3
2042515,24616,47
2042515,24873,29
2042515,24966,53
2042515,25044,32
2042515,26054,30
2042515,26055,31
2042515,26056,35
2042515,26058,37
2042515,26062,50
2042515,26063,51
2042515,26065,54
2042515,26067,56
2042515,26068,57
2042515,26069,4
2042515,26071,64
2042515,26326,6
2042515,26391,39
2042515,26447,2
2042516,16581,29
2042516,18713,26
2042516,18723,4
2042516,18939,22
2042516,20024,16
2042516,20025,14
2042516,20029,3
2042516,20032,18
2042516,20131,23
2042516,20140,27
2042516,20142,19
2042516,20148,9
2042516,20159,25
2042516,20739,10
2042516,22220,5
2042516,22225,24
2042516,22228,15
2042516,22921,1
2042516,23046,13
2042516,23954,2
