bill_id,date,chamber,sequence,action
1904806,2025-01-08,House,1,"Referred to Joint Committee on Finance, Revenue and Bonding"
1904807,2025-01-08,Senate,1,"Referred to Joint Committee on Government Administration and Elections"
1904808,2025-01-08,Senate,1,"Referred to Joint Committee on Energy and Technology"
1904809,2025-01-08,Senate,1,"Referred to Joint Committee on Transportation"
1904810,2025-01-08,Senate,1,"Referred to Joint Committee on Insurance and Real Estate"
1904811,2025-01-08,House,1,"Referred to Joint Committee on Planning and Development"
1904811,2025-01-27,House,2,"Reserved for Subject Matter Public Hearing"
1904811,2025-01-30,House,3,"Public Hearing 02/03"
1904812,2025-01-08,House,1,"Referred to Joint Committee on Environment"
1904813,2025-01-08,House,1,"Referred to Joint Committee on Finance, Revenue and Bonding"
1904814,2025-01-08,Senate,1,"Referred to Joint Committee on Insurance and Real Estate"
1904815,2025-01-08,Senate,1,"Referred to Joint Committee on Finance, Revenue and Bonding"
1904818,2025-01-08,Senate,1,"Referred to Joint Committee on Planning and Development"
1904819,2025-01-08,Senate,1,"Referred to Joint Committee on Appropriations"
1904820,2025-01-08,House,1,"Referred to Joint Committee on Finance, Revenue and Bonding"
1904820,2025-02-18,House,2,"Reserved for Subject Matter Public Hearing"
1904820,2025-02-20,House,3,"Public Hearing 02/26"
1904821,2025-01-08,Senate,1,"Referred to Joint Committee on Transportation"
1904822,2025-01-08,House,1,"Referred to Joint Committee on Transportation"
1904823,2025-01-08,Senate,1,"Referred to Joint Committee on Appropriations"
1904824,2025-01-08,Senate,1,"Referred to Joint Committee on Judiciary"
1904825,2025-01-08,Senate,1,"Referred to Joint Committee on Appropriations"
1904826,2025-01-08,House,1,"Referred to Joint Committee on Environment"
1904826,2025-02-10,House,2,"Vote to Draft"
1904826,2025-02-21,House,3,"Drafted by Committee"
1904826,2025-02-24,House,4,"Referred to Joint Committee on Environment"
1904826,2025-02-25,House,5,"Public Hearing 03/03"
1904826,2025-03-14,House,6,"Joint Favorable Substitute"
1904826,2025-03-17,House,7,"Filed with Legislative Commissioners' Office"
1904826,2025-03-27,House,8,"Referred to Office of Legislative Research and Office of Fiscal Analysis 04/01/25 5:00 PM"
1904826,2025-04-02,House,9,"Reported Out of Legislative Commissioners' Office"
1904826,2025-04-02,House,10,"Favorable Report, Tabled for the Calendar, House"
1904826,2025-04-02,House,11,"House Calendar Number 279"
1904826,2025-04-02,House,12,"File Number 449"
1904826,2025-05-01,House,13,"House Adopted House Amendment Schedule A 7573"
1904826,2025-05-01,House,14,"House Passed as Amended by House Amendment Schedule A"
1904826,2025-05-05,Senate,15,"Favorable Report, Tabled for the Calendar, Senate"
1904826,2025-05-05,Senate,16,"Senate Calendar Number 436"
1904826,2025-05-05,Senate,17,"File Number 821"
1904826,2025-06-04,Senate,18,"Senate Adopted House Amendment Schedule A"
1904826,2025-06-04,Senate,19,"Senate Passed as Amended by House Amendment Schedule A"
1904826,2025-06-04,House,20,"In Concurrence"
