roll_call_id,people_id,vote,vote_desc
1484836,5662,1,Yea
1484836,5728,1,Yea
1484836,5807,1,Yea
1484836,5825,2,Nay
1484836,11150,1,Yea
1484836,13879,1,Yea
1484836,14847,1,Yea
1484836,15088,2,Nay
1484836,16433,2,Nay
1484836,16790,1,Yea
1484836,17689,2,Nay
1484836,17916,1,Yea
1484836,17939,1,Yea
1484836,19372,2,Nay
1484836,20273,1,Yea
1484836,20284,1,Yea
1484836,20469,1,Yea
1484836,20913,1,Yea
1484836,22089,2,Nay
1484836,22091,2,Nay
1484836,22092,1,Yea
1484836,22101,1,Yea
1484836,22104,1,Yea
1484836,22107,4,Absent
1484836,22109,2,Nay
1484836,23567,1,Yea
1484836,23569,1,Yea
1484836,23570,2,Nay
1484836,23831,1,Yea
1484836,23842,1,Yea
1484836,25973,1,Yea
1484836,25974,2,Nay
1484836,25980,1,Yea
1484836,25981,2,Nay
1484836,25982,1,Yea
1518008,5662,1,Yea
1518008,5728,1,Yea
1518008,5807,1,Yea
1518008,5825,2,Nay
1518008,11150,1,Yea
1518008,13879,1,Yea
1518008,14847,1,Yea
1518008,15088,2,Nay
1518008,16433,2,Nay
1518008,17689,2,Nay
1518008,17916,1,Yea
1518008,17939,1,Yea
1518008,19372,2,Nay
1518008,20273,1,Yea
1518008,20284,1,Yea
1518008,20469,1,Yea
1518008,20913,1,Yea
1518008,22089,2,Nay
1518008,22091,2,Nay
1518008,22092,1,Yea
1518008,22101,1,Yea
1518008,22104,1,Yea
1518008,22107,1,Yea
1518008,22109,2,Nay
1518008,23567,1,Yea
1518008,23569,1,Yea
1518008,23570,2,Nay
1518008,23831,1,Yea
1518008,23842,1,Yea
1518008,25973,1,Yea
1518008,25974,2,Nay
1518008,25980,1,Yea
1518008,25981,4,Absent
1518008,25982,1,Yea
1518009,5662,4,Absent
1518009,5728,1,Yea
1518009,5807,2,Nay
1518009,5825,1,Yea
1518009,11150,2,Nay
1518009,13879,2,Nay
1518009,14847,2,Nay
1518009,15088,1,Yea
1518009,16433,1,Yea
1518009,17689,4,Absent
1518009,17916,2,Nay
1518009,17939,4,Absent
1518009,19372,1,Yea
1518009,20273,2,Nay
1518009,20284,2,Nay
1518009,20469,2,Nay
1518009,20913,2,Nay
1518009,22089,1,Yea
1518009,22091,1,Yea
1518009,22092,2,Nay
1518009,22101,2,Nay
1518009,22104,2,Nay
1518009,22107,2,Nay
1518009,22109,1,Yea
1518009,23567,2,Nay
1518009,23569,4,Absent
1518009,23570,1,Yea
1518009,23831,2,Nay
1518009,23842,2,Nay
1518009,25973,2,Nay
1518009,25974,1,Yea
1518009,25980,2,Nay
1518009,25981,4,Absent
1518009,25982,2,Nay
1518010,5662,2,Nay
1518010,5728,2,Nay
1518010,5807,2,Nay
1518010,5825,1,Yea
1518010,11150,2,Nay
1518010,13879,2,Nay
1518010,14847,2,Nay
1518010,15088,1,Yea
1518010,16433,1,Yea
1518010,17689,4,Absent
1518010,17916,2,Nay
1518010,17939,4,Absent
1518010,19372,4,Absent
1518010,20273,2,Nay
1518010,20284,2,Nay
1518010,20469,2,Nay
1518010,20913,2,Nay
1518010,22089,1,Yea
1518010,22091,1,Yea
1518010,22092,2,Nay
1518010,22101,4,Absent
1518010,22104,2,Nay
1518010,22107,2,Nay
1518010,22109,1,Yea
1518010,23567,2,Nay
1518010,23569,4,Absent
1518010,23570,1,Yea
1518010,23831,2,Nay
1518010,23842,2,Nay
1518010,25973,2,Nay
1518010,25974,1,Yea
1518010,25980,2,Nay
1518010,25981,4,Absent
1518010,25982,2,Nay
1518011,5662,2,Nay
1518011,5728,2,Nay
1518011,5807,2,Nay
1518011,5825,1,Yea
1518011,11150,2,Nay
1518011,13879,2,Nay
1518011,14847,2,Nay
1518011,15088,1,Yea
1518011,16433,1,Yea
1518011,17689,1,Yea
1518011,17916,2,Nay
1518011,17939,4,Absent
1518011,19372,4,Absent
1518011,20273,2,Nay
1518011,20284,2,Nay
1518011,20469,2,Nay
1518011,20913,2,Nay
1518011,22089,1,Yea
1518011,22091,1,Yea
1518011,22092,2,Nay
1518011,22101,4,Absent
1518011,22104,2,Nay
1518011,22107,2,Nay
1518011,22109,2,Nay
1518011,23567,2,Nay
1518011,23569,4,Absent
1518011,23570,1,Yea
1518011,23831,2,Nay
1518011,23842,2,Nay
1518011,25973,2,Nay
1518011,25974,1,Yea
1518011,25980,2,Nay
1518011,25981,4,Absent
1518011,25982,2,Nay
1564141,5650,1,Yea
1564141,5662,1,Yea
1564141,5664,1,Yea
1564141,5667,1,Yea
1564141,5683,1,Yea
1564141,5728,1,Yea
1564141,5750,1,Yea
1564141,5767,1,Yea
1564141,5770,1,Yea
1564141,5779,2,Nay
1564141,5789,1,Yea
1564141,5807,1,Yea
1564141,5825,2,Nay
1564141,10807,1,Yea
1564141,10808,2,Nay
1564141,10812,2,Nay
1564141,10813,1,Yea
1564141,10945,1,Yea
1564141,11150,4,Absent
1564141,11373,2,Nay
1564141,11374,1,Yea
1564141,12903,1,Yea
1564141,14399,2,Nay
1564141,14845,2,Nay
1564141,14846,4,Absent
1564141,14847,1,Yea
1564141,15087,2,Nay
1564141,15088,2,Nay
1564141,15293,1,Yea
1564141,16245,2,Nay
1564141,16432,2,Nay
1564141,16433,2,Nay
1564141,16436,2,Nay
1564141,16650,2,Nay
1564141,16706,2,Nay
1564141,16790,1,Yea
1564141,17222,1,Yea
1564141,17224,1,Yea
1564141,17225,1,Yea
1564141,17688,1,Yea
1564141,17916,1,Yea
1564141,17939,1,Yea
1564141,18237,2,Nay
1564141,18256,1,Yea
1564141,18262,1,Yea
1564141,18263,1,Yea
1564141,18266,1,Yea
1564141,18268,2,Nay
1564141,18270,2,Nay
1564141,18278,2,Nay
1564141,18279,2,Nay
1564141,18281,2,Nay
1564141,19372,2,Nay
1564141,19373,1,Yea
1564141,19557,4,Absent
1564141,19662,1,Yea
1564141,20272,1,Yea
1564141,20277,1,Yea
1564141,20278,2,Nay
1564141,20279,1,Yea
1564141,20280,1,Yea
1564141,20282,1,Yea
1564141,20284,1,Yea
1564141,20285,1,Yea
1564141,20286,1,Yea
1564141,20289,1,Yea
1564141,20290,4,Absent
1564141,20291,1,Yea
1564141,20468,2,Nay
1564141,20469,1,Yea
1564141,20825,2,Nay
1564141,20913,1,Yea
1564141,20915,1,Yea
1564141,20959,2,Nay
1564141,21021,4,Absent
1564141,21033,1,Yea
1564141,21034,1,Yea
1564141,21319,1,Yea
1564141,21321,2,Nay
1564141,21355,1,Yea
1564141,21361,1,Yea
1564141,22089,2,Nay
1564141,22090,1,Yea
1564141,22091,2,Nay
1564141,22092,1,Yea
1564141,22093,1,Yea
1564141,22094,1,Yea
1564141,22096,1,Yea
1564141,22099,2,Nay
1564141,22100,1,Yea
1564141,22101,1,Yea
1564141,22102,1,Yea
1564141,22103,2,Nay
1564141,22104,1,Yea
1564141,22105,1,Yea
1564141,22106,1,Yea
1564141,22107,1,Yea
1564141,22109,2,Nay
1564141,22110,1,Yea
1564141,22919,2,Nay
1564141,22925,1,Yea
1564141,23102,1,Yea
1564141,23108,1,Yea
1564141,23111,2,Nay
1564141,23113,1,Yea
1564141,23570,2,Nay
1564141,23574,2,Nay
1564141,23648,1,Yea
1564141,23649,1,Yea
1564141,23650,1,Yea
1564141,23651,2,Nay
1564141,23652,1,Yea
1564141,23653,1,Yea
1564141,23762,2,Nay
1564141,23831,1,Yea
1564141,23832,2,Nay
1564141,23833,1,Yea
1564141,23837,1,Yea
1564141,23838,2,Nay
1564141,23839,1,Yea
1564141,23840,1,Yea
1564141,23841,2,Nay
1564141,23842,1,Yea
1564141,23844,1,Yea
1564141,23845,1,Yea
1564141,23846,2,Nay
1564141,24520,1,Yea
1564141,24912,1,Yea
1564141,24915,1,Yea
1564141,25164,1,Yea
1564141,25965,1,Yea
1564141,25966,2,Nay
1564141,25967,2,Nay
1564141,25968,1,Yea
1564141,25969,1,Yea
1564141,25970,2,Nay
1564141,25971,1,Yea
1564141,25972,1,Yea
1564141,25973,1,Yea
1564141,25974,2,Nay
1564141,25975,1,Yea
1564141,25976,1,Yea
1564141,25977,1,Yea
1564141,25978,1,Yea
1564141,25979,1,Yea
1564141,25980,1,Yea
1564141,25981,4,Absent
1564141,25982,1,Yea
1564141,25983,1,Yea
1564141,26420,1,Yea
1564141,26464,2,Nay
1584618,5631,1,Yea
1584618,5639,1,Yea
1584618,5686,1,Yea
1584618,5711,1,Yea
1584618,5721,1,Yea
1584618,5723,2,Nay
1584618,5726,2,Nay
1584618,5785,1,Yea
1584618,5793,1,Yea
1584618,5802,1,Yea
1584618,5818,1,Yea
1584618,5829,1,Yea
1584618,10806,2,Nay
1584618,13879,1,Yea
1584618,14848,1,Yea
1584618,15085,1,Yea
1584618,16527,2,Nay
1584618,16955,2,Nay
1584618,17689,2,Nay
1584618,18260,1,Yea
1584618,18667,2,Nay
1584618,20273,1,Yea
1584618,20281,1,Yea
1584618,20288,1,Yea
1584618,21290,1,Yea
1584618,22168,1,Yea
1584618,22507,2,Nay
1584618,22951,2,Nay
1584618,23567,1,Yea
1584618,23568,1,Yea
1584618,23569,1,Yea
1584618,23572,1,Yea
1584618,23573,1,Yea
1584618,24227,2,Nay
1584618,25984,1,Yea
1584618,25985,1,Yea
1519497,5721,1,Yea
1519497,5829,1,Yea
1519497,16436,1,Yea
1519497,16527,1,Yea
1519497,16650,1,Yea
1519497,18279,1,Yea
1519497,18667,1,Yea
1519497,20279,1,Yea
1519497,20282,1,Yea
1519497,20285,1,Yea
1519497,20288,1,Yea
1519497,20915,1,Yea
1519497,23573,1,Yea
1519497,23653,1,Yea
1519497,23762,1,Yea
1519497,25164,1,Yea
1519497,25966,1,Yea
1519497,25968,1,Yea
1519497,25978,1,Yea
1519497,26420,1,Yea
1568847,5650,4,Absent
1568847,5662,1,Yea
1568847,5664,1,Yea
1568847,5667,4,Absent
1568847,5683,1,Yea
1568847,5728,1,Yea
1568847,5750,1,Yea
1568847,5767,1,Yea
1568847,5770,1,Yea
1568847,5779,1,Yea
1568847,5789,1,Yea
1568847,5807,1,Yea
1568847,5825,1,Yea
1568847,10807,1,Yea
1568847,10808,1,Yea
1568847,10812,1,Yea
1568847,10813,4,Absent
1568847,10945,1,Yea
1568847,11150,1,Yea
1568847,11373,1,Yea
1568847,11374,1,Yea
1568847,12903,1,Yea
1568847,14399,1,Yea
1568847,14845,1,Yea
1568847,14846,1,Yea
1568847,14847,1,Yea
1568847,15087,1,Yea
1568847,15088,1,Yea
1568847,15293,1,Yea
1568847,16245,1,Yea
1568847,16432,1,Yea
1568847,16433,1,Yea
1568847,16436,1,Yea
1568847,16650,1,Yea
1568847,16706,1,Yea
1568847,16790,1,Yea
1568847,17222,4,Absent
1568847,17224,1,Yea
1568847,17225,1,Yea
1568847,17688,1,Yea
1568847,17916,1,Yea
1568847,17939,1,Yea
1568847,18237,1,Yea
1568847,18256,1,Yea
1568847,18262,1,Yea
1568847,18263,1,Yea
1568847,18266,1,Yea
1568847,18268,1,Yea
1568847,18270,1,Yea
1568847,18278,1,Yea
1568847,18279,1,Yea
1568847,18281,1,Yea
1568847,19372,1,Yea
1568847,19373,4,Absent
1568847,19557,4,Absent
1568847,19662,1,Yea
1568847,20272,1,Yea
1568847,20277,1,Yea
1568847,20278,1,Yea
1568847,20279,1,Yea
1568847,20280,1,Yea
1568847,20282,4,Absent
1568847,20284,1,Yea
1568847,20285,1,Yea
1568847,20286,1,Yea
1568847,20289,1,Yea
1568847,20290,1,Yea
1568847,20291,1,Yea
1568847,20468,1,Yea
1568847,20469,1,Yea
