bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1904854,2198,B26-0001,4,Passed,2025-02-03,"Rent Stabilized Housing Inflation Protection Continuation Emergency Amendment Act of 2025","Rent Stabilized Housing Inflation Protection Continuation Emergency Amendment Act of 2025",0,,2025-02-07,"Act A26-0003 Published in DC Register Vol 72 and Page 001133, Expires on May 04, 2025",https://legiscan.com/DC/bill/B26-0001/2025,https://lims.dccouncil.gov/Legislation/B26-0001
1904967,2198,B26-0002,4,Passed,2025-02-27,"Cherry Blossom Festival Grant Congressional Review Emergency Amendment Act of 2025","Cherry Blossom Festival Grant Congressional Review Emergency Amendment Act of 2025",0,,2025-03-07,"Act A26-0020 Published in DC Register Vol 72 and Page 002252, Expires on May 28, 2025",https://legiscan.com/DC/bill/B26-0002/2025,https://lims.dccouncil.gov/Legislation/B26-0002
1905067,2198,B26-0003,4,Passed,2025-04-18,"Rent Stabilized Housing Inflation Protection Continuation Temporary Amendment Act of 2025","Rent Stabilized Housing Inflation Protection Continuation Temporary Amendment Act of 2025",0,,2025-04-18,"Law L26-0001, Effective from Apr 08, 2025 Published in DC Register Vol 72 and Page 004547, Expires on Nov 19, 2025",https://legiscan.com/DC/bill/B26-0003/2025,https://lims.dccouncil.gov/Legislation/B26-0003
1905029,2198,B26-0004,4,Passed,2025-01-29,"Early Childhood Educator Pay Scales Congressional Review Emergency Amendment Act of 2025","Early Childhood Educator Pay Scales Congressional Review Emergency Amendment Act of 2025",0,,2025-02-07,"Act A26-0001 Published in DC Register Vol 72 and Page 001126, Expires on Apr 29, 2025",https://legiscan.com/DC/bill/B26-0004/2025,https://lims.dccouncil.gov/Legislation/B26-0004
1904841,2198,B26-0005,4,Passed,2025-01-31,"Residential Tranquility Congressional Review Emergency Amendment Act of 2025","Residential Tranquility Congressional Review Emergency Amendment Act of 2025",0,,2025-02-07,"Act A26-0002 Published in DC Register Vol 72 and Page 001130, Expires on May 01, 2025",https://legiscan.com/DC/bill/B26-0005/2025,https://lims.dccouncil.gov/Legislation/B26-0005
1904879,2198,B26-0006,4,Passed,2025-02-03,"Climate Commitment Clarification Emergency Amendment Act of 2025","Climate Commitment Clarification Emergency Amendment Act of 2025",0,,2025-02-14,"Act A26-0004 Published in DC Register Vol 72 and Page 001287, Expires on May 04, 2025",https://legiscan.com/DC/bill/B26-0006/2025,https://lims.dccouncil.gov/Legislation/B26-0006
1904942,2198,B26-0007,2,Engrossed,2025-01-07,"Climate Commitment Clarification Temporary Amendment Act of 2025","Climate Commitment Clarification Temporary Amendment Act of 2025",0,,2025-02-04,"Postponed Indefinitely",https://legiscan.com/DC/bill/B26-0007/2025,https://lims.dccouncil.gov/Legislation/B26-0007
1905130,2198,B26-0008,1,Introduced,2025-01-03,"Housing Capacity Preservation Amendment Act of 2025","As introduced Bill 26-8 would clarify that review of new construction by the Historic Preservation Review Board shall not result in the reduction of housing units or density below what is permitted under zoning. ",0,,2025-01-10,"Notice of Intent to Act on B26-0008 Published in the DC Register",https://legiscan.com/DC/bill/B26-0008/2025,https://lims.dccouncil.gov/Legislation/B26-0008
1905255,2198,B26-0009,1,Introduced,2025-01-03,"Moped Registration Accountability Amendment Act of 2025","As introduced Bill 26-9 would remove certain exemptions for motorcycles and motor-driven cycles from automobile consumer protections. It requires a motor vehicle dealer to provide written notice of a vehicle’s classification and registration requirements to consumers before selling a vehicle. It also makes the rental of any motorcycle or motor-driven cycle affixed with false identifying information of vehicle class, or renting unregistered vehicles unlawful. ",0,,2025-01-10,"Notice of Intent to Act on B26-0009 Published in the DC Register",https://legiscan.com/DC/bill/B26-0009/2025,https://lims.dccouncil.gov/Legislation/B26-0009
1905104,2198,B26-0010,1,Introduced,2025-01-03,"Spousal Homestead Exemption Amendment Act of 2025","As introduced Bill 26-10 would provide that a surviving spouse or domestic partner of a veteran may claim the Disabled Veterans Homestead Exemption. ",0,,2025-03-19,"Public Hearing Held",https://legiscan.com/DC/bill/B26-0010/2025,https://lims.dccouncil.gov/Legislation/B26-0010
