bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1904854,3041770,text,117859,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0001/id/3041770,https://lims.dccouncil.gov/downloads/LIMS/56820/Introduction/B26-0001-Introduction.pdf
1904854,3053993,text,112904,application/pdf,Enrolled,https://legiscan.com/DC/text/B26-0001/id/3053993,https://lims.dccouncil.gov/downloads/LIMS/56820/Meeting1/Enrollment/B26-0001-Enrollment1.pdf
1904967,3041884,text,173170,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0002/id/3041884,https://lims.dccouncil.gov/downloads/LIMS/56824/Introduction/B26-0002-Introduction.pdf
1904967,3129556,text,83715,application/pdf,Enrolled,https://legiscan.com/DC/text/B26-0002/id/3129556,https://lims.dccouncil.gov/downloads/LIMS/56824/Meeting1/Enrollment/B26-0002-Enrollment1.pdf
1905067,3041984,text,118030,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0003/id/3041984,https://lims.dccouncil.gov/downloads/LIMS/56822/Introduction/B26-0003-Introduction.pdf
1905067,3052962,text,114151,application/pdf,Engrossed,https://legiscan.com/DC/text/B26-0003/id/3052962,https://lims.dccouncil.gov/downloads/LIMS/56822/Meeting1/Engrossment/B26-0003-Engrossment1.pdf
1905067,3107159,text,112748,application/pdf,Enrolled,https://legiscan.com/DC/text/B26-0003/id/3107159,https://lims.dccouncil.gov/downloads/LIMS/56822/Meeting2/Enrollment/B26-0003-Enrollment1.pdf
1905029,3041946,text,211967,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0004/id/3041946,https://lims.dccouncil.gov/downloads/LIMS/56826/Introduction/B26-0004-Introduction.pdf
1905029,3052952,text,117101,application/pdf,Enrolled,https://legiscan.com/DC/text/B26-0004/id/3052952,https://lims.dccouncil.gov/downloads/LIMS/56826/Meeting1/Enrollment/B26-0004-Enrollment1.pdf
1904841,3041757,text,80180,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0005/id/3041757,https://lims.dccouncil.gov/downloads/LIMS/56829/Introduction/B26-0005-Introduction.pdf
1904841,3053644,text,109779,application/pdf,Enrolled,https://legiscan.com/DC/text/B26-0005/id/3053644,https://lims.dccouncil.gov/downloads/LIMS/56829/Meeting1/Enrollment/B26-0005-Enrollment1.pdf
1904879,3041795,text,1890091,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0006/id/3041795,https://lims.dccouncil.gov/downloads/LIMS/56832/Introduction/B26-0006-Introduction.pdf
1904879,3054003,text,87853,application/pdf,Enrolled,https://legiscan.com/DC/text/B26-0006/id/3054003,https://lims.dccouncil.gov/downloads/LIMS/56832/Meeting1/Enrollment/B26-0006-Enrollment2.pdf
1904942,3041858,text,1496208,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0007/id/3041858,https://lims.dccouncil.gov/downloads/LIMS/56833/Introduction/B26-0007-Introduction.pdf
1904942,3054006,text,88371,application/pdf,Engrossed,https://legiscan.com/DC/text/B26-0007/id/3054006,https://lims.dccouncil.gov/downloads/LIMS/56833/Meeting1/Engrossment/B26-0007-Engrossment1.pdf
1905130,3042047,text,109665,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0008/id/3042047,https://lims.dccouncil.gov/downloads/LIMS/56834/Introduction/B26-0008-Introduction.pdf
1905255,3042172,text,122389,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0009/id/3042172,https://lims.dccouncil.gov/downloads/LIMS/56835/Introduction/B26-0009-Introduction.pdf
1905104,3042021,text,108521,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0010/id/3042021,https://lims.dccouncil.gov/downloads/LIMS/56836/Introduction/B26-0010-Introduction.pdf
1905205,3042122,text,78665,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0011/id/3042122,https://lims.dccouncil.gov/downloads/LIMS/56837/Introduction/B26-0011-Introduction.pdf
1905205,3189320,text,83830,application/pdf,Engrossed,https://legiscan.com/DC/text/B26-0011/id/3189320,https://lims.dccouncil.gov/downloads/LIMS/56837/Meeting1/Engrossment/B26-0011-Engrossment1.pdf
1905205,3231122,text,101701,application/pdf,Enrolled,https://legiscan.com/DC/text/B26-0011/id/3231122,https://lims.dccouncil.gov/downloads/LIMS/56837/Meeting2/Enrollment/B26-0011-Enrollment1.pdf
1905168,3042085,text,86713,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0012/id/3042085,https://lims.dccouncil.gov/downloads/LIMS/56838/Introduction/B26-0012-Introduction.pdf
1904916,3041832,text,105309,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0013/id/3041832,https://lims.dccouncil.gov/downloads/LIMS/56839/Introduction/B26-0013-Introduction.pdf
1904916,3189306,text,84814,application/pdf,Engrossed,https://legiscan.com/DC/text/B26-0013/id/3189306,https://lims.dccouncil.gov/downloads/LIMS/56839/Meeting1/Engrossment/B26-0013-Engrossment1.pdf
1904916,3231087,text,102731,application/pdf,Enrolled,https://legiscan.com/DC/text/B26-0013/id/3231087,https://lims.dccouncil.gov/downloads/LIMS/56839/Meeting2/Enrollment/B26-0013-Enrollment1.pdf
1905017,3041934,text,214670,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0014/id/3041934,https://lims.dccouncil.gov/downloads/LIMS/56840/Introduction/B26-0014-Introduction.pdf
1905192,3042109,text,122243,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0015/id/3042109,https://lims.dccouncil.gov/downloads/LIMS/56841/Introduction/B26-0015-Introduction.pdf
1905217,3042134,text,102880,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0016/id/3042134,https://lims.dccouncil.gov/downloads/LIMS/56842/Introduction/B26-0016-Introduction.pdf
1905142,3042059,text,166743,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0017/id/3042059,https://lims.dccouncil.gov/downloads/LIMS/56843/Introduction/B26-0017-Introduction.pdf
1905267,3042184,text,88202,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0018/id/3042184,https://lims.dccouncil.gov/downloads/LIMS/56844/Introduction/B26-0018-Introduction.pdf
1905004,3041921,text,77755,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0019/id/3041921,https://lims.dccouncil.gov/downloads/LIMS/56845/Introduction/B26-0019-Introduction.pdf
1905279,3042196,text,532731,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0020/id/3042196,https://lims.dccouncil.gov/downloads/LIMS/56847/Introduction/B26-0020-Introduction.pdf
1904829,3041745,text,87335,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0021/id/3041745,https://lims.dccouncil.gov/downloads/LIMS/56848/Introduction/B26-0021-Introduction.pdf
1905080,3041997,text,353559,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0022/id/3041997,https://lims.dccouncil.gov/downloads/LIMS/56849/Introduction/B26-0022-Introduction.pdf
1905080,3204313,text,106308,application/pdf,Engrossed,https://legiscan.com/DC/text/B26-0022/id/3204313,https://lims.dccouncil.gov/downloads/LIMS/56849/Meeting1/Engrossment/B26-0022-Engrossment1.pdf
1905080,3234944,text,101042,application/pdf,Enrolled,https://legiscan.com/DC/text/B26-0022/id/3234944,https://lims.dccouncil.gov/downloads/LIMS/56849/Meeting2/Enrollment/B26-0022-Enrollment1.pdf
1904904,3041820,text,82252,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0023/id/3041820,https://lims.dccouncil.gov/downloads/LIMS/56851/Introduction/B26-0023-Introduction.pdf
1904904,3161881,text,89740,application/pdf,Engrossed,https://legiscan.com/DC/text/B26-0023/id/3161881,https://lims.dccouncil.gov/downloads/LIMS/56851/Meeting1/Engrossment/B26-0023-Engrossment1.pdf
1904904,3203644,text,90666,application/pdf,Enrolled,https://legiscan.com/DC/text/B26-0023/id/3203644,https://lims.dccouncil.gov/downloads/LIMS/56851/Meeting2/Enrollment/B26-0023-Enrollment1.pdf
1905243,3042160,text,200131,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0024/id/3042160,https://lims.dccouncil.gov/downloads/LIMS/56850/Introduction/B26-0024-Introduction.pdf
1905155,3042072,text,205251,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0025/id/3042072,https://lims.dccouncil.gov/downloads/LIMS/56852/Introduction/B26-0025-Introduction.pdf
1905155,3161059,text,157416,application/pdf,Engrossed,https://legiscan.com/DC/text/B26-0025/id/3161059,https://lims.dccouncil.gov/downloads/LIMS/56852/Meeting1/Engrossment/B26-0025-Engrossment1.pdf
1905155,3203624,text,149940,application/pdf,Enrolled,https://legiscan.com/DC/text/B26-0025/id/3203624,https://lims.dccouncil.gov/downloads/LIMS/56852/Meeting2/Enrollment/B26-0025-Enrollment1.pdf
1904817,3041733,text,187378,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0026/id/3041733,https://lims.dccouncil.gov/downloads/LIMS/56857/Introduction/B26-0026-Introduction.pdf
1904954,3041871,text,116676,application/pdf,Introduced,https://legiscan.com/DC/text/B26-0027/id/3041871,https://lims.dccouncil.gov/downloads/LIMS/56858/Introduction/B26-0027-Introduction.pdf
