bill_id,date,chamber,sequence,action
1901140,2025-01-02,Council,1,"Introduced in Office of the Secretary"
1901140,2025-01-02,Council,2,"Final Reading"
1901140,2025-01-02,Council,3,"Approved with Resolution Number R26-0004"
1901140,2025-01-07,Council,4,"Retained by the Council"
1901140,2025-01-10,Council,5,"Notice of Intent to Act on PR26-0004 Published in the DC Register"
1901140,2025-01-17,Council,6,"Resolution R26-0004, Effective from Jan 02, 2025 Published in DC Register Vol 72 and Page 000379"
1901141,2025-01-02,Council,1,"Introduced in Office of the Secretary"
1901141,2025-01-02,Council,2,"Final Reading"
1901141,2025-01-02,Council,3,"Amendment (Henderson #1)"
1901141,2025-01-02,Council,4,"Amendment (Allen)"
1901141,2025-01-02,Council,5,"Oral Amendments (Mendelson)"
1901141,2025-01-02,Council,6,"Amendment (Henderson #2)"
1901141,2025-01-02,Council,7,"Amendment (Henderson #3)"
1901141,2025-01-02,Council,8,"Approved with Resolution Number R26-0001"
1901141,2025-01-07,Council,9,"Retained by the Council"
1901141,2025-01-10,Council,10,"Notice of Intent to Act on PR26-0001 Published in the DC Register"
1901141,2025-02-14,Council,11,"Resolution R26-0001, Effective from Jan 02, 2025 Published in DC Register Vol 72 and Page 001289"
1901142,2025-01-02,Council,1,"Introduced in Office of the Secretary"
1901142,2025-01-02,Council,2,"Final Reading"
1901142,2025-01-02,Council,3,"Approved with Resolution Number R26-0005"
1901142,2025-01-07,Council,4,"Retained by the Council"
1901142,2025-01-10,Council,5,"Notice of Intent to Act on PR26-0005 Published in the DC Register"
1901142,2025-01-17,Council,6,"Resolution R26-0005, Effective from Jan 02, 2025 Published in DC Register Vol 72 and Page 000380"
1901143,2025-01-02,Council,1,"Introduced in Office of the Secretary"
1901143,2025-01-02,Council,2,"Final Reading"
1901143,2025-01-02,Council,3,"Approved with Resolution Number R26-0003"
1901143,2025-01-07,Council,4,"Retained by the Council"
1901143,2025-01-10,Council,5,"Notice of Intent to Act on PR26-0003 Published in the DC Register"
1901143,2025-01-17,Council,6,"Resolution R26-0003, Effective from Jan 02, 2025 Published in DC Register Vol 72 and Page 000378"
1901144,2025-01-02,Council,1,"Introduced in Office of the Secretary"
1901144,2025-01-07,Council,2,"Retained by the Council"
1901144,2025-01-07,Council,3,"Final Reading"
1901144,2025-01-07,Council,4,"Approved with Resolution Number R26-0013"
1901144,2025-01-17,Council,5,"Resolution R26-0013, Effective from Jan 07, 2025 Published in DC Register Vol 72 and Page 000389"
1901145,2025-01-02,Council,1,"Introduced in Office of the Secretary"
1901145,2025-01-07,Council,2,"Retained by the Council"
1901145,2025-01-07,Council,3,"Final Reading"
1901145,2025-01-07,Council,4,"Approved with Resolution Number R26-0012"
1901145,2025-01-17,Council,5,"Resolution R26-0012, Effective from Jan 07, 2025 Published in DC Register Vol 72 and Page 000388"
1901146,2025-01-02,Council,1,"Introduced in Office of the Secretary"
1901146,2025-01-02,Council,2,"Final Reading"
1901146,2025-01-02,Council,3,"Approved with Resolution Number R26-0002"
1901146,2025-01-07,Council,4,"Retained by the Council"
1901146,2025-01-10,Council,5,"Notice of Intent to Act on PR26-0002 Published in the DC Register"
1901146,2025-01-17,Council,6,"Resolution R26-0002, Effective from Jan 02, 2025 Published in DC Register Vol 72 and Page 000376"
1901737,2024-10-24,Council,1,"Introduced in Office of the Secretary"
1901737,2024-10-29,Council,2,"Referred to Committee on Business and Economic Development"
1901737,2025-01-10,Council,3,"Notice of Intent to Act on PR26-0011 Published in the DC Register"
1901738,2024-10-10,Council,1,"Introduced in Office of the Secretary"
1901738,2024-10-15,Council,2,"Referred to Committee on Transportation and the Environment"
1901738,2024-11-26,Council,3,"Notice of Public Hearing Published in the DC Register"
1901738,2024-11-29,Council,4,"Notice of Public Hearing Published in the DC Register"
1901738,2024-12-11,Council,5,"Roundtable Hearing Held"
1901738,2024-12-18,Council,6,"Committee Mark-up of PR26-0009"
1901738,2025-01-05,Council,7,"Committee Report Filed"
1901738,2025-01-07,Council,8,"Final Reading"
1901738,2025-01-07,Council,9,"Approved with Resolution Number R26-0009"
1901738,2025-01-10,Council,10,"Notice of Intent to Act on PR26-0009 Published in the DC Register"
1901738,2025-01-17,Council,11,"Resolution R26-0009, Effective from Jan 07, 2025 Published in DC Register Vol 72 and Page 000384"
1901739,2024-12-19,Council,1,"Introduced in Office of the Secretary"
1901739,2025-01-07,Council,2,"Referred to Committee on Judiciary and Public Safety"
1901739,2025-01-10,Council,3,"Notice of Intent to Act on PR26-0013 Published in the DC Register"
1901740,2024-09-27,Council,1,"Introduced in Office of the Secretary"
1901740,2024-10-01,Council,2,"Referred to Committee on Executive Administration and Labor"
1901740,2025-01-06,Council,3,Withdrawn
1901741,2024-12-16,Council,1,"Introduced in Office of the Secretary"
1901741,2025-01-07,Council,2,"Retained by the Council"
1901741,2025-01-09,Council,3,"Notice of Public Hearing Published in the DC Register"
1901741,2025-01-10,Council,4,"Notice of Intent to Act on PR26-0014 Published in the DC Register"
1901741,2025-01-28,Council,5,"Public Hearing Held"
1901741,2025-02-04,Council,6,"Amendment (MENDELSON)"
1901741,2025-02-04,Council,7,"Amendment (MENDELSON)"
1901741,2025-02-04,Council,8,"Final Reading"
1901741,2025-02-04,Council,9,"Approved with Resolution Number R26-0017"
