people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
14679,"Phil Mendelson",Phil,,Mendelson,,,1,D,2,Sen,SD-000,19506612,167065,,Phil_Mendelson,210019,0
14683,"Kenyan McDuffie",Kenyan,,McDuffie,,,3,I,2,Sen,SD-000,4760562,72072,,Kenyan_McDuffie,423120,0
15940,"Anita Bonds",Anita,,Bonds,,,1,D,2,Sen,SD-000,8971711,144344,,Anita_Bonds,451768,0
16441,"Charles Allen",Charles,,Allen,,,1,D,2,Sen,SD-006,19476234,144345,,Charles_Allen_(District_of_Columbia),273764,0
16442,"Brianne Nadeau",Brianne,,Nadeau,,,1,D,2,Sen,SD-001,32094383,72038,,Brianne_Nadeau,251483,0
17972,"Robert White",Robert,C.,White,Jr.,,1,D,2,Sen,SD-000,17625725,177660,,Robert_White_(District_of_Columbia),508478,0
18426,"Trayon White",Trayon,,White,Sr.,,1,D,2,Sen,SD-008,19486306,177659,,Trayon_White,571102,0
21658,"Brooke Pinto",Brooke,,Pinto,,,1,D,2,Sen,SD-002,49429218,195486,,Brooke_Pinto,732548,0
22082,"Christina Henderson",Christina,,Henderson,,,3,I,2,Sen,SD-000,50606763,195882,,Christina_Henderson,276651,0
22083,"Janeese Lewis George",Janeese,Lewis,George,,,1,D,2,Sen,SD-004,45264457,195883,,Janeese_Lewis_George,869217,0
23687,"Zachary Parker",Zachary,,Parker,,,1,D,2,Sen,SD-005,55504989,187672,,Zachary_Parker_(District_of_Columbia),0,0
23688,"Matthew Frumin",Matthew,,Frumin,,,1,D,2,Sen,SD-003,55504982,0,,Matthew_Frumin,0,0
25964,"Wendell Felder",Wendell,,Felder,,,1,D,2,Sen,SD-007,59832266,0,,Wendell_Felder,0,0
