bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1901140,1471136,2025-01-02,Council,"Final Reading",13,0,0,0,13
1901141,1471133,2025-01-02,Council,"Final Reading",12,1,0,0,13
1901141,1600861,2025-01-02,Council,"Amendment (Henderson #1)",3,10,0,0,13
1901141,1600862,2025-01-02,Council,"Amendment (Henderson #2)",6,7,0,0,13
1901142,1471137,2025-01-02,Council,"Final Reading",13,0,0,0,13
1901143,1471135,2025-01-02,Council,"Final Reading",13,0,0,0,13
1901144,1471138,2025-01-07,Council,"Final Reading",13,0,0,0,13
1901145,1471141,2025-01-07,Council,"Final Reading",13,0,0,0,13
1901146,1471134,2025-01-02,Council,"Final Reading",13,0,0,0,13
1901738,1471140,2025-01-07,Council,"Final Reading",13,0,0,0,13
1901741,1480214,2025-02-04,Council,"Amendment (MENDELSON)",12,0,0,0,12
1901741,1480215,2025-02-04,Council,"Amendment (MENDELSON)",12,0,0,0,12
1901741,1480216,2025-02-04,Council,"Final Reading",12,0,0,0,12
1901743,1471139,2025-01-07,Council,"Final Reading",13,0,0,0,13
1904841,1471143,2025-01-07,Council,"Final Reading, CC",13,0,0,0,13
1904854,1471144,2025-01-07,Council,"Final Reading",13,0,0,0,13
1904867,1504319,2025-03-04,Council,"First Reading, CC",12,0,0,0,12
1904867,1532412,2025-04-01,Council,"Final Reading, CC",12,0,0,0,12
1904879,1471145,2025-01-07,Council,"Final Reading",13,0,0,0,13
1904879,1471165,2025-01-07,Council,"Final Reading",13,0,0,0,13
1904892,1471146,2025-01-07,Council,"Final Reading, CC",13,0,0,0,13
1904904,1505246,2025-03-04,Council,"First Reading",11,1,0,0,12
1904904,1532165,2025-04-01,Council,"Final Reading",12,0,0,0,12
1904916,1504385,2025-03-04,Council,"First Reading, CC",12,0,0,0,12
1904916,1533838,2025-04-01,Council,"Final Reading, CC",12,0,0,0,12
1904929,1471147,2025-01-07,Council,"Final Reading",13,0,0,0,13
1904942,1471148,2025-01-07,Council,"First Reading",13,0,0,0,13
1904967,1471149,2025-01-07,Council,"Final Reading, CC",13,0,0,0,13
1904980,1471150,2025-01-07,Council,"Final Reading, CC",13,0,0,0,13
1904992,1471151,2025-01-07,Council,"CM Allen (Amendment in the Nature of a Substitute)",13,0,0,0,13
1904992,1471152,2025-01-07,Council,"CM L. George (Oral Amendment to Allens Amendment in the Nature of a Substitute)",13,0,0,0,13
1904992,1471153,2025-01-07,Council,"Final Reading",13,0,0,0,13
1905029,1471154,2025-01-07,Council,"Final Reading, CC",13,0,0,0,13
1905042,1480389,2025-02-04,Council,"Final Reading",11,0,1,0,12
1905055,1471155,2025-01-07,Council,"Final Reading, CC",13,0,0,0,13
1905067,1471156,2025-01-07,Council,"First Reading",13,0,0,0,13
1905067,1480500,2025-02-04,Council,"Final Reading, CC",12,0,0,0,12
1905080,1533054,2025-04-01,Council,"First Reading, CC",12,0,0,0,12
1905080,1566916,2025-05-06,Council,"Final Reading, CC",12,0,0,0,12
1905117,1471157,2025-01-07,Council,"Final Reading, CC",13,0,0,0,13
1905155,1504297,2025-03-04,Council,"First Reading, CC",12,0,0,0,12
1905155,1532127,2025-04-01,Council,"Final Reading, CC",12,0,0,0,12
1905205,1504344,2025-03-04,Council,"First Reading, CC",12,0,0,0,12
1905205,1533835,2025-04-01,Council,"Final Reading, CC",12,0,0,0,12
1905230,1504221,2025-03-04,Council,"Final Reading",12,0,0,0,12
1928388,1505640,2025-03-04,Council,"Final Reading",12,0,0,0,12
1928420,1532285,2025-04-01,Council,"AMENDMENT (CM Frumin)",12,0,0,0,12
1928420,1532286,2025-04-01,Council,"First Reading",9,0,3,0,12
1928420,1566905,2025-05-06,Council,"AMENDMENT IN THE NATURE OF A SUBSTITUTE  (Frumin)",11,1,0,0,12
1928420,1566906,2025-05-06,Council,"Final Reading",11,1,0,0,12
