bill_id,people_id,position
1901140,14679,1
1901141,14679,1
1901142,14679,1
1901143,14679,1
1901144,14679,1
1901145,14679,1
1901146,14679,1
1901737,14679,1
1901738,14679,1
1901739,14679,1
1901740,14679,1
1901741,14679,1
1901742,14679,1
1901743,14679,1
1904817,16442,1
1904817,17972,3
1904817,23687,2
1904829,14683,1
1904841,21658,1
1904854,17972,1
1904867,16441,5
1904867,16442,4
1904867,17972,3
1904867,21658,6
1904867,22082,1
1904867,22083,7
1904867,23688,2
1904879,14679,1
1904892,14679,1
1904904,14683,1
1904916,16442,1
1904916,23688,2
1904929,17972,1
1904942,14679,1
1904954,15940,3
1904954,16441,2
1904954,16442,1
1904954,17972,4
1904967,14679,1
1904980,14679,1
1904992,14679,1
1905004,16442,1
1905017,16441,3
1905017,16442,1
1905017,22083,2
1905017,23687,4
1905029,14679,1
1905042,14679,1
1905055,21658,1
1905067,17972,1
1905080,14683,1
1905080,15940,9
1905080,16441,7
1905080,16442,3
1905080,17972,4
1905080,21658,5
1905080,22082,2
1905080,22083,6
1905080,23688,8
1905092,14679,1
1905104,15940,3
1905104,16442,1
1905104,17972,2
1905104,22082,4
1905117,14679,1
1905130,14683,2
1905130,15940,3
1905130,16442,1
1905130,22082,4
1905142,16441,7
1905142,16442,1
1905142,17972,4
1905142,21658,6
1905142,22082,5
1905142,22083,2
1905142,23687,3
1905155,15940,3
1905155,16441,4
1905155,22082,1
1905155,22083,2
1905155,23687,5
1905168,16442,1
1905180,14683,4
1905180,15940,2
1905180,16441,7
1905180,16442,1
1905180,17972,5
1905180,22083,6
1905180,23687,3
1905192,16442,1
1905192,17972,3
1905192,22083,2
1905205,16442,1
1905217,16442,1
1905217,21658,2
1905217,22082,3
1905230,14679,1
1905243,15940,4
1905243,17972,2
1905243,22082,1
1905243,22083,5
1905243,23688,3
1905255,16441,2
1905255,16442,1
1905267,16442,1
1905279,14679,12
1905279,14683,1
1905279,15940,7
1905279,16441,2
1905279,16442,11
1905279,17972,6
1905279,18426,4
1905279,21658,5
1905279,22082,9
1905279,22083,3
1905279,23687,8
1905279,23688,10
1905279,25964,13
1928342,14679,1
1928358,14683,1
1928372,14679,1
1928388,14679,1
1928404,14683,1
1928420,14679,1
1928436,14679,1
1928454,16441,1
1928471,14679,1
1928487,14679,1
1928506,14679,1
1928522,14683,1
1928522,15940,5
1928522,16441,4
1928522,17972,2
1928522,21658,3
1928522,22083,6
1928538,14679,1
1928556,14679,11
1928556,15940,4
1928556,16441,2
1928556,16442,1
1928556,17972,5
1928556,21658,7
1928556,22082,9
1928556,22083,8
1928556,23687,10
1928556,23688,3
1928556,25964,6
1928571,14679,1
1928571,14683,4
1928571,16441,6
1928571,16442,5
1928571,17972,2
1928571,22082,3
1928571,22083,7
1928571,23687,8
1928591,14683,1
1928608,14679,1
1928608,16441,2
1928608,16442,5
1928608,17972,4
1928608,22082,6
1928608,22083,3
1928608,23687,7
1928623,14679,1
1928638,14679,1
1928658,16441,1
1928674,14679,1
1928689,14679,1
1928689,14683,5
1928689,16441,2
1928689,17972,3
1928689,22082,4
1928712,14679,1
1928712,14683,2
1928712,22083,3
1928712,23687,4
1928726,14679,1
1928746,14679,1
1928760,14683,1
1928776,14679,1
1928791,14679,1
1928806,14679,1
1928826,14679,1
1928842,14679,1
1928861,14679,1
1928878,14679,1
1928897,14679,1
1928913,14679,1
1928930,14683,1
1928948,14679,1
1928966,14679,1
1928984,14679,1
1929000,14679,1
1929019,14679,1
1929035,14679,1
1930924,14679,1
1931038,14679,1
1931149,14679,1
1935332,14679,1
1935433,14679,1
1935536,14679,1
1935636,14679,1
1935742,15940,4
1935742,16441,1
1935742,16442,2
1935742,17972,3
1935742,21658,6
1935742,22083,5
1935844,15940,4
1935844,16442,2
1935844,22082,1
1935844,22083,3
1935844,23688,5
1935945,15940,5
1935945,16441,1
1935945,16442,3
1935945,17972,4
1935945,22082,2
1935945,22083,7
1935945,23688,6
1936047,16442,3
1936047,17972,4
1936047,21658,2
1936047,22082,1
1936047,23687,5
1936047,23688,6
1936152,14679,1
1936253,14679,1
1936355,21658,2
1936355,22082,1
1936355,23688,3
1937162,14683,3
1937162,21658,6
1937162,22082,5
1937162,22083,7
1937162,23687,2
1937162,23688,1
1937162,25964,4
1937390,14679,9
1937390,15940,7
1937390,16441,2
1937390,16442,6
1937390,21658,5
1937390,22082,3
1937390,22083,8
1937390,23687,4
1937390,23688,1
1937626,14683,10
1937626,15940,11
1937626,16441,5
1937626,16442,7
1937626,17972,2
1937626,18426,8
1937626,21658,3
1937626,22083,4
1937626,23687,9
1937626,23688,1
1937626,25964,6
1937860,15940,2
1937860,16441,6
1937860,21658,1
1937860,22083,5
1937860,23687,3
1937860,23688,4
1946067,14679,1
1946136,14679,1
1946205,14679,1
1946276,14679,1
1946345,16441,1
1946413,14683,6
1946413,16441,2
1946413,17972,5
1946413,22083,1
1946413,23687,7
1946413,23688,4
1946413,25964,3
1946482,14679,6
1946482,15940,4
1946482,16441,2
1946482,21658,1
1946482,23687,5
1946482,23688,3
1947710,16442,1
1949297,23687,1
1949447,23687,1
1949596,23687,1
1950845,14679,1
1950845,14683,2
1950845,21658,3
1951496,17972,1
1951592,17972,1
1951685,17972,1
1951778,17972,1
1951805,17972,1
1951825,14683,1
1951845,14683,5
1951845,16441,6
1951845,16442,2
1951845,17972,1
1951845,21658,3
1951845,22082,4
1951845,22083,7
