bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1898133,2163,HB1,4,Passed,2025-08-13,"An Act To Amend The Delaware Code Relating To Creation Of A Delaware Department Of Veterans Affairs.","This Act establishes a new state-level Department of Veterans Affairs led by a cabinet-level Secretary to advocate for and administer programs relating to veterans in the State of Delaware. It is the intent of this legislation that current staff of the Delaware Commission of Veterans Affairs and the Office of Veterans Affairs will continue their work, but as part of the new Department of Veterans Affairs, with the potential for expanded staff and duties in accordance with annual appropriations. The Department will hire veterans wherever possible. The Commission of Veterans Affairs will continue in its current form. It will continue to oversee the Delaware Veterans Home and will serve in an advisory role to the new Secretary and Department on other matters relating to veterans. The new Department is tasked with developing and proposing strategies for the provision of alternative elder care or the establishment of one or more additional veterans homes to serve the aging veteran population.",0,,2025-08-13,"Signed by Governor",https://legiscan.com/DE/bill/HB1/2025,https://legis.delaware.gov/BillDetail?LegislationId=142103
1908715,2163,HB2,1,Introduced,2025-01-09,"An Act To Amend Title 18 And Title 29 Of The Delaware Code Relating To Death Benefits.","Section 1 of this Act increases the burial benefit under the State Employees&#39; Pension Plan from $7,000 to $8,000. The amount of this benefit has not been increased since 2001 (See 73 Del. Laws, c. 146, § 5).",1646,"House Appropriations",2025-01-30,"Assigned to Appropriations Committee in House",https://legiscan.com/DE/bill/HB2/2025,https://legis.delaware.gov/BillDetail?LegislationId=141738
1908599,2163,HB3,4,Passed,2025-07-21,"An Act To Amend Title 11 Of The Delaware Code Relating To Breastfeeding.","This Act creates a breastfeeding and lactation program within the DOC to provide lactation support to women in DOC custody. Among other things, it permits women to collect breast milk for later retrieval and delivery to an infant or toddler by an approved person. It also requires the DOC to provide nutrition information and a meal plan specific to pregnant, post-partum, or lactating women, based on national best practices. This Act further requires that DOC publish an annual report regarding the number of participants in the program and the nature of services provided.",0,,2025-07-21,"Signed by Governor",https://legiscan.com/DE/bill/HB3/2025,https://legis.delaware.gov/BillDetail?LegislationId=141756
1908484,2163,HB4,4,Passed,2025-08-20,"An Act To Amend Title 7 Of The Delaware Code Relating To Weapons.","This Act amends Chapters 1, 5, 7, and 17 of Title 7 of the Delaware Code to be consistent with the recent legislative change of the definition of a firearm in Title 11. This Act is needed to address public safety and enforcement concerns. Archery equipment and air guns are no longer classified as firearms and the proposed amendments would continue to make certain actions and activities with these projectile weapons prohibited, such as having these weapons loaded or discharged from a vehicle, road, or within a designated safety zone. The Act recognizes that there are certain actions and activities with projectile weapons, that should continue to be prohibited even though they are no longer classified as firearms.",0,,2025-08-20,"Signed by Governor",https://legiscan.com/DE/bill/HB4/2025,https://legis.delaware.gov/BillDetail?LegislationId=141761
1908354,2163,HB5,1,Introduced,2025-01-09,"An Act To Amend Title 29 Of The Delaware Code Relating To Legislative Oversight Of Agency Regulations.","This Act requires that an enacted state agency regulation will automatically expire unless explicitly reauthorized by the General Assembly to continue. This Act creates the Joint Committee on Oversight of Agency Regulations (Committee) to engage in review and oversight of regulations adopted by State agencies and recommend to the General Assembly whether or not the regulations should be allowed to expire.",0,,2025-03-26,"Tabled in Committee",https://legiscan.com/DE/bill/HB5/2025,https://legis.delaware.gov/BillDetail?LegislationId=141760
1920663,2163,HB6,4,Passed,2025-06-30,"An Act To Amend Title 29 Of The Delaware Code Relating To The Auditor Of Accounts.","This Act allows the Auditor of Accounts to issue subpoenas directly, removing a requirement that the Auditor first file a praecipe with the Superior Court prothonotary. It also allows the Auditor to effect service of such a subpoena, and to apply for a court order if a recipient fails to respond to a subpoena. Failure to comply with such a court order may be punished as contempt of court.",0,,2025-06-30,"Signed by Governor",https://legiscan.com/DE/bill/HB6/2025,https://legis.delaware.gov/BillDetail?LegislationId=141787
1923446,2163,HB7,4,Passed,2025-04-14,"An Act To Amend Title 18 Of The Delaware Code Relating To Taxes.","This bill resolves an internal inconsistency in the Insurance Code regarding the timing of payment of taxes for captive insurance companies and surplus lines brokers. Sections 1917 and 6914 of the Insurance Code specifically address the amount and timing of taxes due for surplus lines brokers and captive insurance companies, respectively. Surplus lines brokers and captive insurance companies will continue to pay premium taxes in accordance with Sections 1917 and 6914, respectively, as they have historically.",0,,2025-04-14,"Signed by Governor",https://legiscan.com/DE/bill/HB7/2025,https://legis.delaware.gov/BillDetail?LegislationId=141793
1923669,2163,HB8,6,Failed,2025-05-06,"An Act To Amend Title 13 Of The Delaware Code Relating To Marriages.","This Act amends Delawares marriage laws to recognize a valid marriage between first cousins obtained or recognized outside of Delaware (either in another state or territory of the United States or foreign country) as a valid and legal marriage in Delaware. This Act does not legalize the performance of marriages between first cousins within the State of Delaware.",0,,2025-05-06,"Defeated By House. Votes: 12 YES 23 NO 1 NOT VOTING 5 ABSENT",https://legiscan.com/DE/bill/HB8/2025,https://legis.delaware.gov/BillDetail?LegislationId=141900
1931153,2163,HB9,4,Passed,2025-05-22,"An Act To Amend Title 29 Of The Delaware Code Relating To Governmental Compensation Policy.","Section 4 of this Act requires a paid elected official or paid appointed official of this State or any political subdivision of this State (official) who is also employed by a state agency or a political subdivision of this State to disclose the dual employment to the Public Integrity Commission (Commission). This disclosure will assist the Commission and the State Auditor in evaluating if the official is receiving dual public compensation for coincident hours of work and requires the Commission to report to the officials employer of any finding of dual compensation.",0,,2025-05-22,"Signed by Governor",https://legiscan.com/DE/bill/HB9/2025,https://legis.delaware.gov/BillDetail?LegislationId=141802
1923225,2163,HB10,3,Enrolled,2025-03-25,"An Act Concurring In Proposed Amendments To The Delaware Constitution Relating To Technical Corrections.","This Act is the second leg of a constitutional amendment to make technical corrections to the Delaware Constitution. The first leg of this constitutional amendment was House Bill No. 430 of the 152nd General Assembly, published in Chapter 281 of Volume 84 of the Laws of Delaware. On passage of this second leg by this General Assembly, this amendment will become part of the Delaware Constitution.",0,,2025-03-25,"Passed By Senate. Votes: 21 YES",https://legiscan.com/DE/bill/HB10/2025,https://legis.delaware.gov/BillDetail?LegislationId=141791
