bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1898133,3034923,text,69555,text/html,Draft,https://legiscan.com/DE/text/HB1/id/3034923,https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocument?legislationId=141733&legislationTypeId=1&docTypeId=2&legislationName=HB1
1898133,3208900,text,77898,text/html,Draft,https://legiscan.com/DE/text/HB1/id/3208900,https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocument?legislationId=142103&legislationTypeId=6&docTypeId=2&legislationName=HS1forHB1
1898133,3259160,text,75418,text/html,Engrossed,https://legiscan.com/DE/text/HB1/id/3259160,https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocumentEngrossment?engrossmentId=37159&docTypeId=6
1908715,3045522,text,18307,text/html,Draft,https://legiscan.com/DE/text/HB2/id/3045522,https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocument?legislationId=141738&legislationTypeId=1&docTypeId=2&legislationName=HB2
1908599,3045423,text,15084,text/html,Draft,https://legiscan.com/DE/text/HB3/id/3045423,https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocument?legislationId=141756&legislationTypeId=1&docTypeId=2&legislationName=HB3
1908484,3045320,text,31447,text/html,Draft,https://legiscan.com/DE/text/HB4/id/3045320,https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocument?legislationId=141761&legislationTypeId=1&docTypeId=2&legislationName=HB4
1908354,3045206,text,37988,text/html,Draft,https://legiscan.com/DE/text/HB5/id/3045206,https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocument?legislationId=141760&legislationTypeId=1&docTypeId=2&legislationName=HB5
1920663,3057797,text,12644,text/html,Draft,https://legiscan.com/DE/text/HB6/id/3057797,https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocument?legislationId=141787&legislationTypeId=1&docTypeId=2&legislationName=HB6
1923446,3060544,text,9073,text/html,Draft,https://legiscan.com/DE/text/HB7/id/3060544,https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocument?legislationId=141793&legislationTypeId=1&docTypeId=2&legislationName=HB7
1923669,3060783,text,12541,text/html,Draft,https://legiscan.com/DE/text/HB8/id/3060783,https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocument?legislationId=141794&legislationTypeId=1&docTypeId=2&legislationName=HB8
1923669,3156438,text,12284,text/html,Draft,https://legiscan.com/DE/text/HB8/id/3156438,https://legis.delaware.gov/json/BillDetail/GenerateHtmlDocument?legislationId=141900&legislationTypeId=6&docTypeId=2&legislationName=HS1forHB8
