bill_id,date,chamber,sequence,action
1898122,2024-12-19,,1,"Introduced and Assigned to Education Committee in House"
1898122,2025-01-22,,2,"Tabled in Committee"
1898122,2025-03-20,,3,"Stricken in House"
1898123,2024-12-19,,1,"Introduced and Assigned to Economic Development/Banking/Insurance & Commerce Committee in House"
1898123,2025-03-11,,2,"Reported Out of Committee (Economic Development/Banking/Insurance & Commerce) in House with 3 Favorable, 6 On Its Merits"
1898124,2024-12-19,,1,"Introduced and Assigned to Judiciary Committee in House"
1898124,2025-01-29,,2,"Reported Out of Committee (Judiciary) in House with 4 Favorable, 4 On Its Merits"
1898124,2025-01-30,,3,"Amendment HA 1 to HB 27 - Introduced and Placed With Bill"
1898124,2025-01-30,,4,"Amendment HA 1 to HB 27 - Passed In House by Voice Vote"
1898124,2025-01-30,,5,"Passed By House. Votes: 36 YES 5 ABSENT"
1898124,2025-01-30,,6,"Assigned to Judiciary Committee in Senate"
1898124,2025-03-26,,7,"Reported Out of Committee (Judiciary) in Senate with 1 Favorable, 4 On Its Merits"
1898124,2025-04-17,,8,"Passed By Senate. Votes: 19 YES 2 ABSENT"
1898124,2025-05-07,,9,"Signed by Governor"
1898125,2024-12-19,,1,"Introduced and Assigned to Health & Human Development Committee in House"
1898125,2025-01-29,,2,"Reported Out of Committee (Health & Human Development) in House with 5 Favorable, 3 On Its Merits, 1 Unfavorable"
1898125,2025-03-18,,3,"Passed By House. Votes: 21 YES 17 NO 3 ABSENT"
1898125,2025-03-18,,4,"Assigned to Executive Committee in Senate"
1898125,2025-04-09,,5,"Reported Out of Committee (Executive) in Senate with 2 Favorable, 3 On Its Merits"
1898125,2025-04-17,,6,"Amendment SA 1 to HB 140 - Introduced and Placed With Bill"
1898125,2025-04-17,,7,"Amendment SA 2 to HB 140 - Introduced and Placed With Bill"
1898125,2025-04-17,,8,"Amendment SA 1 to HB 140 - Defeated By Senate. Votes: 5 YES 13 NO 3 ABSENT"
1898125,2025-04-17,,9,"Amendment SA 2 to HB 140 - Defeated By Senate. Votes: 5 YES 14 NO 2 ABSENT"
