people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
4411,"William Carson",William,J.,Carson,Jr.,,1,D,1,Rep,HD-028,6496696,102387,,William_Carson_Jr.,261672,0
4428,"Daniel Short",Daniel,B.,Short,,,2,R,1,Rep,HD-039,6664355,30692,,Daniel_Short,249249,0
4447,"David Sokola",David,P.,Sokola,,,1,D,2,Sen,SD-008,6381592,5739,,David_Sokola,193414,0
4457,"David Wilson",David,L.,Wilson,,,2,R,2,Sen,SD-018,12998462,109426,,David_Wilson_(Delaware),271805,0
4460,"Gerald Hocker",Gerald,W.,Hocker,,,2,R,2,Sen,SD-020,12998468,53669,,Gerald_Hocker,212300,0
10562,"Stephanie Bolden",Stephanie,T.,Bolden,,,1,D,1,Rep,HD-002,6511712,71997,,Stephanie_Bolden,310638,0
10563,"Debra Heffernan",Debra,J.,Heffernan,,,1,D,1,Rep,HD-006,6511717,122847,,Debra_Heffernan,299456,0
10565,"Edward Osienski",Edward,S.,Osienski,,,1,D,1,Rep,HD-024,6511757,126460,,Edward_Osienski,310649,0
11375,"David Lawson",David,G.,Lawson,,,2,R,2,Sen,SD-015,6696766,122841,,David_G._Lawson,299460,0
14543,"Timothy Dukes",Timothy,D.,Dukes,,,2,R,1,Rep,HD-040,8449509,142597,,Timothy_Dukes,420510,0
14544,"Ronald Gray",Ronald,E.,Gray,,,2,R,1,Rep,HD-038,8449363,142596,,Ronald_Gray,420509,0
14545,"Kimberly Williams",Kimberly,,Williams,,,1,D,1,Rep,HD-019,13789769,142522,,Kimberly_Williams,427734,0
14546,"Charles Paradee",William,Charles,Paradee,III,Trey,1,D,2,Sen,SD-017,8400578,109397,,Trey_Charles_Paradee,420283,0
14549,"Jeffrey Spiegelman",Jeffrey,N.,Spiegelman,,,2,R,1,Rep,HD-011,13789762,142584,,Jeffrey_Spiegelman,420275,0
14551,"Brian Pettyjohn",Brian,Guy,Pettyjohn,,,2,R,2,Sen,SD-019,25162481,143611,,Brian_Pettyjohn,442608,0
14552,"Nicole Poore",Nicole,,Poore,,,1,D,2,Sen,SD-012,13789972,142570,,Nicole_Poore,420252,0
14553,"Bryan Townsend",Bryan,,Townsend,,,1,D,2,Sen,SD-011,15749252,141520,,Bryan_Townsend,412507,0
16374,"Bryant Richardson",Bryant,L.,Richardson,,,2,R,2,Sen,SD-021,13789976,142575,,Bryant_Richardson,420265,0
16446,"Sean Lynn",Sean,M.,Lynn,,,1,D,1,Rep,HD-031,25085231,130476,,Sean_M._Lynn,495107,0
16769,"Richard Collins",Richard,G.,Collins,,,2,R,1,Rep,HD-041,13789790,142598,,Richard_Collins,425951,0
16771,"Kevin Hensley",Kevin,S.,Hensley,,,2,R,1,Rep,HD-009,19172114,154282,,Kevin_S._Hensley,495111,0
16772,"Lyndon Yearick",Lyndon,Dean,Yearick,,,2,R,1,Rep,HD-034,8437323,154269,,Lyndon_Dean_Yearick,504456,0
18423,"Jack Walsh",John,,Walsh,,Jack,1,D,2,Sen,SD-009,40814574,174060,,Jack_Walsh_(Delaware),589835,0
18565,"Charles Postles",Charles,S.,Postles,Jr.,,2,R,1,Rep,HD-033,22204198,154268,,Charles_S._Postles_Jr.,504455,0
19351,"Stephanie Hansen",Stephanie,L.,Hansen,,,1,D,2,Sen,SD-010,8438162,176088,,Stephanie_Hansen_(Delaware),617527,0
19894,"Franklin Cooke",Franklin,D.,Cooke,Jr.,,1,D,1,Rep,HD-016,45401503,184875,,Franklin_Cooke_Jr.,662389,0
19896,"Krista Griffith",Krista,,Griffith,,,1,D,1,Rep,HD-012,42101921,184874,,Krista_Griffith,654467,0
19897,"Kendra Johnson",Kendra,,Johnson,,,1,D,1,Rep,HD-005,45401493,184865,,Kendra_Johnson,662383,0
19898,"Elizabeth Lockman",Elizabeth,,Lockman,,,1,D,2,Sen,SD-003,45401532,184858,,S._Elizabeth_Lockman,654454,0
19899,"Michael Smith",Michael,F.,Smith,,,2,R,1,Rep,HD-022,25085230,154878,,Michael_Smith_(Delaware),504929,0
19900,"Melissa Minor-Brown",Melissa,,Minor-Brown,,,1,D,1,Rep,HD-017,45401506,184879,,Melissa_Minor-Brown,665063,0
19901,"Raymond Seigfried",Raymond,,Seigfried,,,1,D,2,Sen,SD-005,4700374,184870,,Raymond_Seigfried,662385,0
19902,"Bryan Shupe",Bryan,W.,Shupe,,,2,R,1,Rep,HD-036,45401526,184912,,Bryan_Shupe,662411,0
19903,"Laura Sturgeon",Laura,,Sturgeon,,,1,D,2,Sen,SD-004,43145471,184886,,Laura_Sturgeon,654456,0
19904,"Jesse Vanderwende",Jesse,Rawlins,Vanderwende,,,2,R,1,Rep,HD-035,45401524,184884,,Jesse_Vanderwende,654472,0
19921,"Darius Brown",Darius,,Brown,,,1,D,2,Sen,SD-002,39595778,143827,,Darius_Brown,256797,0
20146,"Shannon Morris",Shannon,,Morris,,,2,R,1,Rep,HD-030,45401519,184908,,Shannon_Morris,646467,0
20203,"Nnamdi Chukwuocha",Nnamdi,,Chukwuocha,,,1,D,1,Rep,HD-001,45401487,143826,,Nnamdi_Chukwuocha,672058,0
20204,"William Bush",William,G.,Bush,IV,,1,D,1,Rep,HD-029,14265945,184906,,William_Bush,650609,0
21729,"Larry Lambert",Larry,D.,Lambert,Jr.,,1,D,1,Rep,HD-007,45401496,184869,,Larry_Lambert,669773,0
21730,"Eric Morrison",Eric,A.,Morrison,,,1,D,1,Rep,HD-027,50271059,195158,,Eric_Morrison_(Delaware),740576,0
21731,"Sherae'a Moore",Sherae'a,A.,Moore,,Rae,1,D,1,Rep,HD-008,50271026,195151,,Sherae%27a_Moore,746694,0
21732,"Madinah Wilson-Anton",Madinah,,Wilson-Anton,,,1,D,1,Rep,HD-026,50271057,195157,,Madinah_Wilson-Anton,644764,0
21733,"Kyle Gay",Kyle,Evans,Gay,,,1,D,2,Sen,SD-005,50271098,195143,,Kyle_Evans_Gay,683705,0
21734,"Spiros Mantzavinos",Spiros,,Mantzavinos,,,1,D,2,Sen,SD-007,16213750,195195,,Spiros_Mantzavinos,740570,0
21735,"Marie Pinkney",Marie,,Pinkney,,,1,D,2,Sen,SD-013,50271087,195144,,Marie_Pinkney,746688,0
21736,"Sarah McBride",Sarah,,McBride,,,1,D,2,Sen,SD-001,50271082,195142,,Sarah_McBride,740568,0
23364,"Jeff Hilovsky",Jeff,,Hilovsky,,,2,R,1,Rep,HD-004,56424041,209884,,Jeff_Hilovsky,0,0
23365,"DeShanna Neal",DeShanna,U.,Neal,,,1,D,1,Rep,HD-013,56424076,209887,,DeShanna_Neal,0,0
23366,"Sophie Phillips",Sophie,,Phillips,,,1,D,1,Rep,HD-018,56424085,209889,,Sophie_Phillips,0,0
23367,"Cyndie Romer",Cyndie,,Romer,,,1,D,1,Rep,HD-025,56424091,209890,,Cyndie_Romer,0,0
23368,"Eric Buckson",Eric,,Buckson,,,2,R,2,Sen,SD-016,13472859,81022,,Eric_Buckson,0,0
