bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1898124,1477494,2025-01-30,House,"House Third Reading",36,0,0,5,41
1898124,1551476,2025-04-17,Senate,"Senate Third Reading",19,0,0,2,21
1898125,1520215,2025-03-18,House,"House Third Reading",21,17,0,3,41
1898125,1551342,2025-04-17,Senate,"Senate Third Reading",11,8,0,2,21
1898126,1473673,2025-01-23,House,"House Third Reading",39,0,0,2,41
1898126,1477403,2025-01-30,Senate,"Senate Third Reading",19,0,0,0,19
1898128,1470909,2024-12-16,Senate,"Senate Third Reading",20,0,0,1,21
1898129,1475507,2025-01-28,House,"House Third Reading",37,0,0,4,41
1898130,1470910,2024-12-16,Senate,"Senate Third Reading",20,0,0,1,21
1898131,1475745,2025-01-28,House,"House Third Reading",36,0,0,5,41
1898131,1528050,2025-03-26,Senate,"Senate Third Reading",21,0,0,0,21
1898132,1522916,2025-03-20,House,"House Third Reading",36,0,0,5,41
1898132,1596912,2025-06-30,Senate,"Senate Third Reading",21,0,0,0,21
1898132,1596913,2025-06-30,House,"House Third Reading",37,0,0,3,40
1898133,1574346,2025-05-20,House,"House Third Reading",38,0,0,3,41
1898133,1595541,2025-06-26,Senate,"Senate Third Reading",21,0,0,0,21
1898134,1470911,2024-12-16,Senate,"Senate Third Reading",14,6,0,1,21
1898135,1517395,2025-03-13,House,"House Third Reading",35,0,0,6,41
1898135,1551258,2025-04-17,Senate,"Senate Third Reading",19,0,0,2,21
1898136,1477747,2025-01-30,House,"House Third Reading",37,0,0,4,41
1898136,1596802,2025-06-30,Senate,"Senate Third Reading",21,0,0,0,21
1898136,1596803,2025-07-01,House,"House Third Reading",39,0,0,1,40
1898137,1470912,2024-12-16,Senate,"Senate Third Reading",20,0,0,1,21
1898138,1594476,2025-06-24,House,"House Third Reading",28,12,0,0,40
1898138,1596974,2025-06-30,Senate,"Senate Third Reading",14,7,0,0,21
1898139,1473661,2025-01-23,House,"House Third Reading",39,0,0,2,41
1898139,1551397,2025-04-17,Senate,"Senate Third Reading",19,0,0,2,21
1898140,1470913,2024-12-16,Senate,"Senate Third Reading",19,0,0,2,21
1898141,1526279,2025-03-25,House,"House Third Reading",39,0,0,2,41
1898141,1595585,2025-06-26,Senate,"Senate Third Reading",21,0,0,0,21
1901155,1587448,2025-06-10,Senate,"Senate Third Reading",21,0,0,0,21
1901155,1595737,2025-06-26,House,"House Third Reading",39,0,0,1,40
1901167,1588050,2025-06-10,Senate,"Senate Third Reading",17,0,0,4,21
1901167,1595681,2025-06-26,House,"House Third Reading",39,0,0,1,40
1901205,1543826,2025-04-10,Senate,"Senate Third Reading",16,5,0,0,21
1901225,1571567,2025-05-14,Senate,"Senate Third Reading",21,0,0,0,21
1901225,1589770,2025-06-12,House,"House Third Reading",40,0,0,1,41
1901243,1543431,2025-04-10,Senate,"Senate Third Reading",21,0,0,0,21
1901258,1472852,2025-01-21,Senate,"Senate Third Reading",19,0,0,0,19
1901258,1596828,2025-07-01,House,"House Third Reading",32,5,2,1,40
1908419,1477663,2025-01-30,House,"House Third Reading",37,0,0,4,41
1908419,1519881,2025-03-18,Senate,"Senate Third Reading",19,0,0,2,21
1908484,1520164,2025-03-18,House,"House Third Reading",36,0,0,5,41
1908484,1596833,2025-07-01,Senate,"Senate Third Reading",21,0,0,0,21
1908540,1548539,2025-04-15,House,"House Third Reading",39,0,1,1,41
1908540,1576334,2025-05-22,Senate,"Senate Third Reading",19,0,0,2,21
1908599,1591727,2025-06-17,House,"House Third Reading",40,0,0,1,41
1908599,1595055,2025-06-25,Senate,"Senate Third Reading",21,0,0,0,21
1908658,1473788,2025-01-23,House,"House Third Reading",39,0,0,2,41
1908658,1477333,2025-01-30,Senate,"Senate Third Reading",19,0,0,0,19
1910674,1575961,2025-05-22,Senate,"Senate Third Reading",20,0,0,1,21
1910674,1596911,2025-07-01,House,"House Third Reading",30,1,0,9,40
1910907,1472851,2025-01-21,Senate,"Senate Third Reading",19,0,0,0,19
1910907,1477428,2025-01-30,House,"House Third Reading",37,0,0,4,41
1911024,1477637,2025-01-30,Senate,"Senate Third Reading",16,3,0,0,19
1911144,1566634,2025-05-06,Senate,"Senate Third Reading",20,0,0,1,21
1911144,1591723,2025-06-17,House,"House Third Reading",40,0,0,1,41
1911260,1576347,2025-05-22,Senate,"Senate Third Reading",19,0,0,2,21
1911260,1595614,2025-06-26,House,"House Third Reading",38,2,0,0,40
1911381,1574443,2025-05-20,Senate,"Senate Third Reading",18,0,1,2,21
1911381,1595258,2025-06-25,House,"House Third Reading",39,0,0,1,40
1911501,1526135,2025-03-25,Senate,"Senate Third Reading",21,0,0,0,21
1911501,1589659,2025-06-12,House,"House Third Reading",40,0,0,1,41
1911737,1473755,2025-01-23,Senate,"Senate Third Reading",18,0,0,1,19
1911737,1477838,2025-01-30,House,"House Third Reading",37,0,0,4,41
1917929,1471385,2025-01-14,Senate,"Senate Third Reading",17,0,0,2,19
1918117,1471386,2025-01-14,Senate,"Senate Third Reading",17,0,0,2,19
1918397,1471387,2025-01-14,Senate,"Senate Third Reading",19,0,0,0,19
1918487,1471388,2025-01-14,Senate,"Senate Third Reading",19,0,0,0,19
1918487,1555466,2025-01-15,House,"House Third Reading",0,0,0,0,0
1920663,1475761,2025-01-28,House,"House Third Reading",37,0,0,4,41
1920663,1594373,2025-06-24,Senate,"Senate Third Reading",21,0,0,0,21
1920843,1471736,2025-01-15,Senate,"Senate Third Reading",19,0,0,0,19
1920843,1471905,2025-01-16,House,"House Third Reading",0,0,0,0,0
1923225,1517328,2025-03-13,House,"House Third Reading",34,0,0,7,41
1923225,1526388,2025-03-25,Senate,"Senate Third Reading",21,0,0,0,21
1923446,1475575,2025-01-28,House,"House Third Reading",36,0,0,5,41
1923446,1528887,2025-03-27,Senate,"Senate Third Reading",19,0,0,2,21
1923669,1565819,2025-05-06,House,"House Third Reading",12,23,1,5,41
1923892,1471917,2025-01-16,Senate,"Senate Third Reading",18,0,0,1,19
1923892,1471918,2025-01-16,House,"House Third Reading",0,0,0,0,0
1924113,1471920,2025-01-16,House,"House Third Reading",0,0,0,0,0
1924113,1471921,2025-01-16,Senate,"Senate Third Reading",18,0,0,1,19
1925789,1522853,2025-03-20,Senate,"Senate Third Reading",18,0,0,3,21
1931153,1519855,2025-03-18,House,"House Third Reading",36,0,0,5,41
1931153,1568136,2025-05-08,Senate,"Senate Third Reading",20,0,0,1,21
1931291,1517101,2025-03-13,House,"House Third Reading",35,0,0,6,41
1931291,1528198,2025-03-26,Senate,"Senate Third Reading",21,0,0,0,21
1931431,1477419,2025-01-21,House,"House Third Reading",0,0,0,0,0
1931431,1477420,2025-01-30,Senate,"Senate Third Reading",19,0,0,0,19
1931572,1472601,2025-01-21,House,"House Third Reading",0,0,0,0,0
1931572,1472853,2025-01-21,Senate,"Senate Third Reading",19,0,0,0,19
1936457,1568473,2025-05-08,Senate,"Senate Third Reading",20,0,0,1,21
1936457,1595253,2025-06-25,House,"House Third Reading",37,2,0,1,40
1936457,1595542,2025-06-26,Senate,"Senate Third Reading",21,0,0,0,21
1937314,1517751,2025-03-13,House,"House Third Reading",36,0,0,5,41
1937314,1529107,2025-03-27,Senate,"Senate Third Reading",19,0,0,2,21
1937624,1473604,2025-01-23,Senate,"Senate Third Reading",18,0,0,1,19
1937624,1473605,2025-01-23,House,"House Third Reading",0,0,0,0,0
1937780,1473609,2025-01-23,House,"House Third Reading",0,0,0,0,0
1937780,1473610,2025-01-23,Senate,"Senate Third Reading",18,0,0,1,19
1937937,1473613,2025-01-23,House,"House Third Reading",0,0,0,0,0
1937937,1473614,2025-01-23,Senate,"Senate Third Reading",18,0,0,1,19
1938101,1475431,2025-01-28,Senate,"Senate Third Reading",19,0,0,0,19
1938101,1477483,2025-01-30,House,"House Third Reading",37,0,0,4,41
1938393,1568403,2025-05-08,Senate,"Senate Third Reading",12,1,0,8,21
1938393,1572997,2025-05-15,Senate,"Senate Third Reading",20,0,1,0,21
1938393,1591677,2025-06-17,House,"House Third Reading",40,0,0,1,41
1938687,1543772,2025-04-10,Senate,"Senate Third Reading",21,0,0,0,21
1938687,1568379,2025-05-08,House,"House Third Reading",33,0,0,8,41
1938687,1571943,2025-05-15,Senate,"Senate Third Reading",21,0,0,0,21
1943980,1476648,2025-01-28,House,"House Third Reading",0,0,0,0,0
1943980,1476649,2025-01-29,Senate,"Senate Third Reading",19,0,0,0,19
1944127,1475415,2025-01-28,Senate,"Senate Third Reading",18,0,0,1,19
1944127,1475416,2025-01-28,House,"House Third Reading",0,0,0,0,0
1944273,1475418,2025-01-28,Senate,"Senate Third Reading",19,0,0,0,19
1944273,1476461,2025-01-29,House,"House Third Reading",0,0,0,0,0
1944417,1477537,2025-01-30,Senate,"Senate Third Reading",18,0,0,1,19
1944417,1477538,2025-01-30,House,"House Third Reading",0,0,0,0,0
1944559,1475423,2025-01-28,Senate,"Senate Third Reading",18,0,0,1,19
1944559,1475424,2025-01-28,House,"House Third Reading",0,0,0,0,0
1944565,1543728,2025-04-10,Senate,"Senate Third Reading",21,0,0,0,21
1944565,1595701,2025-06-26,House,"House Third Reading",40,0,0,0,40
1946119,1517419,2025-03-13,House,"House Third Reading",36,0,0,5,41
1946119,1551693,2025-04-17,Senate,"Senate Third Reading",19,0,0,2,21
1946242,1476785,2025-01-29,House,"House Third Reading",0,0,0,0,0
1946242,1476786,2025-01-29,Senate,"Senate Third Reading",19,0,0,0,19
1946363,1476767,2025-01-29,House,"House Third Reading",0,0,0,0,0
1946363,1476768,2025-01-29,Senate,"Senate Third Reading",19,0,0,0,19
1946481,1476765,2025-01-29,House,"House Third Reading",0,0,0,0,0
1946481,1476766,2025-01-29,Senate,"Senate Third Reading",19,0,0,0,19
1946728,1514864,2025-03-11,Senate,"Senate Third Reading",15,6,0,0,21
1946963,1476560,2025-01-29,Senate,"Senate Third Reading",19,0,0,0,19
1946963,1514296,2025-03-11,House,"House Third Reading",0,0,0,0,0
1947194,1476569,2025-01-29,Senate,"Senate Third Reading",19,0,0,0,19
1947194,1477307,2025-01-30,House,"House Third Reading",0,0,0,0,0
1947430,1476577,2025-01-29,Senate,"Senate Third Reading",19,0,0,0,19
1947430,1477512,2025-01-30,House,"House Third Reading",0,0,0,0,0
1948271,1477855,2025-01-30,Senate,"Senate Third Reading",19,0,0,0,19
1948271,1477856,2025-01-30,House,"House Third Reading",34,0,3,4,41
1948280,1548423,2025-04-15,House,"House Third Reading",40,0,0,1,41
1948280,1592077,2025-06-17,Senate,"Senate Third Reading",19,0,0,2,21
1948336,1477302,2025-01-30,Senate,"Senate Third Reading",18,0,0,1,19
1948336,1477303,2025-01-30,House,"House Third Reading",0,0,0,0,0
1948402,1589695,2025-06-12,House,"House Third Reading",38,0,0,3,41
1948402,1596917,2025-06-30,Senate,"Senate Third Reading",21,0,0,0,21
1948468,1522878,2025-03-20,House,"House Third Reading",36,0,0,5,41
1948468,1576218,2025-05-22,Senate,"Senate Third Reading",18,0,0,3,21
1948532,1520531,2025-03-18,House,"House Third Reading",36,0,0,5,41
1948532,1568372,2025-05-08,Senate,"Senate Third Reading",20,0,0,1,21
1948532,1570251,2025-05-13,House,"House Third Reading",37,0,0,4,41
1948599,1477308,2025-01-30,House,"House Third Reading",0,0,0,0,0
1948599,1477309,2025-01-30,Senate,"Senate Third Reading",19,0,0,0,19
