bill_id,people_id,position
1898122,4428,1
1898122,4457,8
1898122,4460,6
1898122,14543,2
1898122,14551,3
1898122,20146,5
1898122,23364,4
1898122,23984,7
1898123,4428,9
1898123,4457,19
1898123,14544,5
1898123,14545,15
1898123,14552,3
1898123,16374,18
1898123,16772,13
1898123,18565,7
1898123,19897,14
1898123,19899,11
1898123,19902,10
1898123,20146,6
1898123,21732,12
1898123,23364,1
1898123,23367,8
1898123,23368,2
1898123,23369,16
1898123,23984,17
1898123,25517,4
1898124,4460,10
1898124,11375,11
1898124,14543,5
1898124,14545,1
1898124,14552,3
1898124,16374,4
1898124,19896,7
1898124,19899,2
1898124,20204,8
1898124,23367,9
1898124,25518,6
1898125,4447,14
1898125,10565,9
1898125,14545,3
1898125,14553,8
1898125,16446,11
1898125,19351,15
1898125,19897,10
1898125,19898,16
1898125,19900,2
1898125,21730,1
1898125,23365,6
1898125,23367,12
1898125,23369,18
1898125,23984,17
1898125,25514,4
1898125,25515,7
1898125,25517,13
1898125,25518,5
1898126,4460,6
1898126,18423,5
1898126,19351,4
1898126,19897,1
1898126,23365,3
1898126,23984,2
1898127,11375,2
1898127,14543,3
1898127,19902,1
1898128,4447,1
1898128,4460,4
1898128,14551,5
1898128,14553,2
1898128,19898,3
1898129,14543,1
1898129,16374,2
1898130,4447,1
1898130,4460,4
1898130,14551,5
1898130,14553,2
1898130,19898,3
1898131,4411,4
1898131,4428,13
1898131,4447,25
1898131,4457,29
1898131,4460,23
1898131,10563,21
1898131,11375,27
1898131,14544,7
1898131,14545,1
1898131,14551,28
1898131,16772,16
1898131,18423,26
1898131,19351,22
1898131,19894,5
1898131,19899,15
1898131,19902,14
1898131,20203,18
1898131,20204,17
1898131,21730,8
1898131,21731,19
1898131,21734,2
1898131,23365,9
1898131,23367,11
1898131,23369,24
1898131,24374,10
1898131,25513,20
1898131,25514,12
1898131,25517,3
1898131,25518,6
1898132,10563,10
1898132,14545,1
1898132,14551,16
1898132,14552,14
1898132,16374,17
1898132,19351,2
1898132,19896,11
1898132,20203,9
1898132,21730,5
1898132,23364,4
1898132,23365,6
1898132,23367,8
1898132,23368,15
1898132,23369,13
1898132,23379,12
1898132,25514,7
1898132,25518,3
1898133,4411,1
1898133,4428,4
1898133,4447,35
1898133,4457,39
1898133,4460,25
1898133,10563,12
1898133,11375,7
1898133,14543,18
1898133,14546,33
1898133,14551,8
1898133,14552,5
1898133,14553,37
1898133,16374,29
1898133,16446,13
1898133,16769,10
1898133,16772,17
1898133,18423,38
1898133,19351,24
1898133,19897,19
1898133,19898,32
1898133,19899,15
1898133,19901,30
1898133,19903,36
1898133,19921,31
1898133,20203,21
1898133,20204,2
1898133,21732,16
1898133,21734,27
1898133,21735,34
1898133,23364,3
1898133,23368,23
1898133,23369,6
1898133,23984,26
1898133,24374,14
1898133,25515,20
1898133,25516,22
1898133,25517,9
1898133,25518,11
1898133,26416,28
1898134,4447,1
1898134,14553,2
1898134,19898,3
1898134,21734,4
1898135,4428,9
1898135,4447,19
1898135,4457,20
1898135,10563,2
1898135,11375,17
1898135,14545,1
1898135,14551,18
1898135,14552,4
1898135,16374,5
1898135,16771,7
1898135,19351,15
1898135,19894,11
1898135,19896,12
1898135,19899,3
1898135,20204,10
1898135,23364,8
1898135,23367,13
1898135,23369,21
1898135,23984,16
1898135,25514,14
1898135,25518,6
1898136,11375,6
1898136,14551,7
1898136,19899,5
1898136,19902,1
1898136,21730,4
1898136,23364,3
1898136,23368,2
1898137,4460,3
1898137,14551,4
1898137,14553,1
1898137,19898,2
1898138,16446,1
1898138,19900,4
1898138,19901,11
1898138,20204,3
1898138,21729,10
1898138,21730,5
1898138,23369,6
1898138,23379,7
1898138,25514,8
1898138,25515,2
1898138,25518,9
1898139,4460,2
1898139,16769,1
1898140,19921,1
1898141,4411,3
1898141,4428,8
1898141,4460,14
1898141,10563,12
1898141,14545,1
1898141,14551,16
1898141,16772,11
1898141,18423,2
1898141,19351,13
1898141,19894,10
1898141,19898,17
1898141,19899,9
1898141,23364,5
1898141,23984,15
1898141,24374,6
1898141,25514,7
1898141,25518,4
1901155,4447,20
1901155,4457,2
1901155,4460,8
1901155,10563,3
1901155,11375,11
1901155,14546,14
1901155,14551,15
1901155,14552,17
1901155,14553,22
1901155,16374,18
1901155,16772,26
1901155,18423,23
1901155,19351,7
1901155,19898,12
1901155,19899,25
1901155,19901,19
1901155,19903,21
1901155,19921,1
1901155,21729,24
1901155,21734,13
1901155,21735,16
1901155,23368,5
1901155,23369,9
1901155,23984,10
1901155,25515,4
1901155,26416,6
1901161,18423,4
1901161,19921,1
1901161,23369,3
1901161,25517,2
1901167,4411,2
1901167,4428,14
1901167,4447,9
1901167,4457,10
1901167,11375,5
1901167,14551,6
1901167,14552,7
1901167,16374,8
1901167,19351,3
1901167,19894,11
1901167,23364,12
1901167,23369,1
1901167,23984,4
1901167,25514,13
1901174,19351,5
1901174,19894,3
1901174,19921,1
1901174,21735,2
1901174,23369,6
1901174,26416,4
1901184,4447,5
1901184,4457,6
1901184,14553,2
1901184,16772,10
1901184,19351,4
1901184,21729,8
1901184,23367,9
1901184,23369,1
1901184,25515,3
1901184,25517,7
1901191,19894,2
1901191,19921,1
1901199,18423,6
1901199,19921,1
1901199,21732,3
1901199,21734,5
1901199,23369,4
1901199,25513,2
1901199,25518,7
1901205,4447,10
1901205,10563,5
1901205,10565,21
1901205,14545,24
1901205,14553,3
1901205,19351,7
1901205,19894,14
1901205,19896,16
1901205,19900,19
1901205,19903,11
1901205,19921,1
1901205,20203,13
1901205,20204,4
1901205,21729,18
1901205,21730,20
1901205,21732,25
1901205,21735,2
1901205,23367,22
1901205,23369,8
1901205,23379,17
1901205,23984,9
1901205,25514,23
1901205,25515,6
1901205,25517,12
1901205,25518,15
1901215,4411,5
1901215,4457,2
1901215,4460,7
1901215,11375,8
1901215,14544,11
1901215,14551,9
1901215,14552,10
1901215,16772,13
1901215,19351,6
1901215,20204,4
1901215,23369,1
1901215,23379,12
1901215,23984,3
1901225,10562,2
1901225,10565,3
1901225,19921,1
1901233,4457,3
1901233,10562,4
1901233,10563,11
