roll_call_id,people_id,vote,vote_desc
1477494,4411,1,Yea
1477494,4428,1,Yea
1477494,10562,1,Yea
1477494,10563,1,Yea
1477494,10565,1,Yea
1477494,14543,1,Yea
1477494,14544,4,Absent
1477494,14545,1,Yea
1477494,14549,1,Yea
1477494,16446,4,Absent
1477494,16769,1,Yea
1477494,16771,1,Yea
1477494,16772,1,Yea
1477494,18565,1,Yea
1477494,19894,1,Yea
1477494,19896,1,Yea
1477494,19897,1,Yea
1477494,19899,1,Yea
1477494,19900,1,Yea
1477494,19902,1,Yea
1477494,19904,4,Absent
1477494,20146,1,Yea
1477494,20203,1,Yea
1477494,20204,1,Yea
1477494,21729,1,Yea
1477494,21730,1,Yea
1477494,21731,1,Yea
1477494,21732,1,Yea
1477494,23364,1,Yea
1477494,23365,1,Yea
1477494,23366,1,Yea
1477494,23367,1,Yea
1477494,23379,1,Yea
1477494,24374,4,Absent
1477494,25026,1,Yea
1477494,25513,1,Yea
1477494,25514,1,Yea
1477494,25515,1,Yea
1477494,25516,1,Yea
1477494,25517,1,Yea
1477494,25518,4,Absent
1551476,4447,1,Yea
1551476,4457,1,Yea
1551476,4460,1,Yea
1551476,11375,4,Absent
1551476,14546,1,Yea
1551476,14551,1,Yea
1551476,14552,1,Yea
1551476,14553,1,Yea
1551476,16374,1,Yea
1551476,18423,1,Yea
1551476,19351,1,Yea
1551476,19898,1,Yea
1551476,19901,1,Yea
1551476,19903,1,Yea
1551476,19921,4,Absent
1551476,21734,1,Yea
1551476,21735,1,Yea
1551476,23368,1,Yea
1551476,23369,1,Yea
1551476,23984,1,Yea
1551476,26416,1,Yea
1520215,4411,1,Yea
1520215,4428,2,Nay
1520215,10562,2,Nay
1520215,10563,2,Nay
1520215,10565,1,Yea
1520215,14543,2,Nay
1520215,14544,2,Nay
1520215,14545,1,Yea
1520215,14549,2,Nay
1520215,16446,1,Yea
1520215,16769,2,Nay
1520215,16771,2,Nay
1520215,16772,2,Nay
