bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1907384,2168,H0001,1,Introduced,2025-01-08,"Adds to existing law to establish the Idaho Parental Choice Tax Credit.","TAXATION -- Adds to existing law to establish the Idaho Parental Choice Tax Credit.",0,,2025-01-09,"Reported Printed; Filed in the Office of the Chief Clerk",https://legiscan.com/ID/bill/H0001/2025,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0001/
1907230,2168,H0002,1,Introduced,2025-01-08,"Amends existing law to increase the vote threshold for statewide initiative petitions and to remove obsolete language.","ELECTIONS -- Amends existing law to increase the vote threshold for statewide initiative petitions and to remove obsolete language.",1529,"House State Affairs",2025-01-09,"Reported Printed and Referred to State Affairs",https://legiscan.com/ID/bill/H0002/2025,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0002/
1909082,2168,H0003,4,Passed,2025-01-28,"Amends existing law to update references to the current Internal Revenue Code.","TAXATION -- Amends existing law to update references to the current Internal Revenue Code.",0,,2025-01-28,"Reported Signed by Governor on January 27, 2025 Session Law Chapter 1 Effective: Retroactive to 01/01/2025",https://legiscan.com/ID/bill/H0003/2025,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0003/
1908725,2168,H0004,1,Introduced,2025-01-09,"Amends and adds to existing law to require the implementation of cybersecurity best practices and the use of multifactor identification in Idaho state government.","INFORMATION TECHNOLOGY SERVICES -- Amends and adds to existing law to require the implementation of cybersecurity best practices and the use of multifactor identification in Idaho state government.",1521,"House Commerce and Human Resources",2025-01-10,"Reported Printed and Referred to Commerce & Human Resources",https://legiscan.com/ID/bill/H0004/2025,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0004/
1910238,2168,H0005,1,Introduced,2025-01-10,"Adds to existing law to establish provisions regarding immunity of behavioral threat assessment and management teams in Idaho public schools.","SCHOOL SAFETY -- Adds to existing law to establish provisions regarding immunity of behavioral threat assessment and management teams in Idaho public schools.",1525,"House Judiciary, Rules and Administration",2025-01-13,"Reported Printed and Referred to Judiciary, Rules & Administration",https://legiscan.com/ID/bill/H0005/2025,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0005/
1910524,2168,H0006,4,Passed,2025-04-04,"Amends and adds to existing law to remove a provision regarding violations of the open meetings law by county officers, to authorize investigations and actions against city officers by the attorney general, and to provide for duties of the attorney general.","CITY AND COUNTY OFFICERS -- Amends and adds to existing law to remove a provision regarding violations of the open meetings law by county officers, to authorize investigations and actions against city officers by the attorney general, and to provide for duties of the attorney general.",0,,2025-04-04,"Reported Signed by Governor on April 4, 2025 Session Law Chapter 296 Effective: 07/01/2025",https://legiscan.com/ID/bill/H0006/2025,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0006/
1910380,2168,H0007,4,Passed,2025-02-25,"Amends existing law to provide a penalty for possession of less than three ounces of marijuana.","UNIFORM CONTROLLED SUBSTANCES -- Amends existing law to provide a penalty for possession of less than three ounces of marijuana.",0,,2025-02-25,"Reported Signed by Governor on February 24, 2025 Session Law Chapter 7 Effective: 07/01/2025",https://legiscan.com/ID/bill/H0007/2025,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0007/
1915898,2168,H0008,4,Passed,2025-03-11,"Amends and repeals existing law to revise provisions regarding public utility regulation.","PUBLIC UTILITIES -- Amends and repeals existing law to revise provisions regarding public utility regulation.",0,,2025-03-11,"Reported Signed by Governor on March 10, 2025 Session Law Chapter 20 Effective: 07/01/2025",https://legiscan.com/ID/bill/H0008/2025,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0008/
1918153,2168,H0009,4,Passed,2025-03-25,"Amends, repeals, and adds to existing law to revise the procedures for the conducting of contested cases.","IDAHO ADMINISTRATIVE PROCEDURE ACT -- Amends, repeals, and adds to existing law to revise the procedures for the conducting of contested cases.",0,,2025-03-25,"Reported Signed by Governor on March 24, 2025 Session Law Chapter 151 Effective: 07/01/2025",https://legiscan.com/ID/bill/H0009/2025,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0009/
1917983,2168,H0010,1,Introduced,2025-01-14,"Adds to existing law to allow public schools to display only certain flags and banners on school property and to prohibit schools from displaying certain flags and banners.","EDUCATION -- Adds to existing law to allow public schools to display only certain flags and banners on school property and to prohibit schools from displaying certain flags and banners.",0,,2025-01-24,"U.C. to be returned to Education Committee",https://legiscan.com/ID/bill/H0010/2025,https://legislature.idaho.gov/sessioninfo/2025/legislation/H0010/
