bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1907384,3043009,text,58162,application/pdf,Introduced,https://legiscan.com/ID/text/H0001/id/3043009,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0001.pdf
1907230,3042871,text,51659,application/pdf,Introduced,https://legiscan.com/ID/text/H0002/id/3042871,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0002.pdf
1909082,3046030,text,42955,application/pdf,Introduced,https://legiscan.com/ID/text/H0003/id/3046030,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0003.pdf
1908725,3045701,text,57220,application/pdf,Introduced,https://legiscan.com/ID/text/H0004/id/3045701,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0004.pdf
1910238,3047138,text,50929,application/pdf,Introduced,https://legiscan.com/ID/text/H0005/id/3047138,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0005.pdf
1910524,3047366,text,61569,application/pdf,Introduced,https://legiscan.com/ID/text/H0006/id/3047366,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0006.pdf
1910524,3196707,text,62846,application/pdf,Engrossed,https://legiscan.com/ID/text/H0006/id/3196707,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0006E1.pdf
1910380,3047250,text,57488,application/pdf,Introduced,https://legiscan.com/ID/text/H0007/id/3047250,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0007.pdf
1915898,3052942,text,99745,application/pdf,Introduced,https://legiscan.com/ID/text/H0008/id/3052942,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0008.pdf
1918153,3055160,text,155760,application/pdf,Introduced,https://legiscan.com/ID/text/H0009/id/3055160,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0009.pdf
1918153,3152957,text,154991,application/pdf,Engrossed,https://legiscan.com/ID/text/H0009/id/3152957,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0009E1.pdf
1917983,3055008,text,45296,application/pdf,Introduced,https://legiscan.com/ID/text/H0010/id/3055008,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0010.pdf
1917813,3054864,text,68686,application/pdf,Introduced,https://legiscan.com/ID/text/H0011/id/3054864,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0011.pdf
1918321,3055300,text,70444,application/pdf,Introduced,https://legiscan.com/ID/text/H0012/id/3055300,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0012.pdf
1919987,3057212,text,46322,application/pdf,Introduced,https://legiscan.com/ID/text/H0013/id/3057212,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0013.pdf
1919987,3157761,text,49868,application/pdf,Engrossed,https://legiscan.com/ID/text/H0013/id/3157761,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0013E1.pdf
1920503,3057662,text,48596,application/pdf,Introduced,https://legiscan.com/ID/text/H0014/id/3057662,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0014.pdf
1923470,3060570,text,46655,application/pdf,Introduced,https://legiscan.com/ID/text/H0015/id/3060570,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0015.pdf
1923965,3061096,text,56960,application/pdf,Introduced,https://legiscan.com/ID/text/H0016/id/3061096,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0016.pdf
1924333,3061490,text,73632,application/pdf,Introduced,https://legiscan.com/ID/text/H0017/id/3061490,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0017.pdf
1923346,3060442,text,44914,application/pdf,Introduced,https://legiscan.com/ID/text/H0018/id/3060442,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0018.pdf
1924341,3061630,text,51603,application/pdf,Introduced,https://legiscan.com/ID/text/H0019/id/3061630,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0019.pdf
1927067,3064378,text,51847,application/pdf,Introduced,https://legiscan.com/ID/text/H0020/id/3064378,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0020.pdf
1927122,3064415,text,54888,application/pdf,Introduced,https://legiscan.com/ID/text/H0021/id/3064415,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0021.pdf
1927010,3064337,text,65965,application/pdf,Introduced,https://legiscan.com/ID/text/H0022/id/3064337,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0022.pdf
1926904,3064265,text,87084,application/pdf,Introduced,https://legiscan.com/ID/text/H0023/id/3064265,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0023.pdf
1926956,3064301,text,50093,application/pdf,Introduced,https://legiscan.com/ID/text/H0024/id/3064301,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0024.pdf
1930233,3067736,text,84015,application/pdf,Introduced,https://legiscan.com/ID/text/H0025/id/3067736,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0025.pdf
1931448,3069031,text,54475,application/pdf,Introduced,https://legiscan.com/ID/text/H0026/id/3069031,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0026.pdf
1931188,3068838,text,49787,application/pdf,Introduced,https://legiscan.com/ID/text/H0027/id/3068838,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0027.pdf
1931636,3069173,text,94585,application/pdf,Introduced,https://legiscan.com/ID/text/H0028/id/3069173,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0028.pdf
1931561,3069116,text,107844,application/pdf,Introduced,https://legiscan.com/ID/text/H0029/id/3069116,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0029.pdf
1931302,3068920,text,174352,application/pdf,Introduced,https://legiscan.com/ID/text/H0030/id/3068920,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0030.pdf
1931226,3068866,text,52066,application/pdf,Introduced,https://legiscan.com/ID/text/H0031/id/3068866,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0031.pdf
1931674,3069201,text,49399,application/pdf,Introduced,https://legiscan.com/ID/text/H0032/id/3069201,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2025/legislation/H0032.pdf
