bill_id,date,chamber,sequence,action
1902256,2025-01-06,House,1,"Introduced, read first time, referred to JRA for Printing"
1902256,2025-01-06,House,2,"Reported Printed and Held at Desk"
1902256,2025-01-06,House,3,"Rules Suspended: Ayes 70 Nays 0 Abs/Excd 0, read in full as required -- ADOPTED -- voice vote"
1902256,2025-01-06,House,4,"Title apvd"
1902256,2025-01-06,House,5,"to Senate"
1902256,2025-01-06,Senate,6,"Received from the House passed; filed for first reading"
1902256,2025-01-06,Senate,7,"Introduced; read first time at length"
1902256,2025-01-06,Senate,8,"Rules Suspended (2/3 Vote"
1902256,2025-01-06,Senate,9,"Read in full as required) -- ADOPTED -- voice vote"
1902256,2025-01-06,Senate,10,"Title apvd"
1902256,2025-01-06,Senate,11,"to House"
1902256,2025-01-07,House,12,"Returned from Senate Passed; to JRA for Enrolling"
1902256,2025-01-08,House,13,"Reported Enrolled; Signed by Speaker; Transmitted to Senate"
1902256,2025-01-09,Senate,14,"Received from the House enrolled/signed by Speaker"
1902256,2025-01-09,Senate,15,"Signed by President; returned to House"
1902256,2025-01-10,House,16,"Returned Signed by the President; Ordered Transmitted to Secretary of State"
1902256,2025-01-13,House,17,"Delivered to Secretary of State at 8:47 a.m. on January 10, 2025"
1904034,2025-01-07,House,1,"Introduced, read first time, referred to JRA for Printing"
1904034,2025-01-08,House,2,"Reported Printed and Referred to State Affairs"
1904034,2025-01-09,House,3,"Reported out of Committee with Do Pass Recommendation, Filed for Second Reading"
1904034,2025-01-10,House,4,"Read second time; Filed for Third Reading"
1904034,2025-01-13,House,5,"U.C. to hold place on third reading calendar one legislative day"
1904034,2025-01-14,House,6,"Read Third Time in Full -- ADOPTED 61-8-1"
1904034,2025-01-14,House,7,"Title apvd"
1904034,2025-01-14,House,8,"to Senate"
1904034,2025-01-15,Senate,9,"Received from the House passed; filed for first reading"
1904034,2025-01-15,Senate,10,"Introduced, read first time; referred to: State Affairs"
1904034,2025-02-05,Senate,11,"Reported out of Committee with Do Pass Recommendation; to 10th order; held one legislative day"
1904034,2025-02-10,Senate,12,"Read in full -- ADOPTED -- voice vote"
1904034,2025-02-10,Senate,13,"Title apvd"
1904034,2025-02-10,Senate,14,"to House"
1904034,2025-02-11,House,15,"Returned from Senate Passed; to JRA for Enrolling"
1904034,2025-02-12,House,16,"Reported Enrolled; Signed by Speaker; Transmitted to Senate"
1904034,2025-02-13,Senate,17,"Received from the House enrolled/signed by Speaker"
1904034,2025-02-13,Senate,18,"Signed by President; returned to House"
1904034,2025-02-14,House,19,"Returned Signed by the President; Ordered Transmitted to Secretary of State"
1904034,2025-02-17,House,20,"Delivered to Secretary of State at 11:16 a.m. on February 14, 2025"
1904299,2025-01-07,House,1,"Introduced, read first time, referred to JRA for Printing"
1904299,2025-01-08,House,2,"Reported Printed and Referred to State Affairs"
1904299,2025-01-23,House,3,"Reported out of Committee with Do Pass Recommendation, Filed for Second Reading"
1904299,2025-01-24,House,4,"Read second time; Filed for Third Reading"
1904299,2025-01-27,House,5,"Read Third Time in Full -- ADOPTED 46-24-0"
1904299,2025-01-27,House,6,"Title apvd"
1904299,2025-01-27,House,7,"to Senate"
1904299,2025-01-28,Senate,8,"Received from the House passed; filed for first reading"
1904299,2025-01-28,Senate,9,"Introduced, read first time; referred to: State Affairs"
1907230,2025-01-08,House,1,"Introduced, read first time, referred to JRA for Printing"
1907230,2025-01-09,House,2,"Reported Printed and Referred to State Affairs"
1907384,2025-01-08,House,1,"Introduced, read first time, referred to JRA for Printing"
1907384,2025-01-09,House,2,"Reported Printed; Filed in the Office of the Chief Clerk"
1908725,2025-01-09,House,1,"Introduced, read first time, referred to JRA for Printing"
1908725,2025-01-10,House,2,"Reported Printed and Referred to Commerce & Human Resources"
1909082,2025-01-09,House,1,"Introduced, read first time, referred to JRA for Printing"
1909082,2025-01-10,House,2,"Reported Printed and Referred to Revenue & Taxation"
1909082,2025-01-13,House,3,"Reported out of Committee with Do Pass Recommendation, Filed for Second Reading"
1909082,2025-01-14,House,4,"Read second time; Filed for Third Reading"
1909082,2025-01-14,House,5,"Rules Suspended:"
1909082,2025-01-14,House,6,"Title apvd"
1909082,2025-01-14,House,7,"to Senate"
1909082,2025-01-15,Senate,8,"Received from the House passed; filed for first reading"
1909082,2025-01-15,Senate,9,"Introduced, read first time; referred to: Local Government & Taxation"
1909082,2025-01-17,Senate,10,"Reported out of Committee with Do Pass Recommendation; Filed for second reading"
1909082,2025-01-20,Senate,11,"Read second time; filed for Third Reading"
1909082,2025-01-21,Senate,12,"Read third time in full -- PASSED 32-3-0"
1909082,2025-01-21,Senate,13,"Title apvd"
1909082,2025-01-21,Senate,14,"to House"
1909082,2025-01-22,House,15,"Returned from Senate Passed; to JRA for Enrolling"
1909082,2025-01-23,House,16,"Reported Enrolled; Signed by Speaker; Transmitted to Senate"
1909082,2025-01-24,Senate,17,"Received from the House enrolled/signed by Speaker"
1909082,2025-01-24,Senate,18,"Signed by President; returned to House"
1909082,2025-01-27,House,19,"Returned Signed by the President; Ordered Transmitted to Governor"
1909082,2025-01-28,House,20,"Delivered to Governor at 2:31 p.m. on January 27, 2025"
1909082,2025-01-28,House,21,"Reported Signed by Governor on January 27, 2025 Session Law Chapter 1 Effective: Retroactive to 01/01/2025"
1910238,2025-01-10,House,1,"Introduced, read first time, referred to JRA for Printing"
1910238,2025-01-13,House,2,"Reported Printed and Referred to Judiciary, Rules & Administration"
1910380,2025-01-10,House,1,"Introduced, read first time, referred to JRA for Printing"
1910380,2025-01-13,House,2,"Reported Printed and Referred to Judiciary, Rules & Administration"
1910380,2025-01-16,House,3,"Reported out of Committee with Do Pass Recommendation, Filed for Second Reading"
1910380,2025-01-17,House,4,"Read second time; Filed for Third Reading"
1910380,2025-01-20,House,5,"U.C. to hold place on third reading calendar one legislative day"
1910380,2025-01-21,House,6,"Read Third Time in Full -- PASSED 54-14-2"
1910380,2025-01-21,House,7,"Title apvd"
1910380,2025-01-21,House,8,"to Senate"
1910380,2025-01-22,Senate,9,"Received from the House passed; filed for first reading"
1910380,2025-01-22,Senate,10,"Introduced, read first time; referred to: Judiciary & Rules"
1910380,2025-02-10,Senate,11,"Reported out of Committee with Do Pass Recommendation; Filed for second reading"
1910380,2025-02-11,Senate,12,"Read second time; filed for Third Reading"
1910380,2025-02-18,Senate,13,"Read third time in full -- PASSED 27-8-0"
1910380,2025-02-18,Senate,14,"Title apvd"
1910380,2025-02-18,Senate,15,"to House"
1910380,2025-02-19,House,16,"Returned from Senate Passed; to JRA for Enrolling"
1910380,2025-02-20,House,17,"Reported Enrolled; Signed by Speaker; Transmitted to Senate"
1910380,2025-02-21,Senate,18,"Received from the House enrolled/signed by Speaker"
1910380,2025-02-21,Senate,19,"Signed by President; returned to House"
1910380,2025-02-21,House,20,"Returned Signed by the President; Ordered Transmitted to Governor"
1910380,2025-02-24,House,21,"Delivered to Governor at 11:46 a.m. on February 21, 2025"
1910380,2025-02-25,House,22,"Reported Signed by Governor on February 24, 2025 Session Law Chapter 7 Effective: 07/01/2025"
1910524,2025-01-10,House,1,"Introduced, read first time, referred to JRA for Printing"
1910524,2025-01-13,House,2,"Reported Printed and Referred to Judiciary, Rules & Administration"
1910524,2025-01-16,House,3,"Reported out of Committee with Do Pass Recommendation, Filed for Second Reading"
1910524,2025-01-17,House,4,"Read second time; Filed for Third Reading"
1910524,2025-01-20,House,5,"U.C. to hold place on third reading calendar one legislative day"
1910524,2025-01-21,House,6,"Read Third Time in Full -- PASSED 56-11-3"
1910524,2025-01-21,House,7,"Title apvd"
1910524,2025-01-21,House,8,"to Senate"
1910524,2025-01-22,Senate,9,"Received from the House passed; filed for first reading"
1910524,2025-01-22,Senate,10,"Introduced, read first time; referred to: State Affairs"
1910524,2025-01-27,Senate,11,"Reported out of committee; to 14th Order for amendment"
1910524,2025-03-27,Senate,12,"Placed in the Committee of the Whole"
1910524,2025-03-27,Senate,13,"Amendments ordered printed"
1910524,2025-03-27,Senate,14,"Reported out as amended; filed for first reading"
1910524,2025-03-27,Senate,15,"Amendments reported printed"
1910524,2025-03-27,Senate,16,"Read first time as amended in the Senate; Filed for Second Reading"
1910524,2025-03-28,Senate,17,"Read second time as amended in the Senate, filed for Third Reading"
1910524,2025-03-31,Senate,18,"Read third time as amended in the Senate -- PASSED 28-5-2"
1910524,2025-03-31,Senate,19,"Title apvd"
1910524,2025-03-31,Senate,20,"to House"
1910524,2025-04-01,House,21,"Returned from the Senate Amended; Held at Desk"
1910524,2025-04-01,House,22,"House Concurred in Senate Amendments"
1910524,2025-04-01,House,23,"Returned from the Senate Amended; Held at Desk"
1910524,2025-04-01,House,24,"Bills as Amended Referred to JRA for Engrossing"
1910524,2025-04-01,House,25,"Reported Engrossed; Filed for First Reading of Engrossed Bills"
1910524,2025-04-01,House,26,"Read first time as amended in Senate; Filed for Second Reading"
1910524,2025-04-02,House,27,"Read second time as amended in Senate; Filed for Third Reading"
1910524,2025-04-02,House,28,"Rules Suspended:"
1910524,2025-04-02,House,29,"Title apvd"
1910524,2025-04-02,House,30,"to enrol"
1910524,2025-04-03,House,31,"Reported Enrolled; Signed by Speaker; Transmitted to Senate"
1910524,2025-04-03,Senate,32,"Received from the House enrolled/signed by Speaker"
1910524,2025-04-03,Senate,33,"Signed by President; returned to House"
1910524,2025-04-03,House,34,"Returned Signed by the President; Ordered Transmitted to Governor"
1910524,2025-04-03,House,35,"Delivered to Governor at 3:04 p.m. on April 3, 2025"
1910524,2025-04-04,House,36,"Reported Signed by Governor on April 4, 2025 Session Law Chapter 296 Effective: 07/01/2025"
1915898,2025-01-13,House,1,"Introduced, read first time, referred to JRA for Printing"
1915898,2025-01-14,House,2,"Reported Printed and Referred to State Affairs"
