people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
8012,"Judy Boyle",Judy,,Boyle,,,2,R,1,Rep,HD-009B,6675346,103843,,Judy_Boyle,268017,0
8019,"Brent Crane",Brent,J.,Crane,,,2,R,1,Rep,HD-013A,6668618,58399,,Brent_Crane,249700,0
8026,"Phil Hart",Phil,,Hart,,,2,R,2,Sen,SD-002,6522308,33044,,Phil_Hart,227128,0
8043,"Mike Moyle",Mike,,Moyle,,,2,R,1,Rep,HD-010A,12999763,18112,,Mike_Moyle,194184,0
8046,"Joe Palmer",Joe,A.,Palmer,,,2,R,1,Rep,HD-020A,12999823,103874,,Joe_Palmer,268042,0
8053,"James Ruchti",James,D.,Ruchti,,,1,D,2,Sen,SD-029,6472277,59700,,James_Ruchti,250659,0
12737,"Vito Barbieri",Vito,,Barbieri,,,2,R,1,Rep,HD-003A,6683755,119896,,Vito_Barbieri,289634,0
12742,"Jim Guthrie",Jim,K.,Guthrie,,,2,R,2,Sen,SD-028,6668637,59699,,Jim_Guthrie_(Idaho),289740,0
12749,"John Vander Woude",John,,"Vander Woude",,,2,R,1,Rep,HD-022A,6668688,57371,,John_Vander_Woude,658777,0
13999,"Agricultural Affairs Committee",,,,,,0,,1,Rep,,0,0,,,0,1518
14000,"Appropriations Committee",,,,,,0,,1,Rep,,0,0,,,0,1519
14001,"Business Committee",,,,,,0,,1,Rep,,0,0,,,0,1520
14002,"Commerce and Human Resources Committee",,,,,,0,,1,Rep,,0,0,,,0,1521
14003,"Education Committee",,,,,,0,,1,Rep,,0,0,,,0,1522
14004,"Environment, Energy and Technology Committee",,,,,,0,,1,Rep,,0,0,,,0,1523
14005,"Health and Welfare Committee",,,,,,0,,1,Rep,,0,0,,,0,1524
14006,"Judiciary, Rules and Administration Committee",,,,,,0,,1,Rep,,0,0,,,0,1525
14007,"Local Government Committee",,,,,,0,,1,Rep,,0,0,,,0,1526
14008,"Resources and Conservation Committee",,,,,,0,,1,Rep,,0,0,,,0,1527
14009,"Revenue and Taxation Committee",,,,,,0,,1,Rep,,0,0,,,0,1528
14010,"State Affairs Committee",,,,,,0,,1,Rep,,0,0,,,0,1529
14011,"Transportation and Defense Committee",,,,,,0,,1,Rep,,0,0,,,0,1530
14012,"Ways and Means Committee",,,,,,0,,1,Rep,,0,0,,,0,1531
14013,"Agricultural Affairs Committee",,,,,,0,,2,Sen,,0,0,,,0,1532
14014,"Commerce and Human Resources Committee",,,,,,0,,2,Sen,,0,0,,,0,1533
14015,"Education Committee",,,,,,0,,2,Sen,,0,0,,,0,1534
14016,"Finance Committee",,,,,,0,,2,Sen,,0,0,,,0,1535
14017,"Health and Welfare Committee",,,,,,0,,2,Sen,,0,0,,,0,1536
14018,"Judiciary and Rules Committee",,,,,,0,,2,Sen,,0,0,,,0,1537
14019,"Local Government and Taxation Committee",,,,,,0,,2,Sen,,0,0,,,0,1538
14020,"Resources and Environment Committee",,,,,,0,,2,Sen,,0,0,,,0,1539
14021,"State Affairs Committee",,,,,,0,,2,Sen,,0,0,,,0,1540
14022,"Transportation Committee",,,,,,0,,2,Sen,,0,0,,,0,1541
15431,"John Gannon",John,L.,Gannon,,,1,D,1,Rep,HD-017A,12999797,33078,,John_L._Gannon_(Idaho),406747,0
15789,"Lance Clow",Lance,W.,Clow,,,2,R,1,Rep,HD-025A,10885602,72377,,Lance_Clow,406860,0
15796,"James Holtzclaw",James,,Holtzclaw,,,2,R,1,Rep,HD-020B,10885582,137056,,James_Holtzclaw,406810,0
15797,"Wendy Horman",Wendy,,Horman,,,2,R,1,Rep,HD-032B,10885637,137104,,Wendy_Horman,406962,0
15802,"Ron Mendive",Ron,,Mendive,,,2,R,1,Rep,HD-005A,10885486,136961,,Ron_Mendive,406500,0
15803,"Steve Miller",Steven,,Miller,,Steve,2,R,1,Rep,HD-024B,8051414,203186,,Steve_Miller_(Idaho),406886,0
