bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1904034,1471384,2025-01-14,House,"House Third Reading",61,8,0,1,70
1904299,1474800,2025-01-27,House,"House Third Reading",46,24,0,0,70
1909082,1471419,2025-01-14,House,"House Third Reading",56,14,0,0,70
1909082,1472592,2025-01-21,Senate,"Senate Third Reading",32,3,0,0,35
1910380,1472604,2025-01-21,House,"House Third Reading",54,14,0,2,70
1910380,1492015,2025-02-18,Senate,"Senate Third Reading",27,8,0,0,35
1910524,1472599,2025-01-21,House,"House Third Reading",56,11,0,3,70
1910524,1531110,2025-03-31,Senate,"Senate Third Reading",28,5,0,2,35
1910524,1534935,2025-04-02,House,"House Third Reading",58,8,0,4,70
1915898,1477410,2025-01-30,House,"House Third Reading",67,0,0,3,70
1915898,1505416,2025-03-04,Senate,"Senate Third Reading",34,0,0,1,35
1917648,1475117,2025-01-27,Senate,"Senate Third Reading",32,1,0,2,35
1917648,1506855,2025-03-05,House,"House Third Reading",70,0,0,0,70
1918153,1508842,2025-03-07,House,"House Third Reading",69,0,0,1,70
1918153,1520183,2025-03-18,Senate,"Senate Third Reading",35,0,0,0,35
1919987,1473737,2025-01-23,House,"House Third Reading",59,9,0,2,70
1919987,1506965,2025-03-05,Senate,"Senate Third Reading",29,4,0,2,35
1919987,1515384,2025-03-11,House,"House Third Reading",66,3,0,1,70
1920239,1507912,2025-03-06,Senate,"Senate Third Reading",33,2,0,0,35
1920503,1473847,2025-01-23,House,"House Third Reading",68,0,0,2,70
1920503,1477399,2025-01-30,Senate,"Senate Third Reading",34,0,0,1,35
1923470,1476252,2025-01-29,House,"House Third Reading",59,10,0,1,70
1923470,1496417,2025-02-21,Senate,"Senate Third Reading",32,0,0,3,35
1923719,1483450,2025-02-06,Senate,"Senate Third Reading",25,10,0,0,35
1923719,1507630,2025-03-06,House,"House Third Reading",34,30,0,6,70
1923965,1491676,2025-02-17,House,"House Third Reading",62,7,0,1,70
1923965,1516648,2025-03-12,Senate,"Senate Third Reading",14,21,0,0,35
1924091,1473076,2025-01-22,House,"House Third Reading",43,25,0,2,70
1924091,1483316,2025-02-06,Senate,"Senate Third Reading",35,0,0,0,35
1924341,1479321,2025-02-03,House,"House Third Reading",70,0,0,0,70
1924341,1512363,2025-03-10,Senate,"Senate Third Reading",34,0,0,1,35
1926904,1495460,2025-02-20,House,"House Third Reading",66,0,0,4,70
1926904,1506902,2025-03-05,Senate,"Senate Third Reading",33,0,0,2,35
1927010,1496003,2025-02-20,House,"House Third Reading",66,0,0,4,70
1927010,1506559,2025-03-05,Senate,"Senate Third Reading",30,3,0,2,35
1927122,1495453,2025-02-20,House,"House Third Reading",40,25,0,5,70
1927122,1506507,2025-03-05,Senate,"Senate Third Reading",26,7,0,2,35
1927184,1473147,2025-01-22,Senate,"Senate Third Reading",25,9,0,1,35
1927184,1485179,2025-02-10,House,"House Third Reading",54,12,0,4,70
1927343,1474791,2025-01-24,Senate,"Senate Third Reading",32,0,0,3,35
1927343,1507995,2025-03-06,House,"House Third Reading",64,0,0,6,70
1927674,1502341,2025-02-28,Senate,"Senate Third Reading",25,9,0,1,35
1927674,1507935,2025-03-06,House,"House Third Reading",56,10,0,4,70
1928004,1478239,2025-01-31,Senate,"Senate Third Reading",32,0,0,3,35
1928004,1508302,2025-03-06,House,"House Third Reading",64,0,0,6,70
1930233,1506179,2025-03-05,House,"House Third Reading",70,0,0,0,70
1930233,1530129,2025-03-28,Senate,"Senate Third Reading",34,0,0,1,35
1931159,1480283,2025-02-04,Senate,"Senate Third Reading",35,0,0,0,35
1931159,1517968,2025-03-14,House,"House Third Reading",64,2,0,4,70
1931226,1482803,2025-02-05,House,"House Third Reading",68,0,0,2,70
1931226,1505090,2025-03-04,Senate,"Senate Third Reading",34,0,0,1,35
1931261,1496457,2025-02-21,Senate,"Senate Third Reading",26,7,0,2,35
1931261,1519432,2025-03-17,House,"House Third Reading",44,22,0,4,70
1931339,1473653,2025-01-23,House,"House Third Reading",61,7,0,2,70
1931373,1498139,2025-02-24,Senate,"Senate Third Reading",35,0,0,0,35
1931373,1508624,2025-03-07,House,"House Third Reading",68,0,0,2,70
1931415,1496644,2025-02-21,Senate,"Senate Third Reading",33,0,0,2,35
1931415,1517991,2025-03-14,House,"House Third Reading",66,0,0,4,70
1931448,1485545,2025-02-10,House,"House Third Reading",56,13,0,1,70
1931448,1506267,2025-03-05,Senate,"Senate Third Reading",27,6,0,2,35
1931524,1480286,2025-02-04,Senate,"Senate Third Reading",35,0,0,0,35
1931524,1507911,2025-03-06,House,"House Third Reading",63,1,0,6,70
1931561,1478888,2025-02-03,House,"House Third Reading",70,0,0,0,70
1931561,1492038,2025-02-18,Senate,"Senate Third Reading",35,0,0,0,35
1931603,1498189,2025-02-24,Senate,"Senate Third Reading",34,0,0,1,35
1931603,1508773,2025-03-07,House,"House Third Reading",65,3,0,2,70
1931636,1498268,2025-02-24,House,"House Third Reading",67,0,0,3,70
1931636,1512362,2025-03-10,Senate,"Senate Third Reading",35,0,0,0,35
1931674,1476384,2025-01-29,House,"House Third Reading",52,16,0,2,70
1931674,1496428,2025-02-21,Senate,"Senate Third Reading",27,6,0,2,35
1934732,1475188,2025-01-27,House,"House Third Reading",54,16,0,0,70
1934732,1492100,2025-02-18,Senate,"Senate Third Reading",31,4,0,0,35
1934834,1483246,2025-02-06,House,"House Third Reading",69,0,0,1,70
1934834,1505597,2025-03-04,Senate,"Senate Third Reading",34,0,0,1,35
1935034,1478250,2025-01-31,Senate,"Senate Third Reading",32,0,0,3,35
1935133,1483248,2025-02-06,House,"House Third Reading",58,11,0,1,70
1935133,1506637,2025-03-05,Senate,"Senate Third Reading",28,7,0,0,35
1935230,1487766,2025-02-12,House,"House Third Reading",46,23,0,1,70
1935230,1506563,2025-03-05,Senate,"Senate Third Reading",20,13,0,2,35
1935323,1483748,2025-02-06,House,"House Third Reading",69,0,0,1,70
1935323,1509771,2025-03-10,Senate,"Senate Third Reading",34,0,0,1,35
1937219,1490504,2025-02-14,Senate,"Senate Third Reading",6,28,0,1,35
1937273,1475604,2025-01-28,House,"House Third Reading",59,11,0,0,70
1937273,1506564,2025-03-05,Senate,"Senate Third Reading",29,6,0,0,35
1937273,1514492,2025-03-11,House,"House Third Reading",60,10,0,0,70
1937334,1501990,2025-02-26,Senate,"Senate Third Reading",19,14,0,2,35
1937334,1521528,2025-03-19,House,"House Third Reading",47,23,0,0,70
1937389,1477395,2025-01-30,Senate,"Senate Third Reading",34,0,0,1,35
