bill_id,people_id,position
1902256,15804,1
1902256,16113,2
1904034,8012,16
1904034,14010,1
1904034,15789,31
1904034,15796,25
1904034,15797,38
1904034,15802,8
1904034,15803,30
1904034,15804,27
1904034,17209,4
1904034,19056,35
1904034,21002,3
1904034,21007,37
1904034,21017,9
1904034,22624,10
1904034,22626,17
1904034,22726,12
1904034,23915,6
1904034,23918,20
1904034,23919,21
1904034,23922,26
1904034,23929,23
1904034,23936,34
1904034,23937,7
1904034,23938,5
1904034,23941,24
1904034,25747,13
1904034,25748,28
1904034,25749,36
1904034,25750,19
1904034,25755,11
1904034,25756,29
1904034,25757,32
1904034,25758,18
1904034,25759,33
1904034,25760,2
1904034,25761,15
1904034,25762,22
1904034,25763,14
1904299,14010,1
1907230,8019,9
1907230,8046,6
1907230,14010,1
1907230,15797,11
1907230,19530,3
1907230,22625,2
1907230,22726,8
1907230,23922,7
1907230,23929,10
1907230,23936,4
1907230,25762,5
1907384,25756,1
1908725,14010,1
1909082,14009,1
1910238,14006,1
1910238,23929,2
1910380,8043,3
1910380,14006,1
1910380,15818,6
1910380,21007,9
1910380,21035,4
1910380,23919,5
1910380,23941,11
1910380,25752,7
1910380,25755,10
1910380,25756,8
1910380,25767,2
1910524,14006,1
1910524,23918,4
1910524,23937,3
1910524,24640,2
1915898,14010,1
1917648,8012,13
1917648,8053,4
1917648,14018,1
1917648,15431,24
1917648,15797,3
1917648,15802,29
1917648,16113,11
1917648,18620,6
1917648,19060,10
1917648,19530,27
1917648,21014,14
1917648,22942,19
1917648,23915,5
1917648,23937,21
1917648,23938,17
1917648,24546,18
1917648,24635,8
1917648,24638,2
1917648,24640,20
1917648,24642,12
1917648,25747,26
1917648,25748,7
1917648,25749,23
1917648,25750,15
1917648,25755,9
1917648,25756,25
1917648,25758,28
1917648,25760,22
1917648,25766,16
1917813,14010,1
1917983,14003,1
1918153,14006,1
1918321,14010,1
1919987,14011,1
1920239,14022,1
1920503,14010,1
1923346,14001,1
1923470,14008,1
1923596,8053,4
1923596,15431,12
1923596,15811,10
1923596,16113,15
1923596,17211,1
1923596,21003,5
1923596,21009,13
1923596,22669,2
1923596,22727,14
1923596,23065,6
1923596,23923,11
1923596,24816,8
1923596,25167,3
1923596,25751,7
1923596,25753,9
1923719,14020,1
1923719,18620,2
1923719,23935,3
1923965,14001,1
1923965,25747,2
1923965,25763,3
1924091,14008,1
1924214,14021,1
1924214,19060,2
1924214,23929,12
1924214,24642,4
1924214,25750,5
1924214,25756,11
1924214,25757,9
1924214,25758,3
1924214,25763,7
1924214,25764,8
1924214,25766,6
1924214,25767,10
1924333,14001,1
1924341,14006,1
1924341,25765,2
1926904,14011,1
1926956,13999,1
1927010,14011,1
1927067,14011,1
1927122,14011,1
1927184,14021,1
1927343,14014,1
1927508,14021,1
1927674,14015,1
1927674,23927,2
1927838,14021,1
1928004,14014,1
1928168,14021,1
1930233,14009,1
1931159,14017,1
1931188,14005,1
1931226,14005,1
1931261,14013,1
1931302,14005,1
1931339,14012,1
1931373,14020,1
1931415,14020,1
1931415,17857,2
1931415,21002,3
1931415,23942,4
1931448,14005,1
1931448,21014,4
1931448,23935,3
1931448,24635,2
1931485,14010,1
1931524,14017,1
1931561,14005,1
1931603,14020,1
1931603,17199,2
1931603,17857,3
1931636,14005,1
1931674,14010,1
1934633,14009,1
1934732,14002,1
1934834,14002,1
1934935,14015,1
1935034,14014,1
1935133,8012,11
1935133,12737,13
1935133,14006,1
1935133,15804,10
1935133,19530,6
1935133,21002,12
1935133,22726,17
1935133,23915,8
1935133,23919,14
1935133,23927,7
1935133,23929,5
