bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1906054,1542453,2025-04-09,House,"Third Reading in House",116,0,0,0,116
1906054,1576653,2025-05-22,Senate,"Motion in Senate",58,0,1,0,59
1906084,1540045,2025-04-08,House,"Third Reading in House",113,0,0,0,113
1906084,1575295,2025-05-21,Senate,"Third Reading in Senate",58,0,1,0,59
1906084,1582027,2025-05-30,House,"Concurrence in House",115,0,0,0,115
1906087,1544740,2025-04-10,House,"Third Reading in House",82,30,1,0,113
1906087,1581623,2025-05-29,Senate,"Third Reading in Senate",56,0,3,0,59
1906087,1582359,2025-05-31,House,"Concurrence in House",77,40,0,0,117
1906221,1541397,2025-04-08,House,"Third Reading in House",115,0,0,0,115
1906221,1576654,2025-05-22,Senate,"Motion in Senate",58,0,1,0,59
1906238,1539001,2025-04-07,House,"Third Reading in House",107,0,0,0,107
1906238,1576638,2025-05-22,Senate,"Motion in Senate",58,0,1,0,59
1906249,1581001,2025-05-29,House,"Third Reading in House",76,38,1,0,115
1906311,1545469,2025-04-10,House,"Third Reading in House",112,0,0,0,112
1906332,1586228,2025-04-07,House,"Third Reading in House",105,1,1,0,107
1906342,1539041,2025-04-07,House,"Third Reading in House",103,0,4,0,107
1906342,1582889,2025-05-31,Senate,"Third Reading in Senate",32,23,4,0,59
1906342,1582890,2025-05-31,House,"Concurrence in House",74,41,0,0,115
1906342,1582891,2025-05-31,House,"Concurrence in House",74,41,0,0,115
1906354,1545842,2025-04-10,House,"Third Reading in House",112,0,1,0,113
1906354,1575537,2025-05-21,Senate,"Third Reading in Senate",58,0,1,0,59
1906354,1582040,2025-05-30,House,"Concurrence in House",115,0,0,0,115
1906359,1541679,2025-04-09,House,"Third Reading in House",113,0,3,0,116
1906359,1581393,2025-05-29,Senate,"Third Reading in Senate",33,21,5,0,59
1906359,1582363,2025-05-31,House,"Concurrence in House",77,40,0,0,117
1906387,1574246,2025-05-20,House,"Third Reading in House",70,40,4,0,114
1906387,1582161,2025-05-30,Senate,"Third Reading in Senate",34,18,7,0,59
1906391,1546328,2025-04-11,House,"Third Reading in House",109,0,6,0,115
1906396,1541393,2025-04-09,House,"Third Reading in House",114,0,1,0,115
1906396,1576425,2025-05-22,Senate,"Motion in Senate",58,0,1,0,59
1906398,1576183,2025-05-22,House,"Third Reading in House",72,37,4,1,114
1906420,1542335,2025-04-09,House,"Third Reading in House",79,35,2,0,116
1906491,1538991,2025-04-07,House,"Third Reading in House",107,0,0,0,107
1906491,1581804,2025-05-29,Senate,"Third Reading in Senate",56,0,3,0,59
1906524,1538283,2025-04-07,House,"Third Reading in House",94,11,1,0,106
1906524,1575260,2025-05-21,Senate,"Third Reading in Senate",58,0,1,0,59
1906528,1538521,2025-04-07,House,"Third Reading in House",107,0,1,0,108
1906559,1538620,2025-04-07,House,"Third Reading in House",89,12,6,0,107
1906559,1575351,2025-05-21,Senate,"Third Reading in Senate",49,8,2,0,59
1906643,1539073,2025-04-07,House,"Third Reading in House",106,0,1,0,107
1906643,1576112,2025-05-22,Senate,"Third Reading in Senate",58,0,1,0,59
1906650,1539851,2025-04-08,House,"Third Reading in House",113,0,2,0,115
1906650,1576392,2025-05-22,Senate,"Motion in Senate",58,0,1,0,59
1906814,1538453,2025-04-07,House,"Third Reading in House",107,0,0,0,107
1906814,1576319,2025-05-22,Senate,"Motion in Senate",58,0,1,0,59
1906859,1539077,2025-04-07,House,"Third Reading in House",72,33,2,0,107
1906917,1541197,2025-04-08,House,"Third Reading in House",112,0,1,0,113
1906917,1576388,2025-05-22,Senate,"Motion in Senate",58,0,1,0,59
1906923,1544183,2025-04-10,House,"Third Reading in House",82,30,3,0,115
1906929,1539533,2025-04-08,House,"Third Reading in House",116,0,0,0,116
1906929,1576532,2025-05-22,Senate,"Motion in Senate",58,0,1,0,59
1906988,1538336,2025-04-07,House,"Third Reading in House",106,0,0,0,106
1907004,1538891,2025-04-07,House,"Third Reading in House",106,0,1,0,107
1907052,1545113,2025-04-10,House,"Third Reading in House",74,37,3,0,114
1907052,1545114,2025-04-10,House,"Motion in House",38,73,1,0,112
1907052,1582881,2025-05-31,Senate,"Third Reading in Senate",52,4,3,0,59
1907052,1582882,2025-05-31,House,"Concurrence in House",103,9,3,0,115
1907149,1586216,2025-04-10,House,"Third Reading in House",74,38,0,0,112
1907149,1586217,2025-05-21,Senate,"Third Reading in Senate",39,18,2,0,59
