bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
2020366,2180,HB1,4,Passed,2025-06-20,"Provides for the ordinary operating expenses of state government for Fiscal Year 2025-2026","Provides for the ordinary operating expenses of state government for Fiscal Year 2025-2026",0,,2025-06-20,"Signed by the Governor. Becomes Act No. 1.",https://legiscan.com/LA/bill/HB1/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB1&sbi=y
2025597,2180,HB2,4,Passed,2025-06-20,"Provides for the comprehensive Capital Outlay budget","Provides for the comprehensive Capital Outlay budget",0,,2025-06-20,"Effective date: 06/20/2025.",https://legiscan.com/LA/bill/HB2/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB2&sbi=y
2025535,2180,HB3,4,Passed,2025-06-11,"Provides for the Omnibus Bond Act","Provides for the Omnibus Bond Act",0,,2025-06-11,"Effective date: 06/11/2025.",https://legiscan.com/LA/bill/HB3/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB3&sbi=y
1974632,2180,HB4,1,Introduced,2025-02-17,"Authorizes a parish governing authority to determine whether Class VI carbon dioxide injection wells may be permitted within its parish","Authorizes a parish governing authority to determine whether Class VI carbon dioxide injection wells may be permitted within its parish",1170,"House Natural Resources and Environment",2025-04-14,"Read by title, under the rules, referred to the Committee on Natural Resources and Environment.",https://legiscan.com/LA/bill/HB4/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB4&sbi=y
1974630,2180,HB5,4,Passed,2025-06-20,"Provides relative to penalties for certain sex offenses (EN SEE FISC NOTE GF EX)","Provides relative to penalties for certain sex offenses (EN SEE FISC NOTE GF EX)",0,,2025-06-20,"Signed by the Governor. Becomes Act No. 230.",https://legiscan.com/LA/bill/HB5/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB5&sbi=y
1974628,2180,HB6,4,Passed,2025-06-11,"Creates the crime of misappropriation of funds in connection with the payment of utility services (EN SEE FISC NOTE GF EX)","Creates the crime of misappropriation of funds in connection with the payment of utility services (EN SEE FISC NOTE GF EX)",0,,2025-06-11,"Effective date: 08/01/2025.",https://legiscan.com/LA/bill/HB6/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB6&sbi=y
1974633,2180,HB7,1,Introduced,2025-02-18,"Provides relative to the funding deposit account for the Firefighters' Retirement system","Provides relative to the funding deposit account for the Firefighters' Retirement system",0,,2025-03-11,"Withdrawn prior to introduction.",https://legiscan.com/LA/bill/HB7/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB7&sbi=y
1975244,2180,HB8,4,Passed,2025-06-11,"Provides relative to membership in the Municipal Employees' Retirement System (EN SEE ACTUARIAL NOTE FC)","Provides relative to membership in the Municipal Employees' Retirement System (EN SEE ACTUARIAL NOTE FC)",0,,2025-06-11,"Effective date: 06/11/2025.",https://legiscan.com/LA/bill/HB8/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB8&sbi=y
1975449,2180,HB9,1,Introduced,2025-02-19,"Provides relative to retirement eligibility in the Louisiana State Employees' Retirement System (OR +$154,400,000 APV)","Provides relative to retirement eligibility in the Louisiana State Employees' Retirement System (OR +$154,400,000 APV)",1172,"House Retirement",2025-04-14,"Read by title, under the rules, referred to the Committee on Retirement.",https://legiscan.com/LA/bill/HB9/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB9&sbi=y
1975380,2180,HB10,4,Passed,2025-05-28,"Provides for the reemployment of retirees under certain circumstances in the Louisiana State Employees' Retirement System (EN SEE ACTUARIAL NOTE APV)","Provides for the reemployment of retirees under certain circumstances in the Louisiana State Employees' Retirement System (EN SEE ACTUARIAL NOTE APV)",0,,2025-05-28,"Effective date: 08/01/2025.",https://legiscan.com/LA/bill/HB10/2025,https://www.legis.la.gov/legis/BillInfo.aspx?s=25rs&b=HB10&sbi=y
