bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
2020366,3201968,text,1081452,application/pdf,Introduced,https://legiscan.com/LA/text/HB1/id/3201968,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1403677
2020366,3235035,text,1097124,application/pdf,Engrossed,https://legiscan.com/LA/text/HB1/id/3235035,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1413536
2020366,3238460,text,1098252,application/pdf,Engrossed,https://legiscan.com/LA/text/HB1/id/3238460,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1415393
2020366,3255686,text,1140363,application/pdf,Enrolled,https://legiscan.com/LA/text/HB1/id/3255686,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1424221
2020366,3258650,text,1146607,application/pdf,Chaptered,https://legiscan.com/LA/text/HB1/id/3258650,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1426046
2025597,3217881,text,467256,application/pdf,Introduced,https://legiscan.com/LA/text/HB2/id/3217881,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1407011
2025597,3234715,text,482213,application/pdf,Engrossed,https://legiscan.com/LA/text/HB2/id/3234715,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1413382
2025597,3236098,text,493760,application/pdf,Engrossed,https://legiscan.com/LA/text/HB2/id/3236098,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1414114
2025597,3255939,text,554409,application/pdf,Enrolled,https://legiscan.com/LA/text/HB2/id/3255939,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1424980
2025597,3258671,text,560862,application/pdf,Chaptered,https://legiscan.com/LA/text/HB2/id/3258671,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1426048
2025535,3217821,text,63178,application/pdf,Introduced,https://legiscan.com/LA/text/HB3/id/3217821,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1406998
2025535,3235318,text,63509,application/pdf,Engrossed,https://legiscan.com/LA/text/HB3/id/3235318,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1413526
2025535,3253448,text,59542,application/pdf,Enrolled,https://legiscan.com/LA/text/HB3/id/3253448,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1423645
2025535,3256434,text,66480,application/pdf,Chaptered,https://legiscan.com/LA/text/HB3/id/3256434,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1425486
1974632,3129625,text,47085,application/pdf,Introduced,https://legiscan.com/LA/text/HB4/id/3129625,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1393852
1974630,3129622,text,44369,application/pdf,Introduced,https://legiscan.com/LA/text/HB5/id/3129622,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1393851
1974630,3237247,text,59330,application/pdf,Engrossed,https://legiscan.com/LA/text/HB5/id/3237247,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1414920
1974630,3241186,text,92327,application/pdf,Engrossed,https://legiscan.com/LA/text/HB5/id/3241186,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1416543
