bill_id,date,chamber,sequence,action
1974628,2025-02-17,House,1,Prefiled.
1974628,2025-02-17,House,2,"Under the rules, provisionally referred to the Committee on Administration of Criminal Justice."
1974628,2025-02-21,House,3,"First appeared in the Interim Calendar on 2/21/2025."
1974628,2025-04-14,House,4,"Read by title, under the rules, referred to the Committee on Administration of Criminal Justice."
1974628,2025-05-14,House,5,"Reported with amendments (8-2)."
1974628,2025-05-15,House,6,"Read by title, amended, ordered engrossed, passed to 3rd reading."
1974628,2025-05-19,House,7,"Scheduled for floor debate on 05/20/2025."
1974628,2025-05-20,House,8,"Read third time by title, amended, roll called on final passage, yeas 74, nays 9. Finally passed, title adopted, ordered to the Senate."
1974628,2025-05-21,Senate,9,"Received in the Senate. Rules suspended. Read first time by title and placed on the Calendar for a second reading."
1974628,2025-05-27,Senate,10,"Read second time by title and referred to the Committee on Judiciary C."
1974628,2025-06-03,Senate,11,"Reported with amendments. Rules suspended. Committee amendments read and adopted. Read by title and referred to the Legislative Bureau."
1974628,2025-06-04,Senate,12,"Reported without Legislative Bureau amendments. Read by title and passed to third reading and final passage."
1974628,2025-06-08,Senate,13,"Rules suspended. The amended bill was read by title, passed by a vote of 34 yeas and 0 nays, and ordered returned to the House. Motion to reconsider tabled."
1974628,2025-06-08,House,14,"Received from the Senate with amendments."
1974628,2025-06-08,House,15,"Scheduled for concurrence on 06/09/2025."
1974628,2025-06-09,House,16,"Read by title, roll called, yeas 99, nays 0, Senate amendments concurred in."
1974628,2025-06-09,House,17,"Enrolled and signed by the Speaker of the House."
1974628,2025-06-10,Senate,18,"Signed by the President of the Senate."
1974628,2025-06-10,House,19,"Sent to the Governor for executive approval."
1974628,2025-06-11,House,20,"Signed by the Governor. Becomes Act No. 231."
1974628,2025-06-11,House,21,"Effective date: 08/01/2025."
1974629,2025-02-18,Senate,1,"Prefiled and under the rules provisionally referred to the Committee on Retirement."
1974629,2025-04-14,Senate,2,"Introduced in the Senate; read by title. Rules suspended. Read second time and referred to the Committee on Retirement."
1974629,2025-04-22,Senate,3,"Reported favorably."
1974629,2025-04-23,Senate,4,"Read by title. Ordered engrossed and passed to third reading and final passage."
1974629,2025-04-28,Senate,5,"Read by title, passed by a vote of 38 yeas and 0 nays, and sent to the House. Motion to reconsider tabled."
1974629,2025-04-28,House,6,"Received in the House from the Senate, read by title, lies over under the rules."
1974629,2025-04-29,House,7,"Read by title, under the rules, referred to the Committee on Retirement."
1974629,2025-05-15,House,8,"Reported favorably (10-0). Referred to the Legislative Bureau."
1974629,2025-05-19,House,9,"Reported without Legislative Bureau amendments."
1974629,2025-05-20,House,10,"Read by title, passed to 3rd reading."
1974629,2025-05-22,House,11,"Scheduled for floor debate on 05/27/2025."
1974629,2025-05-27,House,12,"Read third time by title, roll called on final passage, yeas 96, nays 0. The bill, having received two-thirds vote of the elected members, was finally passed, ordered to the Senate."
1974629,2025-05-27,Senate,13,"Received from the House without amendments."
1974629,2025-05-28,Senate,14,"Enrolled. Signed by the President of the Senate."
1974629,2025-05-28,House,15,"Signed by the Speaker of the House."
1974629,2025-05-29,Senate,16,"Sent to the Governor by the Secretary of the Senate."
1974629,2025-06-04,Senate,17,"Signed by the Governor. Becomes Act No. 20."
1974629,2025-06-04,Senate,18,"Effective date 6/4/2025."
1974630,2025-02-17,House,1,Prefiled.
1974630,2025-02-17,House,2,"Under the rules, provisionally referred to the Committee on Administration of Criminal Justice."
1974630,2025-02-21,House,3,"First appeared in the Interim Calendar on 2/21/2025."
1974630,2025-04-14,House,4,"Read by title, under the rules, referred to the Committee on Administration of Criminal Justice."
1974630,2025-05-14,House,5,"Reported with amendments (10-0)."
1974630,2025-05-15,House,6,"Read by title, amended, ordered engrossed, passed to 3rd reading."
1974630,2025-05-19,House,7,"Scheduled for floor debate on 05/20/2025."
1974630,2025-05-20,House,8,"Read third time by title, amended, roll called on final passage, yeas 82, nays 0. Finally passed, title adopted, ordered to the Senate."
1974630,2025-05-21,Senate,9,"Received in the Senate. Rules suspended. Read first time by title and placed on the Calendar for a second reading."
1974630,2025-05-27,Senate,10,"Read second time by title and referred to the Committee on Judiciary C."
1974630,2025-06-03,Senate,11,"Reported with amendments. Rules suspended. Committee amendments read and adopted. Read by title and referred to the Legislative Bureau."
