people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
5232,"Regina Barrow",Regina,Ashford,Barrow,,,1,D,2,Sen,SD-015,8371188,56506,,Regina_Ashford_Barrow,233952,0
5239,"Patrick Connick",Patrick,,Connick,,,2,R,2,Sen,SD-008,6673327,93757,,Patrick_Connick,260726,0
5247,"Eddie Lambert",Eddie,J.,Lambert,,,2,R,2,Sen,SD-018,6423985,35405,,Eddie_Lambert,220435,0
5263,"Kirk Talbot",Kirk,,Talbot,,,2,R,2,Sen,SD-010,6673469,93725,,Kirk_Talbot,260719,0
5264,"Franklin Foil",Franklin,J.,Foil,,,2,R,2,Sen,SD-016,6673357,93673,,Franklin_Foil,260548,0
5278,"Brett Geymann",Brett,F.,Geymann,,,2,R,1,Rep,HD-035,13001006,35640,,Brett_Geymann,220432,0
5280,"Cameron Henry",Cameron,,Henry,Jr.,,2,R,2,Sen,SD-009,6673371,93747,,Cameron_Henry,260723,0
5328,"Francis Thompson",Francis,C.,Thompson,,,2,R,1,Rep,HD-019,6410201,4610,,Francis_Thompson,194914,0
5369,"Neil Riser",Neil,,Riser,,,2,R,1,Rep,HD-020,13012120,93593,,Neil_Riser,260418,0
13042,"Alan Seabaugh",Alan,T.,Seabaugh,,,2,R,2,Sen,SD-031,8283841,93616,,Alan_Seabaugh,309757,0
13075,"Bob Hensgens",Bob,,Hensgens,,,2,R,2,Sen,SD-026,6699505,129992,,Bob_Hensgens,340118,0
13863,"John Morris",John,C.,Morris,III,Jay,2,R,2,Sen,SD-035,6699445,134583,,Jay_Morris,365955,0
13901,"Valarie Hodges",Valarie,H.,Hodges,,,2,R,2,Sen,SD-013,6699554,94018,,Valarie_Hodges,366694,0
13906,"Katrina Jackson-Andrews",Katrina,R.,Jackson-Andrews,,,1,D,2,Sen,SD-034,13000966,134647,,Katrina_Jackson,242668,0
13915,"Gregory Miller",Gregory,A.,Miller,,,2,R,2,Sen,SD-019,8675224,134603,,Gregory_Miller_(Louisiana),310100,0
13929,"Edward Price",Edward,J.,Price,,Ed,1,D,2,Sen,SD-002,6514138,134641,,Ed_Price,366681,0
17673,"Joseph Bouie",Joseph,,Bouie,,Joe,1,D,2,Sen,SD-003,8676888,155407,,Joseph_Bouie,517746,0
17677,"Blake Miguez",Blake,,Miguez,,,2,R,2,Sen,SD-022,28215323,156101,,Blake_Miguez,529026,0
17810,"Dodie Horton",Dodie,,Horton,,,2,R,1,Rep,HD-009,32373949,165610,,Dodie_Horton,294629,0
17852,"Chad Brown",Chad,,Brown,,,1,D,1,Rep,HD-060,32373992,165559,,Chad_Brown_(Louisiana),551925,0
17860,"Tony Bacala",Tony,,Bacala,,,2,R,1,Rep,HD-059,32373990,165556,,Tony_Bacala,551922,0
17877,"Paula Davis",Paula,,Davis,,,2,R,1,Rep,HD-069,32374011,165576,,Paula_Davis,551934,0
17878,"Beryl Amedee",Beryl,Adams,Amedee,,,2,R,1,Rep,HD-051,32373983,149301,,Beryl_Amedee,551874,0
17879,"Robert Carter",Robert,,Carter,,Robby,1,D,1,Rep,HD-072,6423571,15195,,Robby_Carter,194967,0
17881,"Gerald Boudreaux",Gerald,,Boudreaux,,,1,D,2,Sen,SD-024,8304558,165574,,Gerald_Boudreaux,551767,0
17885,"Beth Mizell",Beth,,Mizell,,,2,R,2,Sen,SD-012,6699660,134643,,Beth_Mizell,365326,0
17887,"W. Jay Luneau","W. Jay",,Luneau,,Jay,1,D,2,Sen,SD-029,14455545,165587,,Jay_Luneau,551771,0
17889,"Samuel Jenkins",Samuel,L.,Jenkins,Jr.,Sam,1,D,2,Sen,SD-039,32373941,86816,,Sam_Jenkins,551796,0
17890,"Barbara Carpenter",Barbara,West,Carpenter,,,1,D,1,Rep,HD-063,32374000,165563,,Barbara_Carpenter_(Louisiana),551926,0
17895,"Rick Edmonds",Rick,,Edmonds,,,2,R,2,Sen,SD-006,32374006,165569,,Rick_Edmonds,551930,0
17896,"Stephanie Hilferty",Stephanie,,Hilferty,,,2,R,1,Rep,HD-094,32374029,165624,,Stephanie_Hilferty,552053,0
17897,"Phillip DeVillier",Phillip,R.,DeVillier,,,2,R,1,Rep,HD-041,32373980,165532,,Phillip_DeVillier,551861,0
17898,"Mark Abraham",Mark,,Abraham,,,2,R,2,Sen,SD-025,6673279,93547,,Mark_Abraham,551852,0
17900,"Lawrence Bagley",Lawrence,A.,Bagley,,Larry,2,R,1,Rep,HD-007,32373946,165607,,Lawrence_Bagley,551803,0
17901,"Gary Carter",Gary,M.,Carter,Jr.,Jeff,1,D,2,Sen,SD-007,32374040,165598,,Gary_Carter_Jr.,551985,0
17903,"Julie Emerson",Julie,,Emerson,,,2,R,1,Rep,HD-039,20757160,165525,,Julie_Emerson,552033,0
17906,"Jimmy Harris",Jimmy,,Harris,,,1,D,2,Sen,SD-004,32374034,165594,,Jimmy_Harris,551981,0
17907,"Rodney Lyons",Rodney,,Lyons,,,1,D,1,Rep,HD-087,32374025,165588,,Rodney_Lyons_Sr.,551957,0
17909,"Denise Marcelle",C.,Denise,Marcelle,,Denise,1,D,1,Rep,HD-061,6514147,111285,,C._Denise_Marcelle,366684,0
17910,"Jack McFarland",Jack,G.,McFarland,,,2,R,1,Rep,HD-013,8317489,107426,,Jack_McFarland,551809,0
17911,"Dustin Miller",Dustin,,Miller,,,1,D,1,Rep,HD-040,32373975,165529,,Dustin_Miller_(Louisiana),552041,0
17912,"Jerome Zeringue",Jerome,,Zeringue,,Zee,2,R,1,Rep,HD-052,32373985,165548,,Jerome_Zeringue,489939,0
17946,"Edmond Jordan",Edmond,,Jordan,,,1,D,1,Rep,HD-029,6514047,134729,,Edmond_Jordan,365973,0
19296,"Polly Thomas",Polly,,Thomas,,,2,R,1,Rep,HD-080,12408399,35438,,Polly_Thomas,552086,0
19363,"Joseph Stagni","Joseph ",A.,Stagni,,Joe,2,R,1,Rep,HD-092,8473188,74934,,Joe_Stagni,621601,0
19377,"Raymond Crews",Raymond,,Crews,,,2,R,1,Rep,HD-008,43397439,176066,,Raymond_Crews,624798,0
19587,"Ken Brass",Ken,,Brass,,,1,D,1,Rep,HD-058,43855244,107210,,Ken_Brass,642502,0
19591,"Mark Wright",Mark,,Wright,,,2,R,1,Rep,HD-077,29169886,176600,,Mark_Wright_(Louisiana),647113,0
19620,"Nicholas Muscarello",Nicholas,,Muscarello,,,2,R,1,Rep,HD-086,8457942,131860,,Nicholas_Muscarello_Jr.,663033,0
19621,"Royce Duplessis",Royce,,Duplessis,,,1,D,2,Sen,SD-005,20739955,177617,,Royce_Duplessis,663781,0
21278,"Wayne McMahen",Wayne,,McMahen,,,2,R,1,Rep,HD-010,45817887,185795,,Wayne_McMahen,677133,0
21337,"Ryan Bourriaque",Ryan,,Bourriaque,,,2,R,1,Rep,HD-047,12017805,186016,,Ryan_Bourriaque,697921,0
21341,"Ed Larvadain",Ed,,Larvadain,III,,1,D,1,Rep,HD-026,8257020,111275,,Ed_Larvadain_III,697910,0
21342,"Christopher Turner",Christopher,,Turner,,Chris,2,R,1,Rep,HD-012,8689376,186004,,Christopher_Turner_(Louisiana),697909,0
21343,"Mike Johnson",Mike,T.,Johnson,,,2,R,1,Rep,HD-027,28215321,186014,,Mike_Johnson_(Louisiana_House_of_Representatives),697913,0
21351,"Daryl Adams",Roy,Daryl,Adams,,,1,D,1,Rep,HD-062,47033131,186018,,Roy_Adams,701845,0
21352,"Jeremy LaCombe",Jeremy,S.,LaCombe,,,2,R,1,Rep,HD-018,8373853,186011,,Jeremy_LaCombe,701842,0
21353,"Pat Moore",Pat,,Moore,,,1,D,1,Rep,HD-017,33758144,107141,,Pat_Moore_(Louisiana),701838,0
21508,"Danny McCormick",Danny,,McCormick,,,2,R,1,Rep,HD-001,47942131,186929,,Danny_McCormick,714448,0
21513,"Rodney Schamerhorn",Rodney,,Schamerhorn,,,2,R,1,Rep,HD-024,8671634,165510,,Rodney_Schamerhorn,551823,0
21536,"Thomas Pressly",Thomas,,Pressly,,,2,R,2,Sen,SD-038,47942133,186933,,Thomas_Pressly,714460,0
21546,"Kyle Green",Kyle,M.,Green,Jr.,,1,D,1,Rep,HD-083,13001113,134614,,Kyle_Green_Jr.,366706,0
21547,"Bryan Fontenot",Bryan,,Fontenot,,,2,R,1,Rep,HD-055,40425509,186988,,Bryan_Fontenot,714604,0
21551,"Aimee Freeman",Aimee,Adatto,Freeman,,,1,D,1,Rep,HD-098,47942242,187058,,Aimee_Adatto_Freeman,714802,0
21553,"Larry Selders",Larry,,Selders,,,1,D,2,Sen,SD-014,46016964,186999,,Larry_Selders,714639,0
21555,"Travis Johnson",Cazerrick,Travis,Johnson,,Travis,1,D,1,Rep,HD-021,13000977,93686,,C._Travis_Johnson,714484,0
21556,"Mandie Landry",Mandie,,Landry,,,1,D,1,Rep,HD-091,45216541,187045,,Mandie_Landry,714780,0
21557,"Marcus Bryant",Marcus,,Bryant,,,1,D,1,Rep,HD-096,47942235,187051,,Marcus_Bryant,714790,0
21558,"Matthew Willard",Matthew,,Willard,,,1,D,1,Rep,HD-097,47942241,187057,,Matthew_Willard,714801,0
21559,"Tammy Phelps",Tammy,,Phelps,,,1,D,1,Rep,HD-003,44782330,35413,,Tammy_Phelps,714450,0
21560,"Wilford Carter",Wilford,Dan,Carter,Sr.,,1,D,1,Rep,HD-034,32373965,165520,,Wilford_D._Carter,551844,0
