bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1974628,1574129,2025-05-20,House,"House Vote on HB 6 FINAL PASSAGE (#478)",74,9,0,22,105
1974628,1586281,2025-06-08,Senate,"Senate Vote on HB 6 FINAL PASSAGE (#681)",34,0,0,5,39
1974628,1586477,2025-06-09,House,"House Vote on HB 6 CONCUR IN SENATE AMENDMENTS (#991)",99,0,0,6,105
1974629,1559331,2025-04-28,Senate,"Senate Vote on SB 1 FINAL PASSAGE (#61)",38,0,0,1,39
1974629,1579497,2025-05-27,House,"House Vote on SB 1 FINAL PASSAGE (#643)",96,0,0,9,105
1974630,1574153,2025-05-20,House,"House Vote on HB 5 FINAL PASSAGE (#477)",82,0,0,23,105
1974630,1586279,2025-06-08,Senate,"Senate Vote on HB 5 FINAL PASSAGE (#680)",38,0,0,1,39
1974630,1586473,2025-06-09,House,"House Vote on HB 5 CONCUR IN SENATE AMENDMENTS (#990)",101,0,0,4,105
1974630,1586915,2025-06-09,House,"House Vote on HB 5 CONCUR IN SENATE AMENDMENTS (#990)",99,2,0,4,105
1974631,1555353,2025-04-23,Senate,"Senate Vote on SB 4 FINAL PASSAGE (#39)",38,0,0,1,39
1974631,1581265,2025-05-29,House,"House Vote on SB 4 FINAL PASSAGE (#720)",92,1,0,12,105
1974634,1561425,2025-04-29,Senate,"Senate Vote on SB 3 FINAL PASSAGE (#82)",39,0,0,0,39
1974634,1584874,2025-06-04,House,"House Vote on SB 3 FINAL PASSAGE (#911)",95,0,0,10,105
1974635,1562619,2025-04-30,Senate,"Senate Vote on SB 2 FINAL PASSAGE (#123)",24,10,0,5,39
1975244,1565047,2025-05-05,House,"House Vote on HB 8 FINAL PASSAGE (#160)",95,0,0,9,104
1975244,1586657,2025-06-09,Senate,"Senate Vote on HB 8 FINAL PASSAGE (#808)",39,0,0,0,39
1975380,1564970,2025-05-05,House,"House Vote on HB 10 FINAL PASSAGE (#154)",85,0,0,19,104
1975380,1574350,2025-05-20,Senate,"Senate Vote on HB 10 FINAL PASSAGE (#298)",36,0,0,3,39
1979227,1562255,2025-04-30,House,"House Vote on HB 12 FINAL PASSAGE (#132)",97,0,0,7,104
1979227,1584203,2025-06-03,Senate,"Senate Vote on HB 12 FINAL PASSAGE (#658)",37,0,0,2,39
1979227,1586241,2025-06-08,House,"House Vote on HB 12 CONCUR IN SENATE AMENDMENTS (#938)",95,0,0,10,105
1981835,1566357,2025-05-06,House,"House Vote on HB 14 FINAL PASSAGE (#230)",95,0,0,9,104
1981835,1583268,2025-06-02,Senate,"Senate Vote on HB 14 FINAL PASSAGE (#549)",39,0,0,0,39
1981835,1584668,2025-06-04,House,"House Vote on HB 14 REJECT SENATE AMENDMENTS (#863)",95,0,0,10,105
1981835,1588864,2025-06-11,House,"House Vote on HB 14 ADOPT CONFERENCE REPORT (#1209)",99,0,0,6,105
1981835,1588865,2025-06-11,Senate,"Senate Vote on HB 14 ADOPT (#939)",36,0,0,3,39
1982253,1566361,2025-05-06,House,"House Vote on HB 16 FINAL PASSAGE (#208)",98,0,0,6,104
1982253,1583130,2025-06-02,Senate,"Senate Vote on HB 16 FINAL PASSAGE (#550)",39,0,0,0,39
1982253,1584757,2025-06-04,House,"House Vote on HB 16 CONCUR IN SENATE AMENDMENTS (#864)",87,0,0,18,105
1982416,1570526,2025-05-13,House,"House Vote on HB 15 FINAL PASSAGE (#360)",96,0,0,8,104
1982416,1583284,2025-06-02,Senate,"Senate Vote on HB 15 FINAL PASSAGE (#551)",39,0,0,0,39
1982497,1560479,2025-04-29,House,"House Vote on HB 17 FINAL PASSAGE (#120)",92,0,0,12,104
1982497,1580348,2025-05-28,Senate,"Senate Vote on HB 17 FINAL PASSAGE (#421)",36,0,0,3,39
1983094,1565193,2025-05-05,House,"House Vote on HB 18 FINAL PASSAGE (#161)",92,0,0,12,104
1983094,1582990,2025-06-01,Senate,"Senate Vote on HB 18 FINAL PASSAGE (#525)",33,0,0,6,39
1983094,1584012,2025-06-03,House,"House Vote on HB 18 CONCUR IN SENATE AMENDMENTS (#810)",97,0,0,8,105
1983214,1565398,2025-05-05,House,"House Vote on HB 19 FINAL PASSAGE (#162)",95,0,0,9,104
1983214,1586283,2025-06-08,Senate,"Senate Vote on HB 19 FINAL PASSAGE (#749)",37,0,0,2,39
1983214,1586284,2025-06-08,Senate,"Senate Vote on HB 19 CO-AUTHORS (#750)",7,0,0,32,39
1983214,1587555,2025-06-10,House,"House Vote on HB 19 CONCUR IN SENATE AMENDMENTS (#1111)",90,0,0,15,105
1983334,1553724,2025-04-22,Senate,"Senate Vote on SB 5 FINAL PASSAGE (#20)",36,0,0,3,39
1983334,1576136,2025-05-22,House,"House Vote on SB 5 FINAL PASSAGE (#581)",92,0,0,13,105
1985065,1560320,2025-04-29,House,"House Vote on HB 23 FINAL PASSAGE (#100)",93,0,0,11,104
1985065,1574297,2025-05-20,Senate,"Senate Vote on HB 23 FINAL PASSAGE (#301)",37,0,0,2,39
1985065,1578976,2025-05-27,House,"House Vote on HB 23 CONCUR IN SENATE AMENDMENTS (#616)",95,0,0,10,105
1987368,1569566,2025-05-12,House,"House Vote on HB 24 FINAL PASSAGE (#320)",97,0,0,7,104
1987368,1579105,2025-05-27,Senate,"Senate Vote on HB 24 FINAL PASSAGE (#399)",36,0,0,3,39
1987489,1567822,2025-05-07,House,"House Vote on HB 26 FINAL PASSAGE (#259)",96,0,0,8,104
1987489,1581905,2025-05-29,Senate,"Senate Vote on HB 26 FINAL PASSAGE (#455)",37,0,0,2,39
1988616,1559129,2025-04-28,Senate,"Senate Vote on SB 6 FINAL PASSAGE (#62)",38,0,0,1,39
1988616,1579122,2025-05-27,House,"House Vote on SB 6 FINAL PASSAGE (#644)",96,0,0,9,105
1988747,1565189,2025-05-05,House,"House Vote on HB 28 FINAL PASSAGE (#164)",94,0,0,10,104
1988747,1586376,2025-06-08,Senate,"Senate Vote on HB 28 FINAL PASSAGE (#751)",37,0,0,2,39
1989059,1564977,2025-05-05,House,"House Vote on HB 32 FINAL PASSAGE (#166)",91,1,0,12,104
1989059,1565186,2025-05-05,House,"House Vote on HB 32 FINAL PASSAGE (#166)",92,0,0,12,104
1989059,1583177,2025-06-02,Senate,"Senate Vote on HB 32 FINAL PASSAGE (#552)",38,0,0,1,39
1989059,1584830,2025-06-04,House,"House Vote on HB 32 CONCUR IN SENATE AMENDMENTS (#865)",89,0,0,16,105
1989972,1565223,2025-05-05,House,"House Vote on HB 33 FINAL PASSAGE (#167)",67,21,0,16,104
1989972,1581617,2025-05-29,Senate,"Senate Vote on HB 33 FINAL PASSAGE (#476)",37,0,0,2,39
1993133,1566458,2025-05-06,House,"House Vote on HB 38 FINAL PASSAGE (#232)",95,0,0,9,104
1993133,1581411,2025-05-29,Senate,"Senate Vote on HB 38 FINAL PASSAGE (#477)",36,0,0,3,39
1993133,1584036,2025-06-03,House,"House Vote on HB 38 CONCUR IN SENATE AMENDMENTS (#791)",96,0,0,9,105
1993169,1566421,2025-05-06,House,"House Vote on HB 35 FINAL PASSAGE (#231)",97,0,0,7,104
1993169,1581293,2025-05-29,Senate,"Senate Vote on HB 35 FINAL PASSAGE (#456)",37,0,0,2,39
1993205,1565956,2025-05-06,House,"House Vote on HB 37 FINAL PASSAGE (#212)",99,0,0,5,104
1993205,1583120,2025-06-02,Senate,"Senate Vote on HB 37 FINAL PASSAGE (#562)",38,0,0,1,39
1993205,1583121,2025-06-02,Senate,"Senate Vote on HB 37 CO-AUTHORS (#563)",5,0,0,34,39
1993205,1584751,2025-06-04,House,"House Vote on HB 37 CONCUR IN SENATE AMENDMENTS (#867)",96,0,0,9,105
1993242,1566015,2025-05-06,House,"House Vote on HB 36 FINAL PASSAGE (#210)",97,0,0,7,104
1993242,1583131,2025-06-02,Senate,"Senate Vote on HB 36 FINAL PASSAGE (#553)",38,0,0,1,39
1993242,1584779,2025-06-04,House,"House Vote on HB 36 REJECT SENATE AMENDMENTS (#866)",94,0,0,11,105
1993242,1588628,2025-06-11,House,"House Vote on HB 36 ADOPT CONFERENCE REPORT (#1198)",78,0,0,27,105
1993242,1588629,2025-06-11,Senate,"Senate Vote on HB 36 ADOPT (#938)",35,0,0,4,39
1993387,1561402,2025-04-29,House,"House Vote on HB 40 FINAL PASSAGE (#122)",97,0,0,7,104
1993387,1579225,2025-05-27,Senate,"Senate Vote on HB 40 FINAL PASSAGE (#376)",37,0,0,2,39
1993423,1558860,2025-04-28,House,"House Vote on HB 34 FINAL PASSAGE (#36)",68,26,0,10,104
1993423,1559167,2025-04-28,House,"House Vote on HB 34 FINAL PASSAGE (#36)",69,26,0,9,104
1994487,1564964,2025-05-05,House,"House Vote on HB 48 FINAL PASSAGE (#168)",92,1,0,11,104
1994625,1575152,2025-05-21,House,"House Vote on HB 47 FINAL PASSAGE (#516)",87,0,0,18,105
1994625,1583280,2025-06-02,Senate,"Senate Vote on HB 47 FINAL PASSAGE (#554)",39,0,0,0,39
1996014,1571300,2025-05-14,House,"House Vote on HB 49 FINAL PASSAGE (#411)",94,0,0,10,104
1996014,1583105,2025-06-02,Senate,"Senate Vote on HB 49 FINAL PASSAGE (#555)",39,0,0,0,39
1996175,1565036,2025-05-05,House,"House Vote on HB 50 FINAL PASSAGE (#169)",91,1,0,12,104
1996175,1581219,2025-05-29,Senate,"Senate Vote on HB 50 FINAL PASSAGE (#478)",38,0,0,1,39
1996659,1560315,2025-04-29,House,"House Vote on HB 51 FINAL PASSAGE (#101)",92,0,0,12,104
1996659,1580456,2025-05-28,Senate,"Senate Vote on HB 51 FINAL PASSAGE (#416)",38,0,0,1,39
1996659,1584193,2025-06-03,House,"House Vote on HB 51 CONCUR IN SENATE AMENDMENTS (#792)",95,0,0,10,105
1999581,1562164,2025-04-30,House,"House Vote on HB 52 FINAL PASSAGE (#133)",97,0,0,7,104
1999581,1579057,2025-05-27,Senate,"Senate Vote on HB 52 FINAL PASSAGE (#377)",37,0,0,2,39
1999883,1565369,2025-05-05,House,"House Vote on HB 55 FINAL PASSAGE (#171)",77,14,0,13,104
1999883,1580449,2025-05-28,Senate,"Senate Vote on HB 55 FINAL PASSAGE (#424)",34,2,0,3,39
1999939,1566315,2025-05-06,House,"House Vote on HB 54 FINAL PASSAGE (#233)",97,0,0,7,104
1999939,1579077,2025-05-27,Senate,"Senate Vote on HB 54 FINAL PASSAGE (#378)",36,0,0,3,39
1999939,1581029,2025-05-29,House,"House Vote on HB 54 CONCUR IN SENATE AMENDMENTS (#703)",92,0,0,13,105
1999991,1565405,2025-05-05,House,"House Vote on HB 53 FINAL PASSAGE (#170)",76,11,0,17,104
1999991,1586381,2025-06-08,Senate,"Senate Vote on HB 53 FINAL PASSAGE (#760)",39,0,0,0,39
2000105,1571463,2025-05-14,Senate,"Senate Vote on SB 8 FINAL PASSAGE (#262)",28,8,0,3,39
2000105,1586826,2025-06-09,House,"House Vote on SB 8 AMENDMENT # 4332 BY DEWITT MOTION TO ADOPT (#1047)",8,88,0,9,105
2000105,1586827,2025-06-09,House,"House Vote on SB 8 FINAL PASSAGE (#1050)",70,28,0,7,105
2000105,1588727,2025-06-11,Senate,"Senate Vote on SB 8 CONCUR (#935)",28,9,0,2,39
2001502,1569512,2025-05-12,House,"House Vote on HB 56 FINAL PASSAGE (#321)",86,6,0,12,104
2001502,1583166,2025-06-02,Senate,"Senate Vote on HB 56 FINAL PASSAGE (#556)",37,0,0,2,39
2001502,1583167,2025-06-02,Senate,"Senate Vote on HB 56 CO-AUTHORS (#557)",9,0,0,30,39
2001502,1584821,2025-06-04,House,"House Vote on HB 56 CONCUR IN SENATE AMENDMENTS (#868)",92,0,0,13,105
2005030,1564962,2025-05-05,House,"House Vote on HB 57 FINAL PASSAGE (#172)",92,3,0,9,104
2005030,1583191,2025-06-02,Senate,"Senate Vote on HB 57 FINAL PASSAGE (#558)",38,0,0,1,39
2006135,1565127,2025-05-05,House,"House Vote on HB 60 FINAL PASSAGE (#173)",97,0,0,7,104
2006135,1581134,2025-05-29,Senate,"Senate Vote on HB 60 FINAL PASSAGE (#479)",38,0,0,1,39
2007638,1575063,2025-05-21,House,"House Vote on HB 64 AMENDMENT # 3328 BY JORDAN MOTION TO ADOPT (#545)",27,64,0,14,105
2007638,1575064,2025-05-21,House,"House Vote on HB 64 FINAL PASSAGE (#546)",72,25,0,8,105
2007638,1586290,2025-06-08,Senate,"Senate Vote on HB 64 FINAL PASSAGE (#683)",27,11,0,1,39
2007638,1586498,2025-06-09,House,"House Vote on HB 64 CONCUR IN SENATE AMENDMENTS (#993)",77,22,0,6,105
2007734,1557051,2025-04-24,House,"House Vote on HB 71 FINAL PASSAGE (#18)",91,0,0,13,104
2007734,1574183,2025-05-20,Senate,"Senate Vote on HB 71 FINAL PASSAGE (#292)",38,0,0,1,39
2007734,1578944,2025-05-27,House,"House Vote on HB 71 CONCUR IN SENATE AMENDMENTS (#617)",95,0,0,10,105
2007931,1565205,2025-05-05,House,"House Vote on HB 66 FINAL PASSAGE (#175)",98,0,0,6,104
2007931,1574372,2025-05-20,Senate,"Senate Vote on HB 66 FINAL PASSAGE (#302)",38,0,0,1,39
2008080,1567751,2025-05-07,House,"House Vote on HB 69 FINAL PASSAGE (#260)",95,0,0,9,104
2008080,1579063,2025-05-27,Senate,"Senate Vote on HB 69 FINAL PASSAGE (#379)",37,0,0,2,39
2008130,1569452,2025-05-12,House,"House Vote on HB 72 FINAL PASSAGE (#323)",97,0,0,7,104
2008130,1581426,2025-05-29,Senate,"Senate Vote on HB 72 FINAL PASSAGE (#459)",36,0,0,3,39
2008179,1568308,2025-05-08,House,"House Vote on HB 67 FINAL PASSAGE (#309)",94,0,0,10,104
2008179,1581361,2025-05-29,Senate,"Senate Vote on HB 67 FINAL PASSAGE (#457)",38,0,0,1,39
2008179,1583940,2025-06-03,House,"House Vote on HB 67 REJECT SENATE AMENDMENTS (#793)",74,0,0,31,105
2008179,1588852,2025-06-11,House,"House Vote on HB 67 ADOPT CONFERENCE REPORT (#1199)",80,0,0,25,105
2008179,1588853,2025-06-11,Senate,"Senate Vote on HB 67 ADOPT (#940)",37,0,0,2,39
2008275,1580034,2025-05-28,House,"House Vote on HB 63 FINAL PASSAGE (#671)",81,16,0,8,105
2008275,1586256,2025-06-08,Senate,"Senate Vote on HB 63 FINAL PASSAGE (#682)",26,13,0,0,39
2008275,1586461,2025-06-09,House,"House Vote on HB 63 REJECT SENATE AMENDMENTS (#992)",99,0,0,6,105
2008275,1588860,2025-06-11,House,"House Vote on HB 63 ADOPT CONFERENCE REPORT (#1224)",95,1,0,9,105
2008275,1589608,2025-06-12,Senate,"Senate Vote on HB 63 ADOPT (#974)",31,3,0,5,39
2008698,1573067,2025-05-19,House,"House Vote on HB 77 AMENDMENT # 3138 BY TURNER MOTION TO ADOPT (#432)",73,26,0,6,105
2008698,1573068,2025-05-19,House,"House Vote on HB 77 RECOMMIT TO THE COMMITTEE ON APPRO (#433)",33,67,0,5,105
2008698,1573069,2025-05-19,House,"House Vote on HB 77 AMENDMENT # 3149 BY MARCELLE MOTION TO ADOPT (#434)",31,67,0,7,105
2008698,1573070,2025-05-19,House,"House Vote on HB 77 FINAL PASSAGE (#435)",91,4,0,10,105
2008698,1573674,2025-05-19,House,"House Vote on HB 77 FINAL PASSAGE (#435)",92,3,0,10,105
2008698,1586288,2025-06-08,Senate,"Senate Vote on HB 77 FINAL PASSAGE (#684)",39,0,0,0,39
2008698,1586289,2025-06-08,Senate,"Senate Vote on HB 77 CO-AUTHORS (#685)",13,0,0,26,39
2008698,1586489,2025-06-09,House,"House Vote on HB 77 REJECT SENATE AMENDMENTS (#994)",99,0,0,6,105
2008698,1589446,2025-06-12,House,"House Vote on HB 77 ADOPT CONFERENCE REPORT (#1261)",99,0,0,6,105
2008698,1589677,2025-06-12,Senate,"Senate Vote on HB 77 ADOPT (#996)",37,0,0,2,39
2008733,1574171,2025-05-20,House,"House Vote on HB 75 FINAL PASSAGE (#513)",37,61,0,7,105
2008770,1567801,2025-05-07,House,"House Vote on HB 73 FINAL PASSAGE (#261)",77,14,0,13,104
2008770,1581820,2025-05-29,Senate,"Senate Vote on HB 73 FINAL PASSAGE (#480)",38,0,0,1,39
2008835,1583183,2025-06-02,House,"House Vote on HB 76 FINAL PASSAGE (#739)",68,18,0,19,105
2008905,1573321,2025-05-19,House,"House Vote on HB 74 FINAL PASSAGE (#446)",100,0,0,5,105
2008905,1583113,2025-06-02,Senate,"Senate Vote on HB 74 FINAL PASSAGE (#559)",39,0,0,0,39
2008905,1583114,2025-06-02,Senate,"Senate Vote on HB 74 CO-AUTHORS (#560)",7,0,0,32,39
2008905,1584753,2025-06-04,House,"House Vote on HB 74 CONCUR IN SENATE AMENDMENTS (#929)",94,0,0,11,105
2008945,1556844,2025-04-24,House,"House Vote on HB 79 FINAL PASSAGE (#19)",86,4,0,14,104
2008945,1580366,2025-05-28,Senate,"Senate Vote on HB 79 FINAL PASSAGE (#425)",36,0,0,3,39
2009331,1567247,2025-05-07,House,"House Vote on HB 80 FINAL PASSAGE (#262)",98,0,0,6,104
2009331,1580297,2025-05-28,Senate,"Senate Vote on HB 80 FINAL PASSAGE (#422)",38,0,0,1,39
2009401,1568410,2025-05-08,House,"House Vote on HB 82 FINAL PASSAGE (#315)",92,0,0,12,104
2009401,1581886,2025-05-29,Senate,"Senate Vote on HB 82 FINAL PASSAGE (#481)",38,0,0,1,39
2009401,1583884,2025-06-03,House,"House Vote on HB 82 CONCUR IN SENATE AMENDMENTS (#794)",99,0,0,6,105
2009417,1556309,2025-04-23,Senate,"Senate Vote on SB 10 FINAL PASSAGE (#40)",38,0,0,1,39
2009417,1581458,2025-05-29,House,"House Vote on SB 10 FINAL PASSAGE (#721)",92,0,0,13,105
2009454,1556652,2025-04-24,House,"House Vote on HB 83 FINAL PASSAGE (#8)",90,0,0,14,104
2009454,1574426,2025-05-20,Senate,"Senate Vote on HB 83 FINAL PASSAGE (#293)",36,0,0,3,39
2009454,1578780,2025-05-27,House,"House Vote on HB 83 CONCUR IN SENATE AMENDMENTS (#618)",98,0,0,7,105
2009532,1555669,2025-04-23,Senate,"Senate Vote on SB 11 FINAL PASSAGE (#41)",35,3,0,1,39
2009532,1555670,2025-04-23,Senate,"Senate Vote on SB 11 CO-AUTHORS (#42)",13,0,0,26,39
2009532,1580239,2025-05-28,House,"House Vote on SB 11 FINAL PASSAGE (#675)",78,16,0,11,105
