bill_id,people_id,position
1974628,25050,1
1974629,13929,1
1974630,24933,2
1974630,25050,1
1974631,5247,1
1974632,17810,3
1974632,17878,2
1974632,21513,4
1974632,21564,1
1974633,25083,1
1974634,17881,1
1974634,25080,2
1974635,21584,2
1974635,21586,1
1974635,21588,3
1975244,25060,1
1975380,25078,1
1975449,17900,1
1977453,17810,6
1977453,17860,3
1977453,21351,2
1977453,21353,9
1977453,21547,5
1977453,23129,8
1977453,24933,7
1977453,25078,1
1977453,25094,10
1977453,25095,11
1977453,25098,4
1979227,22926,1
1981716,25049,1
1981835,21566,2
1981835,25098,1
1982253,17810,10
1982253,17877,6
1982253,17878,2
1982253,17897,7
1982253,17903,8
1982253,17910,11
1982253,21561,9
1982253,21564,12
1982253,21566,14
1982253,21576,4
1982253,22926,1
1982253,25058,5
1982253,25062,15
1982253,25077,3
1982253,25092,13
1982416,25097,1
1982497,17900,3
1982497,17909,6
1982497,21342,9
1982497,21343,5
1982497,21351,2
1982497,21564,7
1982497,21602,1
1982497,25062,10
1982497,25084,4
1982497,25092,8
1982860,21353,1
1983094,21577,1
1983094,25083,2
1983214,5232,8
1983214,5239,10
1983214,5280,11
1983214,13906,12
1983214,13929,14
1983214,17810,4
1983214,17901,9
1983214,21343,5
1983214,21353,6
1983214,21577,1
1983214,21588,13
1983214,25080,2
1983214,25083,3
1983214,25092,7
1983334,21580,1
1984291,25050,1
1984845,21555,1
1985065,19620,1
1987254,25061,1
1987368,17860,1
1987368,17890,6
1987368,17900,3
1987368,17910,14
1987368,17912,15
1987368,21351,2
1987368,21561,9
1987368,21567,7
1987368,21576,5
1987368,21577,11
1987368,21600,10
1987368,23129,12
1987368,25077,4
1987368,25083,8
1987368,25097,13
1987489,25062,1
1988381,25059,1
1988616,17898,1
1988747,17810,5
1988747,19363,6
1988747,21577,1
1988747,25060,4
1988747,25080,2
1988747,25083,3
1988747,25092,7
1988812,21568,4
1988812,21576,3
1988812,21596,5
1988812,25056,2
1988812,25092,1
1988878,17896,1
1989006,17896,1
1989059,25076,1
1989203,13901,1
1989972,21343,1
1993133,17860,1
1993169,21578,1
1993169,21602,2
1993205,5232,38
1993205,5280,41
1993205,5369,29
1993205,17810,21
1993205,17860,2
1993205,17881,39
1993205,17885,42
1993205,17897,13
1993205,17903,17
1993205,17907,26
1993205,17912,37
1993205,21341,25
1993205,21342,33
1993205,21343,22
1993205,21353,27
1993205,21561,19
1993205,21564,28
1993205,21565,12
1993205,21566,34
1993205,21568,18
1993205,21571,15
1993205,21574,14
1993205,21576,7
1993205,21578,30
1993205,21584,40
1993205,22926,1
1993205,23129,23
1993205,25056,5
1993205,25058,8
1993205,25060,20
1993205,25061,35
1993205,25062,36
1993205,25076,3
1993205,25077,4
1993205,25078,6
1993205,25081,9
1993205,25082,10
1993205,25086,16
1993205,25088,24
1993205,25092,32
1993205,25098,11
1993205,26457,31
1993242,17810,6
1993242,17897,3
1993242,19296,9
1993242,21343,7
1993242,21564,8
1993242,21566,10
1993242,21571,5
1993242,21576,2
1993242,22926,1
1993242,25084,4
1993278,21343,1
1993387,25160,1
1993423,5369,42
1993423,17810,39
1993423,17877,18
1993423,17878,28
1993423,17897,35
1993423,17900,29
1993423,17903,37
1993423,17910,40
1993423,19377,34
1993423,19591,10
1993423,21342,9
1993423,21343,7
1993423,21513,43
1993423,21561,38
1993423,21562,31
1993423,21564,24
1993423,21571,5
1993423,21574,36
1993423,21576,15
1993423,21596,20
1993423,22926,25
1993423,25049,8
1993423,25056,14
1993423,25057,2
1993423,25058,16
1993423,25059,21
1993423,25060,1
1993423,25061,26
1993423,25062,11
1993423,25075,12
1993423,25076,30
1993423,25077,13
1993423,25078,32
1993423,25081,3
1993423,25082,33
1993423,25084,4
1993423,25085,19
1993423,25086,6
1993423,25089,41
1993423,25095,27
1993423,25097,23
1993423,25098,17
1993423,25160,22
1993459,17878,1
1993627,21566,1
1993694,25050,1
1993832,21565,1
1993900,21566,1
1993966,25089,1
1994487,25060,1
1994625,25083,1
1996014,13042,14
1996014,17810,8
1996014,17860,2
1996014,21353,11
1996014,21536,13
1996014,21547,7
1996014,23129,10
1996014,24933,9
1996014,25049,1
1996014,25075,3
1996014,25078,4
1996014,25080,5
1996014,25095,12
1996014,25098,6
1996175,17896,1
1996659,25096,1
1999581,21556,3
1999581,21558,1
1999581,24933,2
1999883,17877,1
1999939,13906,3
1999939,17810,1
1999939,17895,2
1999939,21601,4
1999991,21551,1
2000105,13863,1
2000105,25080,2
2001502,5232,21
2001502,5280,25
2001502,5328,16
2001502,13042,28
2001502,17677,26
2001502,17810,1
2001502,17860,3
2001502,17878,2
2001502,17895,23
2001502,17897,8
2001502,17903,10
2001502,19377,7
2001502,21343,12
2001502,21536,27
2001502,21553,29
2001502,21564,15
2001502,21568,11
2001502,21576,6
2001502,21586,24
2001502,23079,30
2001502,25048,22
2001502,25049,14
2001502,25056,5
2001502,25061,18
2001502,25062,20
2001502,25076,4
2001502,25084,9
2001502,25088,13
2001502,25093,17
2001502,25095,19
2005030,21578,1
2005599,23074,1
2005748,23074,1
2006135,17810,16
2006135,17878,3
2006135,17897,11
2006135,17907,21
2006135,17909,22
2006135,17946,18
2006135,21351,2
2006135,21353,24
2006135,21564,26
2006135,21567,7
2006135,21568,15
2006135,21569,17
2006135,21576,6
2006135,21599,25
2006135,21602,27
2006135,23129,20
2006135,24933,19
2006135,25049,23
2006135,25058,8
2006135,25059,1
2006135,25076,4
2006135,25077,5
2006135,25080,9
2006135,25083,12
2006135,25084,13
2006135,25086,14
2006135,25092,28
2006135,25094,29
2006135,25095,30
2006135,25098,10
2006855,21278,1
2007638,5328,15
2007638,17810,11
2007638,17860,2
2007638,17903,9
2007638,21343,1
2007638,21513,13
2007638,21566,16
2007638,21567,5
2007638,21568,10
2007638,21571,8
2007638,21576,4
2007638,22926,14
2007638,25061,17
2007638,25076,3
2007638,25081,6
2007638,25084,7
2007638,25088,12
2007734,19587,1
2007734,25080,2
2007785,21602,1
2007834,25094,1
2007884,19587,1
2007931,21578,1
2008080,17946,1
2008130,21343,5
2008130,21568,3
2008130,25058,2
2008130,25061,6
2008130,25062,7
2008130,25083,1
2008130,25160,4
2008179,5328,21
2008179,17810,1
2008179,17860,4
2008179,17878,3
2008179,17897,9
2008179,17912,24
2008179,21351,2
2008179,21353,16
2008179,21557,6
2008179,21559,18
2008179,21564,17
2008179,21568,12
2008179,21571,11
2008179,21574,10
2008179,21576,7
2008179,21577,14
2008179,22926,19
2008179,23074,13
2008179,25061,22
2008179,25078,5
2008179,25088,15
2008179,25095,23
2008179,25098,8
2008179,26457,20
2008228,21278,1
2008275,21546,1
2008275,21600,2
2008698,5232,15
2008698,5264,18
2008698,5280,19
2008698,5328,14
2008698,13863,23
2008698,13906,20
2008698,13929,25
2008698,17673,17
2008698,17677,22
2008698,17810,9
2008698,17881,16
2008698,17889,21
2008698,17900,3
2008698,21342,1
2008698,21351,2
2008698,21553,27
2008698,21561,8
2008698,21567,6
2008698,21569,10
2008698,21576,5
2008698,21577,11
2008698,21587,26
2008698,22926,13
2008698,25077,4
2008698,25080,7
2008698,25091,24
2008698,25097,12
2008733,21508,1
2008770,21351,1
2008835,21353,1
2008835,25056,2
2008905,5232,2
2008905,5264,4
2008905,5280,5
2008905,13915,6
2008905,13929,8
2008905,17885,7
2008905,21343,1
2008905,21584,3
2008945,17860,1
2009009,17810,1
2009074,21567,1
2009331,21353,9
2009331,21513,10
2009331,21568,6
2009331,25060,7
2009331,25061,11
2009331,25062,12
2009331,25080,2
2009331,25082,3
2009331,25083,1
2009331,25085,4
2009331,25086,5
2009331,25160,8
2009401,25076,1
2009417,17881,1
2009454,21578,3
2009454,25080,2
2009454,25098,1
2009473,5264,1
2009492,5264,1
2009532,5239,6
2009532,5263,12
2009532,5280,7
2009532,13929,11
2009532,17673,3
2009532,17852,16
2009532,17881,2
2009532,17887,1
2009532,17901,4
2009532,21556,20
2009532,21580,13
2009532,21583,14
2009532,21588,9
2009532,21589,5
2009532,21601,10
2009532,24679,8
2009532,25058,17
2009532,25060,19
2009532,25077,15
2009532,25086,18
2009532,25090,21
2009532,25094,22
2009532,25095,23
2009570,5232,3
2009570,13075,5
2009570,13901,6
2009570,17677,8
2009570,17810,21
2009570,17878,10
2009570,17897,17
2009570,17898,2
2009570,19377,16
2009570,21278,23
2009570,21351,9
2009570,21584,4
2009570,24679,7
2009570,24933,22
2009570,25048,1
2009570,25049,25
2009570,25058,14
2009570,25062,27
2009570,25075,11
2009570,25076,12
2009570,25077,13
2009570,25081,15
2009570,25083,18
2009570,25085,19
2009570,25086,20
2009570,25089,24
2009570,25092,26
2009928,5239,4
2009928,5247,11
2009928,5263,18
2009928,5280,8
2009928,5328,59
2009928,13075,9
2009928,17677,12
2009928,17810,44
2009928,17878,20
2009928,17881,2
2009928,17885,13
2009928,17895,6
2009928,17896,43
2009928,17897,33
2009928,17903,39
2009928,19363,58
2009928,19377,32
2009928,19621,5
2009928,21278,49
2009928,21343,47
2009928,21351,19
2009928,21513,55
2009928,21553,16
2009928,21562,23
2009928,21564,53
2009928,21566,61
2009928,21567,27
2009928,21568,40
2009928,21569,45
2009928,21571,37
2009928,21574,36
2009928,21576,26
2009928,21577,48
2009928,21578,54
2009928,21584,3
2009928,21586,7
2009928,21587,15
2009928,21588,1
2009928,22926,56
2009928,23074,41
2009928,23079,17
2009928,24679,10
2009928,25049,51
2009928,25050,46
2009928,25056,25
2009928,25058,28
2009928,25059,42
2009928,25061,62
2009928,25062,63
2009928,25075,21
2009928,25076,22
2009928,25077,24
2009928,25081,29
2009928,25082,30
2009928,25084,34
2009928,25085,35
2009928,25086,38
2009928,25089,50
2009928,25090,52
2009928,25091,14
2009928,25093,60
2009928,25098,31
2009928,26457,57
2011117,13863,1
2011117,17810,10
2011117,17860,3
2011117,17878,2
2011117,17903,6
2011117,19591,17
2011117,21513,14
2011117,21547,8
2011117,21564,12
2011117,21568,7
2011117,21574,5
2011117,21578,13
2011117,25060,9
2011117,25061,15
2011117,25088,11
2011117,25095,16
2011117,25098,4
2011204,17881,1
2011295,17881,1
2011295,25080,2
2011382,21588,1
2011483,25089,1
2011518,25089,1
2011536,25087,1
2011552,21670,1
2011588,21508,1
2011606,21596,1
2011625,25089,1
2011739,19296,1
2012335,5263,35
2012335,5280,27
2012335,13906,28
2012335,13915,31
2012335,17677,30
2012335,17878,2
2012335,17881,23
2012335,17895,26
2012335,17901,24
2012335,19363,20
2012335,21343,17
2012335,21547,13
2012335,21553,33
2012335,21562,1
2012335,21565,10
2012335,21566,21
2012335,21573,12
2012335,21576,6
2012335,21583,36
2012335,21584,25
2012335,21588,29
2012335,23079,34
2012335,25050,16
2012335,25056,4
2012335,25057,7
2012335,25076,3
2012335,25078,5
2012335,25080,8
2012335,25083,11
2012335,25087,14
2012335,25088,18
2012335,25091,32
2012335,25098,9
2012335,25160,15
2012335,25209,22
2012335,26457,19
2012909,21352,1
2012909,21583,2
2012922,17879,1
2012937,25093,1
2012953,19620,1
2012982,25096,1
2012995,24933,1
2012995,25080,2
2013012,17673,11
2013012,21352,7
2013012,21558,1
2013012,21560,4
2013012,21599,8
2013012,23078,3
2013012,24933,6
2013012,25076,2
2013012,25080,5
2013012,25092,9
2013012,25094,10
2013025,25056,1
2013038,5369,18
2013038,17897,9
2013038,21343,15
2013038,21353,16
2013038,21564,17
2013038,21567,6
2013038,21568,13
2013038,21571,12
2013038,21576,5
2013038,22926,1
2013038,25056,3
2013038,25060,14
2013038,25062,19
2013038,25076,2
2013038,25078,4
2013038,25082,7
2013038,25083,10
2013038,25084,11
2013038,25098,8
2013066,5232,2
2013066,17907,1
2013080,17910,1
2013093,21557,1
2013093,25080,2
2013107,21557,4
2013107,21564,7
2013107,21578,8
2013107,25050,6
2013107,25077,2
2013107,25078,3
2013107,25085,5
2013107,25160,1
2013107,26457,9
2013118,21596,1
2013130,5328,1
2013176,25094,1
2013226,17810,5
2013226,17860,3
2013226,21351,2
2013226,21353,6
2013226,21566,1
2013226,25048,8
2013226,25095,7
2013226,25098,4
2013269,21557,1
2013269,25080,2
2013415,21580,1
2013465,25085,1
2013559,17810,11
2013559,17878,2
2013559,17897,6
2013559,21508,13
2013559,21513,15
2013559,21564,14
2013559,21567,4
2013559,21568,10
2013559,21571,8
2013559,21586,1
2013559,25057,3
2013559,25061,16
2013559,25082,5
2013559,25084,7
2013559,25086,9
2013559,25088,12
2013779,25062,1
2013841,25085,1
2013906,19363,1
2013970,21571,1
2014416,5232,45
2014416,5239,49
2014416,5263,59
2014416,5280,52
2014416,5328,42
2014416,13906,53
2014416,13929,58
2014416,17673,47
2014416,17810,20
2014416,17860,3
2014416,17881,46
2014416,17885,57
2014416,17889,54
2014416,17900,4
2014416,17901,48
2014416,17906,51
2014416,17907,1
2014416,17909,30
2014416,17911,32
2014416,17946,25
2014416,19587,10
2014416,19621,50
2014416,21351,2
2014416,21352,27
2014416,21353,33
2014416,21546,19
2014416,21555,24
2014416,21557,12
2014416,21559,36
2014416,21560,15
2014416,21561,18
2014416,21564,35
2014416,21567,14
2014416,21569,22
2014416,21576,13
2014416,21577,26
2014416,21578,37
2014416,21579,40
2014416,21583,60
2014416,21588,56
2014416,21599,34
2014416,21600,21
2014416,22926,38
2014416,23074,17
2014416,23078,8
2014416,23129,28
2014416,24679,55
2014416,25050,23
2014416,25056,7
2014416,25076,5
2014416,25077,6
2014416,25078,9
2014416,25079,11
2014416,25082,16
2014416,25090,31
2014416,25092,41
2014416,25094,43
2014416,25096,44
2014416,25097,29
2014416,26457,39
2014427,25057,1
2014441,25086,1
2014460,25077,1
2014460,25080,2
2014475,21574,1
2014490,21351,1
2014507,21602,1
2014523,17810,1
2014556,5328,19
2014556,17810,12
2014556,17860,4
2014556,17878,3
2014556,17897,9
2014556,19363,18
2014556,21351,2
2014556,21353,14
2014556,21564,16
2014556,21566,20
2014556,21568,11
2014556,21576,7
2014556,21577,13
2014556,21599,15
2014556,25056,6
2014556,25062,22
2014556,25076,5
2014556,25080,8
2014556,25086,10
2014556,25094,21
2014556,25095,1
2014556,26457,17
2014571,5328,16
2014571,17810,10
2014571,17877,7
2014571,17878,3
2014571,17903,9
2014571,19363,14
2014571,19377,6
2014571,21351,2
2014571,24933,12
2014571,25050,11
2014571,25062,17
2014571,25076,4
2014571,25080,5
2014571,25084,8
2014571,25086,1
2014571,25092,15
2014571,26457,13
2014590,21561,1
2014636,21565,1
2014878,21560,1
2015053,25092,1
2015081,25056,1
2015119,21573,1
2015149,21574,1
2015180,21556,2
2015180,21558,1
2015272,25057,1
2015300,21560,1
2015329,25060,1
2015412,25083,1
2015412,25086,2
2015440,25097,1
2015469,21574,1
2016336,5232,2
2016336,5239,7
2016336,5263,23
2016336,5280,11
2016336,13906,12
2016336,13915,16
2016336,13929,20
2016336,17673,4
2016336,17881,1
2016336,17885,17
2016336,17887,14
2016336,17889,13
2016336,17895,9
2016336,17901,5
2016336,17906,10
2016336,17911,33
2016336,19621,8
2016336,21278,32
2016336,21536,19
