roll_call_id,people_id,vote,vote_desc
1574129,5278,1,Yea
1574129,5328,1,Yea
1574129,5369,2,Nay
1574129,17810,4,Absent
1574129,17852,4,Absent
1574129,17860,1,Yea
1574129,17877,4,Absent
1574129,17878,1,Yea
1574129,17879,1,Yea
1574129,17890,4,Absent
1574129,17896,4,Absent
1574129,17897,4,Absent
1574129,17900,1,Yea
1574129,17903,4,Absent
1574129,17907,1,Yea
1574129,17909,4,Absent
1574129,17910,1,Yea
1574129,17911,4,Absent
1574129,17912,1,Yea
1574129,17946,1,Yea
1574129,19296,2,Nay
1574129,19363,2,Nay
1574129,19377,1,Yea
1574129,19587,4,Absent
1574129,19591,4,Absent
1574129,19620,2,Nay
1574129,21278,1,Yea
1574129,21337,1,Yea
1574129,21341,1,Yea
1574129,21342,1,Yea
1574129,21343,1,Yea
1574129,21351,1,Yea
1574129,21352,1,Yea
1574129,21353,1,Yea
1574129,21508,1,Yea
1574129,21513,1,Yea
1574129,21546,1,Yea
1574129,21547,1,Yea
1574129,21551,4,Absent
1574129,21555,1,Yea
1574129,21556,4,Absent
1574129,21557,1,Yea
1574129,21558,1,Yea
1574129,21559,1,Yea
1574129,21560,4,Absent
1574129,21561,1,Yea
1574129,21562,1,Yea
1574129,21564,2,Nay
1574129,21565,1,Yea
1574129,21566,2,Nay
1574129,21567,1,Yea
1574129,21568,1,Yea
1574129,21569,2,Nay
1574129,21571,1,Yea
1574129,21573,4,Absent
1574129,21574,1,Yea
1574129,21576,1,Yea
1574129,21577,1,Yea
1574129,21578,4,Absent
1574129,21579,1,Yea
1574129,21596,1,Yea
1574129,21599,1,Yea
1574129,21600,1,Yea
1574129,21602,1,Yea
1574129,21670,1,Yea
1574129,22926,2,Nay
1574129,23074,1,Yea
1574129,23078,4,Absent
1574129,23129,1,Yea
1574129,24933,1,Yea
1574129,25049,1,Yea
1574129,25050,1,Yea
1574129,25056,1,Yea
1574129,25057,1,Yea
1574129,25058,1,Yea
1574129,25059,4,Absent
1574129,25060,1,Yea
1574129,25061,1,Yea
1574129,25062,4,Absent
1574129,25075,1,Yea
1574129,25076,1,Yea
1574129,25077,1,Yea
1574129,25078,1,Yea
1574129,25079,4,Absent
1574129,25080,1,Yea
1574129,25081,1,Yea
1574129,25082,1,Yea
1574129,25083,1,Yea
1574129,25084,1,Yea
1574129,25085,1,Yea
1574129,25086,4,Absent
1574129,25087,1,Yea
1574129,25088,1,Yea
1574129,25089,2,Nay
1574129,25090,1,Yea
1574129,25092,1,Yea
1574129,25093,1,Yea
1574129,25094,1,Yea
1574129,25095,1,Yea
1574129,25096,1,Yea
1574129,25097,1,Yea
1574129,25098,1,Yea
1574129,25160,4,Absent
1574129,26457,1,Yea
1574129,26468,1,Yea
1586281,5232,1,Yea
1586281,5239,1,Yea
1586281,5247,1,Yea
1586281,5263,1,Yea
1586281,5264,1,Yea
1586281,5280,1,Yea
1586281,13042,1,Yea
1586281,13075,1,Yea
1586281,13863,1,Yea
1586281,13901,1,Yea
1586281,13906,4,Absent
1586281,13915,1,Yea
1586281,13929,1,Yea
1586281,17673,1,Yea
1586281,17677,1,Yea
1586281,17881,1,Yea
1586281,17885,1,Yea
1586281,17887,1,Yea
1586281,17889,1,Yea
1586281,17895,1,Yea
1586281,17898,1,Yea
1586281,17901,1,Yea
1586281,17906,1,Yea
1586281,19621,1,Yea
1586281,21536,1,Yea
1586281,21553,1,Yea
1586281,21580,1,Yea
1586281,21583,4,Absent
1586281,21584,1,Yea
1586281,21586,1,Yea
1586281,21587,1,Yea
1586281,21588,1,Yea
1586281,21589,4,Absent
1586281,21601,1,Yea
1586281,23079,4,Absent
1586281,24679,1,Yea
1586281,25048,1,Yea
1586281,25091,1,Yea
1586281,25209,4,Absent
1586477,5278,4,Absent
1586477,5328,1,Yea
1586477,5369,1,Yea
1586477,17810,1,Yea
1586477,17852,1,Yea
1586477,17860,1,Yea
1586477,17877,1,Yea
1586477,17878,1,Yea
1586477,17879,1,Yea
1586477,17890,1,Yea
1586477,17896,1,Yea
1586477,17897,1,Yea
