bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1935328,2182,H1,1,Introduced,2025-01-23,"Making appropriations for the fiscal year 2026 for the maintenance of the departments, boards, commissions, institutions, and certain activities of the commonwealth, for interest, sinking fund, and serial bond requirements, and for certain permanent improvements","Making appropriations for the fiscal year 2026 for the maintenance of the departments, boards, commissions, institutions, and certain activities of the commonwealth, for interest, sinking fund, and serial bond requirements, and for certain permanent improvements",0,,2025-04-17,"Accompanied H4000",https://legiscan.com/MA/bill/H1/2025,https://malegislature.gov/Bills/194/H1
1910125,2182,H3,1,Introduced,2025-03-12,"Legislative recommendations of the Auditor of the Commonwealth","Legislative recommendations of the Auditor of the Commonwealth",0,,2025-03-12,"Placed on file",https://legiscan.com/MA/bill/H3/2025,https://malegislature.gov/Bills/194/H3
1910002,2182,H4,1,Introduced,2025-02-27,"To reform payments in lieu of taxes for state-owned land","So much of the recommendations of the State Auditor (House, No. 3) as relates to reforming payments in lieu of taxes for state-owned land",773,"Joint Revenue",2025-02-27,"Senate concurred",https://legiscan.com/MA/bill/H4/2025,https://malegislature.gov/Bills/194/H4
1910096,2182,H5,1,Introduced,2025-02-27,"To improve oversight of state government","So much of the recommendations of the State Auditor (House, No. 3) as relates to improving oversight of state government and access to certain tax returns and related tax records",773,"Joint Revenue",2025-02-27,"Senate concurred",https://legiscan.com/MA/bill/H5/2025,https://malegislature.gov/Bills/194/H5
1909987,2182,H6,1,Introduced,2025-02-27,"Improving government accountability","So much of the recommendations of the State Auditor (House, No. 3) as relates to improving government accountability",774,"Joint State Administration and Regulatory Oversight",2025-02-27,"Senate concurred",https://legiscan.com/MA/bill/H6/2025,https://malegislature.gov/Bills/194/H6
1910052,2182,H7,1,Introduced,2025-02-27,"Improving the internal controls within state agencies","So much of the recommendations of the State Auditor (House, No. 3) as relates to improving the internal controls within state agencies",774,"Joint State Administration and Regulatory Oversight",2025-07-12,"Hearing scheduled for 07/22/2025 from 10:00 AM-01:00 PM in A-1",https://legiscan.com/MA/bill/H7/2025,https://malegislature.gov/Bills/194/H7
1909995,2182,H8,1,Introduced,2025-02-27,"Creating an electronic backpack for foster children’s educational records","So much of the recommendations of the State Auditor (House, No. 3) as relates to creating an electronic backpack for foster children",753,"Joint Children, Families and Persons with Disabilities",2025-06-27,"Hearing scheduled for 07/08/2025 from 01:00 PM-05:00 PM in A-1",https://legiscan.com/MA/bill/H8/2025,https://malegislature.gov/Bills/194/H8
1910128,2182,H9,1,Introduced,2025-02-27,"To improve transportation and environmental oversight","So much of the recommendations of the State Auditor (House, No. 3) as relates to improving transportation and environmental oversight",777,"Joint Transportation",2025-02-27,"Senate concurred",https://legiscan.com/MA/bill/H9/2025,https://malegislature.gov/Bills/194/H9
1910038,2182,H10,1,Introduced,2025-02-27,"Relative to nondisclosure agreements","So much of the recommendations of the State Auditor (House, No. 3) as relates to nondisclosure agreements",766,"Joint Judiciary",2025-02-27,"Senate concurred",https://legiscan.com/MA/bill/H10/2025,https://malegislature.gov/Bills/194/H10
1910118,2182,H11,1,Introduced,2025-03-12,"Legislative recommendations of the Office of the Inspector General","Legislative recommendations of the Office of the Inspector General",0,,2025-03-12,"Placed on file",https://legiscan.com/MA/bill/H11/2025,https://malegislature.gov/Bills/194/H11
