bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1935328,3072564,text,1571605,application/pdf,Introduced,https://legiscan.com/MA/text/H1/id/3072564,https://malegislature.gov/Bills/194/H1.pdf
1910125,3047089,text,111662,application/pdf,Introduced,https://legiscan.com/MA/text/H3/id/3047089,https://malegislature.gov/Bills/194/H3.pdf
1910002,3046966,text,106675,application/pdf,Introduced,https://legiscan.com/MA/text/H4/id/3046966,https://malegislature.gov/Bills/194/H4.pdf
1910096,3047060,text,107989,application/pdf,Introduced,https://legiscan.com/MA/text/H5/id/3047060,https://malegislature.gov/Bills/194/H5.pdf
1909987,3046951,text,123154,application/pdf,Introduced,https://legiscan.com/MA/text/H6/id/3046951,https://malegislature.gov/Bills/194/H6.pdf
1910052,3047016,text,112596,application/pdf,Introduced,https://legiscan.com/MA/text/H7/id/3047016,https://malegislature.gov/Bills/194/H7.pdf
1909995,3046959,text,111517,application/pdf,Introduced,https://legiscan.com/MA/text/H8/id/3046959,https://malegislature.gov/Bills/194/H8.pdf
1910128,3047092,text,105526,application/pdf,Introduced,https://legiscan.com/MA/text/H9/id/3047092,https://malegislature.gov/Bills/194/H9.pdf
1910038,3047002,text,118433,application/pdf,Introduced,https://legiscan.com/MA/text/H10/id/3047002,https://malegislature.gov/Bills/194/H10.pdf
1910118,3047082,text,258064,application/pdf,Introduced,https://legiscan.com/MA/text/H11/id/3047082,https://malegislature.gov/Bills/194/H11.pdf
1910067,3047031,text,110035,application/pdf,Introduced,https://legiscan.com/MA/text/H12/id/3047031,https://malegislature.gov/Bills/194/H12.pdf
1910024,3046988,text,102374,application/pdf,Introduced,https://legiscan.com/MA/text/H13/id/3046988,https://malegislature.gov/Bills/194/H13.pdf
1910045,3047009,text,112387,application/pdf,Introduced,https://legiscan.com/MA/text/H14/id/3047009,https://malegislature.gov/Bills/194/H14.pdf
1910121,3047085,text,132665,application/pdf,Introduced,https://legiscan.com/MA/text/H15/id/3047085,https://malegislature.gov/Bills/194/H15.pdf
1909955,3046918,text,110008,application/pdf,Introduced,https://legiscan.com/MA/text/H16/id/3046918,https://malegislature.gov/Bills/194/H16.pdf
