bill_id,date,chamber,sequence,action
1909951,2025-02-27,House,1,"Referred to the Joint Committee on Public Service"
1909951,2025-02-27,Senate,2,"Senate concurred"
1909951,2025-04-09,Joint,3,"Hearing scheduled for 04/14/2025 from 01:00 PM-04:00 PM in A-1"
1909955,2025-02-27,House,1,"Referred to the Joint Committee on Municipalities and Regional Government"
1909955,2025-02-27,Senate,2,"Senate concurred"
1909955,2025-07-09,Joint,3,"Hearing scheduled for 07/22/2025 from 01:00 PM-05:00 PM in B-1"
1909955,2025-08-14,House,4,"Accompanied a new draft, see H4392"
1909958,2025-02-27,House,1,"Referred to the Joint Committee on Public Service"
1909958,2025-02-27,Senate,2,"Senate concurred"
1909958,2025-04-09,Joint,3,"Hearing scheduled for 04/14/2025 from 01:00 PM-04:00 PM in A-1"
1909962,2025-03-12,House,1,"Placed on file"
1909966,2025-02-27,House,1,"Referred to the Joint Committee on State Administration and Regulatory Oversight"
1909966,2025-02-27,Senate,2,"Senate concurred"
1909966,2025-07-12,Joint,3,"Hearing scheduled for 07/22/2025 from 10:00 AM-01:00 PM in A-1"
1909969,2025-02-27,House,1,"Referred to the Joint Committee on Public Service"
1909969,2025-02-27,Senate,2,"Senate concurred"
1909969,2025-04-09,Joint,3,"Hearing scheduled for 04/14/2025 from 01:00 PM-04:00 PM in A-1"
1909973,2025-01-09,House,1,"Read; and referred to the temporary committee on House Ways and Means"
1909973,2025-02-06,House,2,"Reported, in part, by H57"
1909976,2025-02-27,House,1,"Referred to the Joint Committee on Consumer Protection and Professional Licensure"
1909976,2025-02-27,Senate,2,"Senate concurred"
1909976,2025-05-05,Joint,3,"Hearing scheduled for 05/12/2025 from 10:00 AM-01:00 PM in A-2"
1909976,2025-07-17,House,4,"Accompanied H442"
1909980,2025-02-27,House,1,"Referred to the Joint Committee on State Administration and Regulatory Oversight"
1909980,2025-02-27,Senate,2,"Senate concurred"
1909984,2025-02-27,House,1,"Referred to the Joint Committee on Public Service"
1909984,2025-02-27,Senate,2,"Senate concurred"
1909984,2025-04-09,Joint,3,"Hearing scheduled for 04/14/2025 from 01:00 PM-04:00 PM in A-1"
1909987,2025-02-27,House,1,"Referred to the Joint Committee on State Administration and Regulatory Oversight"
1909987,2025-02-27,Senate,2,"Senate concurred"
1909991,2025-02-27,House,1,"Referred to the Joint Committee on Public Service"
1909991,2025-02-27,Senate,2,"Senate concurred"
1909991,2025-04-09,Joint,3,"Hearing scheduled for 04/14/2025 from 01:00 PM-04:00 PM in A-1"
1909995,2025-02-27,House,1,"Referred to the Joint Committee on Children, Families and Persons with Disabilities"
1909995,2025-02-27,Senate,2,"Senate concurred"
1909995,2025-06-27,Joint,3,"Hearing scheduled for 07/08/2025 from 01:00 PM-05:00 PM in A-1"
1909998,2025-02-27,House,1,"Referred to the Joint Committee on Public Service"
1909998,2025-02-27,Senate,2,"Senate concurred"
1909998,2025-04-09,Joint,3,"Hearing scheduled for 04/14/2025 from 01:00 PM-04:00 PM in A-1"
1910002,2025-02-27,House,1,"Referred to the Joint Committee on Revenue"
1910002,2025-02-27,Senate,2,"Senate concurred"
