bill_id,people_id,position
1910078,2576,1
1943927,13110,1
1944014,13110,1
1944014,24758,2
1944110,2577,1
1944110,13317,3
1944110,22741,2
1944203,2577,1
1944203,13317,2
1944288,2471,1
1944381,2560,2
1944381,21064,4
1944381,21141,1
1944381,22745,5
1944381,22841,3
1944469,2555,3
1944469,2567,5
1944469,2577,4
1944469,17989,2
1944469,21064,1
1944553,2555,1
1956588,13341,1
1959228,17537,1
1959766,17537,1
1964103,2506,1
1973663,2506,1
1981135,2441,1
1981277,2441,1
1981418,2441,1
1981565,2441,1
1982747,2480,1
1985505,2441,1
1989651,17656,1
1989705,12461,8
1989705,17646,3
1989705,19188,7
1989705,21139,4
1989705,21145,2
1989705,22745,1
1989705,24767,5
1989705,25793,6
1989763,17656,1
1989819,2478,1
1989874,2440,3
1989874,2459,1
1989874,2519,4
1989874,13114,2
1989874,17648,5
1989874,22741,6
1989932,17656,1
1989987,17661,1
1989987,24768,2
1990043,24759,1
1990098,2577,13
1990098,12454,17
1990098,12455,15
1990098,13114,12
1990098,16196,14
1990098,17645,19
1990098,17660,5
1990098,17989,2
1990098,19188,11
1990098,21064,6
1990098,21065,1
1990098,21132,4
1990098,21145,3
1990098,21657,20
1990098,22745,7
1990098,24754,10
1990098,24760,9
1990098,24767,8
1990098,24773,21
1990098,24948,18
1990098,25189,16
1992077,19306,1
1992167,2560,1
1992167,17646,4
1992167,19185,2
1992167,22745,3
1992251,21141,1
1992341,19195,1
1992341,25795,2
1992428,19306,1
1992428,22681,2
1992515,25806,1
1992602,2552,1
1992602,21149,3
1992602,24947,2
1992687,17662,1
1996858,2555,1
1996858,21657,2
1996859,2555,2
1996859,19433,1
1996860,2478,2
1996860,2510,1
1996861,2566,1
1996862,21139,3
1996862,21141,1
1996862,24758,2
1996863,2403,3
1996863,2555,7
1996863,2560,6
1996863,13110,9
1996863,19185,5
1996863,19623,4
1996863,22735,2
1996863,22739,1
1996863,24769,10
1996863,24772,8
1996864,2403,11
1996864,2435,8
1996864,2463,4
1996864,2555,9
1996864,13110,5
1996864,19195,10
1996864,19306,6
1996864,21064,2
1996864,22739,1
1996864,22841,7
1996864,22842,3
1996865,17662,2
1996865,19195,1
1996866,2463,3
1996866,22735,2
1996866,24769,1
1996867,2577,2
1996867,12439,3
1996867,13110,1
1996868,2403,1
1996868,16207,2
1996869,2510,1
1996870,2471,1
1996871,2577,1
1996872,13110,4
1996872,17645,5
1996872,21064,1
1996872,22739,3
1996872,22741,2
1996873,2560,2
1996873,19195,1
1996874,2577,1
1996874,13317,2
1996875,19410,1
1996876,2403,12
1996876,2459,15
1996876,2463,2
1996876,2471,17
1996876,2526,10
1996876,2555,7
1996876,2560,1
1996876,2566,18
1996876,2577,9
1996876,12439,8
1996876,13058,19
1996876,16183,3
1996876,17662,13
1996876,17963,4
1996876,21064,6
1996876,21126,21
1996876,21127,20
1996876,22735,14
1996876,22739,5
1996876,24758,11
1996876,24765,16
1996876,24769,22
1996877,2555,2
1996877,22739,1
1996878,2577,1
1996878,13317,2
1996879,19433,1
