bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1899466,2164,HB1,4,Passed,2025-05-13,"Department of Transportation - Human Trafficking Awareness, Training, and Response (See Someone, Save Someone Act)","Requiring the Maryland Department of Transportation to develop or identify and implement a training program for transportation sector employees on the identification and reporting of suspected human trafficking victims; requiring transportation sector employers to certify by January 1, 2027, and each year thereafter that certain employees have completed the training program; requiring new employees to receive training within 90 days of hiring; removing civil and criminal liability for reporting of suspected trafficking; etc.",0,,2025-05-13,"Approved by the Governor - Chapter 437",https://legiscan.com/MD/bill/HB1/2025,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0001?ys=2025RS
1899589,2164,HB2,1,Introduced,2025-01-08,"Annotated Code - Terminology - Clergy and Churches, Faith Institutions, and Places of Worship","Altering certain terminology throughout the Annotated Code that refers to a clergyman to refer to a member of the clergy and churches to refer to faith institutions and places of worship.",1926,"House Rules and Executive Nominations",2025-02-26,"Hearing 3/03 at 12:00 p.m.",https://legiscan.com/MD/bill/HB2/2025,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0002?ys=2025RS
1899450,2164,HB3,4,Passed,2025-05-06,"State Board of Physical Therapy Examiners - Revisions","Clarifying the definition of ""physical therapist assistant"" as used in the Maryland Physical Therapy Act to mean an individual licensed by the State Board of Physical Therapy Examiners; increasing the membership of the State Board of Physical Therapy Examiners from 8 to 9; and requiring the Board to send renewal notices to licensees by electronic means, rather than first-class mail, unless the licensee requests to receive the renewal notice by first-class mail.",0,,2025-05-06,"Approved by the Governor - Chapter 352",https://legiscan.com/MD/bill/HB3/2025,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0003?ys=2025RS
1899129,2164,HB4,4,Passed,2025-05-13,"Restrictions on Use - Solar Collector Systems - Alteration","Prohibiting a restriction on land use that increases the cost of installing a solar collector system by at least 5% over a certain cost or that reduces the efficiency of the system by at least 10% under a certain energy generation level; authorizing a community association to impose certain restrictions on the installation of solar collector systems in common areas or common elements; authorizing a community association to install a solar collector system in common areas or common elements under certain circumstances; etc.",0,,2025-05-13,"Approved by the Governor - Chapter 517",https://legiscan.com/MD/bill/HB4/2025,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0004?ys=2025RS
1899660,2164,HB5,2,Engrossed,2025-03-14,"Criminal Law - Child Sexual Abuse Material - Artificial Intelligence Software","Altering the term ""child pornography"" to be ""child sexual abuse material"" for purposes of certain criminal offenses; defining ""computer-generated image"" to include images created through the use of artificial intelligence software as the term pertains to provisions of law related to child sexual abuse material; etc.",1934,"Senate Judicial Proceedings",2025-03-25,"Hearing 3/25 at 2:00 p.m.",https://legiscan.com/MD/bill/HB5/2025,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0005?ys=2025RS
1899291,2164,HB6,2,Engrossed,2025-02-28,"State Department of Assessments and Taxation and Department of General Services - Property Appraisal Aids - Geographic Images","Requiring the State Department of Assessments and Taxation to prepare, install, and maintain certain appraisal aids that consist of a database of statewide and local geographic images; requiring each county and Baltimore City to reimburse the State for 100% of costs of the data base less than $1,000,000 and 50% of the costs over $1,000,000; and requiring, by June 30, 2025, the Department to develop policies to protect the identity of any individual whose image is captured by oblique aerial photographic imagery.
",1929,"Senate Budget and Taxation",2025-03-24,"Hearing 3/27 at 1:00 p.m.",https://legiscan.com/MD/bill/HB6/2025,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0006?ys=2025RS
1899481,2164,HB7,2,Engrossed,2025-02-13,"Vehicle Laws - Bicycles - Operation at Intersections","Authorizing a person operating a bicycle that is approaching a stop sign at an intersection on a highway with two or fewer lanes for moving traffic to cautiously make a turn or proceed through the intersection without stopping if the person reduces the speed of the bicycle to a reasonable rate and yields the right-of-way to any vehicle in the intersection or any approaching vehicle on another highway that is near enough to the intersection to pose an immediate danger",0,,2025-03-31,"Unfavorable Report by Judicial Proceedings",https://legiscan.com/MD/bill/HB7/2025,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0007?ys=2025RS
1899588,2164,HB8,1,Introduced,2025-01-08,"Public Health - Food and Milk Product Labeling - Requirements","Requiring, beginning July 1, 2026, certain food manufacturers, processors, and retailers to use certain terms regarding the quality or safety date on labels of food items manufactured for human consumption; prohibiting, beginning on July 1, 2026, a person from selling, or offering for sale, food items manufactured for human consumption with a certain label or that do not meet certain labeling requirements; requiring the creation of an educational program to inform consumers about the meaning of certain dates;  etc.",0,,2025-02-17,"Withdrawn by Sponsor",https://legiscan.com/MD/bill/HB8/2025,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0008?ys=2025RS
1899500,2164,HB9,4,Passed,2025-05-13,"Public Safety - Food System Resiliency Council - Definitions and Reports","Altering certain definitions related to the Food Resiliency Council; defining what constitutes ""healthy food priority areas"" as predominantly lower-income areas that have limited access to retail outlets that sell affordable, healthy foods; defining ""wasted food"" as food not used for its intended purpose; requiring the Council to make recommendations to increase the availability of local foods, create market opportunities for Maryland food businesses, and expand access to small scale food production infrastructure; etc.",0,,2025-05-13,"Approved by the Governor - Chapter 496",https://legiscan.com/MD/bill/HB9/2025,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0009?ys=2025RS
1899182,2164,HB10,1,Introduced,2025-01-08,"Higher Education - Edward T. and Mary A. Conroy Memorial Scholarship Program - Eligibility","Authorizing a postsecondary institution to contact, on request of an applicant for the Edward T. and Mary A. Conroy Memorial Scholarship Program, the Department of Veterans and Military Families to verify the disability status of the veteran.",0,,2025-02-03,"Withdrawn by Sponsor",https://legiscan.com/MD/bill/HB10/2025,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0010?ys=2025RS
