bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1899466,3037714,text,108635,application/pdf,Introduced,https://legiscan.com/MD/text/HB1/id/3037714,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0001f.pdf
1899466,3151918,text,114692,application/pdf,Engrossed,https://legiscan.com/MD/text/HB1/id/3151918,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0001t.pdf
1899466,3238614,text,100324,application/pdf,Chaptered,https://legiscan.com/MD/text/HB1/id/3238614,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_437_hb0001t.pdf
1899589,3038001,text,210497,application/pdf,Introduced,https://legiscan.com/MD/text/HB2/id/3038001,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0002f.pdf
1899450,3037559,text,91041,application/pdf,Introduced,https://legiscan.com/MD/text/HB3/id/3037559,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0003f.pdf
1899450,3112733,text,93351,application/pdf,Engrossed,https://legiscan.com/MD/text/HB3/id/3112733,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0003t.pdf
1899450,3233141,text,84706,application/pdf,Chaptered,https://legiscan.com/MD/text/HB3/id/3233141,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_352_hb0003t.pdf
1899129,3038002,text,111387,application/pdf,Introduced,https://legiscan.com/MD/text/HB4/id/3038002,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0004f.pdf
1899129,3112741,text,113706,application/pdf,Engrossed,https://legiscan.com/MD/text/HB4/id/3112741,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0004t.pdf
1899129,3238076,text,100111,application/pdf,Chaptered,https://legiscan.com/MD/text/HB4/id/3238076,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_517_hb0004t.pdf
1899660,3038005,text,91346,application/pdf,Introduced,https://legiscan.com/MD/text/HB5/id/3038005,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0005f.pdf
1899660,3173867,text,178057,application/pdf,Engrossed,https://legiscan.com/MD/text/HB5/id/3173867,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0005t.pdf
1899291,3037678,text,109972,application/pdf,Introduced,https://legiscan.com/MD/text/HB6/id/3037678,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0006f.pdf
1899291,3142404,text,116295,application/pdf,Engrossed,https://legiscan.com/MD/text/HB6/id/3142404,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0006t.pdf
1899481,3037733,text,94549,application/pdf,Introduced,https://legiscan.com/MD/text/HB7/id/3037733,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0007f.pdf
1899481,3112754,text,95153,application/pdf,Engrossed,https://legiscan.com/MD/text/HB7/id/3112754,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0007t.pdf
1899588,3037705,text,120857,application/pdf,Introduced,https://legiscan.com/MD/text/HB8/id/3037705,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0008f.pdf
1899500,3037724,text,106733,application/pdf,Introduced,https://legiscan.com/MD/text/HB9/id/3037724,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0009f.pdf
1899500,3112618,text,128507,application/pdf,Engrossed,https://legiscan.com/MD/text/HB9/id/3112618,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0009t.pdf
1899500,3203202,text,167148,application/pdf,Enrolled,https://legiscan.com/MD/text/HB9/id/3203202,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0009e.pdf
1899500,3238453,text,131072,application/pdf,Chaptered,https://legiscan.com/MD/text/HB9/id/3238453,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_496_hb0009e.pdf
1899182,3038000,text,83610,application/pdf,Introduced,https://legiscan.com/MD/text/HB10/id/3038000,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0010f.pdf
1898991,3037557,text,112224,application/pdf,Introduced,https://legiscan.com/MD/text/HB11/id/3037557,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0011f.pdf
1898991,3140266,text,139149,application/pdf,Engrossed,https://legiscan.com/MD/text/HB11/id/3140266,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0011t.pdf
1898991,3251623,text,121169,application/pdf,Chaptered,https://legiscan.com/MD/text/HB11/id/3251623,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_660_hb0011t.pdf
1899044,3037739,text,126148,application/pdf,Introduced,https://legiscan.com/MD/text/HB12/id/3037739,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0012f.pdf
1899044,3151991,text,127911,application/pdf,Engrossed,https://legiscan.com/MD/text/HB12/id/3151991,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0012t.pdf
1899044,3208799,text,115584,application/pdf,Chaptered,https://legiscan.com/MD/text/HB12/id/3208799,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_57_hb0012t.pdf
1899605,3037707,text,95935,application/pdf,Introduced,https://legiscan.com/MD/text/HB13/id/3037707,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0013f.pdf
1898929,3037708,text,121411,application/pdf,Introduced,https://legiscan.com/MD/text/HB14/id/3037708,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0014f.pdf
1899574,3037897,text,335912,application/pdf,Introduced,https://legiscan.com/MD/text/HB15/id/3037897,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0015f.pdf
1899574,3176961,text,352662,application/pdf,Engrossed,https://legiscan.com/MD/text/HB15/id/3176961,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0015t.pdf
1899574,3205022,text,389374,application/pdf,Enrolled,https://legiscan.com/MD/text/HB15/id/3205022,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0015e.pdf
1899574,3221050,text,325161,application/pdf,Chaptered,https://legiscan.com/MD/text/HB15/id/3221050,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_198_hb0015e.pdf
1899578,3037894,text,82632,application/pdf,Introduced,https://legiscan.com/MD/text/HB16/id/3037894,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0016f.pdf
1899597,3037751,text,446573,application/pdf,Introduced,https://legiscan.com/MD/text/HB17/id/3037751,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0017f.pdf
1899184,3037994,text,107486,application/pdf,Introduced,https://legiscan.com/MD/text/HB18/id/3037994,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0018f.pdf
1899184,3176323,text,109807,application/pdf,Engrossed,https://legiscan.com/MD/text/HB18/id/3176323,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0018t.pdf
1899184,3251355,text,97981,application/pdf,Chaptered,https://legiscan.com/MD/text/HB18/id/3251355,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_712_hb0018t.pdf
1899482,3037772,text,182688,application/pdf,Introduced,https://legiscan.com/MD/text/HB19/id/3037772,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0019f.pdf
1899482,3177025,text,254605,application/pdf,Engrossed,https://legiscan.com/MD/text/HB19/id/3177025,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0019t.pdf
1899482,3204761,text,320461,application/pdf,Enrolled,https://legiscan.com/MD/text/HB19/id/3204761,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0019e.pdf
1899482,3232704,text,285737,application/pdf,Chaptered,https://legiscan.com/MD/text/HB19/id/3232704,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_416_hb0019e.pdf
1899152,3038009,text,309395,application/pdf,Introduced,https://legiscan.com/MD/text/HB20/id/3038009,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0020f.pdf
1899246,3037685,text,91496,application/pdf,Introduced,https://legiscan.com/MD/text/HB21/id/3037685,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0021f.pdf
1899106,3037999,text,87847,application/pdf,Introduced,https://legiscan.com/MD/text/HB22/id/3037999,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0022f.pdf
1899106,3127855,text,88965,application/pdf,Engrossed,https://legiscan.com/MD/text/HB22/id/3127855,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0022t.pdf
1899106,3220623,text,81179,application/pdf,Chaptered,https://legiscan.com/MD/text/HB22/id/3220623,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_128_hb0022t.pdf
1899664,3037738,text,150023,application/pdf,Introduced,https://legiscan.com/MD/text/HB23/id/3037738,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0023f.pdf
1899664,3170836,text,194026,application/pdf,Engrossed,https://legiscan.com/MD/text/HB23/id/3170836,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0023t.pdf
1899514,3037730,text,128390,application/pdf,Introduced,https://legiscan.com/MD/text/HB24/id/3037730,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0024f.pdf
1899194,3037985,text,134428,application/pdf,Introduced,https://legiscan.com/MD/text/HB25/id/3037985,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0025f.pdf
1899194,3112625,text,174346,application/pdf,Engrossed,https://legiscan.com/MD/text/HB25/id/3112625,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0025t.pdf
1899194,3201835,text,222402,application/pdf,Enrolled,https://legiscan.com/MD/text/HB25/id/3201835,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0025e.pdf
1899194,3238441,text,179116,application/pdf,Chaptered,https://legiscan.com/MD/text/HB25/id/3238441,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_441_hb0025e.pdf
1899339,3037698,text,83659,application/pdf,Introduced,https://legiscan.com/MD/text/HB26/id/3037698,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0026f.pdf
1899401,3037692,text,150748,application/pdf,Introduced,https://legiscan.com/MD/text/HB27/id/3037692,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0027f.pdf
1899401,3127865,text,154736,application/pdf,Engrossed,https://legiscan.com/MD/text/HB27/id/3127865,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0027t.pdf
1899401,3220532,text,141477,application/pdf,Chaptered,https://legiscan.com/MD/text/HB27/id/3220532,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_224_hb0027t.pdf
1899536,3037732,text,112269,application/pdf,Introduced,https://legiscan.com/MD/text/HB28/id/3037732,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0028f.pdf
1899615,3037745,text,120585,application/pdf,Introduced,https://legiscan.com/MD/text/HB29/id/3037745,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0029f.pdf
1899432,3037725,text,100418,application/pdf,Introduced,https://legiscan.com/MD/text/HB30/id/3037725,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0030f.pdf
1899432,3176895,text,101455,application/pdf,Engrossed,https://legiscan.com/MD/text/HB30/id/3176895,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0030t.pdf
1899217,3037806,text,126862,application/pdf,Introduced,https://legiscan.com/MD/text/HB31/id/3037806,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0031f.pdf
1899217,3177063,text,169749,application/pdf,Engrossed,https://legiscan.com/MD/text/HB31/id/3177063,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0031t.pdf
1899217,3238139,text,150172,application/pdf,Chaptered,https://legiscan.com/MD/text/HB31/id/3238139,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_546_hb0031t.pdf
1899107,3037713,text,118008,application/pdf,Introduced,https://legiscan.com/MD/text/HB32/id/3037713,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0032f.pdf
1899107,3170855,text,161327,application/pdf,Engrossed,https://legiscan.com/MD/text/HB32/id/3170855,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0032t.pdf
1899107,3220697,text,141463,application/pdf,Chaptered,https://legiscan.com/MD/text/HB32/id/3220697,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_115_hb0032t.pdf
1899075,3037980,text,170578,application/pdf,Introduced,https://legiscan.com/MD/text/HB33/id/3037980,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0033f.pdf
1899075,3127862,text,172905,application/pdf,Engrossed,https://legiscan.com/MD/text/HB33/id/3127862,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0033t.pdf
1899075,3209780,text,159519,application/pdf,Chaptered,https://legiscan.com/MD/text/HB33/id/3209780,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_93_hb0033t.pdf
1899655,3037755,text,86091,application/pdf,Introduced,https://legiscan.com/MD/text/HB34/id/3037755,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0034f.pdf
1899330,3037694,text,144096,application/pdf,Introduced,https://legiscan.com/MD/text/HB35/id/3037694,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0035f.pdf
1899622,3037752,text,127620,application/pdf,Introduced,https://legiscan.com/MD/text/HB36/id/3037752,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0036f.pdf
1899622,3098219,text,156633,application/pdf,Engrossed,https://legiscan.com/MD/text/HB36/id/3098219,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0036t.pdf
1899622,3208775,text,139876,application/pdf,Chaptered,https://legiscan.com/MD/text/HB36/id/3208775,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_33_hb0036t.pdf
1898962,3037718,text,81656,application/pdf,Introduced,https://legiscan.com/MD/text/HB37/id/3037718,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0037f.pdf
1899549,3037719,text,88720,application/pdf,Introduced,https://legiscan.com/MD/text/HB38/id/3037719,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0038f.pdf
1899607,3037900,text,80795,application/pdf,Introduced,https://legiscan.com/MD/text/HB39/id/3037900,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0039f.pdf
1899607,3127932,text,86036,application/pdf,Engrossed,https://legiscan.com/MD/text/HB39/id/3127932,https://mgaleg.maryland.gov/2025RS/bills/hb/hb0039t.pdf
1899607,3251391,text,70924,application/pdf,Chaptered,https://legiscan.com/MD/text/HB39/id/3251391,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_651_hb0039t.pdf
