bill_id,date,chamber,sequence,action
1898925,2024-09-03,House,1,Pre-filed
1898925,2025-01-08,House,2,"First Reading Judiciary"
1898925,2025-01-10,House,3,"Hearing 1/22 at 1:00 p.m."
1898925,2025-02-24,House,4,"Favorable Report by Judiciary"
1898925,2025-02-25,House,5,"Favorable Adopted"
1898925,2025-02-25,House,6,"Motion Special Order until 02/26 (Delegate Pippy) Adopted"
1898925,2025-02-26,House,7,"Motion Special Order until 02/27 (Delegate Pippy) Adopted"
1898925,2025-02-27,House,8,"Floor Amendment {843728/1 (Delegate Pippy) Rejected (38-94)"
1898925,2025-02-27,House,9,"Second Reading Passed"
1898925,2025-03-04,House,10,"Third Reading Passed (96-37)"
1898925,2025-03-05,Senate,11,"Referred Judicial Proceedings"
1898925,2025-03-27,Senate,12,"Favorable Report by Judicial Proceedings"
1898925,2025-03-27,Senate,13,"Favorable Adopted Second Reading Passed"
1898925,2025-04-02,Senate,14,"Third Reading Passed (47-0)"
1898925,2025-04-02,House,15,"Returned Passed"
1898925,2025-05-13,House,16,"Approved by the Governor - Chapter 476"
1898926,2024-09-19,House,1,Pre-filed
1898926,2025-01-08,House,2,"First Reading Health and Government Operations"
1898926,2025-01-08,House,3,"Hearing 2/04 at 2:00 p.m."
1898926,2025-02-24,House,4,"Favorable with Amendments Report by Health and Government Operations"
1898926,2025-02-25,House,5,"Favorable with Amendments {853324/1 Adopted"
1898926,2025-02-25,House,6,"Second Reading Passed with Amendments"
1898926,2025-02-27,House,7,"Third Reading Passed (131-1)"
1898926,2025-02-28,Senate,8,"Referred Budget and Taxation"
1898926,2025-03-27,Senate,9,"Favorable Report by Budget and Taxation"
1898926,2025-03-27,Senate,10,"Favorable Adopted Second Reading Passed"
1898926,2025-04-02,Senate,11,"Third Reading Passed (46-0)"
1898926,2025-04-02,House,12,"Returned Passed"
1898926,2025-04-08,House,13,"Approved by the Governor - Chapter 75"
1898927,2024-08-23,Senate,1,Pre-filed
1898927,2025-01-08,Senate,2,"First Reading Education, Energy, and the Environment"
1898927,2025-01-23,Senate,3,"Hearing 2/11 at 1:00 p.m."
1898927,2025-03-28,Senate,4,"Favorable with Amendments Report by Education, Energy, and the Environment"
1898927,2025-03-28,Senate,5,"Favorable with Amendments {273824/1"
1898927,2025-03-28,Senate,6,"Motion Laid Over (Senator Ready) Adopted"
1898927,2025-04-01,Senate,7,"Favorable with Amendments {273824/1 Adopted"
1898927,2025-04-01,Senate,8,"Second Reading Passed with Amendments"
1898927,2025-04-02,Senate,9,"Third Reading Passed (34-12)"
1898927,2025-04-02,House,10,"Referred Rules and Executive Nominations"
1898927,2025-04-04,House,11,"Rereferred to Environment and Transportation"
1898927,2025-04-07,House,12,"Favorable Report by Environment and Transportation"
1898927,2025-04-07,House,13,"Favorable Adopted Second Reading Passed"
1898927,2025-04-07,House,14,"Third Reading Passed (108-31)"
1898927,2025-04-07,Senate,15,"Returned Passed"
1898927,2025-05-13,Senate,16,"Approved by the Governor - Chapter 548"
1898929,2024-09-26,House,1,Pre-filed
1898929,2025-01-08,House,2,"First Reading Judiciary"
1898929,2025-01-10,House,3,"Hearing 1/21 at 1:00 p.m."
1898930,2024-09-19,Senate,1,Pre-filed
1898930,2025-01-08,Senate,2,"First Reading Judicial Proceedings"
1898930,2025-01-09,Senate,3,"Hearing 1/16 at 1:00 p.m."
1898930,2025-02-17,Senate,4,"Favorable with Amendments Report by Judicial Proceedings"
1898930,2025-02-18,Senate,5,"Favorable with Amendments {613624/1 Adopted"
1898930,2025-02-18,Senate,6,"Second Reading Passed with Amendments"
1898930,2025-02-20,Senate,7,"Third Reading Passed (45-0)"
1898930,2025-02-21,House,8,"Referred Judiciary"
