people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
4527,"Pamela Beidle",Pamela,G,Beidle,,,1,D,2,Sen,SD-032,4885979,65432,,Pamela_Beidle,248793,0
4531,"Frank Conaway",Frank,M,Conaway,Jr.,,1,D,1,Rep,HD-040,6482180,68583,,Frank_Conaway_Jr.,248803,0
4534,"Kriselda Valderrama",Kriselda,,Valderrama,,Kris,1,D,1,Rep,HD-026,6482576,67683,,Kris_Valderrama,248787,0
4553,"Jeff Waldstreicher",Jeff,D.,Waldstreicher,,,1,D,2,Sen,SD-018,7842604,68561,,Jeff_Waldstreicher,248767,0
4554,"Veronica Turner",Veronica,,Turner,,,1,D,1,Rep,HD-026,13001678,36495,,Veronica_Turner,213277,0
4561,"Joseline Pena-Melnyk",Joseline,A,Pena-Melnyk,,,1,D,1,Rep,HD-021,4940313,68578,,Joseline_Pena-Melnyk,248779,0
4562,"Joanne Benson",Joanne,C.,Benson,,,1,D,2,Sen,SD-024,13001668,6106,,Joanne_Benson,195314,0
4575,"Brian Feldman",Brian,J.,Feldman,,,1,D,2,Sen,SD-015,4909168,36097,,Brian_Feldman,213296,0
4581,"Samuel Rosenberg",Samuel,I,Rosenberg,,Sandy,1,D,1,Rep,HD-041,6375117,6222,,Samuel_Rosenberg,195370,0
4583,"Ben Barnes",Ben,,Barnes,,,1,D,1,Rep,HD-021,4899693,65935,,Ben_Barnes,248777,0
4588,"Anne Kaiser",Anne,R,Kaiser,,,1,D,1,Rep,HD-014,1095318,36115,,Anne_Kaiser,213295,0
4596,"J.B. Jennings",J.B.,,Jennings,,,2,R,2,Sen,SD-007,13001565,36305,,J.B._Jennings,213293,0
4597,"Benjamin Kramer",Benjamin,Fred,Kramer,,Ben,1,D,2,Sen,SD-019,4744246,68569,,Benjamin_Kramer,248769,0
4598,"Jon Cardin",Jon,S,Cardin,,,1,D,1,Rep,HD-011,13001592,36439,,Jon_Cardin,213298,0
4606,"Nicholaus Kipke",Nicholaus,R,Kipke,,,2,R,1,Rep,HD-031,13001717,67311,,Nicholaus_Kipke,251048,0
4607,"Adrienne Jones",Adrienne,A.,Jones,,,1,D,1,Rep,HD-010,3774918,2029,,Adrienne_Jones,195273,0
4623,"Marvin Holmes",Marvin,E,Holmes,Jr.,,1,D,1,Rep,HD-023,5299572,19380,,Marvin_Holmes_Jr.,213290,0
4624,"Anne Healey",Anne,,Healey,,,1,D,1,Rep,HD-022,6372916,6158,,Anne_Healey,195309,0
4627,"Dana Stein",Dana,M,Stein,,,1,D,1,Rep,HD-011,5002539,36190,,Dana_Stein,210429,0
4636,"Guy Guzzone",Guy,J,Guzzone,,,1,D,2,Sen,SD-013,4973689,66528,,Guy_Guzzone,248763,0
4639,"Mary James",Mary,Dulany,James,,,1,D,2,Sen,SD-034,5179804,19227,,Mary_James,195345,0
4641,"Susan McComas",Susan,K,McComas,,,2,R,1,Rep,HD-034,13001739,36351,,Susan_McComas,213286,0
4682,"Bryan Simonaire",Bryan,Warner,Simonaire,,,2,R,2,Sen,SD-031,4955803,67628,,Bryan_Simonaire,251049,0
4686,"Katherine Klausmeier",Katherine,Ann,Klausmeier,,,1,D,2,Sen,SD-008,5467115,6175,,Katherine_Klausmeier,195266,0
4689,"Anthony Muse",Charles,Anthony,Muse,,Anthony,1,D,2,Sen,SD-026,6374300,6202,,C._Anthony_Muse,248829,0
4718,"Nancy King",Nancy,,King,,,1,D,2,Sen,SD-039,5304165,36382,,Nancy_King,213267,0
4731,"Jim Rosapepe",James,C.,Rosapepe,,Jim,1,D,2,Sen,SD-021,377045,6219,,Jim_Rosapepe,248825,0
11447,"Luke Clippinger",Luke,,Clippinger,,,1,D,1,Rep,HD-046,6510240,126006,,Luke_Clippinger,160610,0
11448,"Stephen Hershey",Stephen,S,Hershey,Jr.,,2,R,2,Sen,SD-036,4968365,127520,,Stephen_Hershey_Jr.,311804,0
11449,"Jay Jacobs",Jay,A.,Jacobs,,,2,R,1,Rep,HD-036,4595740,66537,,Jay_Jacobs,295593,0
11450,"Tiffany Alston",Tiffany,T.,Alston,,,1,D,1,Rep,HD-024,13001671,125780,,Tiffany_Alston,311797,0
11453,"William Ferguson",William,C.,Ferguson,IV,Bill,1,D,2,Sen,SD-046,6510362,127356,,William_Ferguson_IV,311839,0
11554,"Mark Fisher",Mark,N,Fisher,,,2,R,1,Rep,HD-027,13001690,125911,,Mark_Fisher_(Maryland),295573,0
11766,"Kathy Szeliga",Kathy,J,Szeliga,,,2,R,1,Rep,HD-007,4599660,127407,,Kathy_Szeliga,237104,0
11768,"Bonnie Cullison",Bonnie,L,Cullison,,,1,D,1,Rep,HD-019,4755003,125776,,Bonnie_Cullison,311795,0
11917,"Mary Washington",Mary,,Washington,,,1,D,2,Sen,SD-043,5144322,68588,,Mary_Washington_(Maryland_State_Senate),295648,0
11972,"Justin Ready",Justin,D,Ready,,,2,R,2,Sen,SD-005,4937043,125717,,Justin_Ready,236907,0
11975,"Craig Zucker",Craig,,Zucker,,,1,D,2,Sen,SD-014,13001611,36311,,Craig_Zucker,215610,0
12078,"Charles Otto",Charles,James,Otto,,,2,R,1,Rep,HD-038,5404644,127524,,Charles_Otto,311805,0
12163,"C.T. Wilson",C.T.,,Wilson,,,1,D,1,Rep,HD-028,13001695,125914,,C.T._Wilson,295577,0
