bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1898925,1505615,2025-02-27,House,"Floor Amendment 843728/1 (Delegate Pippy) Rejected",38,94,2,5,139
1898925,1506759,2025-03-04,House,"Third Reading Passed",96,37,2,6,141
1898925,1561523,2025-04-02,Senate,"Third Reading Passed",47,0,0,0,47
1898926,1505769,2025-02-27,House,"Third Reading Passed",131,1,2,5,139
1898926,1562061,2025-04-02,Senate,"Third Reading Passed",46,0,1,0,47
1898927,1546841,2025-04-07,House,"Third Reading Passed",108,31,2,0,141
1898927,1561557,2025-04-02,Senate,"Third Reading Passed",34,12,1,0,47
1898930,1502459,2025-02-20,Senate,"Third Reading Passed",45,0,0,2,47
1898930,1547534,2025-04-07,House,"Third Reading Passed",133,1,6,1,141
1898931,1499806,2025-02-20,House,"Third Reading Passed",136,0,2,1,139
1898931,1561722,2025-04-04,Senate,"Third Reading Passed",44,0,0,3,47
1898935,1485324,2025-02-06,House,"Third Reading Passed",131,0,1,6,138
1898937,1531923,2025-03-17,Senate,"Third Reading Passed",31,13,0,3,47
1898937,1546934,2025-04-07,House,"Third Reading Passed",100,37,3,1,141
1898938,1497364,2025-02-13,Senate,"Third Reading Passed",32,13,1,1,47
1898939,1523184,2025-03-12,Senate,"Floor Amendment 203426/1 (Senator Corderman) Rejected",18,27,2,0,47
1898939,1523185,2025-03-13,Senate,"Third Reading Passed",36,10,0,1,47
1898939,1543856,2025-04-03,House,"Third Reading Passed",101,35,2,3,141
1898939,1546831,2025-04-07,House,"Third Reading Passed",104,36,1,0,141
1898939,1562016,2025-04-07,Senate,"Third Reading Passed",35,12,0,0,47
1898942,1525726,2025-03-17,House,"Third Reading Passed",100,38,0,3,141
1898942,1547065,2025-04-07,House,"Third Reading Passed",100,38,2,1,141
1898942,1561864,2025-04-05,Senate,"Third Reading Passed",29,13,0,5,47
1898945,1522917,2025-03-12,Senate,"Third Reading Passed",47,0,0,0,47
1898945,1537944,2025-03-31,House,"Third Reading Passed",112,20,3,6,141
1898946,1524550,2025-03-14,Senate,"Third Reading Passed",39,7,0,1,47
1898947,1497411,2025-02-13,Senate,"Third Reading Passed",45,0,1,1,47
1898947,1538048,2025-04-01,House,"Third Reading Passed",136,0,0,5,141
1898953,1508411,2025-03-06,House,"Third Reading Passed",135,0,5,1,141
1898953,1544133,2025-04-02,House,"Third Reading Passed",137,0,2,2,141
1898953,1561649,2025-04-02,Senate,"Third Reading Passed",46,0,1,0,47
1898954,1517936,2025-03-11,House,"Third Reading Passed",105,34,0,2,141
1898954,1561868,2025-04-04,Senate,"Third Reading Passed",33,11,0,3,47
1898963,1522598,2025-03-17,House,"Third Reading Passed",135,2,2,2,141
1898963,1559867,2025-04-03,Senate,"Third Reading Passed",46,1,0,0,47
1898966,1499816,2025-02-20,House,"Third Reading Passed",136,0,2,1,139
1898966,1561603,2025-04-02,Senate,"Third Reading Passed",47,0,0,0,47
1898967,1517932,2025-03-11,House,"Third Reading Passed",139,0,1,1,141
1898967,1559622,2025-03-31,Senate,"Third Reading Passed",47,0,0,0,47
1898971,1508489,2025-03-06,House,"Third Reading Passed",135,1,4,1,141
1898971,1561792,2025-04-02,Senate,"Third Reading Passed",45,0,2,0,47
1898976,1525822,2025-03-17,House,"Third Reading Passed",136,2,1,2,141
1898976,1546852,2025-04-07,House,"Third Reading Passed",130,1,9,1,141
1898976,1559683,2025-04-03,Senate,"Third Reading Passed",45,0,1,1,47
1898976,1561997,2025-04-07,Senate,"Third Reading Passed",46,0,1,0,47
1898984,1508460,2025-03-06,House,"Third Reading Passed",128,5,6,2,141
1898987,1505664,2025-02-27,House,"Third Reading Passed",133,0,1,5,139
1898988,1505829,2025-02-27,House,"Third Reading Passed",129,4,1,5,139
1898988,1559786,2025-04-03,Senate,"Third Reading Passed",47,0,0,0,47
1898991,1505781,2025-02-27,House,"Third Reading Passed",133,0,1,5,139
1898991,1559638,2025-03-31,Senate,"Third Reading Passed",47,0,0,0,47
1898992,1515694,2025-03-06,Senate,"Third Reading Passed",44,0,1,2,47
1898993,1561828,2025-04-07,Senate,"Third Reading Passed",46,0,1,0,47
1898997,1531950,2025-03-17,Senate,"Third Reading Passed",42,2,0,3,47
1898997,1543597,2025-04-03,House,"Third Reading Passed",137,1,0,3,141
