bill_id,people_id,position
1898925,20794,1
1898926,15421,1
1898927,17375,1
1898929,4531,1
1898930,17313,1
1898931,20855,1
1898933,17246,1
1898934,4531,1
1898935,15421,1
1898937,20956,1
1898938,24878,1
1898939,4689,5
1898939,17171,6
1898939,17243,8
1898939,17377,1
1898939,17380,7
1898939,20862,4
1898939,20931,2
1898939,21427,3
1898941,24711,1
1898942,16100,1
1898943,17424,1
1898945,24878,1
1898946,17313,1
1898947,4682,1
1898949,20591,4
1898949,20797,6
1898949,20860,2
1898949,20868,7
1898949,21541,5
1898949,24386,1
1898949,24536,3
1898950,20529,1
1898951,24543,1
1898953,15412,1
1898954,4531,4
1898954,4598,1
1898954,24536,5
1898954,24720,2
1898954,26427,3
1898955,17376,1
1898957,15421,1
1898958,24787,1
1898959,15420,1
1898960,15140,1
1898962,24389,1
1898963,20533,1
1898964,15415,1
1898966,17629,1
1898967,17629,1
1898968,17243,1
1898970,24485,1
1898971,4561,15
1898971,4581,16
1898971,4588,10
1898971,4606,12
1898971,11768,5
1898971,17167,7
1898971,20530,4
1898971,20588,2
1898971,20790,3
1898971,20792,11
1898971,20793,13
1898971,20858,1
1898971,20965,9
1898971,24535,8
1898971,24540,17
1898971,24714,6
1898971,24723,18
1898971,24724,19
1898971,24906,14
1898971,25626,20
1898972,4561,9
1898972,17167,5
1898972,19199,15
1898972,20789,3
1898972,20855,4
1898972,21426,16
1898972,23056,14
1898972,24387,10
1898972,24537,6
1898972,24538,8
1898972,24720,12
1898972,24721,13
1898972,24787,2
1898972,24858,7
1898972,25010,11
1898972,25011,1
1898974,20932,1
1898975,15419,1
1898976,17420,2
1898976,20796,6
1898976,20868,7
1898976,23041,3
1898976,24389,8
1898976,24536,4
1898976,24716,5
1898976,24858,1
1898978,15415,1
1898979,4531,2
1898979,4561,8
1898979,4627,9
1898979,20860,4
1898979,21426,11
1898979,21442,5
1898979,24386,3
1898979,24536,1
1898979,24538,7
1898979,24541,10
1898979,24717,6
1898980,20794,1
1898980,21906,2
1898982,20855,1
1898983,4689,1
1898984,4623,6
1898984,4624,5
1898984,4627,12
1898984,18731,8
1898984,20591,7
1898984,20797,13
1898984,20855,3
1898984,20868,14
1898984,21541,11
1898984,23041,4
1898984,23908,9
1898984,24532,2
1898984,24542,15
1898984,24717,10
1898984,24787,1
1898986,4531,1
1898987,17629,1
1898988,15490,1
1898990,4531,1
1898991,4561,17
1898991,4581,19
1898991,4588,11
1898991,4606,13
1898991,11450,2
1898991,11766,20
1898991,11768,6
1898991,17167,8
1898991,17239,16
1898991,17426,18
1898991,17435,1
1898991,20530,5
1898991,20588,3
1898991,20790,4
1898991,20792,12
1898991,20793,14
1898991,20965,10
1898991,24535,9
1898991,24540,21
1898991,24714,7
1898991,24723,22
1898991,24724,23
1898991,24906,15
1898991,25626,24
1898992,17243,1
1898993,20529,1
1898995,20789,1
1898996,17243,1
1898997,17248,1
1898997,17375,2
1898999,20955,1
1899000,24878,1
1899001,24543,1
1899003,4562,1
1899004,20588,1
1899005,24543,1
1899007,24538,1
1899008,4682,1
1899009,19271,1
1899011,4682,1
1899011,4731,5
1899011,17170,4
1899011,21427,3
