bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1903003,2181,LD39,4,Passed,2025-05-21,"An Act to Require Landowners to Report Their Participation in a Forest Carbon Program or Project","An Act to Require Landowners to Report Their Participation in a Forest Carbon Program or Project",0,,2025-05-21,"PASSED TO BE ENACTED, in concurrence.",https://legiscan.com/ME/bill/LD39/2025,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=39&snum=132
1902946,2181,LD40,4,Passed,2025-04-15,"An Act to Amend the Laws Governing the Commercial Large Game Shooting Area License Transfer Process","An Act to Amend the Laws Governing the Commercial Large Game Shooting Area License Transfer Process",0,,2025-04-15,"PASSED TO BE ENACTED, in concurrence.",https://legiscan.com/ME/bill/LD40/2025,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=40&snum=132
1903317,2181,LD41,4,Passed,2025-06-16,"Resolve, Authorizing the State Tax Assessor to Convey the Interest of the State in Certain Real Estate in the Unorganized Territory","Resolve, Authorizing the State Tax Assessor to Convey the Interest of the State in Certain Real Estate in the Unorganized Territory",0,,2025-06-16,"FINALLY PASSED, in concurrence.",https://legiscan.com/ME/bill/LD41/2025,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=41&snum=132
1903084,2181,LD42,4,Passed,2025-06-16,"An Act Regarding the Bind-over and Detention of Juveniles","An Act Regarding the Bind-over and Detention of Juveniles",0,,2025-06-16,"PASSED TO BE ENACTED, in concurrence.",https://legiscan.com/ME/bill/LD42/2025,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=42&snum=132
1903178,2181,LD43,6,Failed,2025-02-25,"An Act to Further Protect Victims from Contact Prohibited by Probation Conditions","An Act to Further Protect Victims from Contact Prohibited by Probation Conditions",0,,2025-02-25,"Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD43/2025,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=43&snum=132
1903127,2181,LD44,4,Passed,2025-06-03,"An Act to Amend the Laws Pertaining to Elver Fishing","An Act to Amend the Laws Pertaining to Elver Fishing",0,,2025-06-03,"PASSED TO BE ENACTED, in concurrence.",https://legiscan.com/ME/bill/LD44/2025,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=44&snum=132
1903050,2181,LD45,4,Passed,2025-06-13,"An Act Allowing the Department of Corrections to Offset Some of the Costs of Technology Provided to Residents of Correctional Facilities","An Act Allowing the Department of Corrections to Offset Some of the Costs of Technology Provided to Residents of Correctional Facilities",0,,2025-06-13,"PASSED TO BE ENACTED, in concurrence.",https://legiscan.com/ME/bill/LD45/2025,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=45&snum=132
1903108,2181,LD46,4,Passed,2025-06-25,"An Act to Establish a Grant Program to Increase Postsecondary Educational Opportunities for Students with Intellectual or Developmental Disabilities or Autism Spectrum Disorder","An Act to Establish a Grant Program to Increase Postsecondary Educational Opportunities for Students with Intellectual or Developmental Disabilities or Autism Spectrum Disorder",0,,2025-07-08,"HELD BY THE GOVERNOR.",https://legiscan.com/ME/bill/LD46/2025,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=46&snum=132
1903214,2181,LD47,4,Passed,2025-04-23,"An Act to Provide an Exception to a Fishing Prohibition near the Crooked Brook Dam","An Act to Provide an Exception to a Fishing Prohibition near the Crooked Brook Dam",0,,2025-04-23,"PASSED TO BE ENACTED - Emergency - 2/3 Elected Required, in concurrence.",https://legiscan.com/ME/bill/LD47/2025,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=47&snum=132
1903113,2181,LD48,4,Passed,2025-06-25,"An Act to Update References to the United States Internal Revenue Code of 1986 Contained in the Maine Revised Statutes","An Act to Update References to the United States Internal Revenue Code of 1986 Contained in the Maine Revised Statutes",0,,2025-06-25,"PASSED TO BE ENACTED - Emergency -2/3 Elected Required in concurrence.",https://legiscan.com/ME/bill/LD48/2025,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=48&snum=132
1903010,2181,LD49,6,Failed,2025-02-11,"An Act to Ensure Quality in Personal Care Agencies","An Act to Ensure Quality in Personal Care Agencies",0,,2025-02-11,"Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD49/2025,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=49&snum=132
1903124,2181,LD50,6,Failed,2025-03-27,"An Act to Provide the Right of First Refusal to Towns in Which the University of Maine System and Similar Quasi-independent State Entities Are Selling Property","An Act to Provide the Right of First Refusal to Towns in Which the University of Maine System and Similar Quasi-independent State Entities Are Selling Property",0,,2025-03-27,"Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD)",https://legiscan.com/ME/bill/LD50/2025,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=50&snum=132
