bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1902945,1574122,2025-05-20,House,"Enactment - Mandate RC #161",134,6,0,11,151
1902956,1579051,2025-05-27,House,"Acc Maj Otp As Amended Rep RC #197",73,63,0,15,151
1902956,1579868,2025-05-28,Senate,"Accept Majority Ought To Pass As Amended Report RC #239",20,14,0,1,35
1902959,1578742,2025-05-27,House,"Acc Maj Otp As Amended Rep RC #182",118,26,0,7,151
1902959,1578743,2025-05-27,House,"Adopt Hah-127 To Cas-45 RC #183",26,116,0,9,151
1902968,1571171,2025-05-14,House,"Acceptance Of The Otp-am Report RC #142",121,18,0,12,151
1903013,1583837,2025-06-03,House,"Acc Maj Otp As Amended Rep RC #285",80,65,0,6,151
1903022,1553423,2025-04-22,House,"Acc Maj Otp As Amended Rep RC #94",78,66,0,7,151
1903022,1555201,2025-04-23,Senate,"Accept Majority Ought To Pass As Amended Report RC #124",19,13,0,3,35
1903022,1594790,2025-06-25,House,"Recede And Concur RC #588",73,67,0,11,151
1903022,1594791,2025-06-25,House,"Enactment RC #601",70,62,0,19,151
1903030,1539818,2025-04-08,House,"Acc Maj Ought Not To Pass Rep RC #70",76,69,0,6,151
1903030,1544235,2025-04-10,Senate,"Accept Majority Ought Not To Pass Report RC #99",20,14,0,1,35
1903036,1584864,2025-06-04,Senate,"Accept Majority Ought Not To Pass Report RC #355",20,13,0,2,35
1903036,1585492,2025-06-05,House,"Acc Maj Ought Not To Pass Rep RC #337",72,69,0,10,151
1903047,1539915,2025-04-08,House,"Acc Maj Ought Not To Pass Rep RC #71",77,67,0,7,151
1903047,1544382,2025-04-10,Senate,"Accept Majority Ought Not To Pass Report RC #100",20,14,0,1,35
1903074,1571105,2025-05-14,Senate,"Accept Majority Ought Not To Pass Report RC #167",19,15,0,1,35
1903074,1573936,2025-05-20,Senate,"Accept Majority Ought Not To Pass Report RC #184",14,18,0,3,35
1903074,1575843,2025-05-22,House,"Acc Maj Ought Not To Pass Rep RC #174",76,65,0,10,151
1903074,1580282,2025-05-28,Senate,"Insist/ask For Committee Of Conference RC #253",14,19,0,2,35
1903074,1581110,2025-05-29,House,"Reconsider RC #226",68,73,0,10,151
1903079,1566048,2025-05-06,House,"Acc Maj Ought To Pass Rep RC #109",72,68,0,11,151
1903079,1573924,2025-05-20,Senate,"Accept Majority Ought To Pass Report RC #186",19,13,0,3,35
1903113,1536301,2025-04-03,House,"Otp-am RC #67",142,0,0,9,151
1903137,1570256,2025-05-13,House,"Acc Maj Otp As Amended Rep RC #125",73,69,0,9,151
1903137,1571118,2025-05-14,Senate,"Accept Majority Ought To Pass As Amended Report RC #162",21,13,0,1,35
1903161,1578812,2025-05-27,House,"Acc Maj Otp As Amended Rep RC #194",73,64,0,14,151
1903161,1580127,2025-05-28,Senate,"Accept Majority Ought To Pass As Amended Report RC #238",21,13,0,1,35
1903166,1526108,2025-03-25,House,"Acc Maj Ought To Pass Rep RC #55",78,64,0,9,151
1903166,1528791,2025-03-27,Senate,"Accept Majority Ought To Pass Report RC #76",24,9,0,2,35
1903176,1575925,2025-05-22,Senate,"Accept Majority Ought Not To Pass Report RC #218",15,18,0,2,35
1903176,1575926,2025-05-22,Senate,"Substitute Joint Res For Committee Rpt RC #219",8,25,0,2,35
1903176,1575927,2025-05-22,Senate,"Accept Minority Ought To Pass As Amended Report RC #220",18,15,0,2,35
1903176,1575928,2025-05-22,Senate,"Adoption RC #221",18,15,0,2,35
1903183,1575341,2025-05-21,Senate,"Accept Majority Ought To Pass Report RC #204",18,14,0,3,35
1903183,1576079,2025-05-22,House,"Acc Maj Ought To Pass Rep RC #169",79,65,0,7,151
1903187,1585767,2025-06-05,Senate,"Accept Report 'b' Ought Not To Pass RC #386",19,13,0,3,35
1903187,1586172,2025-06-05,House,"Acc Report ""b"" Ontp RC #351",71,68,0,12,151
1903202,1580240,2025-05-28,Senate,"Accept Majority Ought To Pass As Amended Report RC #240",22,12,0,1,35
1903229,1562157,2025-04-30,House,"Acc Maj Otp As Amended Rep RC #105",140,0,0,11,151
1903241,1579004,2025-05-27,Senate,"Accept Majority Ought To Pass As Amended Report RC #227",20,14,0,1,35
1903254,1584956,2025-06-04,House,"Acc Report ""a"" Otp RC #331",73,66,0,12,151
1903254,1585857,2025-06-05,Senate,"Accept Report 'a' Ought To Pass RC #375",18,14,0,3,35
1903269,1543672,2025-04-10,House,"Acc Maj Ought To Pass Rep RC #79",144,0,0,7,151
1903277,1525958,2025-03-25,House,"Acc Maj Ought To Pass Rep RC #58",85,58,0,8,151
1903277,1528634,2025-03-27,Senate,"Accept Majority Ought To Pass Report RC #79",27,6,0,2,35
1903282,1581305,2025-05-29,House,"Acc Maj Otp As Amended Rep RC #243",76,70,0,5,151
1903282,1583203,2025-06-02,Senate,"Accept Majority Ought To Pass As Amended Report RC #283",11,23,0,1,35
1903287,1539444,2025-04-08,Senate,"Accept Majority Ought To Pass Report RC #93",24,8,0,3,35
1903291,1525884,2025-03-25,House,"Acc Maj Ought To Pass Rep RC #57",83,60,0,8,151
1903291,1529126,2025-03-27,Senate,"Accept Majority Ought To Pass Report RC #78",30,3,0,2,35
1903314,1579030,2025-05-27,House,"Acc Maj Otp As Amended Rep RC #184",116,26,0,9,151
1903314,1579031,2025-05-27,House,"Adopt Hah-126 To Cas-44 RC #185",26,114,0,11,151
1903369,1584703,2025-06-04,Senate,"Accept Majority Ought To Pass As Amended Report RC #348",34,0,0,1,35
1903431,1570592,2025-05-13,Senate,"Accept Majority Ought Not To Pass Report RC #148",14,20,0,1,35
1903431,1586885,2025-06-09,House,"Acc Maj Ought Not To Pass Rep RC #383",42,104,0,5,151
1903627,1565887,2025-05-06,House,"Enactment RC #114",136,0,0,15,151
1903642,1583093,2025-06-02,Senate,"Accept Majority Ought Not To Pass Report RC #286",29,6,0,0,35
1903690,1578748,2025-05-27,Senate,"Accept Minority Ought To Pass As Amended Report RC #233",17,16,0,2,35
1903690,1579528,2025-05-27,Senate,"Accept Minority Ought To Pass As Amended Report RC #232",17,16,0,2,35
1903690,1581379,2025-05-29,Senate,"Passage To Be Engrossed As Amended RC #270",16,19,0,0,35
1903690,1583029,2025-06-02,House,"Acc Maj Ought Not To Pass Rep RC #250",77,59,0,15,151
1903773,1579072,2025-05-27,House,"Acc Maj Ought Not To Pass Rep RC #195",77,61,0,13,151
1903898,1553495,2025-04-22,House,"Acc Maj Otp As Amended Rep RC #93",80,64,0,7,151
1903898,1555283,2025-04-23,Senate,"Accept Majority Ought To Pass As Amended Report RC #123",18,14,0,3,35
1903898,1594820,2025-06-25,House,"Recede And Concur RC #589",75,64,0,12,151
1903919,1555149,2025-04-23,Senate,"Accept Majority Ought To Pass As Amended Report RC #122",18,13,0,4,35
1904063,1570350,2025-05-13,House,"Acc Maj Ought Not To Pass Rep RC #121",73,68,0,10,151
1904063,1571192,2025-05-14,Senate,"Accept Majority Ought Not To Pass Report RC #158",20,14,0,1,35
1904101,1587868,2025-06-10,House,"Acc Report ""a"" Ontp RC #410",73,72,0,6,151
