bill_id,people_id,position
1894439,21209,1
1894440,14726,1
1894532,22238,1
1894537,22238,1
1894543,17216,1
1894546,23237,1
1894554,17216,1
1894559,17216,1
1894564,23237,1
1894570,17216,1
1894576,23237,1
1902945,8855,3
1902945,16635,2
1902945,18192,4
1902945,21226,5
1902945,22703,1
1902946,21230,1
1902949,23242,1
1902951,14714,2
1902951,16780,1
1902951,18188,3
1902951,18206,4
1902956,22694,1
1902956,23238,2
1902959,14714,1
1902964,10338,1
1902968,14720,1
1902968,16635,4
1902968,18174,2
1902968,22238,3
1902968,22718,5
1902968,23238,6
1902971,22694,1
1902974,17340,2
1902974,22238,1
1902980,23266,1
1902982,23234,1
1902986,18174,1
1902986,21209,2
1902993,18206,5
1902993,22238,1
1902993,22239,2
1902993,22712,3
1902993,23234,4
1902995,21230,1
1902998,10341,1
1902998,17340,5
1902998,21208,2
1902998,23284,4
1902998,23289,6
1902998,25949,3
1903003,21230,1
1903010,21195,1
1903013,14714,4
1903013,16635,5
1903013,17216,1
1903013,21192,3
1903013,22238,2
1903013,22241,10
1903013,23234,7
1903013,23261,6
1903013,23268,9
1903013,25951,8
1903020,22868,1
1903022,21192,1
1903025,22239,1
1903030,22868,1
1903034,22700,1
1903036,10372,1
1903036,16780,2
1903036,18206,5
1903036,22838,4
1903036,23234,3
1903042,22238,1
1903047,21218,4
1903047,23234,5
1903047,23245,1
1903047,25935,2
1903047,25936,3
1903050,23264,1
1903056,21226,1
1903062,21219,3
1903062,22237,2
1903062,22238,1
1903070,23268,1
1903074,16786,8
1903074,21167,1
1903074,21211,3
1903074,23266,5
1903074,23286,7
1903074,23889,2
1903074,25949,4
1903074,25950,6
1903079,23278,1
1903084,22717,1
1903087,18192,2
1903087,22703,1
1903087,23278,3
1903089,14714,4
1903089,14720,1
1903089,22238,2
1903089,22239,3
1903089,22705,6
1903089,22711,5
1903095,22241,1
1903100,21194,1
1903102,10340,1
1903105,22240,1
1903108,17216,5
1903108,21201,2
1903108,21209,3
1903108,22241,6
1903108,23261,4
1903108,23268,1
1903108,23278,7
1903113,21195,1
1903120,21226,1
1903124,21201,1
1903124,22240,2
1903127,21214,1
1903135,23286,1
1903137,22694,1
1903140,21194,1
1903146,23234,1
1903146,23273,2
1903151,14717,6
1903151,16635,5
1903151,18174,3
1903151,21217,8
1903151,22837,4
1903151,22867,7
1903151,23265,1
1903151,25928,2
1903155,10321,1
1903158,23261,1
1903161,22694,1
1903161,23238,2
1903166,21192,1
1903173,14720,1
1903176,17214,3
1903176,17788,5
1903176,21211,4
1903176,22237,2
1903176,22238,1
1903176,22294,6
1903178,22718,1
1903183,22241,1
1903187,22868,1
1903192,21167,1
1903200,21194,1
1903202,23283,1
1903209,23234,1
1903209,23273,2
1903209,23288,3
1903214,21273,1
1903218,17107,1
1903226,16786,2
1903226,21167,1
1903229,10321,1
1903232,10340,1
1903238,22348,1
1903241,22694,1
1903244,17667,1
1903251,22238,1
1903254,21195,1
1903265,14720,1
1903266,21194,1
1903269,18174,1
1903275,21219,3
1903275,22237,2
1903275,22238,1
1903277,22239,3
1903277,22707,1
1903277,23242,2
1903282,23290,1
1903287,8786,5
1903287,16787,10
1903287,21191,6
1903287,22238,3
1903287,22705,9
1903287,22716,4
1903287,23244,2
1903287,23246,1
1903287,23266,8
1903287,25937,7
1903291,14714,4
1903291,22239,3
1903291,22707,1
1903291,23242,2
1903294,22699,1
1903301,16689,1
1903301,18176,2
1903306,23281,1
1903309,22705,1
1903314,14714,1
1903314,23248,2
1903317,21195,1
1903319,21203,1
1903369,21194,1
1903382,22238,1
1903396,17216,1
1903404,16787,4
1903404,17340,3
1903404,22237,2
1903404,22238,1
1903419,22238,1
1903419,25946,2
1903431,17216,1
1903446,17667,1
1903462,14720,1
1903475,21194,1
1903487,21217,1
1903503,16689,1
1903516,10321,1
1903516,25931,2
1903532,8894,7
1903532,14714,1
1903532,14717,4
1903532,21167,6
1903532,21209,5
1903532,21235,8
1903532,22766,2
1903532,23237,3
1903546,14720,1
1903571,18174,1
1903584,10372,9
1903584,14720,1
1903584,18174,3
1903584,21189,2
1903584,21191,5
1903584,21235,8
1903584,22238,4
1903584,23237,6
1903584,23238,10
1903584,23264,7
1903599,14720,3
1903599,21167,5
1903599,21211,2
1903599,22238,1
1903599,23267,4
1903613,16689,1
1903627,14714,4
1903627,14717,5
1903627,14720,7
1903627,14726,9
1903627,21209,6
1903627,21235,10
1903627,22238,2
1903627,22712,3
1903627,23237,1
1903627,23266,8
1903642,14720,1
1903642,18206,6
1903642,22238,2
1903642,22718,4
1903642,23246,3
1903642,23264,5
1903656,22241,1
1903665,17216,1
1903680,14714,1
1903680,16635,3
1903680,18206,4
1903680,21205,2
1903690,22238,1
1903690,22698,2
1903773,18176,3
1903773,23246,2
1903773,25949,1
1903787,21192,2
1903787,21201,1
1903787,21230,4
1903787,22241,5
1903787,22294,7
1903787,23268,3
1903787,23283,6
1903805,21232,1
1903822,23265,1
1903841,10340,1
1903859,14720,1
1903859,22694,3
1903859,22718,2
1903859,23238,4
1903880,14717,5
1903880,15775,2
1903880,21192,1
1903880,21195,3
1903880,21209,6
1903880,21217,7
1903880,21226,8
1903880,22709,9
1903880,22766,4
1903898,21201,1
1903898,22713,2
1903898,23255,3
1903898,23261,4
1903898,25000,7
1903898,25951,5
1903898,25955,6
1903919,21192,1
1903938,22711,1
1903959,8786,3
1903959,8855,4
1903959,8894,7
1903959,21195,1
1903959,23239,2
1903959,23264,5
1903959,25948,6
1903979,8855,1
1904001,23284,3
1904001,23285,1
1904001,25963,2
1904022,16689,6
1904022,18174,3
1904022,21189,2
1904022,21218,7
1904022,22238,4
1904022,22703,8
1904022,22715,1
1904022,23248,5
1904043,23248,1
1904063,22868,1
1904084,21230,1
1904101,25931,1
1904116,22715,1
1904135,22717,1
1904160,10372,5
1904160,15729,3
1904160,21232,4
1904160,22238,1
1904160,23253,2
1904179,14720,5
1904179,18174,1
1904179,22237,2
1904179,23235,6
1904179,23238,8
1904179,23248,3
1904179,23252,4
1904179,25958,7
1904179,25959,9
1904197,23267,2
1904197,23281,1
1904197,25956,3
1904215,21195,2
1904215,22703,1
1904237,23279,1
1904258,23268,1
1904279,21195,1
1914820,15775,3
1914820,16786,9
1914820,21205,1
1914820,21228,6
1914820,22699,8
1914820,22706,4
1914820,23243,2
1914820,23284,7
1914820,25949,5
1914830,16689,3
1914830,18174,2
1914830,22237,1
1914830,22694,4
1914865,14714,3
1914865,14726,9
1914865,16635,5
1914865,17216,1
1914865,18210,10
1914865,21195,2
1914865,21209,6
1914865,21217,7
1914865,21226,8
1914865,23237,4
1914909,8894,1
1914909,14714,3
1914909,14717,5
1914909,16635,4
1914909,22238,2
1914909,23275,6
1914953,22716,2
1914953,23234,1
1914995,21194,1
1915039,23236,1
1915083,8894,1
1915083,21195,3
1915083,22718,4
1915083,23234,5
1915083,23239,2
1915126,17216,1
1915275,8810,3
1915275,21205,1
1915275,21212,5
1915275,23256,4
1915275,23259,6
1915275,25936,2
1915282,10340,4
1915282,14720,6
1915282,16689,3
1915282,21189,2
1915282,21211,5
1915282,22238,1
1915282,23265,7
1915292,16781,6
1915292,18206,10
1915292,21204,1
1915292,21212,7
1915292,22750,9
1915292,23244,2
1915292,23245,3
1915292,23257,8
1915292,25932,4
1915292,25936,5
1915301,21189,2
1915301,22701,1
1915301,22718,4
1915301,25941,3
1915315,18192,2
1915315,22709,3
1915315,23276,1
1915323,10372,1
1915323,18206,6
1915323,21205,2
1915323,21228,5
1915323,22838,4
1915323,23234,3
1915334,16786,1
1915334,21167,2
1915334,23278,3
1915334,23286,4
1915342,22239,2
1915342,22703,1
1915342,23261,3
1915342,23278,4
1915355,14720,3
1915355,14726,5
1915355,21209,2
1915355,23261,4
1915355,23264,1
1915365,17107,3
1915365,22703,1
1915365,23248,2
1915376,22705,1
1915382,14720,2
1915382,22718,1
1915382,23234,3
1915398,8786,3
1915398,18206,1
1915398,22238,2
1915398,23234,5
1915398,23256,4
1915405,10340,1
1915405,23281,2
1915417,15775,3
1915417,16786,9
1915417,21205,1
1915417,21228,6
1915417,22699,8
1915417,22706,4
1915417,23243,2
1915417,23284,7
1915417,25949,5
1915426,21167,5
1915426,21201,3
1915426,23252,4
1915426,23266,1
1915426,23286,6
1915426,25929,2
1915438,16786,7
1915438,21167,4
1915438,21205,1
1915438,22750,5
1915438,23286,6
1915438,25949,2
1915438,25950,3
1915448,10341,4
1915448,15775,2
1915448,18188,5
1915448,22699,1
1915448,22701,3
1915448,23270,7
1915448,25944,6
1915460,8855,8
1915460,8874,9
1915460,14717,7
