bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1909445,2183,HB4001,2,Engrossed,2025-01-23,"Labor: hours and wages; minimum hourly wage rate; modify. Amends secs. 4 & 4b of 2014 PA 138 (MCL 408.414 & 408.414b) & repeals 2018 PA 337 (MCL 408.931 - 408.945). TIE BAR WITH: HB 4053'25","Labor: hours and wages; minimum hourly wage rate; modify. Amends secs. 4 & 4b of 2014 PA 138 (MCL 408.414 & 408.414b) & repeals 2018 PA 337 (MCL 408.931 - 408.945). TIE BAR WITH: HB 4053'25",4828,"Senate Regulatory Affairs",2025-02-04,"Referred To Committee On Regulatory Affairs",https://legiscan.com/MI/bill/HB4001/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4001
1909085,2183,HB4002,4,Passed,2025-02-25,"Labor: benefits; requirements for an employer to provide earned sick time, modify. Amends title and secs. 2, 3, 4, 5, 6, 7, 8 & 12 of 2018 PA 338 (MCL 408.962 et seq.) & adds sec. 3a.","Labor: benefits; requirements for an employer to provide earned sick time, modify. Amends title and secs. 2, 3, 4, 5, 6, 7, 8 & 12 of 2018 PA 338 (MCL 408.962 et seq.) & adds sec. 3a.",0,,2025-02-25,"Assigned Pa 2'25 With Immediate Effect",https://legiscan.com/MI/bill/HB4002/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4002
1917708,2183,HB4003,4,Passed,2025-08-19,"Highways: memorial; portion of US-131; designate as the ""Sgt. Matthew Webber Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 1073b.","Highways: memorial; portion of US-131; designate as the ""Sgt. Matthew Webber Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 1073b.",0,,2025-08-19,"Assigned Pa 7'25 With Immediate Effect",https://legiscan.com/MI/bill/HB4003/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4003
1918072,2183,HB4004,2,Engrossed,2025-03-20,"Gaming: lottery; multistate lottery games; allow winner to remain anonymous. Amends sec. 25 of 1972 PA 239 (MCL 432.25).","Gaming: lottery; multistate lottery games; allow winner to remain anonymous. Amends sec. 25 of 1972 PA 239 (MCL 432.25).",4828,"Senate Regulatory Affairs",2025-04-15,"Referred To Committee On Regulatory Affairs",https://legiscan.com/MI/bill/HB4004/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4004
1917656,2183,HB4005,1,Introduced,2025-01-14,"Local government: other; local financial stability and choice act; repeal. Repeals 2012 PA 436 (MCL 141.1541 - 141.1575).","Local government: other; local financial stability and choice act; repeal. Repeals 2012 PA 436 (MCL 141.1541 - 141.1575).",5003,"House Finance",2025-01-15,"Bill Electronically Reproduced 01/14/2025",https://legiscan.com/MI/bill/HB4005/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4005
1918428,2183,HB4006,1,Introduced,2025-01-14,"Agriculture: agribusiness; exclusion of commercial weddings or similar events in agricultural zones; prohibit. Amends 2006 PA 110 (MCL 125.3101 - 125.3702) by adding sec. 204b.","Agriculture: agribusiness; exclusion of commercial weddings or similar events in agricultural zones; prohibit. Amends 2006 PA 110 (MCL 125.3101 - 125.3702) by adding sec. 204b.",808,"House Agriculture",2025-01-15,"Bill Electronically Reproduced 01/14/2025",https://legiscan.com/MI/bill/HB4006/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4006
1918310,2183,HB4007,2,Engrossed,2025-05-07,"Energy: alternative sources; clean energy system; expand definition of. Amends sec. 3 of 2008 PA 295 (MCL 460.1003).","Energy: alternative sources; clean energy system; expand definition of. Amends sec. 3 of 2008 PA 295 (MCL 460.1003).",838,"Senate Government Operations",2025-05-13,"Referred To Committee On Government Operations",https://legiscan.com/MI/bill/HB4007/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4007
1918189,2183,HB4008,1,Introduced,2025-01-14,"Individual income tax: credit; qualified volunteers credit; create. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 281.","Individual income tax: credit; qualified volunteers credit; create. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 281.",5003,"House Finance",2025-01-15,"Bill Electronically Reproduced 01/14/2025",https://legiscan.com/MI/bill/HB4008/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4008
1917887,2183,HB4009,1,Introduced,2025-01-14,"Housing: affordable; rent control policies; allow local governments to establish. Repeals 1988 PA 226 (MCL 123.411).","Housing: affordable; rent control policies; allow local governments to establish. Repeals 1988 PA 226 (MCL 123.411).",899,"House Government Operations",2025-01-15,"Bill Electronically Reproduced 01/14/2025",https://legiscan.com/MI/bill/HB4009/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4009
1917826,2183,HB4010,2,Engrossed,2025-05-20,"State: symbol; Harrison Township; designate as Boat Town USA. Creates new act.","State: symbol; Harrison Township; designate as Boat Town USA. Creates new act.",838,"Senate Government Operations",2025-05-29,"Referred To Committee On Government Operations",https://legiscan.com/MI/bill/HB4010/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4010
1917766,2183,HB4011,2,Engrossed,2025-06-11,"Property: conveyance of state property; transfer of certain state-owned property in Arenac County; provide for. Creates land transfer act.","Property: conveyance of state property; transfer of certain state-owned property in Arenac County; provide for. Creates land transfer act.",3189,"Senate Local Government",2025-06-12,"Referred To Committee On Local Government",https://legiscan.com/MI/bill/HB4011/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4011
