bill_id,date,chamber,sequence,action
1905549,2025-01-08,Senate,1,"Introduced By Senator Sam Singh"
1905549,2025-01-08,Senate,2,"Rules Suspended"
1905549,2025-01-08,Senate,3,Adopted
1905780,2025-01-08,Senate,1,"Introduced By Senator Sam Singh"
1905780,2025-01-08,Senate,2,"Rules Suspended"
1905780,2025-01-08,Senate,3,Adopted
1905780,2025-01-08,House,4,"Received In House"
1905780,2025-01-08,House,5,Adopted
1905780,2025-01-08,House,6,"Returned To Senate"
1905780,2025-01-15,Senate,7,"House Concurrence Received"
1905780,2025-01-15,Senate,8,"Referred To Secretary For Record"
1906010,2025-01-08,Senate,1,"Introduced By Senator Sam Singh"
1906010,2025-01-08,Senate,2,"Rules Suspended"
1906010,2025-01-08,Senate,3,Adopted
1907245,2025-01-08,Senate,1,"Introduced By Senator Kevin Hertel"
1907245,2025-01-08,Senate,2,"Referred To Committee On Labor"
1907245,2025-05-14,Senate,3,"Reported Favorably With Substitute (s-1) 5/13/2025"
1907245,2025-05-14,Senate,4,"Referred To Committee Of The Whole With Substitute (s-1)"
1907256,2025-01-08,Senate,1,"Introduced By Senator Joseph Bellino"
1907256,2025-01-08,Senate,2,"Referred To Committee On Government Operations"
1907274,2025-01-08,Senate,1,"Introduced By Senator Joseph Bellino"
1907274,2025-01-08,Senate,2,"Referred To Committee On Appropriations"
1907286,2025-01-08,Senate,1,"Introduced By Senator Sam Singh"
1907286,2025-01-08,Senate,2,"Referred To Committee On Regulatory Affairs"
1907286,2025-02-11,Senate,3,"Reported Favorably With Substitute (s-1) 2/12/2025"
1907286,2025-02-11,Senate,4,"Referred To Committee Of The Whole With Substitute (s-1)"
1907301,2025-01-08,Senate,1,"Introduced By Senator Darrin Camilleri"
1907301,2025-01-08,Senate,2,"Referred To Committee On Finance, Insurance, And Consumer Protection"
1907301,2025-04-24,Senate,3,"Reported Favorably With Substitute (s-1) 4/23/2025"
1907301,2025-04-24,Senate,4,"Referred To Committee Of The Whole With Substitute (s-1)"
1907301,2025-04-24,Senate,5,"Rules Suspended For Immediate Consideration"
1907301,2025-04-24,Senate,6,"Reported By Committee Of The Whole Favorably With Substitute (s-1)"
1907301,2025-04-24,Senate,7,"Substitute (s-1) Concurred In"
1907301,2025-04-24,Senate,8,"Placed On Order Of Third Reading With Substitute (s-1)"
1907301,2025-04-24,Senate,9,"Rules Suspended"
1907301,2025-04-24,Senate,10,"Placed On Immediate Passage"
1907301,2025-04-24,Senate,11,"Amendment(s) Defeated"
1907301,2025-04-24,Senate,12,"Amendment(s) Adopted"
1907301,2025-04-24,Senate,13,"Passed Roll Call # 68 Yeas 20 Nays 15 Excused 1 Not Voting 1"
1907301,2025-04-24,House,14,"Received On 04/24/2025"
1907301,2025-04-24,House,15,"Read A First Time"
1907301,2025-04-24,House,16,"Referred To Committee On Government Operations"
1907317,2025-01-08,Senate,1,"Introduced By Senator Joseph Bellino"
1907317,2025-01-08,Senate,2,"Referred To Committee On Government Operations"
1907332,2025-01-08,Senate,1,"Introduced By Senator Darrin Camilleri"
1907332,2025-01-08,Senate,2,"Referred To Committee On Labor"
1907332,2025-05-14,Senate,3,"Reported Favorably Without Amendment 5/13/2025"
1907332,2025-05-14,Senate,4,"Referred To Committee Of The Whole"
1907346,2025-01-08,House,1,"Introduced By Representative Bryan Posthumus"
1907346,2025-01-08,House,2,Adopted
1907360,2025-01-08,Senate,1,"Introduced By Senator Joseph Bellino"
1907360,2025-01-08,Senate,2,"Referred To Committee On Regulatory Affairs"
1907377,2025-01-08,Senate,1,"Introduced By Senator Joseph Bellino"
1907377,2025-01-08,Senate,2,"Referred To Committee On Government Operations"
1907392,2025-01-08,Senate,1,"Introduced By Senator Jeremy Moss"
1907392,2025-01-08,Senate,2,"Rules Suspended"
1907392,2025-01-08,Senate,3,"Referred To Committee Of The Whole"
1907392,2025-01-23,Senate,4,"Reported By Committee Of The Whole Favorably Without Amendment(s)"
1907392,2025-01-23,Senate,5,"Placed On Order Of Third Reading"
1907392,2025-01-29,Senate,6,"Substitute (s-1) Defeated"
1907392,2025-01-29,Senate,7,"Passed Roll Call # 1 Yeas 33 Nays 2 Excused 2 Not Voting 0"
