people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
2854,"Kevin Daley",Kevin,,Daley,,,2,R,2,Sen,SD-026,13002539,105597,,Kevin_Daley,268369,0
10842,"Jon Bumstead",Jon,C.,Bumstead,,,2,R,2,Sen,SD-032,139421,123095,,Jon_Bumstead,290062,0
10852,"Ricky Outman",Ricky,L.,Outman,,Rick,2,R,2,Sen,SD-033,6676958,105560,,Rick_Outman,296962,0
11179,"Jeff Irwin",Jeff,,Irwin,,,1,D,2,Sen,SD-015,170483,89555,,Jeff_Irwin,296952,0
11180,"Nancy Jenkins-Arno",Nancy,E.,Jenkins-Arno,,,2,R,1,Rep,HD-034,793679,124164,,Nancy_Jenkins-Arno,295988,0
11183,"Ed McBroom",Edward,W.,McBroom,,Ed,2,R,2,Sen,SD-038,184827,124476,,Ed_McBroom,297009,0
11184,"Sean McCann",Sean,A.,McCann,,,1,D,2,Sen,SD-019,128271,76066,,Sean_McCann,291838,0
11185,"Aric Nesbitt",Aric,Y.,Nesbitt,,,2,R,2,Sen,SD-020,117409,124278,,Aric_Nesbitt,251486,0
14517,"Winnie Brinks",Winnie,Theresa,Brinks,,,1,D,2,Sen,SD-029,292533,143374,,Winnie_Brinks,436517,0
14523,"Tim Kelly",Tim,,Kelly,,,2,R,1,Rep,HD-093,1027944,65644,,Tim_Kelly_(Michigan_state_representative),399175,0
14529,"Dan Lauwers",Dan,,Lauwers,,,2,R,2,Sen,SD-025,12720097,139989,,Dan_Lauwers,401506,0
14536,"Samir Singh",Samir,,Singh,,,1,D,2,Sen,SD-028,2017490,75776,,Sam_Singh,415906,0
14538,"Roger Victory",Roger,,Victory,,,2,R,2,Sen,SD-031,56635,140004,,Roger_Victory,410693,0
17064,"Stephanie Chang",Stephanie,,Chang,,,1,D,2,Sen,SD-003,121391,149654,,Stephanie_Chang,488626,0
17091,"James Runestad",James,,Runestad,,Jim,2,R,2,Sen,SD-023,20965787,113102,,Jim_Runestad,488661,0
17094,"Lana Theis",Lana,L.,Theis,,,2,R,2,Sen,SD-022,317248,149672,,Lana_Theis,488656,0
17096,"Michael Webber",Michael,,Webber,,,2,R,2,Sen,SD-009,275256,76357,,Michael_Webber,488662,0
17308,"Erika Geiss",Erika,,Geiss,,,1,D,2,Sen,SD-001,20972257,149656,,Erika_Geiss,479805,0
17385,"Jeremy Moss",Jeremy,,Moss,,,1,D,2,Sen,SD-007,20931561,146868,,Jeremy_Moss,494572,0
18737,"Thomas Albert",Thomas,A.,Albert,,,2,R,2,Sen,SD-018,38525738,170553,,Thomas_Albert_(Michigan),573016,0
18740,"Joseph Bellino",Joseph,N.,Bellino,Jr.,Joe,2,R,2,Sen,SD-016,218671,170286,,Joseph_Bellino,572997,0
18742,"Darrin Camilleri",Darrin,,Camilleri,,,1,D,2,Sen,SD-004,15617984,170332,,Darrin_Camilleri,570705,0
18747,"Roger Hauck",Roger,,Hauck,,,2,R,2,Sen,SD-034,38477780,170619,,Roger_Hauck,567642,0
18749,"Kevin Hertel",Kevin,,Hertel,,,1,D,2,Sen,SD-012,14677863,170296,,Kevin_Hertel,579739,0
18750,"Michele Hoitenga",Michele,,Hoitenga,,,2,R,2,Sen,SD-036,26300137,170642,,Michele_Hoitenga,577295,0
18767,"Curtis VanderWall",Curtis,,VanderWall,,Curt,2,R,1,Rep,HD-102,39850000,132533,,Curt_VanderWall,565334,0
19206,"Sylvia Santana",Sylvia,A.,Santana,,,1,D,2,Sen,SD-002,208690,170218,,Sylvia_Santana,570702,0
19699,"Sarah Anthony",Sarah,,Anthony,,,1,D,2,Sen,SD-021,45285874,145280,,Sarah_Anthony,664412,0
20368,"Kara Hope",Kara,,Hope,,,1,D,1,Rep,HD-074,16239373,145282,,Kara_Hope,661909,0
20419,"Gregory Markkanen",Gregory,,Markkanen,,,2,R,1,Rep,HD-110,39850022,170685,,Gregory_Markkanen,580517,0
20643,"Ann Bollin",Ann,,Bollin,,,2,R,1,Rep,HD-049,42087655,182799,,Ann_Bollin,654192,0
20644,"Julie Brixie",Julie,,Brixie,,,1,D,1,Rep,HD-073,129639,76611,,Julie_Brixie,661914,0
20645,"Brenda Carter",Brenda,,Carter,,,1,D,1,Rep,HD-053,26307234,182757,,Brenda_Carter_(Michigan),654190,0
20646,"Tyrone Carter",Tyrone,,Carter,,,1,D,1,Rep,HD-001,321092,153394,,Tyrone_Carter,494553,0
20647,"John Cherry",John,D.,Cherry,,,1,D,2,Sen,SD-027,16199449,182816,,John_Cherry_(Michigan_representative),664795,0
20652,"Matthew Hall",Matthew,C.,Hall,,Matt,2,R,1,Rep,HD-042,45285856,182843,,Matt_Hall,664804,0
20654,"Mark Huizenga",Mark,E.,Huizenga,,,2,R,2,Sen,SD-030,15621459,182877,,Mark_Huizenga,661923,0
20657,"Matt Koleszar",Matt,,Koleszar,,,1,D,1,Rep,HD-022,45285758,182748,,Matt_Koleszar,664375,0
20659,"Sarah Lightner",Sarah,,Lightner,,,2,R,1,Rep,HD-045,27818841,145293,,Sarah_Lightner,647389,0
20660,"Matthew Maddock",Matthew,,Maddock,,Matt,2,R,1,Rep,HD-051,1529351,152509,,Matt_Maddock,494537,0
20662,"Luke Meerman",Luke,,Meerman,,,2,R,1,Rep,HD-089,15620617,182913,,Luke_Meerman,650726,0
20663,"Mike Mueller",Mike,,Mueller,,,2,R,1,Rep,HD-072,45285832,182821,,Mike_Mueller,647386,0
20665,"Brad Paquette",Brad,,Paquette,,,2,R,1,Rep,HD-037,45285908,182888,,Brad_Paquette,654207,0
20666,"Laurie Pohutsky",Laurie,,Pohutsky,,,1,D,1,Rep,HD-017,44072131,182747,,Laurie_Pohutsky,647355,0
20668,"Bradley Slagh",Bradley,,Slagh,,,2,R,1,Rep,HD-085,20964886,182918,,Bradley_Slagh,647410,0
20670,"Joseph Tate",Joseph,,Tate,,Joe,1,D,1,Rep,HD-009,39849798,170153,,Joseph_Tate,579930,0
20671,"Greg VanWoerkom",Greg,,VanWoerkom,,,2,R,1,Rep,HD-088,45285943,182920,,Greg_VanWoerkom,226310,0
20673,"Pauline Wendzel",Pauline,,Wendzel,,,2,R,1,Rep,HD-039,45285914,182892,,Pauline_Wendzel,664814,0
20674,"Karen Whitsett",Karen,,Whitsett,,,1,D,1,Rep,HD-004,44064475,182699,,Karen_Whitsett,661845,0
20675,"Angela Witwer",Angela,,Witwer,,,1,D,1,Rep,HD-076,45285889,182870,,Angela_Witwer,661919,0
20676,"Douglas Wozniak",Douglas,C.,Wozniak,,,2,R,1,Rep,HD-059,14671792,111696,,Douglas_Wozniak,647361,0
20693,"Paul Wojno",Paul,,Wojno,,,1,D,2,Sen,SD-010,123941,11873,,Paul_Wojno,195674,0
20798,"Dayna Polehanki",Dayna,,Polehanki,,,1,D,2,Sen,SD-005,44063833,182594,,Dayna_Polehanki,650698,0
21022,"Mallory McMorrow",Mallory,,McMorrow,,,1,D,2,Sen,SD-008,44066166,182606,,Mallory_McMorrow,650700,0
21042,"Rosemary Bayer",Rosemary,,Bayer,,,1,D,2,Sen,SD-013,44061178,182604,,Rosemary_Bayer,647187,0
21058,"Ruth Johnson",Ruth,A.,Johnson,,,2,R,2,Sen,SD-024,341372,20090,,Ruth_Johnson,195691,0
21281,"Phil Green",Phil,,Green,,,2,R,1,Rep,HD-067,45285927,182905,,Phil_Green,664430,0
21624,"Cynthia Neeley",Cynthia,,Neeley,,,1,D,1,Rep,HD-070,48644579,188704,,Cynthia_Neeley,735858,0
22414,"John Damoose",John,N.,Damoose,,,2,R,2,Sen,SD-037,49943849,193057,,John_Damoose,738896,0
22460,"Timothy Beson",Timothy,,Beson,,,2,R,1,Rep,HD-096,49943811,193073,,Timothy_Beson,738878,0
22462,"Ken Borton",Ken,,Borton,,,2,R,1,Rep,HD-105,49943818,146979,,Ken_Borton,738893,0
22464,"Kelly Breen",Kelly,A.,Breen,,,1,D,1,Rep,HD-021,45285794,182784,,Kelly_Breen,664386,0
22465,"Steve Carra",Steve,,Carra,,,2,R,1,Rep,HD-036,49943827,193153,,Steve_Carra,641333,0
22466,"Mary Cavanagh",Mary,,Cavanagh,,,1,D,2,Sen,SD-006,20963885,170222,,Mary_Cavanagh,580386,0
22469,"David Martin",David,W.,Martin,,,2,R,1,Rep,HD-068,49943915,187895,,David_Martin_(Michigan),738743,0
22471,"Amos O'Neal",Amos,,O'Neal,,,1,D,1,Rep,HD-094,49943933,76476,,Amos_O'Neal,738875,0
22472,"Bryan Posthumus",Bryan,,Posthumus,,,2,R,1,Rep,HD-090,49943940,193117,,Bryan_Posthumus,334262,0
22473,"Ranjeev Puri",Ranjeev,,Puri,,,1,D,1,Rep,HD-024,45493377,193245,,Ranjeev_Puri,738661,0
22474,"Julie Rogers",Julie,M.,Rogers,,,1,D,1,Rep,HD-041,13002425,67425,,Julie_Rogers,268333,0
22475,"John Roth",John,R.,Roth,,,2,R,1,Rep,HD-104,20969474,193063,,John_Roth,738891,0
22476,"Helena Scott",Helena,,Scott,,,1,D,1,Rep,HD-008,39849786,193115,,Helena_Scott,580349,0
22477,"Samantha Steckloff",Samantha,,Steckloff,,,1,D,1,Rep,HD-019,24678163,146811,,Samantha_Steckloff,738720,0
22480,"Mark Tisdel",Mark,,Tisdel,,,2,R,1,Rep,HD-055,48875933,146854,,Mark_Tisdel,738732,0
22481,"Regina Weiss",Regina,,Weiss,,,1,D,1,Rep,HD-005,40311506,193207,,Regina_Weiss,738675,0
22482,"Stephanie Young",Stephanie,A.,Young,,,1,D,1,Rep,HD-016,535913,37926,,Stephanie_Young,661843,0
22747,"Pat Outman",Patrick,,Outman,,Pat,2,R,1,Rep,HD-091,49943934,193128,,Pat_Outman,738825,0
22748,"Tullio Liberati",Tullio,,Liberati,Jr.,,1,D,1,Rep,HD-002,181581,193173,,Tullio_Liberati,738652,0
23142,"Carol Glanville",Carol,,Glanville,,,1,D,1,Rep,HD-084,54484299,202131,,Carol_Glanville,807472,0
23143,"Mike Harris",Mike,R.,Harris,,,2,R,1,Rep,HD-052,26298103,201449,,Mike_R._Harris_(Michigan_House_of_Representatives_candidate),807473,0
24269,"David Prestin",David,,Prestin,,Dave,2,R,1,Rep,HD-108,55492788,206551,,David_Prestin,0,0
24270,"Donni Steele",Donni,,Steele,,,2,R,1,Rep,HD-054,52022791,146908,,Donni_Steele,0,0
24313,"Joey Andrews",Joey,,Andrews,,,1,D,1,Rep,HD-038,55492612,182893,,Joey_Andrews,0,0
24314,"Noah Arbit",Noah,,Arbit,,,1,D,1,Rep,HD-020,55492564,206607,,Noah_Arbit,0,0
24315,"Erin Byrnes",Erin,,Byrnes,,,1,D,1,Rep,HD-015,45498711,199223,,Erin_Byrnes,0,0
24317,"Betsy Coffia",Betsy,,Coffia,,,1,D,1,Rep,HD-103,12720137,140024,,Betsy_Coffia,0,0
24318,"Jennifer Conlin",Jennifer,,Conlin,,,1,D,1,Rep,HD-048,46498502,206688,,Jennifer_Conlin,0,0
24319,"Emily Dievendorf",Emily,,Dievendorf,,,1,D,1,Rep,HD-077,55492705,206760,,Emily_Dievendorf,0,0
24320,"Kimberly Edwards",Kimberly,L.,Edwards,,,1,D,1,Rep,HD-012,55492550,206587,,Kimberly_Edwards,0,0
24321,"Alabas Farhat",Alabas,,Farhat,,,1,D,1,Rep,HD-003,54484286,201442,,Alabas_Farhat,0,0
