bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1907245,1578784,2025-05-14,Senate,"Reported Favorably With Substitute S-1 5/13/2025",3,1,0,0,4
1907286,1520090,2025-02-11,Senate,"Reported Favorably With Substitute S-1 2/12/2025",6,4,0,0,10
1907301,1567331,2025-04-24,Senate,"Reported Favorably With Substitute S-1 4/23/2025",5,2,0,0,7
1907301,1567332,2025-04-24,Senate,"Senate Third Reading: Passed Roll Call # 68",20,15,1,1,37
1907332,1579048,2025-05-14,Senate,"Reported Favorably Without Amendment 5/13/2025",3,1,0,0,4
1907392,1484534,2025-01-29,Senate,"Senate Third Reading: Passed Roll Call # 1",33,2,0,2,37
1907409,1497042,2025-01-08,House,"House Third Reading: Roll Call #2",110,0,0,0,110
1907409,1551333,2025-01-08,House,"House Third Reading: Roll Call Roll Call #2",110,0,0,0,110
1907440,1484535,2025-01-29,Senate,"Senate Third Reading: Passed Roll Call # 2",33,2,0,2,37
1907450,1497043,2025-01-08,House,"House Third Reading: Roll Call #3",110,0,0,0,110
1907450,1551256,2025-01-08,House,"House Third Reading: Roll Call Roll Call #3",110,0,0,0,110
1907466,1567212,2025-04-24,Senate,"Reported Favorably Without Amendment 4/23/2025",5,2,0,0,7
1907466,1567213,2025-04-24,Senate,"Senate Third Reading: Passed Roll Call # 69",20,15,1,1,37
1907481,1494918,2025-02-19,House,"House Third Reading: Given Immediate Effect Roll Call #8",69,40,0,0,109
1907481,1496200,2025-02-13,Senate,"Reported Favorably Without Amendment 2/13/2025",6,4,0,0,10
1907481,1496201,2025-02-13,Senate,"Senate Third Reading: Passed Roll Call # 7",20,12,0,5,37
1907481,1551109,2025-02-13,Senate,"REPORTED FAVORABLY WITHOUT AMENDMENT 2/13/2025",6,4,0,0,10
1907511,1567419,2025-04-24,Senate,"Reported Favorably Without Amendment 4/23/2025",5,2,0,0,7
1907511,1567420,2025-04-24,Senate,"Senate Third Reading: Passed Roll Call # 70",20,15,1,1,37
1909085,1472926,2025-01-16,House,"Reported With Recommendation With Substitute H-1",15,0,0,0,15
1909085,1474613,2025-01-23,House,"House Third Reading: Given Immediate Effect Roll Call #5",67,38,0,0,105
1909085,1497863,2025-02-20,House,"House Third Reading: Roll Call #12",81,29,0,0,110
1909085,1498779,2025-02-20,Senate,"Senate Third Reading: Given Immediate Effect Roll Call # 10",26,10,0,1,37
1909085,1550992,2025-02-20,House,"House Third Reading: Roll Call Roll Call #12",81,29,0,0,110
1909445,1472909,2025-01-16,House,"Reported With Recommendation With Substitute H-2",14,0,0,0,14
1909445,1474612,2025-01-23,House,"House Third Reading: Given Immediate Effect Roll Call #4",63,41,0,0,104
1917708,1499750,2025-02-25,House,"Reported With Recommendation Without Amendment",17,0,0,0,17
1917708,1516835,2025-03-11,House,"House Third Reading: Given Immediate Effect Roll Call #18",108,0,0,0,108
1917708,1590919,2025-06-12,Senate,"Reported Favorably Without Amendment 6/11/2025",5,0,0,0,5
1917708,1599337,2025-08-13,Senate,"Senate Third Reading: Given Immediate Effect Roll Call # 204",33,0,0,4,37
1917766,1585548,2025-05-21,House,"Reported With Recommendation Without Amendment",28,0,0,0,28
1917766,1589806,2025-06-11,House,"House Third Reading: Given Immediate Effect Roll Call #145",62,47,0,0,109
1917826,1571206,2025-05-07,House,"Reported With Recommendation Without Amendment",11,2,0,0,13
1917826,1579873,2025-05-20,House,"House Third Reading: Given Immediate Effect Roll Call #122",83,24,0,0,107
1918007,1527659,2025-03-12,House,"Reported With Recommendation Without Amendment",17,0,0,0,17
1918007,1551150,2025-04-15,House,"House Third Reading: Given Immediate Effect Roll Call #50",103,1,0,0,104
1918072,1524104,2025-03-20,House,"House Third Reading: Given Immediate Effect Roll Call #44",102,3,0,0,105
1918072,1524538,2025-03-06,House,"Reported With Recommendation Without Amendment",15,0,0,0,15
1918128,1519768,2025-03-11,House,"Reported With Recommendation Without Amendment",13,0,0,0,13
1918128,1522468,2025-03-18,House,"House Third Reading: Given Immediate Effect Roll Call #29",97,11,0,0,108
1918310,1563698,2025-04-15,House,"Reported With Recommendation For Referral To Committee On Rules",12,2,0,0,14
1918310,1566439,2025-05-01,House,"Reported With Recommendation Without Amendment",8,0,0,0,8
1918310,1570275,2025-05-07,House,"House Third Reading: Given Immediate Effect Roll Call #91",82,27,0,0,109
1918368,1585369,2025-05-08,House,"Reported With Recommendation Without Amendment",5,0,0,0,5
1919985,1526478,2025-03-13,House,"Reported With Recommendation For Referral To Committee On Rules",10,0,0,0,10
1919985,1599079,2025-06-26,House,"Reported With Recommendation With Substitute H-2",8,0,0,0,8
1934047,1590271,2025-06-11,Senate,"Reported Favorably Without Amendment 6/11/2025",8,3,0,0,11
1934118,1521392,2025-02-26,Senate,"Reported Favorably With Substitute S-2 2/25/2025",6,0,0,0,6
1934118,1521393,2025-03-12,Senate,"Senate Third Reading: Passed Roll Call # 17",30,6,0,1,37
1934118,1551289,2025-02-26,Senate,"REPORTED FAVORABLY WITH SUBSTITUTE (S-2) 2/25/2025",6,0,0,0,6
1934118,1552414,2025-02-26,Senate,"Reported Favorably With Substitute s-2 2/25/2025",6,0,0,0,6
1934187,1590269,2025-06-11,Senate,"Reported Favorably With Substitute S-1 6/10/2025",8,3,0,0,11
1934392,1590218,2025-06-11,Senate,"Reported Favorably Without Amendment 6/10/2025",8,3,0,0,11
1934458,1547063,2025-03-20,Senate,"Reported Favorably Without Amendment 3/18/2025",11,0,0,0,11
1934458,1551211,2025-03-20,Senate,"REPORTED FAVORABLY WITHOUT AMENDMENT 3/18/2025",11,0,0,0,11
1934458,1557070,2025-04-17,Senate,"Senate Third Reading: Passed Roll Call # 50",36,0,0,1,37
1934521,1590578,2025-06-11,Senate,"Reported Favorably Without Amendment 6/10/2025",11,0,0,0,11
1935066,1507021,2025-03-05,House,"Reported With Recommendation Without Amendment",10,1,0,0,11
1935066,1516943,2025-03-11,House,"House Third Reading: Given Immediate Effect Roll Call #20",74,34,0,0,108
1937170,1497673,2025-02-11,Senate,"Reported Favorably Without Amendment 2/5/2025",5,0,0,0,5
1937170,1521543,2025-03-05,Senate,"Senate Third Reading: Passed Roll Call # 13",29,6,0,2,37
1937170,1551057,2025-02-11,Senate,"REPORTED FAVORABLY WITHOUT AMENDMENT 2/5/2025",5,0,0,0,5
1937556,1515672,2025-02-25,Senate,"Senate Third Reading: Passed Roll Call # 12",32,0,0,5,37
1937556,1520091,2025-02-11,Senate,"Reported Favorably Without Amendment 2/12/2025",8,0,0,0,8
1937690,1542113,2025-03-13,Senate,"Reported Favorably With Substitute S-1 3/13/2025",11,0,0,0,11
1937690,1542114,2025-03-18,Senate,"Senate Third Reading: Passed Roll Call # 37",37,0,0,0,37
1937690,1551064,2025-03-13,Senate,"REPORTED FAVORABLY WITH SUBSTITUTE (S-1) 3/13/2025",11,0,0,0,11
1943962,1601046,2025-08-27,House,"Reported With Recommendation With Substitute H-1",7,4,0,0,11
1943962,1601423,2025-09-04,House,"House Third Reading: Given Immediate Effect Roll Call #190",58,46,0,0,104
1944004,1507234,2025-03-05,House,"Reported With Recommendation With Substitute H-1",10,0,0,0,10
1944049,1584578,2025-05-21,House,"Reported With Recommendation Without Amendment",28,0,0,0,28
1944049,1587512,2025-06-05,House,"House Third Reading: Given Immediate Effect Roll Call #142",104,2,0,0,106
1944091,1505904,2025-02-26,House,"Reported With Recommendation Without Amendment",15,0,0,0,15
1944091,1520056,2025-03-06,House,"House Third Reading: Given Immediate Effect Roll Call #17",106,1,0,0,107
1944224,1558751,2025-04-16,House,"Reported With Recommendation With Substitute H-2",11,0,0,0,11
1944224,1559717,2025-04-23,House,"House Third Reading: Given Immediate Effect Roll Call #66",106,0,0,0,106
1944262,1489926,2025-02-11,House,"Reported With Recommendation Without Amendment",3,0,0,0,3
1944307,1562248,2025-04-22,House,"Reported With Recommendation Without Amendment",10,7,0,0,17
1944307,1565659,2025-04-30,House,"House Third Reading: Given Immediate Effect Roll Call #73",58,48,0,0,106
1944349,1562208,2025-04-23,House,"Reported With Recommendation With Substitute H-1",14,0,0,0,14
1944349,1565544,2025-04-30,House,"House Third Reading: Given Immediate Effect Roll Call #71",107,0,0,0,107
1944392,1562062,2025-04-22,House,"Reported With Recommendation Without Amendment",10,7,0,0,17
1944392,1565448,2025-04-30,House,"House Third Reading: Given Immediate Effect Roll Call #72",58,48,0,0,106
1944477,1499875,2025-02-25,House,"Reported With Recommendation Without Amendment",15,0,0,0,15
1944477,1519577,2025-03-13,House,"House Third Reading: Given Immediate Effect Roll Call #27",95,12,0,0,107
1944518,1499900,2025-02-25,House,"Reported With Recommendation Without Amendment",15,0,0,0,15
1944518,1519571,2025-03-13,House,"House Third Reading: Given Immediate Effect Roll Call #26",96,11,0,0,107
1944552,1558750,2025-04-16,House,"Reported With Recommendation Without Amendment",10,0,0,0,10
1944552,1559699,2025-04-23,House,"House Third Reading: Given Immediate Effect Roll Call #65",106,0,0,0,106
1946118,1477082,2025-01-29,House,"House Third Reading: Roll Call #6",105,0,0,0,105
1946118,1551084,2025-01-29,House,"House Third Reading: Roll Call Roll Call #6",105,0,0,0,105
1946361,1527239,2025-03-11,House,"Reported With Recommendation Without Amendment",6,3,0,0,9
1948377,1558752,2025-04-16,House,"Reported With Recommendation With Substitute H-2",11,0,0,0,11
1948377,1559696,2025-04-24,House,"House Third Reading: Given Immediate Effect Roll Call #69",104,1,0,0,105
1948377,1599662,2025-08-13,Senate,"Reported Favorably With Substitute S-1 8/12/2025",6,0,0,0,6
1948377,1599663,2025-08-13,Senate,"Senate Third Reading: Given Immediate Effect Roll Call # 209",32,0,0,5,37
1948377,1599704,2025-08-19,House,"House Third Reading: Roll Call #174",97,5,0,0,102
1948432,1498271,2025-02-20,House,"Reported With Recommendation With Substitute H-1",5,0,0,0,5
1948432,1499787,2025-02-25,House,"House Third Reading: Given Immediate Effect Roll Call #13",80,28,0,0,108
1948484,1497638,2025-02-20,House,"Reported With Recommendation Without Amendment",5,0,0,0,5
1948484,1499972,2025-02-25,House,"House Third Reading: Given Immediate Effect Roll Call #14",91,17,0,0,108
1948813,1585842,2025-05-08,House,"Reported With Recommendation Without Amendment",5,0,0,0,5
1948813,1589639,2025-06-11,House,"House Third Reading: Given Immediate Effect Roll Call #144",92,17,0,0,109
1948929,1499714,2025-02-25,House,"Reported With Recommendation Without Amendment",17,0,0,0,17
1948929,1516865,2025-03-11,House,"House Third Reading: Given Immediate Effect Roll Call #19",108,0,0,0,108
1948929,1590920,2025-06-12,Senate,"Reported Favorably Without Amendment 6/11/2025",5,0,0,0,5
1948929,1599338,2025-08-13,Senate,"Senate Third Reading: Given Immediate Effect Roll Call # 205",33,0,0,4,37
1948980,1558753,2025-04-16,House,"Reported With Recommendation Without Amendment",11,0,0,0,11
1948980,1559955,2025-04-24,House,"House Third Reading: Given Immediate Effect Roll Call #70",104,1,0,0,105
1948980,1599702,2025-08-13,Senate,"Reported Favorably Without Amendment 8/12/2025",6,0,0,0,6
1948980,1599703,2025-08-13,Senate,"Senate Third Reading: Given Immediate Effect Roll Call # 210",32,0,0,5,37
1953385,1498013,2025-02-11,Senate,"Reported Favorably Without Amendment 2/5/2025",10,0,0,0,10
