bill_id,people_id,position
1905549,14536,1
1905780,14536,1
1906010,14536,1
1907245,17064,2
1907245,18749,1
1907245,20647,3
1907256,18740,1
1907274,18740,1
1907286,14536,1
1907301,17064,2
1907301,18742,1
1907301,20647,3
1907317,18740,1
1907332,17064,2
1907332,18742,1
1907332,20647,3
1907346,22472,1
1907346,24322,2
1907360,18740,1
1907377,18740,1
1907392,11183,2
1907392,17064,3
1907392,17385,1
1907392,20647,4
1907409,22472,1
1907409,24322,2
1907420,22472,1
1907420,24322,2
1907440,11183,1
1907440,17064,3
1907440,17385,2
1907440,20647,4
1907450,22472,1
1907450,24322,2
1907466,17064,2
1907466,20647,3
1907466,24343,1
1907481,18749,1
1907494,22472,1
1907494,24322,2
1907511,17064,2
1907511,20647,3
1907511,24346,1
1907524,18740,1
1907531,22472,1
1907531,24322,2
1908237,14523,5
1908237,20643,3
1908237,20652,1
1908237,20659,7
1908237,20660,9
1908237,24337,11
1908237,24347,2
1908237,24359,6
1908237,24362,12
1908237,24363,13
1908237,25808,4
1908237,25811,8
1908237,25815,10
1908237,25817,14
1909085,11180,35
1909085,14523,24
1909085,18767,39
1909085,20419,4
1909085,20643,17
1909085,20659,27
1909085,20660,34
1909085,20662,19
1909085,20663,37
1909085,20668,28
1909085,20673,8
1909085,20676,7
1909085,22460,13
1909085,22462,33
1909085,22469,18
1909085,22475,2
1909085,23143,14
1909085,24269,6
1909085,24270,16
1909085,24337,31
1909085,24347,26
1909085,24348,3
1909085,24349,5
1909085,24350,36
1909085,24351,12
1909085,24352,10
1909085,24353,1
1909085,24354,23
1909085,24355,40
1909085,24356,25
1909085,24359,22
1909085,24360,9
1909085,24364,29
1909085,24365,21
1909085,24366,11
1909085,24369,15
1909085,25808,32
1909085,25810,30
1909085,25817,20
1909085,25818,38
1909445,11180,35
1909445,14523,24
1909445,18767,39
1909445,20419,4
1909445,20643,17
1909445,20659,27
1909445,20660,34
1909445,20662,19
1909445,20663,37
1909445,20668,28
1909445,20673,8
1909445,20676,7
1909445,22460,13
1909445,22462,33
1909445,22469,18
1909445,22475,1
1909445,23143,14
1909445,24269,6
1909445,24270,15
1909445,24337,31
1909445,24347,26
1909445,24348,3
1909445,24349,5
1909445,24350,36
1909445,24351,12
1909445,24352,10
1909445,24353,2
1909445,24354,23
1909445,24355,40
1909445,24356,25
1909445,24359,22
1909445,24360,9
1909445,24364,29
1909445,24365,21
1909445,24366,11
1909445,24369,16
1909445,25808,32
1909445,25810,30
1909445,25817,20
1909445,25818,38
1917656,20645,1
1917656,22474,8
1917656,22748,6
1917656,24313,9
1917656,24317,5
1917656,24319,3
1917656,24336,2
1917656,24339,7
1917656,25814,4
1917708,22460,2
1917708,24359,1
1917766,14523,5
1917766,22462,6
1917766,22475,3
1917766,24328,2
1917766,24330,12
1917766,24336,11
1917766,24349,4
1917766,24353,13
1917766,24355,8
1917766,24356,1
1917766,24357,9
1917766,24364,7
1917766,24369,10
1917826,20676,6
1917826,22460,14
1917826,22475,7
1917826,22748,12
1917826,24270,16
1917826,24330,9
1917826,24334,8
1917826,24348,11
1917826,24349,3
1917826,24353,2
1917826,24355,18
1917826,24356,13
1917826,24357,5
1917826,24358,17
1917826,24363,10
1917826,24369,1
1917826,25810,15
1917826,25815,4
1917887,20368,16
1917887,20645,11
1917887,20646,3
1917887,20666,12
1917887,22476,17
1917887,22481,9
1917887,22482,13
1917887,24315,10
1917887,24318,5
1917887,24319,8
1917887,24329,18
1917887,24335,6
1917887,24336,1
1917887,24340,15
1917887,24341,14
1917887,24342,2
1917887,25809,4
1917887,25814,7
1917948,20368,38
1917948,20644,41
1917948,20645,4
1917948,20646,39
1917948,20657,21
1917948,20666,24
1917948,20668,54
1917948,20676,43
1917948,21624,33
1917948,22460,45
1917948,22464,42
1917948,22471,37
1917948,22474,50
1917948,22476,52
1917948,22477,6
1917948,22481,25
1917948,22482,20
1917948,22748,12
1917948,23142,14
1917948,24313,10
1917948,24314,16
1917948,24315,1
1917948,24317,17
1917948,24318,40
1917948,24319,11
1917948,24320,7
1917948,24321,46
1917948,24323,32
1917948,24325,34
1917948,24326,23
1917948,24327,53
1917948,24328,28
1917948,24329,31
1917948,24330,35
1917948,24331,2
1917948,24332,8
1917948,24333,47
1917948,24334,3
1917948,24335,26
1917948,24336,27
1917948,24339,36
1917948,24340,15
1917948,24341,5
1917948,24342,30
1917948,24355,22
1917948,24359,49
1917948,24366,44
1917948,25198,13
1917948,25199,18
1917948,25809,19
1917948,25810,48
1917948,25812,51
1917948,25814,29
1917948,25816,9
1918007,14523,11
1918007,20419,9
1918007,20668,1
1918007,20674,14
1918007,22475,5
1918007,22477,13
1918007,24328,12
1918007,24329,15
1918007,24333,4
1918007,24349,7
1918007,24352,3
1918007,24355,6
1918007,24359,2
1918007,24369,8
1918007,25813,10
1918072,22747,1
1918128,14523,11
1918128,20419,9
1918128,20643,13
1918128,20668,1
1918128,20674,16
1918128,22475,5
1918128,22477,15
1918128,24328,12
1918128,24329,17
1918128,24333,4
1918128,24349,7
1918128,24352,3
1918128,24355,6
1918128,24359,2
1918128,24369,8
1918128,25813,10
1918128,25817,14
1918189,20673,1
1918189,20676,2
1918247,14523,11
1918247,20419,9
1918247,20643,13
1918247,20668,1
1918247,20674,17
1918247,22464,16
1918247,22475,5
1918247,22477,15
1918247,24328,12
1918247,24329,18
1918247,24333,4
1918247,24349,8
1918247,24352,3
1918247,24355,6
1918247,24359,2
1918247,24369,7
1918247,25813,10
1918247,25817,14
1918310,20419,3
1918310,20660,5
1918310,20665,7
1918310,22460,11
1918310,22462,12
1918310,22475,16
1918310,22747,14
1918310,24269,2
1918310,24333,17
1918310,24347,10
1918310,24351,4
1918310,24355,13
1918310,24357,9
1918310,24364,8
1918310,24366,6
1918310,25807,1
1918310,25808,15
1918368,14523,3
1918368,22462,5
1918368,22474,14
1918368,22477,13
1918368,24328,2
1918368,24330,10
1918368,24348,7
1918368,24349,4
1918368,24353,12
1918368,24355,8
1918368,24356,1
1918368,24357,9
1918368,24364,6
1918368,24369,11
1918428,14523,2
1918428,21281,14
1918428,22464,13
1918428,22469,15
1918428,23143,9
1918428,24331,10
1918428,24333,4
1918428,24336,16
1918428,24337,6
1918428,24347,5
1918428,24348,8
1918428,24350,1
1918428,24353,7
1918428,24356,11
1918428,24360,12
1918428,24364,3
1919985,11180,4
1919985,14523,6
1919985,18767,36
1919985,20419,19
1919985,20643,26
1919985,20645,32
1919985,20659,34
1919985,20668,2
1919985,20675,21
1919985,20676,17
1919985,22460,39
1919985,22462,11
1919985,22464,41
1919985,22469,3
1919985,22472,35
1919985,22477,33
1919985,22482,37
1919985,24269,5
1919985,24270,25
1919985,24322,30
1919985,24331,28
1919985,24332,29
1919985,24333,1
1919985,24334,31
1919985,24347,14
1919985,24350,12
1919985,24351,10
1919985,24352,24
1919985,24355,13
1919985,24357,7
1919985,24358,23
1919985,24359,8
1919985,24360,18
1919985,24363,38
1919985,24364,27
1919985,25807,22
1919985,25808,20
1919985,25810,16
1919985,25813,15
1919985,25817,9
1919985,25818,40
1924339,20645,1
1924339,24336,2
1933909,10852,9
1933909,11185,8
1933909,14529,7
1933909,17094,5
1933909,17096,6
1933909,18737,12
1933909,18740,1
1933909,19206,3
1933909,20654,4
1933909,20693,10
1933909,21022,11
1933909,24344,2
1933979,11179,4
1933979,11184,13
1933979,14517,1
1933979,14536,7
1933979,17064,11
1933979,17308,16
1933979,17385,10
1933979,18742,6
1933979,18749,14
1933979,19206,12
1933979,19699,19
1933979,20647,8
1933979,20693,18
1933979,20798,2
1933979,21022,5
1933979,21042,17
1933979,22466,15
1933979,24343,9
1933979,24346,3
1934047,19699,1
1934118,18749,1
1934187,19699,1
1934256,17096,1
1934326,2854,1
1934392,19699,1
1934458,11179,1
1934521,19699,1
1934534,20368,32
1934534,20644,12
1934534,20645,9
1934534,20646,20
1934534,20657,31
1934534,20666,15
1934534,20670,2
1934534,21624,14
1934534,22464,28
1934534,22471,5
1934534,22473,19
1934534,22474,3
1934534,22476,1
1934534,22477,34
1934534,22481,11
1934534,22482,21
1934534,23142,16
1934534,24313,36
1934534,24314,7
1934534,24315,23
1934534,24317,26
1934534,24318,10
1934534,24319,37
1934534,24320,4
1934534,24322,29
1934534,24323,22
1934534,24325,25
1934534,24326,27
1934534,24327,30
1934534,24328,18
1934534,24329,33
1934534,24332,6
1934534,24335,13
1934534,24339,17
1934534,24341,35
1934534,25809,24
1934534,25814,8
1934796,14523,7
1934796,20660,5
1934796,24347,3
1934796,24350,1
1934796,24351,4
1934796,24359,2
1934796,24362,6
1934796,25817,8
1935066,20646,8
1935066,20663,1
1935066,20675,7
1935066,22460,2
1935066,23143,3
1935066,24333,5
1935066,24339,6
1935066,24349,4
1935066,24356,9
1937170,17064,1
1937289,20643,4
1937289,22460,3
1937289,22464,5
1937289,24270,11
1937289,24337,10
1937289,24347,2
1937289,24354,6
1937289,24355,7
1937289,24357,8
1937289,24360,1
1937289,24364,9
1937420,14523,1
1937420,20643,4
1937420,22460,3
1937420,24270,10
1937420,24337,9
1937420,24347,2
1937420,24354,5
1937420,24355,6
1937420,24357,7
1937420,24364,8
1937556,24343,1
1937690,11184,5
1937690,17064,4
1937690,17308,6
1937690,20647,1
1937690,21042,3
1937690,24346,2
1937829,20643,5
1937829,20657,11
1937829,20659,12
1937829,22460,4
1937829,22464,6
1937829,23142,9
1937829,24270,19
1937829,24314,3
1937829,24319,7
1937829,24326,13
1937829,24328,14
1937829,24332,15
1937829,24336,16
1937829,24337,18
1937829,24347,2
1937829,24354,8
1937829,24355,10
1937829,24357,1
1937829,24364,17
1937963,24343,1
1943877,14523,7
1943877,20660,10
1943877,20662,15
1943877,20673,14
1943877,22465,11
1943877,24269,9
1943877,24270,3
1943877,24347,8
1943877,24355,1
1943877,24356,12
1943877,24359,5
1943877,24365,16
1943877,24369,2
1943877,25811,4
1943877,25813,6
1943877,25817,13
1943920,20676,1
1943920,24332,8
1943920,24347,6
1943920,24348,3
1943920,24349,7
1943920,24355,5
1943920,24357,2
1943920,24369,4
1943962,11180,17
1943962,20419,9
1943962,20660,22
1943962,20662,20
1943962,22465,2
1943962,22469,18
1943962,22747,15
1943962,24270,19
1943962,24347,7
1943962,24349,14
1943962,24351,10
1943962,24352,16
1943962,24353,13
1943962,24354,1
1943962,24357,11
1943962,24362,21
1943962,24364,4
1943962,24366,5
1943962,25811,6
1943962,25813,3
1943962,25817,12
1943962,25818,8
1944004,14523,5
1944004,20646,7
1944004,24332,6
1944004,24348,1
1944004,24357,3
1944004,24369,4
1944004,25815,2
1944049,20675,1
1944091,20644,29
1944091,22460,18
1944091,22462,35
1944091,22472,23
1944091,22474,10
1944091,22475,19
1944091,22747,9
1944091,24269,15
1944091,24270,34
1944091,24318,5
1944091,24321,17
1944091,24329,8
1944091,24332,28
1944091,24336,27
1944091,24337,30
1944091,24347,6
1944091,24348,20
1944091,24349,24
1944091,24353,25
1944091,24354,4
1944091,24355,36
1944091,24357,11
1944091,24360,26
1944091,24362,31
1944091,24363,2
1944091,24364,3
1944091,24365,33
1944091,24366,12
1944091,24369,13
1944091,25807,14
1944091,25810,32
1944091,25811,1
1944091,25812,16
1944091,25813,22
1944091,25815,21
1944091,25817,7
1944137,20368,28
1944137,20644,29
1944137,20645,20
1944137,20646,16
1944137,20657,32
1944137,20675,38
1944137,21624,27
1944137,22464,31
1944137,22471,26
1944137,22474,21
1944137,22476,22
1944137,22481,39
1944137,22482,30
1944137,22748,5
1944137,23142,12
1944137,24313,2
1944137,24314,19
1944137,24315,1
1944137,24318,25
1944137,24319,13
1944137,24321,18
1944137,24323,17
1944137,24325,37
1944137,24326,4
1944137,24327,24
1944137,24328,10
1944137,24329,40
1944137,24331,3
1944137,24332,14
1944137,24334,41
1944137,24335,23
1944137,24336,15
1944137,24338,9
1944137,24340,6
1944137,24342,36
1944137,25198,35
1944137,25199,33
1944137,25809,7
1944137,25812,8
1944137,25814,34
1944137,25816,11
1944179,24314,1
1944179,24315,2
1944224,20676,1
1944224,22460,4
1944224,24348,3
1944224,24349,5
1944224,24357,2
1944262,14523,16
1944262,18767,27
1944262,20643,1
1944262,20645,29
1944262,20652,24
1944262,20657,12
1944262,20659,6
1944262,20663,5
1944262,20675,30
1944262,22460,15
1944262,22462,2
1944262,22469,8
1944262,24269,23
1944262,24333,25
1944262,24339,28
1944262,24341,3
1944262,24347,21
1944262,24350,9
1944262,24353,4
1944262,24354,20
1944262,24355,31
1944262,24356,7
1944262,24357,14
1944262,24360,18
1944262,24362,10
1944262,24364,11
1944262,24369,17
1944262,25807,22
1944262,25810,26
1944262,25811,19
1944262,25818,13
1944307,11180,50
1944307,14523,5
1944307,18767,39
1944307,20419,7
1944307,20659,37
1944307,20660,48
1944307,20662,42
1944307,20663,15
1944307,20665,19
1944307,20668,13
1944307,20671,43
1944307,20673,41
1944307,20676,10
1944307,21281,16
1944307,22460,11
1944307,22462,18
1944307,22469,22
1944307,22472,8
1944307,22475,46
1944307,22480,38
1944307,22747,24
1944307,23143,33
1944307,24269,12
1944307,24270,26
1944307,24333,30
1944307,24347,1
1944307,24348,17
1944307,24349,47
1944307,24350,28
1944307,24351,21
1944307,24352,36
1944307,24353,35
1944307,24354,23
1944307,24355,49
1944307,24356,29
1944307,24357,44
1944307,24359,14
1944307,24360,45
1944307,24361,4
1944307,24362,40
1944307,24364,27
1944307,24365,2
1944307,24366,20
1944307,24369,34
1944307,25807,3
1944307,25808,31
1944307,25810,25
1944307,25813,6
1944307,25817,9
1944307,25818,32
1944349,14523,4
1944349,18767,14
1944349,20668,1
1944349,21281,6
1944349,22462,11
1944349,22475,3
1944349,24269,9
1944349,24347,10
1944349,24349,13
1944349,24359,5
1944349,24364,7
1944349,25807,8
1944349,25808,12
1944349,25817,2
1944392,11180,50
1944392,14523,5
1944392,18767,35
1944392,20419,7
1944392,20659,37
1944392,20660,47
1944392,20662,41
1944392,20663,14
1944392,20665,19
1944392,20668,13
1944392,20671,42
1944392,20673,39
1944392,20676,10
1944392,21281,16
1944392,22460,11
1944392,22462,18
1944392,22469,22
1944392,22472,8
1944392,22475,45
1944392,22480,40
1944392,22747,24
1944392,23143,33
1944392,24269,12
1944392,24270,26
1944392,24333,30
1944392,24347,1
1944392,24348,17
1944392,24349,46
1944392,24350,28
1944392,24351,21
1944392,24352,48
1944392,24353,34
1944392,24354,23
1944392,24355,49
1944392,24356,29
1944392,24357,43
1944392,24359,15
1944392,24360,44
1944392,24361,4
1944392,24362,38
1944392,24364,27
1944392,24365,2
1944392,24366,20
1944392,24369,36
1944392,25807,3
1944392,25808,31
1944392,25810,25
1944392,25813,6
1944392,25817,9
1944392,25818,32
1944435,14523,11
1944435,20419,7
1944435,20660,10
1944435,22460,2
1944435,22462,9
1944435,22475,8
1944435,24337,6
1944435,24349,3
1944435,24350,12
1944435,24353,14
1944435,24354,13
1944435,24355,18
1944435,24356,1
1944435,24359,4
1944435,24362,15
1944435,24365,17
1944435,25813,16
1944435,25817,5
1944477,20368,40
1944477,20645,23
1944477,20646,17
1944477,20665,1
1944477,20666,41
1944477,21624,13
1944477,22464,4
1944477,22471,42
1944477,22476,29
1944477,22477,16
1944477,22481,19
1944477,22482,5
1944477,22747,43
1944477,22748,34
1944477,23142,10
1944477,24313,22
1944477,24315,14
1944477,24318,33
1944477,24319,9
1944477,24320,37
1944477,24321,45
1944477,24322,27
1944477,24325,26
1944477,24326,20
1944477,24327,35
1944477,24328,18
1944477,24329,25
1944477,24330,6
1944477,24331,24
1944477,24332,8
1944477,24334,28
1944477,24335,7
1944477,24336,11
1944477,24338,15
1944477,24339,31
1944477,24340,21
1944477,24347,38
1944477,24354,44
1944477,24355,2
1944477,24357,3
1944477,25198,39
1944477,25809,32
1944477,25812,30
1944477,25814,36
1944477,25816,12
1944518,20368,39
1944518,20645,23
1944518,20646,17
1944518,20665,47
1944518,20666,40
1944518,21624,13
1944518,22464,4
1944518,22471,44
1944518,22474,9
1944518,22476,29
1944518,22477,16
1944518,22481,19
1944518,22482,5
1944518,22747,45
1944518,22748,33
1944518,23142,10
1944518,24313,22
1944518,24315,14
1944518,24317,41
1944518,24318,32
1944518,24319,7
1944518,24320,36
1944518,24321,42
1944518,24322,27
1944518,24325,26
1944518,24326,20
1944518,24327,34
1944518,24328,18
1944518,24329,25
1944518,24330,6
1944518,24331,24
1944518,24332,8
1944518,24334,28
1944518,24335,1
1944518,24336,11
1944518,24338,15
1944518,24339,43
1944518,24340,21
1944518,24347,37
1944518,24354,46
1944518,24355,2
1944518,24357,3
1944518,25198,38
1944518,25809,31
1944518,25812,30
1944518,25814,35
1944518,25816,12
1944552,20676,1
1944552,22460,2
1944552,24348,4
1944552,24349,3
1945989,17064,2
1945989,17385,3
1945989,18742,1
1945989,19206,4
1946006,21624,15
1946006,22474,8
1946006,22476,13
1946006,22482,11
1946006,23142,12
1946006,24315,7
1946006,24318,14
1946006,24319,9
1946006,24329,2
1946006,24331,6
1946006,24332,4
1946006,24335,10
1946006,24336,1
1946006,25809,5
1946006,25816,3
1946058,18767,1
1946058,20645,20
1946058,20662,22
1946058,20676,8
1946058,21281,25
1946058,21624,26
1946058,22460,12
1946058,22462,30
1946058,22474,2
1946058,22475,4
1946058,22482,13
1946058,23142,10
1946058,24269,29
1946058,24313,21
1946058,24314,17
1946058,24318,18
1946058,24321,31
1946058,24326,5
1946058,24328,14
1946058,24331,11
1946058,24332,6
1946058,24333,28
1946058,24336,7
1946058,24338,16
1946058,24342,19
1946058,24349,24
1946058,24360,23
1946058,25809,15
1946058,25810,27
1946058,25812,9
1946058,25816,3
1946118,11180,12
1946118,18767,5
1946118,20643,1
1946118,20652,10
1946118,20659,15
1946118,20662,3
1946118,20668,13
1946118,22462,6
1946118,22472,7
1946118,23143,9
1946118,24332,16
1946118,24348,2
1946118,24349,11
1946118,24353,8
1946118,24354,14
1946118,24362,4
1946178,20368,6
1946178,20657,7
1946178,20675,17
1946178,22474,13
1946178,22481,16
1946178,22482,19
1946178,23142,5
1946178,24315,2
1946178,24322,3
1946178,24326,9
1946178,24327,1
1946178,24332,10
1946178,24336,12
1946178,24339,14
1946178,24341,15
1946178,24354,4
1946178,25812,8
1946178,25814,11
1946178,25816,18
1946235,14523,9
1946235,22462,11
1946235,22465,13
1946235,22469,2
1946235,22747,1
1946235,24269,6
1946235,24333,3
1946235,24347,12
1946235,24354,14
1946235,24355,16
1946235,24357,15
1946235,24364,4
1946235,25807,5
1946235,25810,7
1946235,25813,8
1946235,25817,10
1946303,20368,5
1946303,20657,1
1946303,22481,10
1946303,23142,4
1946303,24315,2
1946303,24322,3
1946303,24332,7
1946303,24336,8
1946303,24339,9
1946303,25812,6
1946303,25816,11
1946361,11180,17
1946361,14523,4
1946361,18767,38
1946361,20419,28
1946361,20643,43
1946361,20668,7
1946361,20673,41
1946361,20676,8
1946361,21281,44
1946361,22460,19
1946361,22462,3
1946361,22465,37
1946361,22469,24
1946361,22472,1
1946361,22475,9
1946361,22747,21
1946361,24269,34
1946361,24270,25
1946361,24333,6
1946361,24347,16
1946361,24348,14
1946361,24349,31
1946361,24350,30
1946361,24351,18
1946361,24352,39
1946361,24353,40
1946361,24354,23
1946361,24355,45
1946361,24356,32
1946361,24357,2
1946361,24358,26
1946361,24359,13
1946361,24360,10
1946361,24361,11
1946361,24362,42
1946361,24363,22
1946361,24364,27
1946361,24366,20
1946361,24369,33
1946361,25807,36
1946361,25811,35
1946361,25813,5
1946361,25815,29
1946361,25817,15
1946361,25818,12
1946420,18767,2
1946420,20645,19
1946420,20662,21
1946420,20676,8
1946420,21281,24
1946420,21624,25
1946420,22460,11
1946420,22462,29
1946420,22474,1
1946420,22475,4
1946420,22482,12
1946420,23142,9
1946420,24269,28
1946420,24313,20
1946420,24314,16
1946420,24318,17
1946420,24321,30
1946420,24326,5
1946420,24328,13
1946420,24331,10
1946420,24332,6
1946420,24333,27
1946420,24336,7
1946420,24338,15
1946420,24342,18
1946420,24349,23
1946420,24360,22
1946420,25809,14
1946420,25810,26
1946420,25816,3
1947711,14536,1
1947711,17064,2
1947711,17385,3
1947711,19206,4
1948327,20368,1
1948327,20644,6
1948327,22464,4
1948327,22474,2
1948327,24315,8
1948327,24318,7
1948327,24325,11
1948327,24327,12
1948327,24332,10
1948327,24336,3
1948327,24342,5
1948327,25812,9
1948377,14523,3
1948377,20368,25
1948377,20645,34
1948377,20657,10
1948377,20666,32
1948377,22464,30
1948377,22471,24
1948377,22474,35
1948377,22476,29
1948377,22482,28
1948377,22747,6
1948377,24313,19
1948377,24315,16
1948377,24318,27
1948377,24319,33
1948377,24325,23
1948377,24326,26
1948377,24327,7
1948377,24329,22
1948377,24330,8
1948377,24331,17
1948377,24332,20
1948377,24334,18
1948377,24335,14
1948377,24336,9
1948377,24340,2
1948377,24342,21
1948377,24347,5
1948377,24350,1
1948377,24351,4
1948377,25198,15
1948377,25199,31
1948377,25809,13
1948377,25812,12
1948377,25816,11
1948432,14523,5
1948432,20643,24
1948432,20660,3
1948432,20662,19
1948432,20668,27
1948432,20676,16
1948432,22462,6
1948432,22465,1
1948432,22469,25
1948432,22747,14
1948432,24270,21
1948432,24319,8
1948432,24328,26
1948432,24329,11
1948432,24336,12
1948432,24337,15
1948432,24341,7
1948432,24342,13
1948432,24354,4
1948432,24355,9
1948432,24357,10
1948432,24360,20
1948432,24362,28
1948432,24363,17
1948432,24364,22
1948432,24366,2
1948432,24369,18
1948432,25817,23
1948484,14523,6
1948484,20643,22
1948484,20660,3
1948484,20662,18
1948484,20676,15
1948484,22465,2
1948484,22747,13
1948484,24319,7
1948484,24328,23
1948484,24329,10
1948484,24336,11
1948484,24337,14
1948484,24341,1
1948484,24342,12
1948484,24354,5
1948484,24355,8
1948484,24357,9
1948484,24360,19
1948484,24362,24
1948484,24363,16
1948484,24364,20
1948484,24366,4
1948484,24369,17
1948484,25817,21
1948537,20676,6
1948537,22460,15
1948537,22462,3
1948537,22469,14
1948537,24328,12
1948537,24333,11
1948537,24342,8
1948537,24348,1
1948537,24350,10
1948537,24353,4
1948537,24357,9
1948537,24359,13
1948537,24360,7
1948537,24364,5
1948537,25815,2
1948537,25817,16
1948592,20419,2
1948592,20660,10
1948592,20662,3
1948592,24332,12
1948592,24333,7
1948592,24347,8
1948592,24351,6
1948592,24354,11
1948592,24355,4
1948592,24362,5
1948592,24366,1
1948592,25817,9
1948644,20368,8
