bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
2036206,2217,HF1,4,Passed,2025-06-14,"Undocumented adult MinnesotaCare coverage repeal bill.","Undocumented adult MinnesotaCare coverage repeal bill.",0,,2025-06-14,"Secretary of State Chapter 2 ",https://legiscan.com/MN/bill/HF1/2025/X1,https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF0001&ssn=1&y=2025
2036224,2217,HF2,4,Passed,2025-06-14,"Health/children and families finance bill.","Health/children and families finance bill.",0,,2025-06-14,"Secretary of State Chapter 3 ",https://legiscan.com/MN/bill/HF2/2025/X1,https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF0002&ssn=1&y=2025
2036192,2217,HF3,4,Passed,2025-06-14,"Human services finance bill.","Human services finance bill.",0,,2025-06-14,"Secretary of State Chapter 9 ",https://legiscan.com/MN/bill/HF3/2025/X1,https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF0003&ssn=1&y=2025
2036225,2217,HF4,4,Passed,2025-06-14,"Commerce finance and policy bill.","Commerce finance and policy bill.",0,,2025-06-14,"Secretary of State Chapter 4 ",https://legiscan.com/MN/bill/HF4/2025/X1,https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF0004&ssn=1&y=2025
2036222,2217,HF5,4,Passed,2025-06-14,"K12 education finance and policy bill.","K12 education finance and policy bill.",0,,2025-06-14,"Secretary of State Chapter 10 ",https://legiscan.com/MN/bill/HF5/2025/X1,https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF0005&ssn=1&y=2025
2036216,2217,HF6,1,Introduced,2025-06-09,"Higher education finance and policy bill.","Higher education finance and policy bill.",0,,2025-06-09,"Introduction and first reading",https://legiscan.com/MN/bill/HF6/2025/X1,https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF0006&ssn=1&y=2025
2036221,2217,HF7,1,Introduced,2025-06-09,"Energy finance and policy bill.","Energy finance and policy bill.",0,,2025-06-09,"Introduction and first reading",https://legiscan.com/MN/bill/HF7/2025/X1,https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF0007&ssn=1&y=2025
2036210,2217,HF8,1,Introduced,2025-06-09,"Environment and natural resources finance and policy bill.","Environment and natural resources finance and policy bill.",0,,2025-06-09,"Introduction and first reading",https://legiscan.com/MN/bill/HF8/2025/X1,https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF0008&ssn=1&y=2025
2036208,2217,HF9,4,Passed,2025-06-14,"Tax finance and policy bill.","Tax finance and policy bill.",0,,2025-06-14,"Secretary of State Chapter 13 ",https://legiscan.com/MN/bill/HF9/2025/X1,https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF0009&ssn=1&y=2025
2036230,2217,HF10,1,Introduced,2025-06-09,"Revisor's bill.","Revisor's bill.",0,,2025-06-09,"Introduction and first reading",https://legiscan.com/MN/bill/HF10/2025/X1,https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF0010&ssn=1&y=2025
