bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
2036206,3253246,text,205509,application/pdf,Introduced,https://legiscan.com/MN/text/HF1/id/3253246,https://www.revisor.mn.gov/bills/text.php?number=HF1&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036224,3253264,text,7854418,application/pdf,Introduced,https://legiscan.com/MN/text/HF2/id/3253264,https://www.revisor.mn.gov/bills/text.php?number=HF2&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036192,3253232,text,4783238,application/pdf,Introduced,https://legiscan.com/MN/text/HF3/id/3253232,https://www.revisor.mn.gov/bills/text.php?number=HF3&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036225,3253265,text,1701370,application/pdf,Introduced,https://legiscan.com/MN/text/HF4/id/3253265,https://www.revisor.mn.gov/bills/text.php?number=HF4&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036222,3253262,text,3659944,application/pdf,Introduced,https://legiscan.com/MN/text/HF5/id/3253262,https://www.revisor.mn.gov/bills/text.php?number=HF5&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036216,3253256,text,1593290,application/pdf,Introduced,https://legiscan.com/MN/text/HF6/id/3253256,https://www.revisor.mn.gov/bills/text.php?number=HF6&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036221,3253261,text,831848,application/pdf,Introduced,https://legiscan.com/MN/text/HF7/id/3253261,https://www.revisor.mn.gov/bills/text.php?number=HF7&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036210,3253250,text,2255163,application/pdf,Introduced,https://legiscan.com/MN/text/HF8/id/3253250,https://www.revisor.mn.gov/bills/text.php?number=HF8&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036208,3253248,text,2120454,application/pdf,Introduced,https://legiscan.com/MN/text/HF9/id/3253248,https://www.revisor.mn.gov/bills/text.php?number=HF9&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036230,3253270,text,246672,application/pdf,Introduced,https://legiscan.com/MN/text/HF10/id/3253270,https://www.revisor.mn.gov/bills/text.php?number=HF10&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036194,3253234,text,252305,application/pdf,Introduced,https://legiscan.com/MN/text/HF11/id/3253234,https://www.revisor.mn.gov/bills/text.php?number=HF11&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036201,3253241,text,200363,application/pdf,Introduced,https://legiscan.com/MN/text/HF12/id/3253241,https://www.revisor.mn.gov/bills/text.php?number=HF12&version=0&session=ls94&session_year=2025&session_number=1&type=resolution&format=pdf
2036197,3253237,text,199271,application/pdf,Introduced,https://legiscan.com/MN/text/HF13/id/3253237,https://www.revisor.mn.gov/bills/text.php?number=HF13&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036205,3253245,text,2223878,application/pdf,Introduced,https://legiscan.com/MN/text/HF14/id/3253245,https://www.revisor.mn.gov/bills/text.php?number=HF14&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036258,3253352,text,2328037,application/pdf,Introduced,https://legiscan.com/MN/text/HF15/id/3253352,https://www.revisor.mn.gov/bills/text.php?number=HF15&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036286,3253370,text,436357,application/pdf,Introduced,https://legiscan.com/MN/text/HF16/id/3253370,https://www.revisor.mn.gov/bills/text.php?number=HF16&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036267,3253358,text,414159,application/pdf,Introduced,https://legiscan.com/MN/text/HF17/id/3253358,https://www.revisor.mn.gov/bills/text.php?number=HF17&version=0&session=ls94&session_year=2025&session_number=1&format=pdf
2036267,3253957,text,418289,application/pdf,Engrossed,https://legiscan.com/MN/text/HF17/id/3253957,https://www.revisor.mn.gov/bills/text.php?number=HF17&version=1&session=ls94&session_year=2025&session_number=1&format=pdf
