bill_id,date,chamber,sequence,action
2036171,2025-06-09,Senate,1,"Introduction and first reading"
2036171,2025-06-09,Senate,2,"Referred to Rules and Administration"
2036172,2025-06-09,Senate,1,"Introduction and first reading"
2036172,2025-06-09,Senate,2,"Laid on table"
2036173,2025-06-09,Senate,1,"Introduction and first reading"
2036173,2025-06-09,Senate,2,"Laid on table"
2036173,2025-06-09,Senate,3,"Author added Mohamed"
2036174,2025-06-09,Senate,1,"Introduction and first reading"
2036174,2025-06-09,Senate,2,"Laid on table"
2036175,2025-06-09,Senate,1,"Introduction and first reading"
2036175,2025-06-09,Senate,2,"Referred to Rules and Administration"
2036176,2025-06-09,Senate,1,"Introduction and first reading"
2036176,2025-06-09,Senate,2,"Laid on table"
2036176,2025-06-09,Senate,3,"Taken from table"
2036176,2025-06-09,Senate,4,"Urgency declared rules suspended"
2036176,2025-06-09,Senate,5,"Second reading"
2036176,2025-06-09,Senate,6,"Third reading Passed"
2036176,2025-06-09,Senate,7,"Returned from House"
2036176,2025-06-09,House,8,"Received from Senate"
2036176,2025-06-09,House,9,"Senate file first reading"
2036176,2025-06-09,House,10,"Rules suspended"
2036176,2025-06-09,House,11,"Second reading"
2036176,2025-06-09,House,12,"Amendments offered"
2036176,2025-06-09,House,13,"Third reading"
2036176,2025-06-09,House,14,"Bill was passed"
2036176,2025-06-12,,15,"Presented to Governor"
2036176,2025-06-14,,16,"Governor's action Approval "
2036176,2025-06-14,,17,"Secretary of State Chapter 1 "
2036176,2025-06-14,,18,"Governor approval "
2036176,2025-06-14,,19,"Secretary of State, Filed "
2036177,2025-06-09,Senate,1,"Introduction and first reading"
2036177,2025-06-09,Senate,2,"Laid on table"
2036178,2025-06-09,Senate,1,"Introduction and first reading"
2036178,2025-06-09,Senate,2,"Referred to Rules and Administration"
2036179,2025-06-09,Senate,1,"Introduction and first reading"
2036179,2025-06-09,Senate,2,"Laid on table"
2036179,2025-06-09,Senate,3,"Taken from table"
2036179,2025-06-09,Senate,4,"Urgency declared rules suspended"
2036179,2025-06-09,Senate,5,"Second reading"
2036179,2025-06-09,Senate,6,"Third reading Passed"
2036179,2025-06-09,Senate,7,"Returned from House"
2036179,2025-06-09,House,8,"Received from Senate"
2036179,2025-06-09,House,9,"Senate file first reading"
2036179,2025-06-09,House,10,"Rules suspended"
2036179,2025-06-09,House,11,"Second reading"
2036179,2025-06-09,House,12,"Third reading"
2036179,2025-06-09,House,13,"Bill was passed"
2036179,2025-06-12,,14,"Presented to Governor"
2036179,2025-06-14,,15,"Governor's action Approval "
2036179,2025-06-14,,16,"Secretary of State Chapter 5 "
2036179,2025-06-14,,17,"Governor approval "
2036179,2025-06-14,,18,"Secretary of State, Filed "
2036180,2025-06-09,Senate,1,"Introduction and first reading"
2036180,2025-06-09,Senate,2,"Referred to Rules and Administration"
2036181,2025-06-09,Senate,1,"Introduction and first reading"
2036181,2025-06-09,Senate,2,"Referred to Rules and Administration"
2036182,2025-06-09,Senate,1,"Introduction and first reading"
2036182,2025-06-09,Senate,2,"Laid on table"
2036183,2025-06-09,Senate,1,"Introduction and first reading"
2036183,2025-06-09,Senate,2,"Laid on table"
2036183,2025-06-09,Senate,3,"Taken from table"
2036183,2025-06-09,Senate,4,"Urgency declared rules suspended"
2036183,2025-06-09,Senate,5,"Second reading"
2036183,2025-06-09,Senate,6,"Third reading Passed"
2036183,2025-06-09,Senate,7,"Returned from House"
2036183,2025-06-09,House,8,"Received from Senate"
2036183,2025-06-09,House,9,"Senate file first reading"
2036183,2025-06-09,House,10,"Rules suspended"
2036183,2025-06-09,House,11,"Second reading"
2036183,2025-06-09,House,12,"Third reading"
2036183,2025-06-09,House,13,"Bill was passed"
2036183,2025-06-12,,14,"Presented to Governor"
2036183,2025-06-14,,15,"Governor's action Approval "
2036183,2025-06-14,,16,"Secretary of State Chapter 7 "
2036183,2025-06-14,,17,"Governor approval "
2036183,2025-06-14,,18,"Secretary of State, Filed "
2036184,2025-06-09,Senate,1,"Introduction and first reading"
2036184,2025-06-09,Senate,2,"Laid on table"
2036184,2025-06-09,Senate,3,"Author added Latz"
2036184,2025-06-09,Senate,4,"Taken from table"
2036184,2025-06-09,Senate,5,"Urgency declared rules suspended"
2036184,2025-06-09,Senate,6,"Second reading"
2036184,2025-06-09,Senate,7,"Third reading Passed"
2036184,2025-06-09,Senate,8,"Returned from House with amendment"
2036184,2025-06-09,Senate,9,"Senate concurred and repassed bill"
2036184,2025-06-09,Senate,10,"Third reading Passed as amended"
2036184,2025-06-09,House,11,"Received from Senate"
2036184,2025-06-09,House,12,"Senate file first reading"
2036184,2025-06-09,House,13,"Rules suspended"
2036184,2025-06-09,House,14,"Second reading"
2036184,2025-06-09,House,15,Amended
2036184,2025-06-09,House,16,"Third reading as amended"
2036184,2025-06-09,House,17,"Bill was passed as amended"
2036184,2025-06-12,,18,"Presented to Governor"
2036184,2025-06-14,,19,"Governor's action Approval "
2036184,2025-06-14,,20,"Secretary of State Chapter 11 "
2036184,2025-06-14,,21,"Governor approval "
2036184,2025-06-14,,22,"Secretary of State, Filed "
2036185,2025-06-09,Senate,1,"Introduction and first reading"
2036185,2025-06-09,Senate,2,"Referred to Rules and Administration"
2036186,2025-06-09,Senate,1,"Introduction and first reading"
2036186,2025-06-09,Senate,2,"Referred to Rules and Administration"
2036190,2025-06-09,Senate,1,"Introduction and first reading"
2036190,2025-06-09,Senate,2,"Laid on table"
2036191,2025-06-09,Senate,1,"Introduction and first reading"
2036191,2025-06-09,Senate,2,"Laid on table"
