bill_id,people_id,position
2036171,6408,1
2036172,15436,1
2036173,10866,1
2036173,18399,2
2036173,22443,3
2036173,23578,4
2036174,18345,1
2036175,6387,1
2036176,15369,1
2036177,10522,2
2036177,18346,4
2036177,18351,3
2036177,22653,1
2036177,23755,5
2036178,6387,1
2036179,22443,1
2036180,6408,1
2036181,6403,3
2036181,6439,1
2036181,10870,2
2036181,18343,4
2036181,18351,5
2036182,18340,2
2036182,18397,1
2036183,18343,1
2036184,6439,2
2036184,6458,1
2036185,6408,1
2036186,10870,1
2036186,15070,3
2036186,22141,4
2036186,22653,2
2036190,6483,1
2036190,15070,2
2036190,18343,4
2036190,22444,5
2036190,22653,3
2036191,6430,1
2036192,10861,2
2036192,20457,1
2036194,14366,2
2036194,20444,1
2036194,26182,3
2036197,14366,2
2036197,20447,1
2036198,6483,1
2036200,6430,1
2036200,15371,3
2036200,18343,2
2036200,23576,4
2036201,14366,3
2036201,20457,1
2036201,26182,2
2036205,18510,1
2036205,20461,2
2036206,6407,5
2036206,16544,1
2036206,20623,7
2036206,20897,3
2036206,21063,8
2036206,23659,6
2036206,23680,4
2036206,23742,9
2036206,24681,2
2036206,26172,10
2036208,6392,1
2036208,20444,2
2036210,14365,2
2036210,16548,1
2036214,6301,1
2036214,19400,2
2036216,15471,2
2036216,20464,1
2036218,6306,1
2036218,22210,2
2036221,20437,1
2036222,16705,1
2036222,21605,2
2036224,18564,2
2036224,20450,3
2036224,20621,1
2036225,10524,2
2036225,20446,1
2036228,6436,1
2036230,6367,1
2036230,6407,2
2036231,20455,1
2036247,6407,1
2036258,16545,2
2036258,17034,1
2036267,10520,2
2036267,18398,1
2036279,10520,1
2036279,18398,2
2036286,6392,1
2036286,20448,2
2036291,18341,1
2036310,18341,1
2036331,18341,1
2036350,22209,1
2036369,22209,1
