bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
2043056,3267428,text,195257,application/pdf,Introduced,https://legiscan.com/MO/text/HB1/id/3267428,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3344H.01I.pdf
2043056,3268292,text,196003,application/pdf,Engrossed,https://legiscan.com/MO/text/HB1/id/3268292,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3344H.01P.pdf
2043056,3269117,text,195397,application/pdf,Enrolled,https://legiscan.com/MO/text/HB1/id/3269117,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3344H.01T.pdf
2043221,3267528,text,227258,application/pdf,Introduced,https://legiscan.com/MO/text/HB2/id/3267528,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3357H.01I.pdf
2043449,3268103,text,57287,application/pdf,Introduced,https://legiscan.com/MO/text/HR1/id/3268103,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3343H.01I.pdf
2043241,3267541,text,81158,application/pdf,Introduced,https://legiscan.com/MO/text/HCR1/id/3267541,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3401H.01I.pdf
2043447,3267857,text,70727,application/pdf,Introduced,https://legiscan.com/MO/text/HCR2/id/3267857,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3409H.01I.pdf
2043097,3267297,text,94392,application/pdf,Introduced,https://legiscan.com/MO/text/HJR1/id/3267297,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3346H.01I.pdf
2043111,3267307,text,94455,application/pdf,Introduced,https://legiscan.com/MO/text/HJR2/id/3267307,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3351H.01I.pdf
2043083,3267286,text,103262,application/pdf,Introduced,https://legiscan.com/MO/text/HJR3/id/3267286,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3353H.02I.pdf
2043083,3267848,text,102236,application/pdf,"Comm Sub",https://legiscan.com/MO/text/HJR3/id/3267848,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3353H.03C.pdf
2043083,3268150,text,103626,application/pdf,Engrossed,https://legiscan.com/MO/text/HJR3/id/3268150,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3353H.03P.pdf
2043083,3268964,text,103646,application/pdf,Enrolled,https://legiscan.com/MO/text/HJR3/id/3268964,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3353H.03T.pdf
2043109,3267301,text,89930,application/pdf,Introduced,https://legiscan.com/MO/text/HJR4/id/3267301,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3358H.02I.pdf
2043243,3267564,text,140913,application/pdf,Introduced,https://legiscan.com/MO/text/HJR5/id/3267564,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3399H.01I.pdf
2043258,3267634,text,140124,application/pdf,Introduced,https://legiscan.com/MO/text/HJR6/id/3267634,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3406H.01I.pdf
2043277,3267636,text,140578,application/pdf,Introduced,https://legiscan.com/MO/text/HJR7/id/3267636,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3405H.01I.pdf
2043439,3267852,text,140302,application/pdf,Introduced,https://legiscan.com/MO/text/HJR8/id/3267852,https://documents.house.mo.gov/billtracking/bills254/hlrbillspdf/3411H.01I.pdf
2043056,617729,supplement,28649,application/pdf,Analysis,https://legiscan.com/MO/supplement/HB1/id/617729,https://documents.house.mo.gov/billtracking/bills254/sumpdf/HB0001I.pdf
2043056,617730,supplement,39138,application/pdf,Analysis,https://legiscan.com/MO/supplement/HB1/id/617730,https://documents.house.mo.gov/billtracking/bills254/sumpdf/HB0001C.pdf
2043056,617731,supplement,210122,application/pdf,"Fiscal Note",https://legiscan.com/MO/supplement/HB1/id/617731,https://documents.house.mo.gov/billtracking/bills254/fiscal/fispdf/3344H.01I.ORG.pdf
