people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
7655,"Stephen Webber",Stephen,,Webber,,,1,D,2,Sen,SD-019,3801175,104508,,Stephen_Webber_(Missouri),271840,0
12942,"Mike Bernskoetter",Mike,,Bernskoetter,,,2,R,2,Sen,SD-006,3826702,124589,,Mike_Bernskoetter,292053,0
12944,"Rick Brattin",Rick,,Brattin,,,2,R,2,Sen,SD-031,6685174,124815,,Rick_Brattin,290178,0
12947,"Mike Cierpiot",Mike,,Cierpiot,,,2,R,2,Sen,SD-008,3722552,123854,,Mike_Cierpiot,292001,0
12949,"Sandy Crawford",Sandy,,Crawford,,,2,R,2,Sen,SD-028,3693795,124820,,Sandy_Crawford,292065,0
12968,"Karla May",Karla,,May,,,1,D,2,Sen,SD-004,3800302,66328,,Karla_May,292002,0
13002,"Lincoln Hough",Lincoln,,Hough,,,2,R,2,Sen,SD-030,3826742,124803,,Lincoln_Hough,292089,0
13872,"Tracy McCreery",Tracy,,McCreery,,,1,D,2,Sen,SD-024,6536336,134862,,Tracy_McCreery,238396,0
16177,"Mike Moon",Mike,,Moon,,,2,R,2,Sen,SD-029,16501211,123397,,Mike_Moon,284786,0
17512,"Travis Fitzwater",Travis,,Fitzwater,,,2,R,2,Sen,SD-010,3710003,139297,,Travis_Fitzwater,402790,0
18054,"Nick Schroer",Nick,,Schroer,,,2,R,2,Sen,SD-002,39656782,169831,,Nick_Schroer,572195,0
18055,"Mike Henderson",Mike,,Henderson,,,2,R,2,Sen,SD-003,14763202,169897,,Mike_Henderson,576805,0
18097,"Doug Beck",Doug,,Beck,,,1,D,2,Sen,SD-001,15563004,15601,,Doug_Beck,598861,0
18243,"Steven Roberts",Steven,C.,Roberts,II,Steve,1,D,2,Sen,SD-005,14714898,169788,,Steve_Roberts_(Missouri_state_legislator),572154,0
18819,"David Gregory",David,J.,Gregory,,,2,R,2,Sen,SD-015,39656762,169808,,David_Gregory,572178,0
