bill_id,people_id,position
2043056,20705,1
2043083,21709,1
2043083,23610,2
2043097,19920,12
2043097,20717,2
2043097,20731,16
2043097,21704,10
2043097,21705,17
2043097,21706,1
2043097,21764,5
2043097,23199,3
2043097,23611,4
2043097,24127,11
2043097,24135,6
2043097,24137,7
2043097,24141,8
2043097,25272,14
2043097,25276,9
2043097,25285,15
2043097,25303,13
2043109,25255,2
2043109,25303,1
2043111,21706,1
2043221,22384,1
2043241,25283,1
2043243,23611,1
2043243,25303,2
2043258,20695,18
2043258,20703,22
2043258,20714,6
2043258,21705,2
2043258,21738,1
2043258,22085,13
2043258,22389,27
2043258,22398,9
2043258,23196,12
2043258,23747,4
2043258,24145,7
2043258,24547,3
2043258,25252,10
2043258,25254,21
2043258,25257,8
2043258,25262,17
2043258,25264,20
2043258,25268,16
2043258,25270,14
2043258,25271,19
2043258,25274,26
2043258,25277,5
2043258,25281,15
2043258,25290,23
2043258,25292,24
2043258,25294,25
2043258,25298,11
2043258,25301,28
2043277,19736,1
2043277,25277,2
2043439,21706,1
2043439,23199,2
2043447,25296,1
2043449,21891,1
